CUSTNO,Monetary_가구인테리어/잡화_고가_등급,Monetary_가구인테리어/잡화_저가_등급,Monetary_가구인테리어/잡화_중가_등급,Monetary_가전/레저취미/멀티샵_고가_등급,Monetary_가전/레저취미/멀티샵_저가_등급,Monetary_가전/레저취미/멀티샵_중가_등급,Monetary_교육문화/아동_고가_등급,Monetary_교육문화/아동_저가_등급,Monetary_교육문화/아동_중가_등급,Monetary_식품/생활_고가_등급,Monetary_식품/생활_저가_등급,Monetary_식품/생활_중가_등급,Monetary_의류/이미용_고가_등급,Monetary_의류/이미용_저가_등급,Monetary_의류/이미용_중가_등급,Monetary_침구/주방_고가_등급,Monetary_침구/주방_저가_등급,Monetary_침구/주방_중가_등급
1,0,-2,4,0,0,2,0,0,0,-1,0,1,2,0,1,4,0,-6
2,0,1,0,3,0,0,0,0,2,1,1,-3,-1,2,1,4,0,-2
3,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0
4,0,0,2,0,1,2,0,0,0,-1,0,0,1,1,1,1,0,-2
6,0,-1,1,-1,-3,0,0,0,0,2,0,-1,0,0,1,0,1,2
7,1,-2,0,1,1,2,0,0,0,1,0,-1,3,0,-3,2,0,-3
8,-1,-1,-1,0,0,1,0,0,0,2,1,-1,0,0,-2,-1,0,-2
9,2,-3,0,0,0,-1,0,0,0,1,1,0,-1,0,0,7,0,0
10,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,-2
11,-4,0,-3,0,0,-6,0,0,-2,-4,1,1,-2,0,-4,-2,0,0
12,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0
13,-1,2,0,0,-2,0,0,0,0,-1,0,0,0,0,1,3,2,0
14,0,-2,-3,-1,-2,0,0,0,0,1,1,1,-1,0,2,0,-2,-1
15,0,4,1,0,0,-1,0,0,0,1,1,1,1,0,-1,-1,0,1
16,0,-1,0,-1,0,0,0,0,-1,0,0,-2,1,0,0,0,0,-2
17,0,-2,1,0,0,0,0,0,0,0,-1,0,2,-6,1,-2,2,-4
18,0,1,0,0,0,1,0,0,0,-1,1,0,0,0,2,0,0,0
19,-1,0,0,1,0,4,0,0,0,1,0,0,2,1,2,-2,0,-2
20,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,0,0,0
21,0,-3,0,0,-1,-1,-2,-1,-1,0,0,2,0,1,0,0,-3,3
22,-6,0,0,0,0,0,0,0,0,3,0,-5,0,0,0,0,0,0
23,-2,0,3,1,0,1,0,0,0,0,0,0,4,0,0,3,0,1
24,0,2,0,0,2,-2,0,0,1,-1,0,1,0,0,0,0,4,2
25,-2,-3,-1,-2,2,0,0,0,0,0,0,-2,0,0,-3,0,0,0
26,-3,1,3,1,0,3,0,0,-1,-2,0,1,-2,0,1,0,0,-3
27,3,0,-1,0,0,1,0,0,0,1,-1,3,3,0,4,0,0,0
28,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,0,0,2,2
29,0,0,3,1,0,-2,0,0,-3,2,0,0,-2,1,0,2,0,-1
30,0,0,-1,0,0,1,0,0,0,1,0,0,-1,0,2,1,2,2
31,0,0,2,0,0,0,0,0,0,0,0,1,-1,0,0,-2,0,-1
32,0,1,0,0,0,-1,0,0,0,0,0,-2,0,0,-2,-1,2,1
33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-5,0
34,0,0,0,0,0,0,0,0,0,-4,0,0,3,0,0,2,0,2
35,0,0,1,1,0,-3,0,0,0,0,0,-1,-2,-2,1,2,1,0
36,0,2,0,0,0,1,0,0,-3,2,1,-1,0,0,2,2,0,2
37,0,0,1,1,1,0,0,0,0,1,0,0,0,0,-3,0,0,2
38,1,-1,-2,0,0,2,0,2,1,-1,0,-1,1,1,0,1,0,-3
39,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,1
40,0,2,1,5,0,-1,0,0,0,-3,0,0,0,0,0,1,0,2
41,0,1,0,0,0,-2,0,0,0,2,-1,0,-2,2,0,0,1,0
42,0,-1,0,0,-4,0,0,0,0,0,1,-1,0,0,-1,0,0,0
43,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,-6,1
