CUSTNO,Recency_가구인테리어/잡화_고가,Recency_가구인테리어/잡화_저가,Recency_가구인테리어/잡화_중가,Recency_가전/레저취미/멀티샵_고가,Recency_가전/레저취미/멀티샵_저가,Recency_가전/레저취미/멀티샵_중가,Recency_교육문화/아동_고가,Recency_교육문화/아동_저가,Recency_교육문화/아동_중가,Recency_식품/생활_고가,Recency_식품/생활_저가,Recency_식품/생활_중가,Recency_의류/이미용_고가,Recency_의류/이미용_저가,Recency_의류/이미용_중가,Recency_침구/주방_고가,Recency_침구/주방_저가,Recency_침구/주방_중가
1,55,66,77,-2666,-2666,33,-2666,-2666,-2666,12,7,4,6,-2666,4,12,-2666,-2666
2,-2666,34,-2666,80,-2666,-2666,-2666,-2666,-2666,31,47,7,19,18,22,34,-2666,33
3,-2666,20,-2666,-2666,-2666,-2666,-2666,-2666,-2666,-2666,2,8,-2666,-2666,-2666,-2666,-2666,-2666
4,-2666,2,60,-2666,-2666,79,-2666,21,-2666,19,1,1,4,84,2,-2666,-2666,-2666
6,6,6,9,-2666,-2666,-2666,-2666,-2666,-2666,2,1,1,6,40,30,-2666,-2666,-2666
7,-2666,4,-2666,-2666,-2666,-2666,-2666,60,-2666,4,39,2,13,-2666,11,80,39,-2666
8,36,24,85,-2666,-2666,4,-2666,-2666,-2666,3,7,2,11,-2666,75,-2666,-2666,-2666
9,57,12,52,90,-2666,31,-2666,-2666,-2666,4,22,3,31,-2666,3,78,-2666,-2666
10,-2666,36,53,-2666,19,-2666,-2666,-2666,-2666,23,4,4,37,46,67,73,9,-2666
11,1,61,66,-2666,-2666,37,-2666,-2666,33,3,81,3,11,-2666,33,-2666,-2666,-2666
12,-2666,22,-2666,-2666,85,-2666,-2666,-2666,-2666,16,6,6,-2666,32,33,-2666,48,26
13,-2666,11,-2666,-2666,-2666,-2666,-2666,7,-2666,11,2,2,32,32,-2666,-2666,7,37
14,5,5,-2666,29,24,5,-2666,-2666,-2666,2,5,1,11,-2666,8,13,24,-2666
15,-2666,88,28,-2666,-2666,45,-2666,60,-2666,22,5,1,46,5,53,-2666,-2666,83
16,21,51,-2666,-2666,-2666,-2666,57,-2666,57,1,47,5,49,-2666,-2666,38,-2666,-2666
17,33,61,67,-2666,-2666,-2666,-2666,-2666,-2666,4,6,1,91,-2666,1,1,73,-2666
18,-2666,63,-2666,-2666,-2666,-2666,-2666,-2666,-2666,38,63,1,84,-2666,-2666,-2666,-2666,61
19,68,3,47,10,-2666,-2666,-2666,-2666,-2666,33,-2666,3,3,-2666,10,-2666,-2666,-2666
20,-2666,5,38,-2666,-2666,-2666,-2666,-2666,-2666,3,72,1,32,36,1,-2666,-2666,-2666
21,-2666,60,40,-2666,43,-2666,-2666,2,4,4,4,4,-2666,4,86,-2666,-2666,-2666
22,28,-2666,39,-2666,-2666,-2666,-2666,-2666,-2666,2,-2666,2,39,-2666,-2666,49,-2666,-2666
23,-2666,54,67,45,-2666,45,-2666,-2666,-2666,54,-2666,39,6,-2666,45,-2666,-2666,74
24,-2666,-2666,-2666,-2666,39,-2666,-2666,-2666,-2666,64,1,1,-2666,49,-2666,-2666,47,72
25,41,1,3,89,-2666,-2666,-2666,-2666,-2666,40,16,1,41,51,14,-2666,-2666,-2666
26,5,3,4,12,-2666,4,-2666,-2666,-2666,2,5,1,12,23,29,4,-2666,54
27,66,-2666,-2666,38,-2666,-2666,-2666,-2666,52,2,81,2,68,-2666,38,62,-2666,-2666
28,-2666,27,-2666,-2666,-2666,-2666,-2666,-2666,-2666,5,4,1,26,1,-2666,-2666,33,-2666
29,19,-2666,39,4,-2666,3,-2666,-2666,19,9,9,9,17,49,3,32,-2666,-2666
30,4,4,8,-2666,30,60,-2666,-2666,-2666,12,12,3,11,49,53,13,12,55
31,-2666,17,81,-2666,-2666,-2666,-2666,-2666,39,3,-2666,3,18,-2666,3,-2666,-2666,-2666
32,-2666,-2666,-2666,-2666,9,-2666,-2666,-2666,-2666,6,5,1,-2666,15,-2666,-2666,1,-2666
33,-2666,35,49,-2666,-2666,-2666,-2666,-2666,-2666,5,2,2,-2666,10,-2666,-2666,-2666,-2666
34,-2666,28,-2666,-2666,-2666,-2666,-2666,-2666,-2666,3,-2666,3,-2666,-2666,17,-2666,-2666,-2666
35,-2666,11,42,-2666,28,37,-2666,-2666,-2666,3,19,3,38,-2666,32,-2666,-2666,57
36,-2666,12,22,-2666,-2666,-2666,-2666,-2666,48,2,-2666,2,18,-2666,-2666,31,-2666,38
37,-2666,24,-2666,87,-2666,-2666,-2666,-2666,-2666,3,50,3,22,-2666,57,87,-2666,-2666
38,-2666,-2666,83,-2666,49,-2666,-2666,65,5,2,1,2,29,12,4,75,15,42
39,-2666,42,-2666,-2666,-2666,-2666,-2666,-2666,-2666,5,-2666,4,5,-2666,-2666,-2666,-2666,-2666
40,-2666,1,-2666,67,-2666,79,-2666,-2666,-2666,2,2,7,6,35,1,14,-2666,2
41,-2666,-2666,-2666,-2666,-2666,-2666,-2666,-2666,-2666,33,26,8,57,55,81,-2666,-2666,-2666
42,-2666,-2666,-2666,-2666,47,-2666,-2666,63,-2666,20,1,1,-2666,5,-2666,-2666,59,-2666
43,-2666,-2666,-2666,-2666,68,-2666,-2666,-2666,-2666,4,4,4,-2666,79,-2666,-2666,18,-2666
44,39,2,-2666,-2666,-2666,79,-2666,-2666,-2666,10,9,1,-2666,-2666,1,73,9,-2666
45,89,53,-2666,54,-2666,8,-2666,-2666,-2666,53,3,3,5,11,5,-2666,-2666,-2666
46,47,9,-2666,-2666,-2666,19,-2666,-2666,-2666,2,-2666,8,28,-2666,5,28,-2666,-2666
47,-2666,-2666,-2666,81,10,-2666,-2666,-2666,16,16,9,9,-2666,16,-2666,-2666,11,-2666
48,17,1,-2666,-2666,-2666,-2666,-2666,-2666,-2666,24,50,10,24,50,11,25,-2666,-2666
49,13,33,57,57,-2666,-2666,-2666,-2666,53,6,-2666,2,10,-2666,52,15,-2666,-2666
50,74,6,45,-2666,-2666,10,-2666,37,59,1,1,1,75,1,37,-2666,37,75
51,-2666,1,52,19,-2666,-2666,-2666,-2666,1,8,2,1,1,74,63,62,82,79
52,75,39,-2666,-2666,43,3,-2666,-2666,63,10,-2666,1,25,-2666,4,-2666,-2666,-2666
53,46,-2666,46,3,-2666,46,-2666,-2666,-2666,11,53,1,39,-2666,57,-2666,-2666,-2666
54,-2666,2,-2666,-2666,-2666,-2666,-2666,-2666,-2666,1,-2666,2,5,-2666,-2666,-2666,-2666,-2666
55,-2666,25,-2666,-2666,30,-2666,-2666,-2666,-2666,16,1,1,-2666,24,-2666,-2666,2,-2666
56,12,14,60,-2666,-2666,-2666,-2666,-2666,11,1,42,1,12,-2666,1,68,-2666,46
57,-2666,14,-2666,-2666,72,-2666,-2666,-2666,-2666,2,1,1,-2666,22,-2666,-2666,30,-2666
58,35,11,-2666,-2666,-2666,55,-2666,-2666,28,1,-2666,3,22,-2666,3,-2666,-2666,25
59,88,-2666,-2666,-2666,-2666,-2666,-2666,-2666,-2666,67,-2666,2,12,-2666,32,-2666,-2666,-2666
60,-2666,47,67,-2666,56,66,-2666,-2666,-2666,4,2,4,35,9,4,-2666,-2666,-2666
61,-2666,34,-2666,-2666,25,-2666,-2666,-2666,-2666,25,9,2,63,62,54,-2666,79,63
62,32,84,-2666,64,-2666,-2666,-2666,-2666,29,9,8,2,-2666,-2666,2,35,-2666,8
63,-2666,12,32,-2666,31,40,-2666,-2666,-2666,12,-2666,3,42,-2666,75,-2666,-2666,-2666
64,-2666,-2666,-2666,-2666,-2666,-2666,-2666,-2666,-2666,-2666,26,8,-2666,62,-2666,-2666,-2666,-2666
65,64,3,-2666,-2666,-2666,-2666,-2666,-2666,-2666,1,8,1,62,9,39,4,15,71
66,-2666,-2666,-2666,-2666,44,-2666,-2666,-2666,-2666,1,5,1,58,47,6,-2666,5,-2666
67,-2666,-2666,-2666,-2666,-2666,-2666,-2666,-2666,-2666,8,1,1,65,6,-2666,-2666,37,37
68,-2666,59,1,59,-2666,-2666,58,-2666,58,6,1,1,63,85,63,-2666,-2666,-2666
69,-2666,5,-2666,-2666,79,-2666,-2666,-2666,-2666,1,1,1,-2666,16,-2666,-2666,-2666,-2666
70,60,-2666,-2666,-2666,-2666,72,-2666,-2666,-2666,-2666,-2666,44,-2666,-2666,72,18,-2666,44
71,-2666,-2666,-2666,-2666,-2666,-2666,-2666,-2666,-2666,32,1,1,-2666,32,-2666,-2666,-2666,-2666
72,-2666,27,-2666,-2666,60,-2666,-2666,39,-2666,8,4,4,-2666,1,74,-2666,19,-2666
73,18,18,15,38,-2666,-2666,-2666,-2666,-2666,6,-2666,18,33,-2666,46,46,-2666,-2666
74,-2666,49,41,-2666,-2666,-2666,-2666,-2666,-2666,54,13,13,84,58,41,89,64,89
75,-2666,40,-2666,-2666,-2666,-2666,-2666,-2666,-2666,11,15,5,50,-2666,-2666,-2666,-2666,-2666
76,10,24,-2666,-2666,-2666,37,-2666,-2666,24,3,15,3,11,45,10,18,-2666,18
77,-2666,28,-2666,-2666,-2666,-2666,-2666,-2666,30,11,12,6,5,12,6,-2666,43,-2666
78,32,13,23,-2666,-2666,2,-2666,-2666,-2666,2,23,2,2,55,37,2,78,85
79,-2666,89,-2666,-2666,21,39,-2666,-2666,62,29,1,1,78,14,-2666,84,35,-2666
80,-2666,-2666,-2666,-2666,-2666,-2666,-2666,-2666,-2666,4,2,4,-2666,46,4,-2666,42,-2666
81,11,3,49,-2666,-2666,-2666,-2666,-2666,-2666,43,21,1,3,-2666,13,32,-2666,3
82,3,19,-2666,52,73,33,-2666,-2666,73,25,14,2,2,18,12,63,29,37
83,-2666,13,-2666,5,-2666,-2666,-2666,-2666,-2666,12,12,1,1,10,3,-2666,-2666,73
84,3,2,-2666,10,-2666,19,-2666,84,-2666,19,-2666,3,10,84,19,3,-2666,19
85,-2666,31,73,-2666,-2666,43,-2666,-2666,-2666,10,-2666,2,25,-2666,25,10,-2666,87
86,88,25,-2666,-2666,16,-2666,-2666,51,10,1,4,1,26,4,52,52,-2666,52
87,-2666,3,-2666,-2666,-2666,4,-2666,-2666,31,-2666,34,2,-2666,-2666,-2666,-2666,-2666,-2666
88,-2666,80,-2666,17,22,-2666,-2666,-2666,-2666,1,4,1,73,22,28,1,21,57
89,-2666,-2666,50,-2666,-2666,-2666,-2666,8,68,4,2,2,63,9,42,-2666,16,9
90,-2666,2,86,10,-2666,-2666,-2666,-2666,-2666,2,-2666,5,71,-2666,18,5,-2666,5
91,-2666,11,33,-2666,-2666,-2666,-2666,-2666,19,8,55,1,-2666,-2666,13,-2666,76,3
92,-2666,5,5,89,-2666,5,52,-2666,4,5,6,5,20,9,4,89,27,-2666
