CUSTNO,Monetary_가구인테리어/잡화_고가_등급,Monetary_가구인테리어/잡화_저가_등급,Monetary_가구인테리어/잡화_중가_등급,Monetary_가전/레저취미/멀티샵_고가_등급,Monetary_가전/레저취미/멀티샵_저가_등급,Monetary_가전/레저취미/멀티샵_중가_등급,Monetary_교육문화/아동_고가_등급,Monetary_교육문화/아동_저가_등급,Monetary_교육문화/아동_중가_등급,Monetary_식품/생활_고가_등급,Monetary_식품/생활_저가_등급,Monetary_식품/생활_중가_등급,Monetary_의류/이미용_고가_등급,Monetary_의류/이미용_저가_등급,Monetary_의류/이미용_중가_등급,Monetary_침구/주방_고가_등급,Monetary_침구/주방_저가_등급,Monetary_침구/주방_중가_등급
1,8,2,8,6,8,7,8,8,6,3,8,5,3,8,4,6,8,3
2,8,2,6,4,5,8,8,8,6,4,8,2,2,8,6,3,8,5
3,8,7,8,8,8,8,8,8,8,7,5,7,8,8,8,8,8,8
4,8,4,6,8,8,6,8,8,8,7,7,6,7,7,7,8,8,6
6,8,8,8,8,8,8,8,8,8,5,4,6,6,5,6,8,4,6
7,8,6,8,7,8,5,8,8,8,6,7,5,5,8,2,8,7,8
8,8,4,8,5,8,7,8,8,8,2,8,3,3,8,8,8,5,8
9,8,7,8,5,8,2,8,8,8,7,7,7,3,8,3,2,8,8
10,8,6,8,8,7,8,8,8,7,6,2,3,6,7,6,8,8,8
11,6,6,2,7,8,8,8,8,5,4,6,2,2,8,4,4,7,7
12,8,4,8,8,8,8,8,8,8,6,6,7,8,8,6,8,5,8
13,8,5,8,8,7,8,8,8,8,6,5,4,7,7,6,8,6,8
14,8,4,8,6,3,6,8,8,6,5,6,5,7,7,5,8,6,4
15,8,6,8,7,8,6,8,8,8,5,6,6,5,8,4,8,8,8
16,8,7,8,8,8,8,8,8,8,6,8,6,8,8,8,8,8,8
17,8,1,2,8,8,8,8,8,8,1,7,5,7,7,5,8,8,6
18,8,6,1,8,8,8,8,8,8,5,7,6,1,8,2,5,8,8
19,8,2,8,6,8,8,8,8,8,5,8,1,4,8,6,8,8,5
20,8,2,8,8,8,8,8,8,8,2,8,4,6,8,6,8,8,8
21,8,5,8,6,8,8,4,6,7,6,5,4,8,7,7,8,7,8
22,3,4,8,8,8,8,8,8,8,5,8,6,3,8,8,8,8,8
23,8,6,5,5,8,8,8,8,8,2,7,3,4,8,7,6,7,8
24,8,8,8,8,2,8,8,8,8,7,6,7,8,7,7,8,6,5
25,7,5,8,8,7,8,8,8,8,5,7,7,6,8,6,8,8,8
26,5,3,8,8,8,3,8,8,5,3,7,5,5,8,2,7,8,8
27,5,8,8,6,8,8,8,8,8,1,8,7,2,8,6,8,8,8
28,8,7,8,8,8,8,8,8,8,6,6,6,8,6,8,8,6,8
29,8,5,7,4,8,4,8,8,7,6,7,7,4,7,4,2,7,8
30,8,5,7,6,7,8,8,8,8,6,5,2,2,7,6,8,5,7
31,8,5,6,8,8,7,8,8,5,5,8,7,8,8,7,8,8,8
32,8,7,8,8,7,8,8,8,7,5,7,5,8,5,6,8,7,8
33,8,6,8,8,6,8,8,8,8,5,4,6,8,5,8,8,6,8
34,8,3,8,8,8,8,8,8,8,4,8,5,8,8,7,8,8,7
35,8,5,5,5,8,8,8,8,8,5,5,5,5,5,6,8,6,6
36,8,2,8,8,8,8,8,8,8,5,7,6,8,8,8,2,8,6
37,8,7,8,8,8,8,8,8,8,7,7,6,4,8,8,8,8,7
38,8,6,7,8,5,8,8,8,6,3,4,5,8,3,6,8,5,7
39,8,2,8,8,8,8,8,8,8,3,8,7,1,8,6,6,8,8
40,8,5,7,7,8,7,8,8,8,7,6,7,4,7,7,8,5,6
41,8,3,8,8,8,8,8,8,8,7,7,2,8,7,7,8,8,8
42,8,4,8,8,8,8,6,8,8,5,6,6,8,5,6,8,6,6
