CUSTNO,Moneytary_가구인테리어/잡화_고가_증감여부,Moneytary_가구인테리어/잡화_저가_증감여부,Moneytary_가구인테리어/잡화_중가_증감여부,Moneytary_가전/레저취미/멀티샵_고가_증감여부,Moneytary_가전/레저취미/멀티샵_저가_증감여부,Moneytary_가전/레저취미/멀티샵_중가_증감여부,Moneytary_교육문화/아동_고가_증감여부,Moneytary_교육문화/아동_저가_증감여부,Moneytary_교육문화/아동_중가_증감여부,Moneytary_식품/생활_고가_증감여부,Moneytary_식품/생활_저가_증감여부,Moneytary_식품/생활_중가_증감여부,Moneytary_의류/이미용_고가_증감여부,Moneytary_의류/이미용_저가_증감여부,Moneytary_의류/이미용_중가_증감여부,Moneytary_침구/주방_고가_증감여부,Moneytary_침구/주방_저가_증감여부,Moneytary_침구/주방_중가_증감여부
1,0,2,4,3,0,1,0,0,2,4,4,1,2,0,3,1,0,1
2,0,2,3,2,1,4,0,0,4,3,0,2,2,0,4,2,0,2
3,0,3,0,0,0,0,0,0,0,3,3,4,0,0,4,0,0,0
4,0,2,3,4,4,2,0,0,0,4,4,4,4,2,4,0,4,1
6,4,4,4,0,4,0,0,0,0,2,1,3,2,3,4,4,2,1
7,0,4,4,3,0,1,0,4,4,2,1,1,2,0,1,4,3,0
8,0,2,0,1,0,3,0,0,4,3,0,3,2,0,4,4,1,0
9,0,2,0,1,0,3,0,0,0,3,1,4,4,0,4,1,0,0
10,4,1,0,0,3,4,0,0,2,3,1,3,1,1,2,0,4,0
11,4,4,1,1,0,4,0,0,3,3,1,1,2,0,1,3,1,1
12,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,0
13,0,2,0,0,4,0,0,4,0,3,3,2,4,4,3,0,2,0
14,0,3,4,2,1,1,0,4,2,4,4,4,4,4,2,0,4,1
15,0,2,4,1,0,1,0,0,0,1,1,2,4,4,2,0,4,0
16,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
17,4,1,4,0,0,0,0,0,0,1,1,1,4,1,4,0,0,2
18,4,4,3,4,0,4,0,0,4,3,4,4,1,0,1,3,0,4
19,0,1,4,1,0,0,0,0,0,3,4,1,3,0,3,0,0,1
20,0,2,0,4,0,4,0,0,4,3,0,2,1,0,1,0,0,4
21,0,1,4,1,4,4,3,3,3,2,2,3,0,4,1,0,4,4
22,3,1,4,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0
23,4,1,2,3,0,4,0,0,0,3,1,1,2,0,4,1,1,4
24,4,4,0,0,2,4,0,0,0,4,1,4,0,4,1,0,3,1
25,3,2,4,0,1,0,0,0,0,1,3,2,4,4,4,4,0,0
26,3,3,4,4,0,1,0,0,1,2,1,1,2,0,3,4,0,0
27,2,0,4,1,0,4,0,0,0,2,4,4,1,4,2,0,0,0
28,0,2,4,0,0,0,0,4,0,3,4,3,0,3,0,0,3,0
29,4,2,3,3,0,2,0,0,4,4,4,3,4,1,1,1,3,4
30,4,3,4,1,1,4,0,0,0,2,4,3,3,2,1,4,3,2
31,0,2,2,4,0,1,0,0,2,2,0,4,0,0,4,0,0,0
32,0,1,4,4,2,0,0,4,4,4,3,3,0,1,3,0,2,0
33,0,1,0,0,1,0,0,0,0,2,2,3,4,1,4,0,2,4
34,0,2,4,0,0,4,0,0,0,4,4,3,0,0,4,0,0,1
