CUSTNO,Monetary_교육문화/아동_저가_증감여부_q2_q1,Monetary_교육문화/아동_저가_증감여부_q3_q2,Monetary_교육문화/아동_저가_증감여부_q4_q3,Monetary_교육문화/아동_저가_증감여부_q5_q4,Monetary_교육문화/아동_저가_증감여부_q6_q5,Monetary_교육문화/아동_저가_증감여부_q7_q6,Monetary_교육문화/아동_저가_증감여부_q8_q7,Monetary_교육문화/아동_저가_q2_q1_로그변환,Monetary_교육문화/아동_저가_q3_q2_로그변환,Monetary_교육문화/아동_저가_q4_q3_로그변환,Monetary_교육문화/아동_저가_q5_q4_로그변환,Monetary_교육문화/아동_저가_q6_q5_로그변환,Monetary_교육문화/아동_저가_q7_q6_로그변환,Monetary_교육문화/아동_저가_q8_q7_로그변환
1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,11.188759892827386,-11.188759892827386,0.0
6,0,0,0,0,0,4,3,0.0,0.0,0.0,0.0,0.0,7.140814081874343,6.3791999652308675
7,4,3,3,1,3,1,0,8.712661980256824,6.8728775723247715,7.784122797466266,-9.015228185482544,4.980441981168725,-7.217737552910285,0.0
8,0,4,1,0,0,0,0,0.0,9.910052493892337,-9.910052493892337,0.0,0.0,0.0,0.0
9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4,2,1,4,4,1,0,9.39271262195329,-8.905887888138382,-8.439520822194227,6.843554959825591,9.25090928785571,-9.337047723411402,0.0
14,4,1,0,0,0,0,0,9.945407239591592,-9.945407239591592,0.0,0.0,0.0,0.0,0.0
15,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,7.648263725061719,-7.648263725061719,0.0
16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0,0,4,1,0,0,0.0,0.0,0.0,10.332949143829103,-10.332949143829103,0.0,0.0
19,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,3,1,3,2,4,1,4,9.54871909131986,-9.898725376979382,8.105355004864371,-8.134697398928033,10.257393201895331,-10.286702981911965,8.717380979073916
22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,0,4,1,0,0,0,0.0,0.0,11.146546515875368,-11.146546515875368,0.0,0.0,0.0
24,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,4,1,0,0,0,0,0,7.291793133694641,-7.291793133694641,0.0,0.0,0.0,0.0,0.0
29,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,4,1,0,0,0,0,0,7.30596817560335,-7.30596817560335,0.0,0.0,0.0,0.0,0.0
33,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,4,1,0,0,0,0,0,8.90068601311032,-8.90068601311032,0.0,0.0,0.0,0.0,0.0
37,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,4,3,3,2,4,2,1,8.523454248740002,9.00094687705864,8.967342132852576,-8.38323316410472,11.00035307699263,-10.80950320829779,-10.035854145991447
39,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,4,1,2,4,2,3,2,8.315860748686982,-7.9089847071565735,-4.623481516073803,8.06625538125156,-7.849511008129673,6.37152545303704,-6.432037957242017
43,0,0,0,4,1,0,4,0.0,0.0,0.0,7.10567312340223,-7.10567312340223,0.0,7.2533109063520715
44,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,0,4,1,0,0,0,0.0,0.0,7.8369456686205625,-7.8369456686205625,0.0,0.0,0.0
46,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2,1,4,1,1,4,3,-8.637166406743477,-9.480444536591643,9.34497991983582,-9.084567960372958,-7.872488659541261,9.203815505395564,-6.530010643850325
48,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,8.089409033753734,-8.089409033753734
49,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2,1,0,4,2,3,2,-8.155786569860053,-9.410027641421083,0.0,9.3959149624168,-7.384916186293663,8.219382363016807,-9.205646771286407
51,4,3,1,1,1,0,0,10.196808976012564,10.760125633307746,-11.253002889701468,-8.666367296268884,-7.313158644362021,0.0,0.0
52,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0,0,4,1,0,0,0,0.0,0.0,7.574699859119351,-7.574699859119351,0.0,0.0,0.0
58,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1,3,1,0,0,4,4,-11.532804756260193,9.260908064436324,-9.665146875406233,0.0,0.0,10.191699047344464,10.934541956109419
61,0,0,0,4,1,0,0,0.0,0.0,0.0,7.281431452520361,-7.281431452520361,0.0,0.0
62,1,0,0,0,0,0,0,-8.308302119480816,0.0,0.0,0.0,0.0,0.0,0.0
63,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1,0,0,4,1,0,0,-7.430867598626696,0.0,0.0,8.506616329685428,-8.506616329685428,0.0,0.0
65,0,4,1,0,0,4,1,0.0,8.05662943657829,-8.05662943657829,0.0,0.0,7.791022742460122,-7.791022742460122
