CUSTNO,Monetary_식품/생활_고가_증감여부_q2_q1,Monetary_식품/생활_고가_증감여부_q3_q2,Monetary_식품/생활_고가_증감여부_q4_q3,Monetary_식품/생활_고가_증감여부_q5_q4,Monetary_식품/생활_고가_증감여부_q6_q5,Monetary_식품/생활_고가_증감여부_q7_q6,Monetary_식품/생활_고가_증감여부_q8_q7,Monetary_식품/생활_고가_q2_q1_로그변환,Monetary_식품/생활_고가_q3_q2_로그변환,Monetary_식품/생활_고가_q4_q3_로그변환,Monetary_식품/생활_고가_q5_q4_로그변환,Monetary_식품/생활_고가_q6_q5_로그변환,Monetary_식품/생활_고가_q7_q6_로그변환,Monetary_식품/생활_고가_q8_q7_로그변환
1,4,1,4,2,3,1,4,14.468318391811936,-14.795038891549847,12.497420611256691,-12.265413721385166,11.841037328627133,-12.60743302772109,11.942764994765582
2,3,1,4,3,1,4,2,12.649819861460111,-13.401755150584947,12.385654718816014,11.707099073728214,-12.812404768900997,12.517541113101505,-11.613944771506295
3,3,2,4,1,1,4,1,9.030653858276878,-8.467603935073734,10.24350957841703,-10.75346754252632,-8.535912055121575,11.312193239283928,-11.312193239283928
4,4,1,2,4,4,1,4,11.13625850073282,-10.899718235186425,-9.48585805903092,10.5652150380616,11.358358952089212,-11.3484480482735,11.22530468529183
6,2,3,2,3,2,4,2,-8.910477164882623,12.252766959136194,-12.194640390138227,11.278399176704974,-12.221275076038298,13.214145946314456,-12.664884717048327
7,2,2,3,3,4,1,3,-9.625149076335012,-8.79896799692007,11.508053784443447,11.248784727577071,14.426223588868806,-14.369586828129682,10.34439100765321
8,3,2,4,2,3,2,1,12.184495529061504,-12.869446471079943,14.269303105246644,-13.650859657522119,13.158106587607985,11.227274268865049,-14.456164552109072
9,3,1,4,1,4,4,2,10.985649538660942,-11.520903117201698,14.031084696133295,-14.045084263463854,11.930644058332957,13.083108542569324,-12.68665908980893
10,3,2,3,2,2,3,3,10.893472196994876,-10.523021044819355,11.721972872253144,-11.832365895340365,-11.333535626585345,11.109450696233315,10.700323663844582
11,3,1,4,1,2,1,4,12.804122744646332,-13.270339396073767,14.276284865995208,-14.09936687824969,-11.610680595439492,-12.634119454930492,14.054016122192277
12,1,4,4,1,4,2,1,-11.963502415578835,9.481757951407593,11.918673891167646,-11.97980979353774,12.113975104800769,-10.624235636328976,-11.884094912927557
13,3,1,4,1,3,1,3,11.908422279573331,-12.246375244220772,12.320314376998827,-12.100670359829687,11.087853297817203,-11.758419073068373,11.205455034908168
14,4,2,3,2,3,2,1,12.558219200914598,-12.44992194378969,11.64537717475273,-12.003421059555622,11.497953612185748,-11.875795421665178,-11.693317751732042
15,1,3,4,2,2,4,2,-12.053490895290828,10.620542414913228,11.593336359243262,-11.128157383493255,-11.023746156529503,12.626393776119233,-12.222711597703524
16,2,3,3,3,2,2,2,-10.740144381724273,12.04454862888656,12.679585001539815,11.537832601321993,-12.803755384168339,-11.00872428685046,-10.492893573499757
17,1,4,4,1,4,1,3,-16.7598699079108,11.564551862604308,13.70022356891274,-13.60767586622026,16.24107980760307,-15.728679804133613,14.442536175381132
18,3,3,2,2,4,1,4,10.91608561271553,9.014812975849495,-11.859045478197746,-9.714091400047698,12.119067323897323,-12.346618396868905,12.3488649441411
