CUSTNO,Monetary_의류/이미용_고가_증감여부_q2_q1,Monetary_의류/이미용_고가_증감여부_q3_q2,Monetary_의류/이미용_고가_증감여부_q4_q3,Monetary_의류/이미용_고가_증감여부_q5_q4,Monetary_의류/이미용_고가_증감여부_q6_q5,Monetary_의류/이미용_고가_증감여부_q7_q6,Monetary_의류/이미용_고가_증감여부_q8_q7,Monetary_의류/이미용_고가_q2_q1_로그변환,Monetary_의류/이미용_고가_q3_q2_로그변환,Monetary_의류/이미용_고가_q4_q3_로그변환,Monetary_의류/이미용_고가_q5_q4_로그변환,Monetary_의류/이미용_고가_q6_q5_로그변환,Monetary_의류/이미용_고가_q7_q6_로그변환,Monetary_의류/이미용_고가_q8_q7_로그변환
1,2,3,1,3,3,1,1,-13.766766244107703,14.262776799105078,-14.62613214206322,13.265156878005138,13.402573088863504,-14.183486635575099,-13.026435085458234
2,2,3,2,4,2,2,3,-15.144020370931445,13.950225519312564,-14.53343970743602,15.706045404765149,-15.406454070208639,-13.242793147757604,14.353659399637001
3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,2,2,2,4,1,1,13.526419701630942,-12.82046342781311,-12.223093601889735,-11.766182842935192,12.274065734109527,-12.464651692032676,-10.476092361670277
6,2,4,2,2,3,2,3,-11.020599345502422,13.296557500031245,-12.170911862712726,-11.010903333304409,12.685426263274326,-13.121550983513188,12.44979291062407
7,2,4,3,2,4,1,1,-13.336909799131282,14.422927752455722,14.190760749610515,-14.482399698091859,15.873962950060468,-16.00365024520968,-13.486686433941276
8,2,3,2,2,3,3,2,-13.263161755468792,13.94707915035856,-13.797490761202983,-13.406786620589168,12.656437307416287,12.557345245373801,-13.05932767241668
9,4,3,1,3,1,3,3,15.402169863834269,13.966434296295333,-15.584482783954563,15.005603377319533,-15.12204208699261,12.52538074772114,14.493546124180195
10,1,4,1,4,3,2,1,-12.500028818398212,12.592323071368986,-12.592323071368986,11.691908287794341,11.2064496290085,-11.20954969819809,-11.689995670982972
11,2,2,2,2,3,2,3,11.081699744282439,-14.022249684080583,-14.002065685434417,-11.292170013197463,14.245820784220713,-13.662696089819095,14.613261737496648
12,0,4,1,0,0,4,1,0.0,11.628752574829042,-11.628752574829042,0.0,0.0,14.374664715347675,-14.023723924581251
13,4,2,2,1,4,1,0,12.2168688911307,-10.796140339953242,-9.844465219630127,-12.173982006525229,12.918030807440852,-12.968281263627048,0.0
14,4,2,1,3,4,1,3,13.553947698966022,-13.011159286979732,-12.410721117649077,10.811414611983519,12.274365271339288,-12.379336132006573,11.270645781305676
15,4,2,1,3,4,1,2,14.910000421369935,-14.50934708003972,-14.332941443827545,9.535251529068324,15.162511513096389,-15.134618049219894,-11.398466538341761
16,0,0,4,2,2,4,1,0.0,0.0,12.13949744764459,-11.466456628309272,-10.67483374688877,11.352834749698495,-11.802704459938475
