CUSTNO,Monetary_침구/주방_고가_증감여부_q2_q1,Monetary_침구/주방_고가_증감여부_q3_q2,Monetary_침구/주방_고가_증감여부_q4_q3,Monetary_침구/주방_고가_증감여부_q5_q4,Monetary_침구/주방_고가_증감여부_q6_q5,Monetary_침구/주방_고가_증감여부_q7_q6,Monetary_침구/주방_고가_증감여부_q8_q7,Monetary_침구/주방_고가_q2_q1_로그변환,Monetary_침구/주방_고가_q3_q2_로그변환,Monetary_침구/주방_고가_q4_q3_로그변환,Monetary_침구/주방_고가_q5_q4_로그변환,Monetary_침구/주방_고가_q6_q5_로그변환,Monetary_침구/주방_고가_q7_q6_로그변환,Monetary_침구/주방_고가_q8_q7_로그변환
1,1,4,3,1,2,3,1,-12.248045533605307,14.27741436265707,15.377617436903005,-15.585626047858538,-10.385312087317228,14.231604036644685,-14.429530683918877
2,2,3,1,4,1,3,1,-11.776979546095346,12.572754302055353,-14.141324440145288,14.63356798154914,-14.564019466530096,13.440059555768437,-13.679993644043796
3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,4,3,1,1,4,1,0.0,11.602198945399243,11.957482895103126,-12.3513373198431,-10.43555061666024,11.074572558959732,-11.074572558959732
6,4,1,4,4,1,0,0,11.477523464121532,-11.477523464121532,11.366780327125227,13.85314429081362,-13.933074083703175,0.0,0.0
7,4,1,4,2,3,2,1,11.491707953192899,-11.491707953192899,10.825191363212735,-9.764089375539692,10.954540979066186,-8.75382972148936,-11.335628630087571
8,4,2,4,1,1,0,4,10.429080159406436,-10.213505828877954,15.033300453227538,-15.015615079054792,-11.094484762183662,0.0,10.711309367396984
9,1,0,4,4,2,3,1,-15.586406290493864,0.0,13.874971908080639,16.89657482271716,-16.58487861946186,14.432731201136889,-15.984341540576475
10,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,11.180275526926021,-11.180275526926021,0.0
11,3,3,1,1,0,0,4,13.708276902955234,14.410681707631246,-15.032267683144864,-9.366989114327655,0.0,0.0,11.78926739667871
12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,12.737458344673254,-12.737458344673254
14,0,0,0,4,2,1,0,0.0,0.0,0.0,11.601908749581415,-11.204437522632341,-10.487142292858781,0.0
15,0,0,4,1,0,4,3,0.0,0.0,9.76743846538374,-9.76743846538374,0.0,11.581996424733832,11.737482173652424
16,0,0,0,4,2,1,0,0.0,0.0,0.0,11.92804442364868,-11.275108910005779,-11.19301437616432,0.0
17,0,4,3,2,3,2,3,0.0,11.415871240473715,10.703863099190785,-10.9336065606774,9.848352152118773,-10.44039749051774,12.372708504057035
18,3,1,0,0,0,0,0,12.812896000751389,-13.738384026382642,0.0,0.0,0.0,0.0,0.0
19,0,0,0,4,1,4,4,0.0,0.0,0.0,10.222279021185392,-10.222279021185392,11.401063511998846,13.642188407484255
20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
