,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가
1,71.0,22.555555555555557,24.0,50.0,,77.0,,,,10.36,19.846153846153847,3.736111111111111,29.22222222222222,272.0,8.966666666666667,21.25,60.0,19.125
2,43.666666666666664,9.875,19.0,29.666666666666668,64.0,,,,23.5,9.26923076923077,205.0,3.8970588235294117,9.153846153846153,7.5,21.9,34.5,,52.0
3,,11.5,,,,,,,,25.333333333333332,2.1507936507936507,5.3,,,,,,
4,,18.928571428571427,272.0,,,76.5,,272.0,,21.2,11.090909090909092,3.1294117647058823,52.0,54.0,18.928571428571427,59.0,272.0,32.0
6,272.0,18.923076923076923,272.0,,,,,,,16.6,3.090909090909091,1.9219858156028369,14.333333333333334,13.0625,16.133333333333333,53.0,15.375,24.5
7,11.666666666666666,47.6,272.0,143.0,,60.0,,91.5,,14.105263157894736,20.4,3.292682926829268,18.76923076923077,272.0,14.0,47.0,65.0,35.0
8,93.0,13.2,115.0,46.5,,61.0,,,,3.448717948717949,272.0,2.26890756302521,16.25,,20.833333333333332,41.5,,272.0
9,25.571428571428573,24.88888888888889,40.333333333333336,20.333333333333332,,18.25,,,,35.142857142857146,27.714285714285715,6.090909090909091,7.5625,,5.0,16.0,,
10,,47.0,35.0,,40.0,,,,,10.25,1.769736842105263,1.5027932960893855,26.8,52.5,32.333333333333336,1.0,30.875,272.0
11,200.0,91.0,1.0,272.0,,48.25,,,33.833333333333336,15.625,38.2,7.27027027027027,14.470588235294118,,24.666666666666668,272.0,,272.0
12,,218.0,,,272.0,,,,,36.0,4.140625,4.763636363636364,,113.0,34.0,,86.0,181.0
13,,19.09090909090909,85.0,,,272.0,,36.666666666666664,,7.393939393939394,2.168,1.6728395061728396,50.5,16.416666666666668,84.5,,38.166666666666664,120.0
14,62.75,19.46153846153846,34.0,23.22222222222222,13.0,66.5,,,,11.130434782608695,6.357142857142857,2.509259259259259,41.666666666666664,272.0,15.529411764705882,159.0,82.66666666666667,272.0
15,,26.0,27.5,,,46.25,,272.0,,15.0,3.8,2.0930232558139537,34.333333333333336,29.285714285714285,13.2,272.0,272.0,272.0
16,272.0,28.5,,,,,272.0,,17.0,5.018518518518518,17.0,3.7083333333333335,44.75,272.0,167.0,130.0,,272.0
17,272.0,14.916666666666666,19.0,,,,,,,11.666666666666666,9.16,4.888888888888889,25.5,,43.8,48.25,272.0,3.0
18,,21.444444444444443,52.0,,272.0,,,272.0,,13.625,14.0,7.285714285714286,17.1,,,,,48.0
