CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,전체_clust_id
1,0,0,-2,1,1,-2,5
2,2,-3,3,-3,3,-2,1
3,-1,-1,0,1,0,-1,4
4,-2,-1,2,0,0,-1,4
6,0,-1,1,-1,1,-1,1
7,3,0,-2,1,-2,3,5
8,1,0,-1,1,0,0,5
9,-1,0,2,-3,1,0,1
10,-1,0,1,-1,0,0,3
11,1,-3,0,3,-3,3,0
12,3,-2,0,2,0,-3,0
13,-1,1,-1,1,-1,0,2
14,-1,-1,3,-2,-1,1,1
15,-2,0,3,0,-3,1,4
16,2,-1,0,-2,1,1,1
17,-1,3,-3,3,-2,1,2
18,1,-1,3,-2,1,-1,1
19,-1,3,-3,3,-2,0,2
20,-1,0,2,-2,0,1,1
21,1,-1,1,0,-1,0,0
22,-3,3,-1,-2,0,3,3
23,-1,2,-3,1,1,-1,2
24,0,-1,0,0,1,-1,5
25,-1,-2,3,-2,-1,3,1
26,-2,3,-3,0,2,0,3
27,0,1,2,-2,2,-3,1
28,-3,3,-3,3,-1,-2,2
29,-1,0,1,-1,0,1,3
30,0,0,-1,2,-2,1,2
31,0,0,-1,0,1,-1,5
32,-1,-1,0,1,0,0,4
33,-1,0,1,0,0,-1,4
34,-3,3,-3,2,-1,0,2
35,0,-2,3,-1,-1,1,1
36,-3,2,-2,3,-2,-1,2
37,0,-1,-2,2,-2,2,2
38,1,-1,0,0,1,0,5
39,-1,3,-3,3,-3,1,2
40,-3,1,2,-3,3,-3,3
41,-2,3,-1,-2,1,1,3
42,-1,0,1,-1,0,1,3
43,-1,3,-3,2,-1,0,2
44,2,1,-3,0,3,0,5
45,3,0,-2,2,-3,3,0
46,0,3,0,-3,2,1,3
47,0,-2,2,-1,0,1,1
48,1,-3,3,-2,0,0,1
49,-1,-1,3,-3,3,-3,1
50,-1,0,0,0,1,0,3
51,0,2,-3,1,0,2,2
52,0,1,0,0,-2,1,4
53,-3,3,-3,2,-2,2,2
54,-1,1,-1,1,-1,1,2
55,2,-2,0,0,1,-2,0
56,-1,3,0,-2,-1,3,3
57,-1,1,1,-3,2,0,3
58,0,1,-1,0,1,1,5
59,-2,1,0,2,-2,1,2
60,-3,2,-1,2,-1,0,2
61,-1,2,-1,1,0,-1,2
62,-2,0,0,0,1,-1,3
63,-2,1,0,0,0,-2,3
64,0,1,-2,1,-1,3,2
65,1,-3,3,-2,-1,2,1
66,0,1,-1,1,-1,1,2
67,0,0,-1,0,1,0,5
68,1,0,1,-2,2,0,1
69,0,-1,0,1,0,0,4
70,3,-3,1,0,1,0,0
71,-1,0,1,-1,1,-1,3
72,2,-2,0,0,1,0,0
73,1,-2,3,-3,2,-1,1
74,-2,-1,2,-2,0,3,1
75,-1,1,-1,0,1,0,3
76,-1,1,-2,3,-2,1,2
77,-1,0,0,1,-1,2,4
78,1,-1,1,1,-3,1,0
79,1,0,-2,3,-1,-1,2
80,1,0,-1,1,-2,3,4
81,3,-3,2,1,-1,-2,0
82,2,-3,2,0,1,-2,1
83,0,-3,3,-1,1,-3,1
84,2,-2,3,-3,0,3,1
85,-1,2,-2,1,-1,1,2
86,-2,1,-1,0,1,0,3
87,0,3,-1,-2,3,-3,3
88,-2,1,0,-2,2,1,3
89,-2,0,1,-1,0,1,3
90,0,1,-3,2,1,-2,2
91,0,-1,1,-1,1,-1,1
92,1,0,-2,2,0,-1,5
93,2,-3,3,-1,-1,0,1
94,0,-1,-2,1,2,0,5
95,-2,3,-2,0,1,-1,3
96,-3,0,2,-2,3,-2,3
97,3,-3,3,-2,0,-1,1
98,1,-1,1,-2,2,-1,1
99,2,-3,1,2,-3,2,0
100,-2,1,-2,0,3,-3,3
101,2,0,0,-1,1,0,5
102,1,1,-2,3,-2,1,2
103,2,-3,2,-1,1,-1,1
104,0,0,-1,1,0,-1,5
105,0,-1,0,0,2,-2,5
106,-1,3,-3,3,-2,1,2
107,0,0,-1,0,-1,3,4
108,2,0,-1,2,-2,1,0
109,0,0,-1,2,0,0,5
110,1,-2,0,0,1,-2,0
111,2,-3,2,0,-1,1,0
112,2,-1,1,0,1,-1,1
113,0,2,-2,1,-2,2,2
114,-1,-2,2,0,-2,2,4
115,-1,-1,2,-2,-1,3,1
116,-1,0,1,0,-2,2,4
117,3,-3,0,2,-1,1,0
118,0,1,-3,1,1,-1,5
119,-3,2,0,-1,1,-2,3
120,-1,0,1,-1,1,-1,3
121,-1,3,0,-3,3,-1,3
122,-1,0,2,-1,-1,0,4
123,2,0,0,-1,0,1,5
124,2,-1,-1,3,-3,3,0
125,1,0,1,1,-3,3,4
126,2,1,-2,-1,0,3,5
127,0,-2,3,-3,2,1,1
128,2,-3,0,3,-1,-2,0
129,-2,1,-1,1,0,-1,2
130,0,0,1,-1,-1,2,4
131,-2,-1,2,0,0,-1,4
132,1,0,0,-2,0,3,1
133,0,-2,2,-1,1,0,1
134,1,0,2,-1,-1,0,1
135,-2,-1,1,1,0,-2,4
136,0,-2,-1,3,-3,3,0
137,-1,0,2,-2,2,-1,1
138,1,0,-1,1,-2,3,4
139,0,-1,-1,2,0,-1,5
140,3,-2,0,1,1,-3,0
141,-1,1,0,0,0,-1,3
143,1,0,-1,2,-2,0,4
144,0,-1,0,-1,3,-3,1
145,1,-1,-2,2,1,-2,5
146,0,1,1,-3,0,2,3
147,0,1,0,-2,0,3,3
148,1,-1,0,1,-1,1,0
149,2,-2,-1,3,-3,3,0
150,-3,3,-3,3,-3,0,2
151,-3,1,0,1,1,-3,3
152,2,-1,1,0,0,-2,0
153,1,1,-3,2,-2,2,2
154,0,1,0,2,0,-3,4
155,1,-3,2,-1,2,-3,1
156,1,-1,2,-2,-1,3,1
157,2,-2,0,1,0,0,0
158,1,-1,-2,3,-3,3,0
159,-3,3,0,-2,-1,3,3
160,0,0,1,0,-1,1,4
161,3,0,-3,1,-1,3,5
162,-3,3,-1,-1,0,1,3
163,-1,0,0,1,1,-3,4
164,1,1,-1,2,0,-3,5
165,-1,-1,1,-2,2,1,1
166,-2,1,-2,2,0,0,2
167,0,2,-3,2,1,-3,2
168,-1,1,-1,2,-3,3,2
169,1,-1,3,-1,1,-3,1
170,0,-1,1,0,0,0,4
171,2,-1,-2,3,0,-3,5
172,-2,1,-1,1,0,-1,2
173,0,-1,0,2,-3,2,4
175,1,-1,1,0,-1,0,0
176,1,-1,0,1,-2,2,0
177,-2,2,0,-1,0,1,3
178,1,2,-2,0,1,0,5
179,1,-1,1,-1,0,1,1
180,-2,3,0,-3,1,2,3
181,1,1,-3,3,-1,0,2
182,0,-1,0,2,-2,0,4
183,1,0,0,-1,0,1,5
184,-3,3,-3,3,-3,3,2
185,0,-1,-1,0,0,-1,5
186,0,1,2,-2,0,0,3
187,1,1,-1,1,0,-1,5
