CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,가구인테리어_잡화_저가_clust_id
1,-1,3,-3,1,-1,3,0
2,1,-1,1,0,0,-2,1
3,1,-3,0,3,-1,-1,3
4,1,-1,0,2,-2,1,3
6,-3,2,1,-1,-2,2,1
7,-2,0,2,-2,0,2,5
8,-1,2,0,0,-1,1,1
9,-1,3,-3,3,-3,3,0
10,3,-1,1,-2,1,-2,2
11,-2,-1,0,3,-3,1,0
12,-1,4,-3,3,-3,0,0
13,-1,3,-2,2,-2,-1,0
14,-1,0,2,-3,2,1,5
15,0,1,-1,2,0,-3,0
16,-3,3,0,-2,1,0,4
17,3,0,-3,3,-1,0,3
18,-2,-1,0,1,2,-2,1
19,2,-2,1,2,-2,0,3
20,1,-1,2,-2,0,1,2
21,-1,0,4,-2,-1,3,5
22,3,-3,-1,0,0,0,2
23,3,-3,2,0,-1,0,2
24,-3,3,-3,0,3,-3,4
25,1,-1,1,0,-1,2,1
26,-1,-1,2,0,-1,0,1
27,0,4,-3,-1,0,0,4
28,1,-2,0,3,-3,-1,3
29,0,1,0,-2,3,-1,4
30,-1,1,-1,1,1,-2,4
31,1,0,-1,0,1,-1,1
32,3,-3,3,-3,3,-3,2
33,2,0,-2,3,-3,-1,3
34,1,-1,1,0,-2,1,1
35,-1,0,0,2,-2,0,1
36,-2,1,-1,3,-2,0,0
37,2,-1,0,0,0,-1,2
38,-2,0,0,-1,3,-1,4
39,-1,3,-3,3,-2,1,0
40,2,-1,-1,0,1,-2,2
41,0,3,-3,-1,4,-2,4
42,3,-3,3,-3,3,-1,2
43,0,-1,0,0,4,-2,4
44,4,-1,0,-2,1,2,2
45,-1,-1,-1,2,-2,3,3
46,-2,3,-3,3,-1,-2,0
47,2,-3,3,-3,-1,4,2
48,2,-3,2,-1,1,-1,2
49,-2,2,0,-2,1,2,4
50,-1,0,1,-1,0,1,1
51,0,0,2,-2,-1,3,1
52,-1,-1,1,-1,1,-1,1
53,3,0,-3,-1,0,4,2
54,1,-1,0,1,1,-2,1
55,1,-2,2,-2,3,-3,2
56,-1,0,3,-2,-1,3,5
57,-1,1,-1,0,0,2,4
58,-1,1,1,-3,3,-1,5
59,-1,3,-3,-1,4,-3,4
60,3,-1,-2,3,-2,0,3
61,-2,3,-3,0,3,-1,4
62,2,-3,1,1,1,-3,2
63,3,-2,1,0,-1,1,2
64,-3,-1,0,0,0,4,1
65,-1,3,-1,1,-3,3,0
66,-2,0,3,-3,3,-3,5
67,-1,-2,-1,0,0,0,1
68,-2,-1,-1,4,-3,3,0
69,0,0,0,2,-2,0,3
70,0,-3,0,0,3,-3,2
71,-1,0,0,0,4,-3,4
72,-1,0,4,-1,-2,3,1
73,3,-2,1,0,-1,-1,2
74,-3,3,-1,-2,0,3,4
75,-3,1,2,-2,1,-1,5
76,3,-1,-2,3,-2,2,3
77,0,-2,3,-1,-2,3,1
78,2,1,0,-2,-1,3,1
79,3,0,-3,1,2,-3,3
80,3,-1,-1,-1,3,-1,2
81,-3,0,3,-1,-2,2,1
82,-1,-1,1,2,-3,1,1
83,3,-1,-2,3,0,-2,3
84,0,-2,3,-2,1,-2,5
85,1,1,-3,2,-1,0,0
86,-2,0,2,-2,0,1,5
87,4,-1,-2,3,-3,0,3
88,-3,2,0,-2,0,3,4
89,-1,-1,0,-1,-1,0,1
90,3,-1,-2,3,-3,3,3
91,-1,-1,1,0,-1,0,1
92,-1,0,1,0,0,0,1
93,1,-1,3,-3,3,-3,5
94,3,-2,0,1,0,-2,2
95,0,0,2,-3,3,-3,5
96,-1,0,0,-1,3,-2,4
97,1,0,2,-3,2,0,5
98,3,-3,0,-1,0,0,2
99,-2,1,-2,3,-3,0,0
100,2,1,-3,0,3,-3,4
101,0,-1,4,-3,-1,4,5
102,3,-2,-1,3,-3,2,3
103,3,-3,3,-3,-1,0,2
104,-1,-1,3,-2,1,1,5
105,1,-2,-1,4,-3,-1,3
106,-1,-1,2,-1,1,-1,5
107,1,0,-1,0,-1,0,1
108,0,2,-3,2,-1,1,0
109,3,-3,-1,4,-2,1,3
110,1,-1,0,1,-2,0,3
111,0,-3,-1,4,-2,-1,3
112,3,-3,3,-1,0,-2,2
113,-2,1,-1,1,0,0,0
114,-2,3,-2,-1,1,0,4
115,1,-1,0,2,-3,3,3
116,-2,-1,2,1,-3,3,1
117,3,-3,3,-3,0,1,2
118,-3,3,-1,-2,0,3,4
119,1,0,-1,0,0,-1,1
120,-1,-1,0,1,-1,1,1
121,4,0,-2,-1,3,-3,2
122,-3,1,1,-2,2,0,4
123,3,-3,0,-1,0,0,2
124,0,-1,0,2,-2,1,3
125,-1,2,-3,2,-2,3,0
126,0,-2,-1,4,-2,2,3
127,-1,3,0,-3,3,0,4
128,-2,2,-2,-1,0,0,4
129,-3,-1,4,-1,-1,-1,5
130,0,2,-2,1,-1,0,0
131,0,-2,2,0,-1,0,1
132,2,-3,0,0,-1,4,2
133,3,-3,3,-3,2,-2,2
134,-1,4,-2,2,-3,2,0
135,4,0,-1,-1,1,-2,2
136,4,0,-3,0,-1,4,3
137,-2,1,0,1,-2,3,0
138,-1,4,-2,-1,0,3,4
139,0,0,-2,3,-3,1,3
140,-2,0,3,-2,2,-1,5
141,1,-1,1,-1,1,-1,2
143,3,-1,-2,0,3,-3,2
144,-2,-1,1,0,2,-3,1
145,-3,3,0,-3,3,-2,4
146,-3,3,-3,0,3,-1,4
147,1,-1,-1,2,1,-3,3
148,0,4,-3,-1,0,0,4
149,-1,-2,3,0,-2,0,1
150,0,3,-3,3,-1,-2,0
151,-1,3,-3,3,-2,-1,0
152,1,2,0,-3,2,-1,4
153,2,0,-1,0,1,1,2
154,-1,0,0,4,-3,-1,0
155,2,0,-1,1,-1,0,3
156,0,1,2,-3,1,1,5
157,3,-3,2,-1,-1,3,2
158,-1,3,-3,3,0,-1,0
159,-1,0,4,0,-3,2,1
160,1,-1,1,-2,2,0,2
161,2,1,-2,-1,2,1,4
162,-1,0,1,0,-2,2,1
163,4,-3,2,-2,3,-3,2
164,-3,-1,0,0,0,4,1
165,-1,4,-3,1,-1,-1,0
166,-1,1,-1,2,-1,-1,0
167,2,0,1,-3,3,-2,2
168,-1,3,-1,1,-2,0,0
169,-2,1,-2,3,-3,3,0
170,-2,-1,-1,0,4,-3,4
171,-2,-1,2,0,-1,1,1
172,-3,1,1,-1,1,0,4
173,0,-3,3,-2,2,-3,5
175,2,-1,0,2,-3,1,3
176,-1,-1,0,4,-3,0,3
177,-1,0,-1,1,-1,1,1
178,1,2,-3,-1,0,0,4
179,2,-1,1,0,-1,-1,2
180,1,-2,3,-2,1,0,5
181,1,0,0,-2,0,3,1
182,0,-1,0,1,0,-1,1
183,3,-2,1,-2,0,3,2
184,-2,1,0,0,1,1,4
185,-3,-1,4,-2,2,-2,5
186,-2,0,3,0,-1,-1,1
187,-1,2,-2,0,3,-2,4
188,0,-3,3,-3,3,-2,5
189,-3,2,-1,0,1,1,4
190,-1,0,1,0,0,0,1
191,1,-2,2,0,-1,-1,1
192,2,-2,0,2,-3,3,3
193,-2,-1,1,-1,3,-2,5
194,-1,3,-3,0,3,-3,4
195,1,-2,3,0,-2,1,1
196,0,0,2,-3,2,-1,5
197,-1,2,-2,1,-2,2,0
198,1,0,0,-2,3,0,2
199,1,2,-3,3,-2,2,0
200,3,-3,2,-1,1,-1,2
201,-3,2,0,-1,0,1,4
202,3,-1,0,-1,-1,3,2
203,-1,-2,0,3,-1,-2,3
204,3,-3,0,3,-3,3,3
205,3,-3,3,-3,3,-3,2
206,-1,1,0,-1,2,0,4
207,3,-1,-2,-1,0,0,2
208,-2,1,-1,-1,-1,0,4
209,4,-1,-1,0,2,-2,2
210,-3,2,-1,1,-2,0,0
211,1,0,-2,3,0,-1,3
212,3,-3,0,0,3,-3,2
213,1,-1,1,0,-1,1,1
214,1,0,2,-2,1,0,5
215,-3,3,0,-2,2,-2,4
216,3,-3,3,-1,1,-2,2
217,0,1,-1,1,-2,0,0
218,0,1,0,-1,-1,3,1
219,-2,2,-1,-1,3,-3,4
220,-3,-1,4,0,-1,-2,1
221,3,0,-3,3,-3,3,3
222,3,0,-3,3,-3,3,3
223,-2,0,1,0,-1,2,1
224,3,-3,0,-1,0,4,2
225,-2,1,2,-3,3,-2,5
226,4,-3,-1,4,-3,3,3
227,-2,1,-2,1,2,-3,4
228,3,-2,-1,3,0,-3,3
229,1,-3,3,-1,-1,0,2
230,1,-1,2,-2,1,0,5
231,0,0,4,-3,-1,4,5
232,-3,3,-3,0,3,0,4
233,-3,-1,0,0,0,0,1
234,0,1,0,-2,1,2,4
235,0,-3,1,1,-2,2,1
236,0,-2,-1,4,-1,-1,3
237,0,-1,-1,3,-3,2,3
238,0,-2,2,-3,3,-3,5
239,-3,2,0,0,-1,-1,0
240,0,1,-2,3,0,-3,0
241,3,-2,-1,3,-2,-1,3
242,0,0,-2,3,-2,-1,3
243,-3,-1,0,0,4,-3,4
245,-1,0,1,-1,1,-1,1
246,-1,0,3,0,-3,3,1
247,2,-2,0,0,1,-2,2
248,-2,1,0,1,-2,3,0
249,0,3,0,-2,-1,1,4
250,-2,-1,3,-3,1,-1,5
251,-1,-1,0,1,-2,3,1
252,0,-3,3,-1,-2,3,1
253,2,-3,3,-1,0,1,2
254,0,1,-1,-1,-1,3,1
255,-2,0,1,0,0,-2,1
256,-1,-2,3,0,-3,2,1
257,1,2,-2,2,-3,3,0
258,0,-2,3,-3,3,-1,5
259,1,-2,-1,3,-3,0,3
260,-1,-1,1,-2,-1,4,1
261,-3,2,-1,1,-2,2,0
262,-1,-1,1,-2,2,0,5
263,4,-3,-1,4,-3,-1,3
264,-1,3,0,-3,0,-1,4
265,0,1,-2,2,-2,1,0
266,3,-3,1,2,-1,-2,3
267,-3,2,-1,1,-1,2,0
268,-2,3,-3,0,3,0,4
269,1,1,-1,-1,1,-1,4
270,3,-2,0,1,-1,-1,3
271,-1,3,-3,2,1,-1,0
272,-3,3,-1,-2,-1,4,4
273,2,-3,1,1,0,-2,2
274,-2,3,-2,2,-3,2,0
275,-1,1,-3,3,-1,-2,0
276,2,-1,1,0,-1,0,2
277,0,1,-3,3,0,-3,0
278,-1,0,0,0,0,0,1
279,2,-3,2,-2,3,-1,2
280,-1,0,-2,3,-3,1,0
281,0,3,0,-2,1,-2,4
282,-1,3,0,-3,0,3,4
283,1,-3,0,3,-1,1,3
284,-1,4,-1,-2,3,-3,4
285,-1,3,-2,0,2,-3,4
286,2,-2,1,-1,0,-1,2
287,-1,0,0,0,4,-3,4
288,-2,-1,-1,4,0,-3,0
289,-1,0,-2,2,-1,0,0
290,-3,2,-2,3,-2,2,0
291,4,-3,0,2,1,-3,2
292,-1,2,-1,-1,-1,3,4
293,-3,0,0,3,-2,2,0
294,4,0,-3,-1,4,-2,2
295,-1,0,-2,3,-1,-1,0
296,1,0,1,1,-2,-1,1
297,-1,-1,2,-3,1,2,5
298,-3,3,-1,1,0,-2,0
299,1,-2,3,-2,2,-2,5
300,-1,-1,2,-2,0,0,5
301,-1,1,-1,-1,3,-2,4
302,2,-1,-2,2,-1,1,3
303,-1,-1,4,0,-3,3,1
304,3,0,-3,0,3,-2,2
305,-2,0,-1,3,-2,-1,0
306,-1,3,-1,0,-2,3,0
307,-2,2,0,-2,3,-3,4
308,2,-2,2,-2,2,1,2
309,3,-3,2,1,-3,3,3
310,-1,-2,3,-1,1,-3,5
311,-1,1,0,1,-1,-1,1
312,-2,2,-1,2,-3,2,0
313,3,0,-3,3,-2,0,3
314,2,0,0,-1,0,1,2
315,-2,0,0,2,0,-2,1
316,-3,0,3,0,-1,-2,1
317,-2,0,1,-1,-1,3,1
318,-3,3,-3,3,-3,2,0
319,3,-3,-1,4,-3,3,3
320,3,-3,2,-2,1,0,2
321,-1,-1,-1,2,-1,2,3
322,-1,3,-3,3,-1,1,0
323,-1,-2,3,-3,3,0,5
324,2,-3,3,-2,1,-2,2
325,-1,-1,3,-2,1,-2,5
326,-1,-1,0,3,-1,0,3
327,2,-2,0,1,-1,1,3
328,0,-1,1,0,0,-2,1
329,1,-2,3,-2,-1,3,2
330,-3,-1,4,-2,1,-2,5
331,-1,-2,3,-3,-1,4,5
332,2,-3,2,0,-1,1,2
333,-2,0,0,1,-2,3,1
334,-1,3,-2,1,-2,3,0
335,-3,0,3,-2,-1,1,5
336,3,-2,1,-1,1,-2,2
337,-1,0,2,-2,1,0,5
338,-1,-1,-1,0,0,4,1
339,3,-3,3,0,-2,-1,2
340,3,-3,3,-2,-1,-1,2
341,-2,1,-1,3,-1,1,0
342,4,-2,1,-1,2,-3,2
343,-1,2,-2,0,1,-2,4
344,2,-1,-2,1,1,-1,3
345,1,0,1,-1,2,-3,2
346,0,-2,1,0,0,-1,1
347,1,-2,0,1,-1,1,3
348,0,-1,2,-1,-2,0,1
349,1,-1,1,-1,1,-1,2
350,0,0,-3,0,3,-1,4
