CUSTNO,사치품_구매횟수 등급,일용품_구매횟수 등급,선매품_구매횟수 등급,사치품_구매액 등급,일용품_구매액 등급,선매품_구매액 등급,전체_구매횟수 등급,전체_구매액 등급
1,2,8,1,3,2,1,1,7
2,1,7,3,1,1,1,1,7
3,11,6,11,11,10,11,10,6
4,2,7,4,4,7,5,6,8
6,1,5,4,3,5,4,4,4
7,1,8,4,1,6,2,2,9
8,3,4,3,4,1,2,2,3
9,1,10,1,1,10,1,1,9
10,10,1,6,5,3,6,5,1
11,2,9,2,1,2,1,1,8
12,11,9,8,11,10,6,10,10
13,11,1,6,11,3,6,5,1
14,1,6,4,2,4,4,3,6
15,1,7,4,2,9,4,4,7
16,5,9,6,5,8,6,8,10
17,2,8,3,2,1,1,1,8
18,1,9,3,1,8,3,1,9
19,2,9,5,2,2,3,3,10
20,3,7,4,4,4,4,4,7
21,10,2,8,4,2,7,4,2
22,2,10,5,1,5,2,1,10
23,1,9,3,1,6,2,2,9
24,5,8,7,5,7,6,8,8
25,1,10,3,2,9,2,3,10
26,1,8,1,1,5,1,1,7
27,1,9,3,1,8,2,2,9
28,11,5,8,11,9,6,9,5
29,1,9,1,1,7,1,1,8
30,1,2,4,1,1,2,1,2
31,11,7,5,11,7,5,7,7
32,10,5,6,5,2,6,5,5
33,10,2,9,10,6,9,8,2
34,4,7,6,4,6,6,6,8
35,3,7,3,2,2,3,3,7
36,5,7,4,5,3,2,3,7
37,1,7,4,1,4,3,2,6
38,5,1,5,10,1,6,4,1
39,1,9,6,1,8,1,1,10
40,1,8,4,2,9,4,4,8
41,3,8,6,4,5,5,5,9
42,10,2,7,10,4,6,6,2
43,11,6,9,11,10,6,10,7
44,1,7,4,1,6,3,1,7
45,1,9,4,1,7,3,1,9
46,1,9,4,1,4,2,1,9
47,3,4,6,3,3,6,5,4
48,1,9,3,2,4,1,1,9
49,1,9,5,1,2,3,1,9
50,4,4,4,4,3,4,4,4
51,5,4,5,5,3,4,5,4
52,2,6,4,3,3,3,3,6
53,1,8,5,1,5,6,2,9
54,5,8,5,5,9,5,8,9
55,11,7,10,11,9,10,10,8
56,1,9,5,1,1,4,1,9
57,10,3,9,10,8,6,8,3
58,1,10,3,3,8,4,4,10
59,2,8,6,2,6,5,4,8
60,11,5,4,11,3,3,4,5
61,3,4,4,4,3,4,4,4
62,2,7,5,3,3,5,5,7
63,4,9,6,5,10,8,10,10
64,11,8,11,11,10,11,10,8
65,4,8,5,4,6,4,5,8
66,3,2,5,4,4,6,5,2
67,5,3,10,4,7,10,8,3
68,1,7,1,1,4,1,1,4
69,11,1,11,11,3,11,6,1
70,1,9,5,1,10,5,3,9
71,11,6,11,11,10,11,10,7
72,11,7,8,11,8,7,9,7
73,1,10,2,1,3,1,1,10
74,2,9,2,3,8,3,4,9
75,11,7,7,11,10,8,10,8
76,2,7,5,3,9,6,7,8
77,2,7,4,3,4,3,3,7
78,1,8,4,1,2,3,1,7
79,5,3,7,4,3,7,6,3
80,11,4,6,11,8,6,8,4
81,1,8,4,1,7,3,2,8
82,1,7,5,1,4,4,1,6
83,1,7,4,1,4,2,1,7
84,2,10,4,2,8,1,2,10
85,5,8,5,5,7,5,7,8
86,4,2,4,5,2,3,3,2
87,4,9,5,3,8,2,2,10
88,1,5,4,1,3,4,2,5
89,10,3,5,5,5,6,6,3
90,1,10,4,1,4,2,2,10
91,11,7,6,11,3,6,5,8
92,3,4,2,4,1,3,2,4
93,1,9,3,1,5,3,1,9
94,1,7,3,1,1,3,2,6
95,5,6,6,10,9,7,10,6
96,3,8,4,3,4,4,4,9
97,1,6,1,1,1,1,1,4
98,4,8,5,3,3,5,5,9
99,1,8,1,1,2,1,1,6
100,3,9,4,4,7,3,4,9
101,11,7,6,11,10,7,10,8
102,1,1,3,1,1,2,1,1
103,11,7,8,11,10,9,10,8
104,5,2,9,4,4,9,6,2
105,11,2,6,11,2,6,4,2
106,1,9,3,1,9,4,2,9
107,1,8,4,1,6,3,1,8
108,2,7,4,4,8,5,6,7
109,11,5,9,11,8,9,9,5
110,3,5,4,3,5,4,4,5
111,11,4,10,11,10,10,10,5
112,2,8,2,2,3,1,1,8
113,1,5,2,1,1,2,1,4
114,2,8,5,2,6,5,4,8
115,1,9,5,1,5,3,2,10
116,11,4,6,11,9,7,9,4
117,3,6,5,2,2,3,3,6
118,1,10,1,2,8,1,1,9
119,1,8,2,2,3,2,2,7
120,1,9,1,1,9,1,1,6
121,5,7,5,4,7,4,5,8
122,2,6,4,3,2,3,3,6
123,11,4,9,11,6,9,8,4
124,1,9,3,2,10,3,3,9
125,2,8,6,3,7,6,6,8
126,3,5,5,2,4,3,3,5
127,10,9,5,10,10,6,10,9
128,11,8,10,11,8,10,9,8
129,10,7,11,10,9,11,10,7
130,4,7,2,3,3,2,3,7
131,2,3,3,3,2,4,3,2
132,10,3,6,10,7,6,8,3
133,4,6,5,4,3,4,4,6
134,1,9,2,1,2,1,1,9
135,2,8,5,2,10,6,7,9
136,2,10,3,3,8,3,3,10
137,1,7,4,1,2,4,1,7
138,3,8,2,2,6,2,3,7
139,1,6,4,2,2,3,3,5
140,1,8,3,1,1,3,1,8
141,11,5,10,11,10,10,10,6
143,11,4,9,11,9,9,10,4
144,3,1,7,2,1,5,2,1
145,1,8,4,1,2,1,1,8
146,1,10,2,1,10,2,1,10
147,1,4,4,1,1,2,1,4
148,11,5,10,11,10,9,10,5
149,3,8,5,3,5,4,4,8
150,2,4,7,2,6,5,4,4
151,1,6,3,1,2,2,1,5
152,2,8,2,3,8,3,3,8
153,5,7,6,4,9,5,8,7
154,2,8,5,1,7,4,2,9
155,3,8,1,3,3,2,2,7
156,1,7,1,1,1,1,1,6
157,2,7,5,4,8,5,7,7
158,11,6,7,11,6,8,8,6
159,2,10,1,1,1,1,1,10
160,2,6,5,3,4,5,5,6
161,1,10,3,1,1,2,1,9
162,1,8,3,1,4,3,2,7
163,11,5,6,11,7,6,8,5
164,1,7,5,1,2,3,1,8
165,2,10,2,3,8,2,3,10
166,5,7,3,5,3,3,3,7
167,4,7,4,2,5,2,3,8
168,1,7,4,1,2,3,1,6
169,4,7,7,5,10,6,9,7
170,11,3,8,11,4,8,7,3
