CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭
1,3,0,-2,-1,0,1
2,0,0,0,-1,1,2
3,0,-3,0,2,1,-2
4,-3,1,2,-2,0,1
6,-1,1,0,-2,3,-1
7,2,0,-1,1,-1,2
8,1,-3,3,-2,1,0
9,0,-2,0,2,-1,0
10,-1,1,0,0,-1,1
11,3,-3,2,-2,3,-2
12,0,0,3,0,-3,2
13,1,0,0,0,-1,0
14,-3,2,-1,1,0,-1
15,1,-1,-1,3,-2,0
16,2,0,-1,-2,0,3
17,3,-1,-2,3,-2,2
18,-2,-1,3,-1,0,0
19,0,3,-2,2,-2,1
20,1,-1,1,-2,1,1
21,0,-2,1,2,-1,-1
22,-1,2,-1,-1,-1,3
23,3,-1,1,-3,0,1
24,-2,1,-2,2,0,-1
25,2,-3,2,-2,2,1
26,2,-1,1,1,-1,-2
27,-2,0,0,2,0,-3
28,-2,3,-3,3,-2,-1
29,1,-2,1,-2,2,0
30,-1,0,0,1,-1,1
31,-3,2,0,1,-2,0
32,1,-2,0,0,1,0
33,0,-1,1,0,0,-1
34,-2,3,-2,0,-1,0
35,-2,2,1,0,-3,2
36,-3,2,0,0,-1,1
37,-1,0,-1,-1,2,0
38,0,0,-2,1,2,-1
39,-3,3,-2,1,-2,2
40,-1,0,0,0,2,-2
41,-1,3,-1,-1,0,1
42,-1,-1,1,0,-1,1
43,-1,3,-3,3,-2,0
44,1,-2,0,0,1,0
45,2,0,-2,0,0,1
46,1,-2,0,0,0,2
47,-1,1,0,1,-2,3
48,0,-1,-1,2,0,-2
49,-1,1,0,-1,1,-1
50,0,0,1,-1,2,-2
51,0,0,2,-3,2,-1
52,1,-1,0,0,-2,1
53,0,-2,1,-1,0,0
54,1,0,-2,2,0,1
55,0,-1,0,2,-3,1
56,0,2,-3,1,2,0
57,-2,2,-2,2,1,-1
58,1,0,2,-1,-1,2
59,1,0,0,-1,1,1
60,0,-1,0,2,-1,-1
61,-2,1,0,1,1,-2
62,-2,2,0,-2,2,1
63,-1,-1,2,1,-2,0
64,0,2,-3,0,0,3
65,2,-2,3,-2,-1,3
66,1,0,0,-1,0,0
67,1,0,0,-1,1,0
68,0,-2,-1,1,1,-1
69,0,0,-1,0,1,0
70,1,0,0,-2,3,-3
71,-1,1,-1,0,2,-2
72,2,-1,-1,2,-3,2
73,-1,-1,1,1,1,-3
74,1,0,1,-3,1,2
75,1,0,-1,0,0,2
76,-2,2,-2,3,0,-2
77,0,-1,1,-1,0,1
78,3,0,-1,0,-2,2
79,1,-1,0,2,-2,0
80,3,-1,-1,0,1,0
81,-3,3,0,-3,2,-1
82,0,-1,1,-1,-1,2
83,-1,-1,0,1,0,-1
84,3,-3,3,-1,-2,3
85,1,0,-2,2,-2,0
86,-1,1,1,-2,0,1
87,-3,3,0,-3,0,1
88,0,-1,1,-1,1,1
89,0,0,-1,2,-2,2
90,-1,-1,-1,2,1,-2
91,-1,1,-1,0,0,1
92,1,-1,0,1,0,1
93,0,-1,3,-2,2,-3
94,3,-1,-1,0,0,2
95,-1,0,1,1,-2,0
96,1,-2,0,0,1,-1
97,3,-3,3,-3,3,-3
98,0,-1,-1,3,-3,3
99,0,-2,2,1,-2,0
100,2,-2,-1,0,3,-3
101,0,3,-2,-1,3,0
102,1,-1,2,-2,0,1
103,1,-2,2,1,-2,0
104,0,-2,2,0,0,-1
105,-2,2,0,-2,2,0
106,-3,3,-3,2,-1,1
107,-1,2,-3,3,-3,1
108,1,1,-1,1,1,-2
109,2,-1,1,-1,1,0
110,3,-2,0,0,0,0
111,3,-2,1,1,-3,2
112,2,-3,1,2,-1,-2
113,-1,1,-1,1,-1,0
114,0,0,2,-1,-2,3
115,-3,3,-1,-1,-1,1
116,-2,-1,3,-2,0,1
117,3,-3,3,-3,3,-3
118,-3,3,-3,1,1,0
119,-3,1,2,-3,1,0
120,-1,0,0,0,2,-3
121,0,2,-2,0,1,-1
122,0,-1,2,-2,0,1
123,2,0,0,-1,0,1
124,0,-1,1,-1,0,2
125,-1,0,1,-1,-1,3
126,1,0,0,1,-3,2
127,0,-1,2,-3,2,-1
128,1,-3,0,3,-2,-1
129,0,0,-2,3,-1,-1
130,-1,1,-1,-1,1,-1
131,1,-2,2,0,1,-2
132,0,0,0,-2,0,2
133,0,0,0,2,-1,-2
134,-1,2,-2,-1,2,0
135,-3,3,-2,1,-2,2
136,-3,2,-2,3,-2,2
137,1,1,0,1,-2,0
138,1,0,0,1,-3,3
139,2,1,-3,1,2,-2
140,1,1,-3,1,-1,3
141,-2,2,0,0,-1,2
143,0,-1,0,2,-2,1
144,0,-1,0,-1,2,-1
145,1,0,-2,2,0,-1
146,-1,0,0,2,-2,1
147,-1,0,0,0,2,-2
148,2,-2,1,-1,1,1
149,1,-1,1,0,-2,3
150,1,-2,0,1,-2,0
151,1,-2,2,1,-3,2
152,-1,0,1,-2,2,-1
153,1,-1,2,-1,-1,-1
154,-1,1,-2,3,-1,0
155,-2,3,-1,0,-2,3
156,-3,2,-2,3,0,-3
157,1,-1,2,-2,0,0
158,1,0,-2,3,-3,3
159,-1,3,-1,-2,3,0
160,-2,3,-1,-2,2,0
161,1,2,-3,2,-1,2
162,1,0,0,-2,3,-2
163,-2,1,-1,1,-1,1
164,0,-1,1,-2,1,-2
165,-3,3,0,-3,0,1
166,-2,2,-3,1,0,2
167,0,1,0,-1,1,0
168,-2,1,-2,3,-3,3
169,0,-2,3,0,0,-3
170,-2,0,1,0,-1,1
171,-1,0,1,1,-2,0
172,-2,0,1,0,0,-2
173,1,-1,0,1,-1,2
175,1,-1,1,0,0,-1
176,2,-2,0,0,0,2
177,1,-2,2,0,-2,3
178,-1,0,1,0,-1,1
179,-2,1,0,0,-1,1
180,0,0,1,1,-3,2
181,2,0,-2,1,-2,1
182,0,0,-2,2,0,-1
183,1,-1,1,-1,0,1
184,-3,2,-2,1,1,1
185,0,-1,0,-1,-1,0
186,-3,2,0,0,-1,-1
187,0,3,-3,3,0,-3
188,1,-1,1,-1,1,0
189,0,1,0,-3,0,3
190,1,0,0,-1,-1,3
191,3,-3,3,-3,2,-1
192,-1,0,-2,2,-1,1
193,-1,1,-1,1,0,0
194,1,-1,0,1,0,-1
195,0,0,0,1,-1,-1
196,-1,0,0,1,1,-2
197,1,0,2,-2,1,-1
198,-1,0,1,1,-1,-2
199,-3,1,2,-1,-2,1
200,3,-2,0,0,0,-1
201,3,-3,2,-1,-1,1
202,1,-1,-1,0,0,2
203,-1,1,-1,1,-1,-1
204,-2,1,2,-1,0,-1
205,1,-1,0,1,-1,1
206,2,-2,0,0,0,1
207,1,0,-2,2,-2,3
208,-3,0,3,-3,0,3
209,2,-3,2,0,0,-1
210,1,1,-3,3,-3,3
211,1,-1,1,0,-2,1
212,-1,1,-2,3,-2,0
213,-1,0,1,0,-1,0
214,-1,0,0,0,2,-1
215,0,-1,1,-1,2,-2
216,-1,1,-2,3,-3,1
217,-2,0,-1,3,-3,2
218,-2,-1,3,-3,2,0
219,3,-1,0,0,-2,2
220,0,2,-2,1,-2,3
221,0,0,-1,0,2,-2
222,2,-3,2,-1,-1,2
223,3,-2,1,1,-2,0
224,1,0,1,-2,1,0
225,-1,3,0,-3,3,0
226,-2,3,-3,3,-3,3
227,1,1,-3,1,1,-1
228,1,-1,1,1,0,-2
229,-2,0,1,-1,0,-1
230,1,0,0,0,-1,0
231,0,1,-1,1,-2,2
232,2,-1,0,-2,3,-3
233,-1,1,-1,2,-2,0
234,-1,2,-2,1,-2,3
235,0,-1,2,1,-1,-2
236,-2,3,-3,3,-1,0
237,3,-3,3,-3,3,-3
238,-2,1,-2,3,-3,2
239,-3,1,2,0,-3,0
240,0,-2,0,3,-1,1
241,0,-1,0,1,-1,1
242,0,1,-2,1,0,-2
243,-1,1,0,0,0,-1
245,1,0,-2,2,-1,1
246,1,1,-1,1,-3,2
247,1,0,-2,2,-1,1
248,-1,1,0,-1,1,-1
249,0,-2,2,-3,2,0
250,1,0,0,-1,1,-2
251,1,-2,2,0,0,-1
252,0,1,-2,2,-2,3
253,0,-2,-1,0,3,-3
254,0,0,-2,1,0,2
255,-1,1,-1,1,-1,2
256,-2,0,0,2,-3,3
257,1,0,-1,1,-1,2
258,1,-3,3,0,-1,-1
259,0,-1,1,-1,-1,3
260,0,-1,-1,2,0,-1
261,2,1,-3,1,2,-2
262,0,1,0,-1,0,0
263,3,-3,1,1,0,-2
264,-1,1,-1,0,1,0
265,-3,3,-2,1,1,-3
266,-3,0,3,0,-1,-2
267,-3,1,1,-2,1,2
268,2,-1,1,0,-2,3
269,-1,3,-1,-1,2,-3
270,-1,0,1,0,-1,0
271,-3,1,-1,3,-2,1
272,0,1,-1,1,0,-1
273,0,0,-2,1,-1,2
274,-1,1,0,1,-3,2
275,2,-1,1,-1,1,0
276,-2,2,-3,2,-2,2
277,0,-2,2,0,0,0
278,3,-2,0,1,-2,2
279,0,-1,-1,1,0,2
280,-3,0,2,1,-3,3
281,3,-2,2,-3,3,-3
282,-3,1,1,1,-2,1
283,1,0,1,-2,0,0
284,3,-3,2,-2,3,0
285,0,0,-1,0,1,0
286,2,0,0,-1,2,-2
287,-3,1,1,1,-2,0
288,0,0,-1,0,0,1
289,0,-2,0,-1,1,1
290,1,-1,-1,0,0,0
291,-2,1,-2,3,-2,2
292,-2,0,1,-1,1,0
293,-1,-2,3,-2,1,-1
294,3,0,-3,3,-3,0
295,-2,2,-1,1,-3,0
296,-1,-2,3,-3,0,1
297,-3,3,0,-3,1,0
298,-2,0,1,-1,0,1
299,0,2,-1,-1,-1,2
300,-1,0,0,2,-2,0
301,-2,0,0,2,-3,1
302,-2,2,-3,3,-3,3
303,0,0,-2,2,-1,2
304,0,-2,0,1,1,-2
305,-2,2,-2,2,0,-2
306,0,1,-1,2,0,-3
307,0,-1,0,1,0,-2
308,-3,2,-1,0,1,0
309,-1,-1,0,3,-3,2
310,0,-2,2,0,0,-2
311,-3,2,-1,-1,3,-3
312,1,-1,0,2,-1,-2
313,0,1,-3,2,-2,3
314,1,1,0,-1,1,0
315,-3,1,0,0,2,-2
316,1,1,-2,1,-2,3
317,-1,0,1,-1,0,0
318,0,-1,0,1,0,0
319,0,1,-2,2,0,-1
320,3,-2,2,-3,1,1
321,1,-2,0,0,2,-3
322,-2,0,0,2,-3,2
323,-1,1,-2,3,-2,2
324,-3,3,-1,-2,2,-1
325,-1,0,-1,2,0,-1
326,-1,1,1,-3,2,1
327,2,0,-1,1,0,-2
328,-2,0,3,-2,2,-3
329,1,-1,1,0,-2,2
330,0,-1,3,-1,-1,0
331,0,1,-1,1,-1,-1
332,1,-1,-2,3,-3,1
333,0,0,-1,1,0,-1
334,-3,3,-3,3,-2,1
335,2,-3,3,-2,-1,3
336,0,0,0,1,-1,1
