CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭
1,0,4,-3,-1,0,0
2,0,0,0,4,-3,0
3,0,0,0,0,0,4
4,2,-2,-1,3,0,-2
6,-1,1,-2,2,0,-1
7,4,-3,3,-3,-1,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,-1,4,-1,1,-3,1
11,0,0,0,0,0,0
12,4,-3,3,-2,1,0
13,-1,-1,2,-1,-1,0
14,-3,3,-3,-1,0,0
15,0,-3,3,-2,0,0
16,4,-3,3,-3,-1,0
17,3,-3,-1,0,0,4
18,0,0,0,0,0,0
19,0,0,0,0,4,-3
20,0,0,0,4,-3,3
21,0,-3,3,-2,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,-3,3,-2,-1,3,-1
25,-2,-1,3,-2,-1,-1
26,0,4,-1,-2,0,-1
27,-3,-1,0,0,0,0
28,-2,3,-2,-1,1,2
29,3,0,0,-3,3,-3
30,1,-1,-1,3,-3,-1
31,0,0,0,0,0,0
32,3,0,-1,1,-2,1
33,1,-1,3,-1,1,-2
34,0,0,0,0,0,0
35,0,2,1,-3,-1,4
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,3,-3,2,-1,0,-1
39,0,0,0,0,0,0
40,-3,3,0,-2,1,-1
41,3,-3,3,-3,3,-3
42,-3,1,2,-2,-1,1
43,-2,2,0,-2,3,-2
44,4,-3,-1,0,0,4
45,0,-2,-1,3,-1,0
46,0,0,0,0,0,0
47,3,-1,-2,2,1,-3
48,0,0,0,4,-3,-1
49,0,0,0,0,0,0
50,-2,0,2,-3,3,-3
51,2,0,-2,3,-1,1
52,4,-3,-1,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,1,-2,-1,3,-2
56,-3,-1,0,0,0,0
57,-2,3,-3,3,-1,-2
58,0,0,0,0,0,0
59,4,-2,-1,-1,0,0
60,-3,0,3,-3,3,-2
61,1,1,1,-2,1,0
62,-3,2,1,-3,-1,4
63,0,0,0,0,0,0
64,3,-2,-1,0,3,0
65,-2,1,-2,3,-3,3
66,3,0,-3,3,-3,3
67,0,2,-1,-1,1,0
68,0,-3,3,-1,-2,0
69,-1,-2,2,1,-3,2
70,0,0,0,0,0,0
71,-1,-2,3,-3,2,-2
72,-1,-2,3,-3,1,2
73,-1,0,0,0,0,0
74,3,-3,3,-1,-1,2
75,-1,4,-3,-1,0,0
76,-3,2,0,-1,-1,-1
77,3,-3,0,3,-1,-1
78,3,0,-3,3,-3,3
79,-1,-2,2,-2,3,-2
80,-2,-1,-1,4,-1,0
81,-2,0,-1,0,0,0
82,1,1,-3,3,0,-3
83,2,-3,3,-1,-2,3
84,3,-3,-1,4,-3,-1
85,0,0,4,-3,-1,4
86,3,-2,-1,3,-1,0
87,0,0,0,0,0,0
88,0,4,-3,3,-2,-1
89,-3,2,-2,3,-3,3
90,0,4,-3,-1,0,0
91,0,0,0,0,0,4
92,3,-2,0,1,-2,3
93,0,0,0,0,0,0
94,0,0,0,0,4,0
95,-2,3,-1,-2,3,-2
96,0,0,0,0,4,-3
97,-3,3,0,-3,-1,0
98,3,-3,-1,4,-3,-1
99,3,-3,3,-3,-1,4
100,-2,1,-2,0,3,-3
101,0,0,0,0,0,0
102,3,0,-1,-1,-1,1
103,0,0,0,0,0,0
104,-2,1,-1,-1,3,-2
105,0,2,-1,-2,1,1
106,0,0,4,-3,3,-3
107,0,0,0,0,0,0
108,4,-3,-1,0,0,0
109,1,-1,3,0,-2,-1
110,-1,3,-3,3,-1,-2
111,0,-1,-1,0,4,-3
112,-3,0,3,-3,-1,0
113,-2,3,0,-3,3,-3
114,-3,3,0,-3,-1,4
115,0,0,0,0,0,4
116,-1,0,4,-3,-1,0
117,-3,-1,4,0,-3,3
118,0,0,0,4,-2,-1
119,-3,0,-1,4,-3,-1
120,0,4,-3,-1,0,0
121,0,4,-3,-1,4,-3
122,-3,3,0,-3,2,0
123,3,-3,1,1,0,-2
124,0,-3,3,-3,-1,0
125,3,-1,-2,3,-1,-1
126,-3,2,-1,2,-2,-1
127,4,-3,3,-3,-1,0
128,-1,0,2,1,0,-3
129,-3,0,-1,0,0,4
130,0,0,0,0,0,0
131,3,-3,-1,0,4,-3
132,1,-2,0,-1,0,3
133,-3,3,0,-2,1,-1
134,0,0,4,0,-3,0
135,0,0,0,0,0,0
136,0,0,0,0,0,0
137,0,0,-3,-1,0,0
138,3,-3,3,0,-3,0
139,0,0,-2,3,0,-3
140,4,-3,-1,0,0,0
141,0,0,4,-3,3,-2
143,1,1,0,-2,3,-3
144,3,-3,0,3,-1,-1
145,-3,3,-3,3,-3,3
146,0,0,0,0,0,4
147,-3,3,-3,3,-3,3
148,4,-3,3,-3,3,-3
149,0,4,-3,-1,0,0
150,-3,3,-3,3,0,-3
151,-2,0,-1,3,-3,3
152,0,0,0,0,4,-3
153,0,0,0,0,4,-3
154,0,0,0,0,4,-1
155,-3,-1,4,-3,-1,4
156,0,0,0,4,-3,3
157,0,0,0,4,-3,-1
158,0,0,0,4,-2,1
159,-1,0,4,0,-3,-1
160,4,-3,0,3,-3,0
161,-3,-1,0,0,0,0
162,-3,2,-2,-1,4,-3
163,3,-3,0,3,-3,3
164,0,4,-3,3,0,-1
165,-1,0,4,-3,-1,0
166,-3,3,-1,-2,0,3
167,0,0,4,-3,-1,0
168,4,-2,-1,-1,0,0
169,-3,0,3,-3,2,-2
170,-2,3,0,-1,-1,1
171,3,-2,0,0,-1,3
172,3,-3,0,3,-1,-2
173,-1,0,0,2,-3,3
175,-2,3,-2,1,-1,0
176,4,-3,-1,4,-1,-2
177,-1,0,4,0,-3,-1
178,-2,2,1,-3,1,2
179,-3,3,-2,2,-3,3
180,0,0,0,0,0,0
181,0,0,0,0,0,0
182,0,4,0,-3,-1,0
183,0,1,0,-1,-1,3
184,0,0,4,-3,3,-3
185,-1,1,-3,2,0,-1
186,-1,3,-2,1,0,-1
187,0,0,0,4,0,-3
188,4,-3,-1,0,0,0
189,-1,0,4,0,-3,0
190,0,0,0,0,0,0
191,-3,3,-1,1,-1,0
192,-3,2,-2,3,-3,3
193,0,-1,0,2,-3,2
194,-1,0,0,2,-3,1
195,2,0,-2,2,0,-1
196,3,-3,0,0,3,0
197,3,-2,1,-1,1,-2
198,3,-3,3,-3,3,-1
199,3,-2,1,0,-1,2
200,-1,-1,2,-1,2,-3
201,0,0,4,-3,3,-3
202,0,0,4,-3,-1,0
203,1,-1,1,0,-2,2
204,-2,3,-2,1,0,0
205,2,1,-3,3,-3,2
206,3,-3,3,-3,3,-1
207,3,0,-3,3,-2,-1
208,0,4,-3,-1,0,0
209,4,-3,-1,4,-1,0
210,-1,-1,3,-2,2,-2
211,3,-3,-1,0,0,0
212,0,0,0,0,0,0
213,-1,1,1,-2,1,-1
214,0,0,0,0,0,0
215,-1,0,2,-3,3,-1
216,-2,1,2,-1,-2,3
217,0,0,0,0,0,0
218,0,0,0,4,-3,3
219,0,4,-2,0,-1,-1
220,-3,2,-2,3,-1,-2
221,1,-2,1,-1,0,0
222,3,-1,0,-1,-1,3
223,0,0,0,0,4,-2
224,0,4,-3,-1,0,0
225,0,0,4,-3,-1,4
226,3,-3,3,-2,0,-1
227,-2,1,-2,2,-2,3
228,2,-2,0,1,0,1
229,0,0,0,0,4,-3
230,-3,-1,0,0,4,-3
231,2,0,-3,2,0,-2
232,4,-3,-1,0,0,4
233,0,4,0,-3,-1,0
234,-1,0,0,4,-1,-2
235,0,0,0,0,4,-3
236,4,-3,-1,4,0,-3
237,-3,-1,0,4,-3,3
238,0,0,4,-3,-1,0
239,-3,3,-3,-1,4,-3
240,0,0,0,0,0,0
241,0,0,0,0,0,0
242,-2,2,0,1,-1,-1
243,-3,3,-3,2,-2,3
245,4,-3,-1,0,4,-3
246,0,4,-3,-1,4,0
247,-1,0,-1,-1,3,-3
248,-3,2,-2,2,1,-2
249,0,4,-3,-1,4,-3
250,-1,4,-1,-2,-1,0
251,-1,4,-3,-1,0,0
252,0,0,0,0,0,0
253,0,0,0,0,0,0
254,0,0,4,-3,-1,0
255,-1,-1,0,0,4,-3
256,-3,3,-3,3,0,-3
257,0,3,-3,1,-1,3
258,4,-3,-1,0,0,0
259,-1,0,1,0,-2,2
260,-1,1,2,-3,0,3
261,-1,4,-3,-1,0,0
262,-3,-1,0,0,0,0
263,0,-2,3,0,-3,3
264,-2,3,-3,1,0,1
265,0,0,0,0,0,4
266,4,-3,-1,0,0,4
267,-1,-1,-1,3,-3,-1
268,-2,0,3,-3,3,-1
269,-3,2,-1,0,2,-2
270,-1,-2,3,-1,-2,1
271,0,4,-3,-1,0,0
272,1,-1,1,0,-1,1
273,3,-3,3,-3,3,-1
274,-2,2,-1,-1,0,0
275,1,-3,2,-1,0,2
276,-3,-1,0,0,0,4
277,4,-3,-1,0,4,-3
278,-2,-1,0,0,0,0
279,0,0,0,0,0,0
280,0,0,0,4,-3,3
281,3,-3,-1,4,-3,0
282,0,-1,4,-1,-2,3
283,4,-3,-1,0,0,4
284,3,-1,-2,3,0,-2
285,3,-3,3,-1,0,-1
286,-3,3,-2,0,2,-1
287,0,0,2,-2,-1,1
288,0,-2,0,0,1,0
289,4,-3,-1,4,-3,-1
290,-1,0,-2,3,-1,-2
291,1,-2,-1,2,-1,1
292,4,-3,2,0,1,-3
293,3,-3,3,0,-3,0
294,0,0,0,0,0,0
295,0,0,0,4,-3,3
296,0,0,0,0,4,-3
297,-3,-1,4,0,-3,0
298,-3,3,-3,-1,0,0
299,0,0,4,-3,-1,0
300,-1,2,-2,0,0,1
301,0,-2,-1,-1,0,0
302,0,0,0,0,4,-3
303,-3,1,2,-3,3,-2
304,0,0,0,0,0,0
305,0,0,0,4,0,-3
306,4,-3,-1,0,0,4
307,4,0,-3,3,-3,1
308,-3,-1,0,0,0,0
309,0,0,0,0,0,0
310,-3,3,-2,-1,3,-3
311,-3,-1,0,0,4,-3
312,-1,-1,-1,0,0,0
313,0,3,-2,-1,0,0
314,0,0,0,0,0,0
315,-3,-1,0,0,0,0
316,-3,-1,4,-2,-1,-1
317,0,3,-3,3,-3,0
318,0,0,0,0,0,0
319,0,0,0,0,0,0
320,-1,4,-3,1,-1,3
321,2,-3,3,-2,-1,3
322,0,3,-2,1,-2,3
323,-3,1,2,-1,0,0
324,-3,3,-3,3,-3,3
325,-3,3,0,-2,0,1
326,4,-1,-2,3,-3,3
327,-3,0,-1,4,-3,-1
328,4,-3,0,-1,0,0
329,-2,-1,1,2,-3,3
330,0,0,4,-2,1,-2
331,0,1,-2,3,-2,0
332,0,3,-3,2,0,1
333,1,-3,1,2,-3,3
334,-3,-1,0,0,0,0
335,0,0,0,0,0,0
336,3,-2,0,-1,1,2
337,0,-3,3,-1,-2,-1
338,0,-1,1,2,-1,0
339,-1,0,3,-1,0,-1
340,-3,3,-3,-1,4,0
341,0,0,4,-3,-1,0
342,2,0,-2,3,-3,3
343,4,-3,-1,0,4,-3
344,0,-3,0,-1,4,-3
345,0,4,0,-3,-1,0
346,0,0,0,0,0,0
347,1,-2,2,-1,1,-1
348,-1,0,0,4,-1,-2
349,2,0,-1,0,2,-3
350,0,0,3,0,0,-3
351,3,-3,3,-3,0,-1
352,4,-3,2,1,-1,-2
353,-1,3,0,-3,3,-2
354,0,-3,3,-3,0,3
355,0,3,-3,3,-3,1
356,3,-3,3,-2,-1,3
357,-1,-1,0,0,4,-1
358,0,0,4,-3,0,3
359,-1,-2,3,-2,2,-3
360,2,0,-2,3,-2,1
361,4,-3,3,-3,2,1
362,3,-3,3,-1,-1,-1
363,-3,-1,0,0,0,0
364,0,-2,1,1,-2,1
365,-2,3,-3,3,-3,1
366,3,0,-3,-1,0,0
367,3,-2,-1,3,-3,2
368,-3,3,0,-1,-2,1
369,0,0,0,0,4,-3
370,1,-1,-2,3,-3,0
371,-1,1,0,2,-3,3
372,-2,2,-3,3,-2,1
373,3,-3,2,0,-2,3
374,0,4,0,-3,-1,0
375,2,1,-3,3,-3,3
376,3,-2,0,2,-1,1
377,4,-3,3,-3,-1,0
378,4,-3,3,-1,-1,-1
379,0,0,4,-3,-1,0
380,0,0,0,0,0,0
381,0,0,0,0,0,0
382,0,4,0,-3,-1,4
383,0,4,-3,3,-3,3
384,2,0,-2,3,-2,1
385,3,-1,-1,0,2,-1
386,0,1,-1,-1,0,0
387,0,-3,3,-3,3,-3
388,0,0,4,-3,3,-3
389,-1,1,0,-1,2,-3
390,-2,3,-3,3,-3,3
391,-1,-1,0,3,0,-1
392,4,-3,-1,0,0,4
393,-3,-1,0,0,4,-3
394,0,0,0,0,0,0
395,1,1,-2,3,-3,2
396,0,-1,-1,0,0,2
397,2,-2,0,2,-3,3
398,-3,-1,0,0,4,-3
399,0,0,0,0,0,0
400,-2,-1,-1,0,0,0
401,0,0,0,0,0,0
402,0,0,0,0,0,4
403,0,1,1,-1,-2,-1
404,0,0,2,-1,-1,2
405,0,0,0,0,0,0
406,1,-3,2,-1,0,2
407,0,0,0,0,0,0
408,0,0,0,0,0,0
409,0,0,0,4,-3,0
410,0,-1,0,2,-3,2
411,0,4,0,-3,-1,4
412,-1,3,-1,-1,-1,3
413,-1,4,-3,0,-1,0
414,-2,-1,4,0,-3,-1
415,-1,-2,3,-3,3,-2
416,-3,3,-2,1,-2,0
417,0,0,0,4,-3,-1
418,2,-2,0,0,1,-2
419,0,0,4,-1,-1,2
420,3,-3,3,-3,3,-3
421,0,1,-1,1,-1,0
422,0,-2,0,-1,-1,0
423,0,0,0,0,0,0
424,0,0,0,0,0,0
425,-2,1,-1,0,1,-2
426,-3,3,-3,-1,0,4
427,-1,0,0,0,0,0
428,0,0,4,-3,3,-3
429,-3,-1,0,4,-3,-1
430,0,0,0,0,0,0
431,0,0,0,0,0,4
432,2,0,-3,2,-2,-1
433,-3,1,-1,0,-1,4
434,0,-3,3,-2,-1,3
435,0,0,0,0,0,0
436,0,4,-3,-1,0,4
437,0,0,0,0,0,0
438,-3,3,-3,3,-3,2
439,-2,-1,4,-3,-1,4
440,0,0,4,-3,-1,0
441,-3,3,-3,0,-1,0
442,1,-1,0,2,-2,1
443,0,0,0,0,4,-3
444,-3,3,0,-3,1,0
445,-3,-1,0,4,0,-3
446,0,1,-2,3,-3,1
447,1,0,2,0,-3,0
448,1,-1,-1,0,0,4
449,-1,1,-2,-1,3,-3
450,-3,1,-1,2,1,-1
451,0,-2,1,2,-3,3
452,-3,-1,0,4,0,-3
453,-1,0,1,-3,-1,0
454,1,0,1,-2,1,1
455,0,0,0,0,0,0
456,3,-1,-1,-1,3,0
457,-3,-1,0,4,-3,3
458,-3,-1,4,0,-3,-1
459,3,-3,-1,0,0,0
461,0,0,0,0,4,-3
462,0,0,0,4,-3,-1
463,0,0,0,0,0,0
464,-1,-1,1,-1,0,0
465,2,-1,2,-2,0,2
466,4,-3,3,-3,-1,0
467,-3,0,1,2,-1,0
468,-3,3,-1,-2,0,3
469,0,4,-3,-1,4,-3
470,1,-3,1,2,-2,1
471,4,-3,-1,0,4,-3
472,0,-1,4,-1,0,0
473,-3,1,1,0,0,0
474,1,-1,0,2,-3,3
475,-3,3,-3,1,2,-3
476,0,4,-3,3,-3,3
477,-3,3,-1,-2,-1,4
478,-3,1,2,-3,0,1
479,0,-2,0,3,-3,3
480,1,2,0,-3,2,-2
481,3,-3,0,1,2,-3
482,-1,3,-3,2,1,-2
483,0,0,0,0,0,0
484,0,0,0,0,0,0
485,0,4,-3,-1,4,-3
486,0,0,0,0,0,0
487,-3,1,1,1,-1,-2
488,-3,3,-1,-2,3,-3
489,4,-2,-1,3,-3,-1
490,0,4,-3,-1,4,-3
491,0,0,0,0,0,0
492,0,0,0,0,4,-3
493,-3,3,-3,3,-3,3
494,0,0,0,0,0,0
495,0,0,0,0,0,0
496,-3,-1,4,-1,-1,1
497,0,0,1,1,-2,2
498,-1,-1,-1,3,0,-2
