CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,의류_이미용_중가_clust_id
1,0,-1,1,0,0,-1,3
2,0,-3,1,1,1,-2,3
3,-3,-1,0,0,0,0,3
4,-2,0,1,-1,1,-2,3
6,-2,0,0,2,-1,-2,3
7,1,2,0,-3,3,0,0
8,-2,-1,3,-3,3,0,2
9,-2,0,0,2,-2,0,4
10,-1,0,3,-3,3,-3,2
11,3,-2,-1,3,-3,3,1
12,3,-3,-1,4,-1,-2,1
13,-2,3,-1,-2,3,-3,0
14,2,-3,3,-2,1,-2,5
15,-1,0,3,-3,0,3,2
16,4,-3,0,0,3,-2,5
17,-3,3,-3,3,-2,0,4
18,0,0,-1,0,4,-3,3
19,-2,-1,4,-2,2,-3,2
20,3,-3,3,0,-1,0,5
21,3,-3,0,3,-3,2,1
22,0,0,0,0,0,0,3
23,-3,3,-3,3,-1,-1,4
24,3,-3,-1,0,4,-1,5
25,-2,-1,3,-2,-1,3,2
26,-2,2,-1,-1,3,-2,0
27,0,1,-2,3,0,-3,4
28,4,-3,-1,0,0,0,5
29,2,-2,3,-2,2,-1,5
30,-1,4,-3,3,-2,-1,4
31,0,-1,-1,-1,2,0,3
32,1,-3,-1,0,0,4,5
33,-3,-1,0,0,0,4,3
34,-3,2,-2,3,-3,-1,4
35,-2,0,1,-1,2,-3,3
36,4,-2,-1,-1,4,-3,5
37,0,4,-3,3,-3,3,4
38,0,-1,3,-2,2,-1,2
39,0,-1,0,0,4,0,3
40,-1,3,-1,0,-2,2,4
41,-3,-1,0,4,-3,-1,1
42,1,-1,-1,0,4,0,3
43,0,3,-3,-1,0,0,0
44,2,-1,1,-3,0,3,5
45,1,-1,-2,3,-3,3,1
46,-3,3,-3,3,-1,1,4
47,-1,0,-1,0,0,4,3
48,3,-1,-1,2,-1,1,1
49,0,-2,2,-3,3,-1,2
50,0,-2,0,3,-3,3,1
51,2,-3,0,3,0,-3,1
52,-1,2,0,0,-2,0,4
53,0,4,-2,-1,0,0,0
54,-3,3,0,-3,-1,0,0
55,3,-3,-1,0,0,0,5
56,2,-1,-1,1,-2,1,1
57,4,-3,-1,0,0,0,5
58,2,0,-1,0,2,-2,3
59,0,0,4,0,-1,-2,2
60,0,2,-2,3,-3,1,4
61,-1,2,-1,2,-1,0,4
62,-1,-2,-1,4,-3,3,1
63,-3,-1,4,-3,3,-3,2
64,0,-3,-1,0,0,0,3
65,-3,-1,4,-3,0,3,2
66,0,1,2,-3,2,-1,2
67,1,-2,-1,0,0,0,3
68,0,-2,2,-2,3,0,2
69,0,0,0,0,0,0,3
70,2,-3,1,-1,3,-1,5
71,0,0,0,0,0,0,3
72,3,-3,3,-1,1,-3,5
73,1,-2,3,-3,2,0,2
74,-1,-1,1,0,-1,3,3
75,4,-3,-1,0,0,0,5
76,1,-3,0,3,-3,2,1
77,0,0,-2,2,0,-1,3
78,4,-3,1,2,0,-1,5
79,-3,3,-3,0,3,-3,0
80,4,-3,2,1,-3,3,5
81,0,-3,3,-1,-2,0,2
82,1,-1,-2,3,-1,-2,1
83,-1,-1,-1,3,-1,-2,1
84,2,-2,2,-1,1,1,5
85,3,-3,3,-2,-1,3,5
86,-2,-1,3,-3,2,-1,2
87,-2,3,-3,-1,4,-1,0
88,4,-3,-1,4,-2,2,1
89,-3,3,-2,-1,3,-3,0
90,-1,3,-3,3,-2,-1,4
91,-3,2,0,-2,3,-3,0
92,1,-1,-1,3,-1,-1,1
93,1,-2,3,-3,3,-3,2
94,4,-1,-1,0,1,-1,5
95,2,0,-2,0,3,-3,3
96,-3,3,-3,0,3,-1,0
97,0,2,0,1,-1,-2,3
98,1,-1,0,-2,3,-3,3
99,0,-1,1,0,-2,0,3
100,0,0,-3,0,3,-3,3
101,4,-3,-1,0,0,0,5
102,1,-1,3,-1,0,-2,2
103,0,-3,-1,0,0,0,3
104,3,-3,3,-1,-2,-1,5
105,-3,-1,0,4,0,-3,1
106,-2,1,-1,2,-3,2,4
107,1,-1,-1,3,-2,2,1
108,3,-2,1,1,-2,-1,1
109,3,-3,-1,0,0,4,5
110,0,-3,3,-3,3,-3,2
111,0,0,0,0,0,0,3
112,2,1,0,-2,1,1,3
113,2,0,0,-2,1,2,5
114,-1,-1,-1,2,0,-2,3
115,-2,3,-3,3,-3,-1,4
116,-1,0,-2,3,-3,3,4
117,-1,0,0,4,-3,-1,1
118,2,-1,-1,0,2,-2,5
119,-3,3,-1,-2,3,-3,0
120,0,-1,-1,3,-1,-2,1
121,-2,3,0,-3,3,0,0
122,1,-1,2,-3,3,-3,2
123,-3,-1,0,0,0,0,3
124,1,-1,0,2,-3,1,1
125,3,-3,1,1,-2,3,5
126,3,0,-1,-2,2,-2,5
127,0,-2,3,-3,-1,4,2
128,4,-3,-1,0,0,0,5
129,0,0,0,0,0,0,3
130,0,0,1,-1,-1,2,3
131,-2,-1,2,0,0,-2,2
132,-1,4,-1,-2,2,1,0
133,3,-3,3,-3,1,2,5
