CUSTNO,recent_purdate,frequancy,momently
1,1,0,1
2,1,0,1
3,1,0,0
4,1,0,0
6,1,1,0
7,1,0,1
8,1,1,1
9,1,0,1
10,1,1,0
11,1,0,1
12,1,0,0
13,1,1,0
14,1,0,0
15,1,0,0
16,1,0,0
17,1,0,1
18,1,0,1
19,1,0,1
20,1,0,0
21,1,1,0
22,1,0,1
23,0,0,1
24,1,0,0
25,1,0,1
26,1,0,1
27,1,0,1
28,1,0,0
29,1,0,1
30,1,1,1
31,1,0,0
32,1,0,0
33,1,1,0
34,1,0,0
35,1,0,1
36,1,0,1
37,1,0,1
38,1,1,0
39,1,0,1
40,1,0,0
41,1,0,0
42,1,1,0
43,1,0,0
44,1,0,1
45,1,0,1
46,1,0,1
47,1,1,0
48,1,0,1
49,1,0,1
50,1,1,0
51,1,1,0
52,1,0,1
53,1,0,1
54,1,0,0
55,1,0,0
56,1,0,1
57,1,1,0
58,1,0,0
59,1,0,0
60,1,0,0
61,1,1,0
62,1,0,0
63,1,0,0
64,1,0,0
65,0,0,0
66,1,1,0
67,1,1,0
68,1,1,1
69,1,1,0
70,0,0,0
71,1,0,0
72,1,0,0
73,1,0,1
74,1,0,0
75,1,0,0
76,1,0,0
77,1,0,1
78,1,0,1
79,1,1,0
80,1,1,0
81,1,0,1
82,1,0,1
83,1,0,1
84,1,0,1
85,1,0,0
86,1,1,1
87,1,0,1
88,1,1,1
89,1,1,0
90,1,0,1
91,1,0,0
92,1,1,1
93,1,0,1
94,1,0,1
95,1,0,0
96,1,0,0
97,1,1,1
98,1,0,0
99,1,0,1
100,0,0,0
101,1,0,0
102,1,1,1
103,1,0,0
104,1,1,0
105,1,1,0
106,1,0,1
107,1,0,1
108,1,0,0
109,1,0,0
110,1,0,0
111,1,1,0
112,1,0,1
113,1,1,1
114,1,0,0
115,1,0,1
116,1,1,0
117,1,0,1
118,1,0,1
119,0,0,1
120,1,0,1
121,1,0,0
122,1,0,1
123,1,1,0
124,1,0,1
125,0,0,0
126,1,1,1
127,1,0,0
128,0,0,0
129,1,0,0
130,0,0,1
131,1,1,0
132,1,1,0
133,1,0,0
134,1,0,1
135,1,0,0
136,1,0,0
137,1,0,1
138,1,0,1
139,1,0,1
140,1,0,1
141,1,0,0
143,1,1,0
144,1,1,1
145,1,0,1
146,1,0,1
147,1,1,1
148,1,0,0
149,1,0,0
150,0,1,0
151,1,0,1
152,1,0,0
153,1,0,0
154,1,0,1
155,1,0,1
156,1,0,1
157,1,0,0
158,1,0,0
159,1,0,1
160,1,0,0
161,1,0,1
162,1,0,1
163,1,1,0
164,1,0,1
165,1,0,1
166,1,0,0
167,1,0,1
168,1,0,1
169,1,0,0
170,1,1,0
171,1,0,0
172,1,0,0
173,1,1,0
175,1,1,0
176,1,0,0
177,1,0,1
178,1,1,0
179,1,0,1
180,1,0,1
181,1,0,1
182,1,1,1
183,1,1,0
184,1,0,1
185,1,0,0
186,1,0,1
187,1,0,0
188,1,1,0
189,1,0,1
190,1,0,1
191,1,0,1
192,1,0,1
193,1,0,0
194,1,1,0
195,1,0,0
196,1,0,0
197,1,0,1
198,1,0,0
199,1,0,0
200,1,0,0
201,1,0,1
202,1,1,1
203,1,0,0
204,1,1,0
205,1,1,0
206,1,1,0
207,1,0,0
208,1,0,1
209,1,0,0
210,1,0,0
211,1,0,0
212,1,1,0
213,1,1,1
214,1,0,0
215,1,1,0
216,1,0,0
217,1,0,0
218,1,0,1
219,1,0,1
220,1,1,0
221,1,0,0
222,1,0,1
223,1,0,1
224,1,0,1
225,1,0,1
226,1,0,0
227,1,1,0
228,1,1,0
229,0,0,1
230,1,0,0
231,1,1,0
232,1,1,0
233,1,0,0
234,1,0,0
235,1,0,1
236,1,1,0
237,1,0,1
238,1,0,0
239,1,0,1
240,1,0,0
241,1,0,1
242,1,0,0
243,1,0,0
245,1,1,0
246,1,0,1
247,1,1,0
248,1,1,0
249,1,0,1
250,1,0,1
251,1,0,1
252,1,0,0
253,1,0,1
254,1,0,1
255,1,0,1
256,1,0,1
257,1,1,0
258,1,0,1
259,1,1,1
260,1,0,0
261,1,0,0
262,1,1,1
263,1,0,0
264,1,1,0
265,0,0,1
266,1,0,1
267,1,0,1
268,1,1,1
269,1,1,1
270,1,0,0
271,1,0,1
272,1,1,0
273,1,0,1
274,1,0,0
275,1,1,1
276,1,1,0
277,1,0,0
278,1,1,0
279,1,0,1
280,1,0,1
281,1,0,1
282,1,0,1
283,1,0,1
284,1,0,0
285,1,0,0
286,1,0,0
287,1,0,0
288,0,1,1
289,1,0,0
290,1,1,0
291,1,1,0
292,1,0,1
293,1,0,0
294,1,0,1
295,1,0,0
296,1,1,1
297,1,0,1
298,1,0,1
299,1,0,0
300,1,1,0
301,1,0,1
302,1,0,1
303,1,1,0
304,1,0,1
305,1,1,1
306,1,0,1
307,0,0,1
308,1,0,0
309,1,0,1
310,1,1,0
311,0,0,1
312,1,0,0
313,1,1,1
314,1,0,1
315,1,1,1
316,1,0,1
317,1,1,0
318,1,0,0
319,1,0,1
320,1,0,0
321,1,1,1
322,1,1,0
323,1,0,1
324,1,1,1
325,1,0,1
326,1,0,1
327,0,0,1
328,1,0,1
329,1,1,1
330,1,1,0
331,1,0,0
332,1,1,1
333,1,1,0
334,1,0,1
335,1,0,1
336,1,0,0
337,1,0,1
338,1,0,0
339,1,1,0
340,1,0,1
341,1,0,1
342,1,1,0
343,1,0,1
344,1,0,0
345,1,0,1
346,1,0,0
347,1,0,0
348,1,1,0
349,1,1,1
350,1,0,0
351,0,0,1
352,1,0,1
353,1,0,0
354,1,0,0
355,1,0,1
356,1,0,1
357,1,0,0
358,1,0,1
359,1,1,0
360,1,1,0
361,1,0,1
362,1,1,0
363,1,0,1
364,1,0,0
365,1,1,1
366,1,0,0
367,1,1,1
368,1,1,1
369,1,0,1
370,1,1,0
371,1,1,0
372,1,1,0
373,1,0,1
374,1,0,1
375,1,0,1
376,1,0,0
377,1,0,1
378,1,0,1
379,1,0,0
380,1,0,0
381,1,0,0
382,1,0,1
383,1,0,1
384,1,1,0
385,1,1,0
386,1,0,1
387,1,1,1
388,1,0,1
389,1,1,0
390,1,0,0
391,1,1,1
392,1,0,0
393,1,0,1
394,1,1,0
395,1,1,0
396,1,0,0
397,1,1,0
398,1,0,1
399,1,0,1
400,1,0,1
401,1,0,1
402,1,0,0
403,1,0,0
404,1,0,1
405,1,0,0
406,1,1,0
407,1,0,1
408,1,0,1
409,1,0,1
410,1,0,0
411,1,0,1
412,1,1,1
413,1,0,1
414,1,0,1
415,1,1,0
416,1,0,1
417,1,0,1
418,1,1,0
419,1,0,1
420,1,0,0
421,1,1,1
422,1,0,0
423,1,0,1
424,1,1,0
425,1,0,0
426,1,0,1
427,1,0,0
428,1,1,1
429,1,0,1
430,1,0,1
431,1,0,0
432,1,0,1
433,1,0,1
434,1,1,1
435,1,0,0
436,1,0,1
437,1,1,0
438,1,0,1
439,1,1,0
440,1,0,1
441,1,0,1
442,1,1,0
443,1,0,1
