CUSTNO,가구인테리어/잡화_고가_증감여부,가구인테리어/잡화_저가_증감여부,가구인테리어/잡화_중가_증감여부,가전/레저취미/멀티샵_고가_증감여부,가전/레저취미/멀티샵_저가_증감여부,가전/레저취미/멀티샵_중가_증감여부,교육문화/아동_고가_증감여부,교육문화/아동_저가_증감여부,교육문화/아동_중가_증감여부,식품/생활_고가_증감여부,식품/생활_저가_증감여부,식품/생활_중가_증감여부,의류/이미용_고가_증감여부,의류/이미용_저가_증감여부,의류/이미용_중가_증감여부,침구/주방_고가_증감여부,침구/주방_저가_증감여부,침구/주방_중가_증감여부
1,0,4,1,2,0,1,0,0,0,4,4,2,1,0,2,1,0,4
2,0,1,0,1,0,0,0,0,1,2,1,4,3,1,2,1,0,3
3,0,2,0,0,1,0,0,0,0,1,3,2,0,4,0,0,0,0
4,0,3,1,0,1,1,0,0,0,4,2,3,1,2,1,1,0,4
6,1,3,1,4,4,0,0,3,0,2,2,3,3,2,1,0,2,1
7,2,4,0,1,1,1,0,0,0,3,1,4,1,0,4,1,0,4
8,3,3,4,0,0,1,0,0,0,1,1,3,2,0,4,4,0,4
9,1,4,2,0,0,4,0,0,0,2,1,3,3,0,2,1,0,0
10,0,1,0,0,0,1,0,0,0,3,1,3,1,2,1,0,3,3
11,4,2,4,0,0,4,0,0,4,4,1,2,3,0,4,4,0,0
12,0,1,0,0,0,0,0,0,0,1,3,3,1,3,1,0,1,0
13,4,1,0,0,4,0,0,0,0,3,2,2,0,2,1,1,1,2
14,3,4,4,4,4,0,0,0,0,1,1,2,3,0,1,0,4,4
15,0,1,1,0,0,4,0,0,0,2,1,2,2,2,4,3,0,1
16,0,3,0,4,0,0,0,0,4,2,1,4,1,0,2,0,0,3
17,3,3,2,0,0,0,0,0,0,3,4,4,1,4,2,3,1,4
18,0,2,0,0,0,1,0,0,0,4,1,3,1,0,1,0,0,0
19,4,2,0,1,0,1,0,0,0,2,0,3,2,1,1,4,0,4
20,0,3,0,3,0,2,0,0,0,3,4,3,2,4,3,0,0,0
21,0,4,0,0,3,4,4,4,4,2,3,2,0,2,3,0,4,1
22,4,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0
23,4,2,1,2,0,2,0,0,0,3,0,2,1,0,2,1,0,2
24,0,1,0,0,2,4,0,0,1,3,2,2,0,3,3,0,1,2
25,4,4,4,4,1,0,0,0,0,4,1,4,3,0,4,0,0,0
26,4,2,1,2,0,1,0,0,4,4,3,1,4,0,2,3,0,4
27,1,0,4,0,0,1,0,0,0,1,4,1,1,0,1,0,0,0
28,0,0,0,0,0,0,0,0,0,1,2,1,1,4,0,0,1,1
29,0,3,1,2,0,3,0,0,4,1,2,3,3,1,3,1,2,3
30,0,2,4,0,0,1,0,0,0,2,3,3,3,0,1,1,2,1
31,0,2,1,0,0,0,0,0,3,2,4,2,4,0,3,4,0,4
32,0,1,2,0,2,4,0,0,0,2,3,3,0,3,4,4,1,1
33,0,0,0,0,0,0,0,0,0,2,2,2,0,2,4,0,4,0
34,0,2,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,1
35,0,2,2,1,0,4,0,0,0,2,4,3,4,4,1,1,1,0
36,0,2,0,0,0,1,0,0,4,2,1,3,2,0,1,1,0,2
37,0,2,2,2,1,0,0,0,0,2,4,3,3,0,4,0,3,1
38,1,3,4,0,0,1,0,1,1,3,3,3,1,1,3,1,3,4
39,0,3,3,0,0,0,0,0,0,3,4,3,2,0,4,0,0,2
40,0,1,1,1,0,3,0,0,0,4,4,2,2,2,3,2,2,1
41,0,2,0,0,0,4,0,0,0,1,4,3,4,1,0,0,1,0
42,0,3,0,0,4,0,0,2,0,3,2,3,0,2,4,0,2,0
43,0,2,0,0,0,0,0,4,0,3,1,2,0,2,0,0,4,1
44,3,4,0,0,0,4,0,0,0,4,2,3,1,4,4,0,4,0
45,2,4,0,4,0,4,0,0,0,4,1,3,3,3,4,0,4,4
46,2,1,1,1,0,3,0,0,0,3,4,4,4,0,4,4,0,0
47,0,4,0,0,0,3,4,3,4,3,2,4,4,1,4,1,2,4
