CUSTNO,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가
1,0.0,0.0,959026.119004873,127010.12218839486,0.0,156233.0501143778,0.0,0.0,0.0,104762.92333175881,2134.232325312499,480340.6199384931,563641.4504685714,0.0,4894986.851878235,1968065.340072287,0.0,0.0
2,0.0,948781.3799993261,0.0,5158661.70412413,0.0,0.0,0.0,0.0,83992.96849549054,398571.3288493241,1949.0706167237436,893624.1433923173,3132541.662421744,44161.08408979829,4439250.13515403,873263.392479075,0.0,98130.25575649666
3,0.0,2353.7121805986753,0.0,0.0,2333.016813998994,0.0,0.0,0.0,0.0,81812.14768199244,152865.6084696432,157532.55063700263,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,70375.9941999004,184001.39973006988,0.0,3570.530080554982,175929.50563675346,0.0,0.0,0.0,48297.631515968606,52618.084904382544,647522.988938108,35456.581073720154,111138.72829265903,994949.1914617141,64508.80836903607,0.0,0.0
6,176103.2370733071,35187.9970999502,189413.2056044837,0.0,0.0,0.0,0.0,1261.455713191874,0.0,674561.2925821822,184239.7981870453,591148.2328554395,546031.3485352903,160977.66605114567,1179745.8198901752,0.0,7630.248918384216,39837.826014816506
7,342780.43549557496,23537.121805986753,0.0,118059.364246483,5274.646709910769,152217.2679204954,0.0,0.0,0.0,400092.92723494396,48322.33326512341,538644.9607865136,719768.5957965191,0.0,1302835.65543415,83752.11391640955,0.0,0.0
8,213355.84491573743,92336.12884488603,0.0,0.0,0.0,494833.60589062213,0.0,0.0,0.0,2500222.257667765,28787.773009009692,2220348.6552513037,1802080.7330718269,0.0,518518.3603556818,0.0,0.0,0.0
9,1837343.7734648373,71435.1646811698,256876.77763492637,0.0,0.0,35568.356574387115,0.0,0.0,0.0,632600.1564123065,35278.178162699754,583346.5342165395,2065629.5001927887,0.0,11678421.716174742,8748050.436621316,0.0,0.0
10,0.0,35305.68270898013,0.0,0.0,0.0,12748.51490121402,0.0,0.0,0.0,138581.75917490662,604148.5463893169,994903.1882411852,119370.48961485784,18442.50987940624,205905.14309828525,0.0,10618.763078084701,17227.168006407137
11,0.0,23537.121805986753,0.0,0.0,0.0,0.0,0.0,0.0,15186.489435902322,169177.2549896666,8858.525953009414,1707459.9093739316,1886290.113121912,0.0,0.0,0.0,0.0,0.0
12,0.0,6472.708496646357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144941.8655304315,32344.826884530525,241676.46597165684,1749191.3329701943,21029.08766180871,305620.21239745483,0.0,3815.124459192108,0.0
13,0.0,83380.25399770807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69136.53354431428,330828.4247355297,1502467.3411062625,0.0,71498.89805014961,116550.08099902938,340256.62990583095,26433.362324402464,23256.676808649634
14,79020.68330212498,32775.44211483656,61694.58696831755,0.0,0.0,0.0,0.0,0.0,0.0,149571.3723427715,129760.35084369159,1325915.5450501444,122029.73319538686,0.0,1446192.2550629561,0.0,0.0,0.0
