CUSTNO,금토일,평일,금토일 비율
1,402,504,0.44370860927152317
2,459,412,0.5269804822043628
3,289,670,0.3013555787278415
4,256,449,0.36312056737588655
6,524,622,0.4572425828970332
7,374,214,0.6360544217687075
8,911,452,0.6683785766691123
9,338,192,0.6377358490566037
10,1416,1210,0.5392231530845393
11,347,292,0.543035993740219
12,139,218,0.38935574229691877
13,936,1181,0.44213509683514407
14,486,558,0.46551724137931033
15,340,465,0.422360248447205
16,192,257,0.42761692650334077
17,356,226,0.6116838487972509
18,346,292,0.542319749216301
19,217,226,0.4898419864559819
20,477,373,0.5611764705882353
21,833,712,0.53915857605178
22,201,182,0.5248041775456919
23,464,232,0.6666666666666666
24,236,389,0.3776
25,204,235,0.4646924829157175
26,406,345,0.5406125166444741
27,286,171,0.6258205689277899
28,454,639,0.41537053979871913
29,476,207,0.6969253294289898
30,593,1127,0.3447674418604651
31,552,148,0.7885714285714286
32,468,608,0.4349442379182156
33,923,814,0.5313759355210133
34,413,452,0.4774566473988439
35,428,293,0.5936199722607489
36,278,373,0.4270353302611367
37,488,311,0.6107634543178974
38,738,1249,0.3714141922496225
39,221,229,0.4911111111111111
40,73,584,0.1111111111111111
41,170,326,0.34274193548387094
42,681,890,0.4334818586887333
43,350,423,0.45278137128072443
44,446,303,0.595460614152203
45,324,250,0.5644599303135889
46,202,259,0.43817787418655096
47,782,654,0.5445682451253482
48,290,211,0.5788423153692615
49,158,362,0.3038461538461538
50,578,707,0.44980544747081713
51,641,854,0.4287625418060201
52,419,560,0.4279877425944842
53,239,324,0.42451154529307283
54,207,315,0.39655172413793105
55,306,433,0.4140730717185386
56,266,309,0.46260869565217394
57,495,885,0.358695652173913
58,299,177,0.6281512605042017
59,346,307,0.5298621745788668
60,492,579,0.45938375350140054
61,453,805,0.3600953895071542
62,396,342,0.5365853658536586
63,194,258,0.42920353982300885
64,292,474,0.381201044386423
65,286,402,0.41569767441860467
66,722,900,0.44512946979038226
67,488,849,0.3649962602842184
68,382,828,0.315702479338843
69,999,1746,0.3639344262295082
70,302,314,0.4902597402597403
71,327,519,0.38652482269503546
72,382,345,0.5254470426409904
73,287,208,0.5797979797979798
74,253,368,0.4074074074074074
75,287,380,0.4302848575712144
76,463,226,0.6719883889695211
77,344,464,0.42574257425742573
78,338,424,0.4435695538057743
79,669,862,0.43696930111038534
80,582,663,0.4674698795180723
81,287,300,0.4889267461669506
82,429,506,0.4588235294117647
83,395,396,0.4993678887484197
84,185,214,0.46365914786967416
85,306,275,0.5266781411359724
86,896,826,0.5203252032520326
87,270,172,0.6108597285067874
88,655,481,0.5765845070422535
89,600,847,0.414651002073255
90,221,186,0.542997542997543
91,205,470,0.3037037037037037
92,728,646,0.529839883551674
93,288,221,0.5658153241650294
94,451,343,0.5680100755667506
95,546,403,0.5753424657534246
96,341,233,0.5940766550522648
97,750,552,0.576036866359447
98,318,294,0.5196078431372549
99,534,479,0.527147087857848
100,273,308,0.46987951807228917
101,246,349,0.4134453781512605
102,785,1324,0.37221431958274065
103,276,392,0.41317365269461076
104,772,1063,0.420708446866485
105,701,1136,0.38160043549265105
106,268,314,0.46048109965635736
107,300,339,0.4694835680751174
108,314,388,0.4472934472934473
109,522,603,0.464
110,691,460,0.6003475238922676
111,514,630,0.4493006993006993
112,277,347,0.4439102564102564
113,673,634,0.5149196633511859
114,255,378,0.4028436018957346
115,247,257,0.49007936507936506
116,518,817,0.3880149812734082
117,458,590,0.43702290076335876
118,319,223,0.5885608856088561
119,356,465,0.4336175395858709
120,509,389,0.566815144766147
121,211,406,0.3419773095623987
122,470,377,0.5548996458087367
123,490,785,0.3843137254901961
124,358,136,0.7246963562753036
125,371,298,0.554559043348281
126,490,670,0.4224137931034483
127,192,276,0.41025641025641024
128,256,381,0.40188383045525905
129,280,404,0.4093567251461988
130,518,399,0.5648854961832062
131,775,879,0.46856106408706166
132,872,811,0.5181224004753416
133,377,547,0.408008658008658
134,273,305,0.47231833910034604
135,285,284,0.5008787346221442
136,277,123,0.6925
137,391,470,0.454123112659698
138,362,314,0.5355029585798816
139,436,492,0.4698275862068966
140,388,360,0.5187165775401069
141,302,647,0.31822971548998946
143,903,232,0.7955947136563877
144,971,4626,0.17348579596212257
145,503,159,0.7598187311178247
146,190,210,0.475
147,254,1042,0.19598765432098766
148,389,652,0.37367915465898177
149,303,314,0.49108589951377635
150,737,758,0.49297658862876254
151,439,611,0.4180952380952381
152,323,433,0.42724867724867727
153,347,472,0.4236874236874237
154,290,199,0.5930470347648262
155,303,412,0.42377622377622376
156,875,181,0.8285984848484849
157,276,471,0.36947791164658633
158,350,471,0.42630937880633374
159,199,267,0.4270386266094421
160,414,621,0.4
161,315,267,0.5412371134020618
162,473,355,0.571256038647343
163,526,638,0.4518900343642612
164,159,354,0.30994152046783624
165,221,185,0.5443349753694581
166,463,336,0.5794743429286608
167,248,399,0.38330757341576505
168,466,403,0.5362485615650172
169,216,407,0.3467094703049759
170,509,823,0.38213213213213215
171,210,332,0.3874538745387454
172,258,815,0.24044734389561975
173,553,939,0.37064343163538876
175,1169,2444,0.32355383337946303
176,397,628,0.3873170731707317
177,287,241,0.5435606060606061
178,554,791,0.41189591078066917
179,711,413,0.6325622775800712
180,243,293,0.4533582089552239
181,271,368,0.4241001564945227
182,309,780,0.2837465564738292
183,874,951,0.4789041095890411
184,264,220,0.5454545454545454
185,524,660,0.44256756756756754
186,504,596,0.4581818181818182
187,231,215,0.5179372197309418
188,711,1534,0.3167037861915368
189,288,709,0.2888665997993982
190,569,332,0.6315205327413984
191,194,166,0.5388888888888889
192,338,470,0.4183168316831683
193,391,669,0.36886792452830186
194,606,961,0.38672622846202936
195,186,387,0.32460732984293195
196,476,562,0.45857418111753373
197,384,561,0.40634920634920635
198,478,546,0.466796875
199,313,420,0.42701227830832195
200,405,583,0.409919028340081
201,424,338,0.5564304461942258
202,471,919,0.33884892086330937
203,457,417,0.522883295194508
204,414,826,0.3338709677419355
205,443,732,0.3770212765957447
206,655,896,0.4223081882656351
207,287,638,0.31027027027027027
208,290,111,0.7231920199501247
209,205,301,0.4051383399209486
210,392,403,0.4930817610062893
211,192,288,0.4
212,556,834,0.4
213,1012,2113,0.32384
214,402,516,0.43790849673202614
215,310,997,0.23718439173680184
216,400,714,0.3590664272890485
217,239,215,0.526431718061674
218,342,289,0.5419968304278923
219,571,464,0.5516908212560386
220,1223,552,0.6890140845070423
221,468,462,0.5032258064516129
222,478,480,0.4989561586638831
223,207,270,0.4339622641509434
224,253,150,0.6277915632754343
225,504,162,0.7567567567567568
226,295,437,0.4030054644808743
227,418,828,0.33547351524879615
228,438,633,0.40896358543417366
229,411,392,0.5118306351183064
230,348,296,0.5403726708074534
231,604,695,0.4649730561970747
232,702,947,0.4257125530624621
233,527,547,0.49068901303538176
234,348,462,0.42962962962962964
235,542,377,0.5897714907508161
236,448,747,0.37489539748953976
237,708,305,0.6989141164856861
238,422,210,0.6677215189873418
239,364,294,0.5531914893617021
240,226,299,0.43047619047619046
241,391,277,0.5853293413173652
242,492,437,0.5296017222820237
243,315,426,0.4251012145748988
245,859,1068,0.44577062791904515
246,275,260,0.514018691588785
247,1322,451,0.745628877608573
248,568,780,0.42136498516320475
249,208,292,0.416
250,331,382,0.4642356241234222
251,191,371,0.3398576512455516
252,261,280,0.4824399260628466
253,266,157,0.6288416075650118
254,388,346,0.5286103542234333
255,359,405,0.4698952879581152
256,407,443,0.4788235294117647
257,713,1396,0.3380749170222854
258,323,277,0.5383333333333333
259,1129,1477,0.433231005372218
260,395,731,0.35079928952042627
261,219,269,0.4487704918032787
262,856,477,0.6421605401350338
263,419,499,0.4564270152505447
264,717,992,0.4195435927442949
265,260,293,0.4701627486437613
266,255,238,0.5172413793103449
267,338,101,0.7699316628701595
268,446,729,0.37957446808510636
269,2203,1499,0.5950837385197191
270,573,559,0.5061837455830389
271,298,246,0.5477941176470589
272,643,678,0.4867524602573808
273,437,406,0.5183867141162515
274,482,505,0.48834853090172237
275,813,1194,0.40508221225710017
276,960,1365,0.4129032258064516
277,505,559,0.47462406015037595
278,673,883,0.43251928020565555
279,234,389,0.3756019261637239
280,346,336,0.5073313782991202
281,614,529,0.537182852143482
282,234,376,0.3836065573770492
283,237,304,0.43807763401109057
284,159,240,0.39849624060150374
285,309,320,0.4912559618441971
286,419,326,0.5624161073825503
287,446,223,0.6666666666666666
288,571,1161,0.32967667436489606
289,391,316,0.553041018387553
290,583,790,0.4246176256372906
291,573,836,0.40667139815471964
292,612,497,0.5518485121731289
293,323,565,0.36373873873873874
294,158,187,0.4579710144927536
295,164,213,0.4350132625994695
296,922,736,0.5560916767189384
297,399,341,0.5391891891891892
298,344,666,0.3405940594059406
299,309,309,0.5
300,522,1055,0.33100824350031705
301,332,247,0.5734024179620034
302,341,559,0.3788888888888889
303,586,1080,0.3517406962785114
304,111,140,0.44223107569721115
305,633,731,0.4640762463343108
306,417,215,0.6598101265822784
307,416,354,0.5402597402597402
308,238,498,0.3233695652173913
309,299,273,0.5227272727272727
310,580,539,0.5183199285075961
311,502,407,0.5522552255225522
312,403,719,0.3591800356506239
313,788,711,0.5256837891927952
314,391,408,0.48936170212765956
315,567,532,0.5159235668789809
316,423,653,0.39312267657992567
317,505,685,0.42436974789915966
318,264,275,0.4897959183673469
319,207,251,0.4519650655021834
320,367,450,0.44920440636474906
321,619,726,0.46022304832713756
322,493,929,0.3466947960618847
323,441,498,0.4696485623003195
324,528,702,0.4292682926829268
325,218,333,0.3956442831215971
326,431,447,0.4908883826879271
327,289,166,0.6351648351648351
328,131,248,0.34564643799472294
329,420,763,0.35502958579881655
330,404,401,0.5018633540372671
331,299,719,0.293713163064833
332,550,785,0.41198501872659177
333,950,1225,0.4367816091954023
334,217,180,0.5465994962216625
335,361,392,0.47941567065073043
336,350,504,0.4098360655737705
337,553,349,0.6130820399113082
338,286,733,0.2806673209028459
339,822,1092,0.42946708463949845
340,198,164,0.5469613259668509
341,224,234,0.4890829694323144
342,428,848,0.335423197492163
343,291,364,0.4442748091603053
344,302,488,0.3822784810126582
345,209,242,0.4634146341463415
346,180,288,0.38461538461538464
347,559,572,0.4942528735632184
348,658,1207,0.35281501340482574
349,602,746,0.4465875370919881
350,399,555,0.41823899371069184
351,330,670,0.33
352,268,284,0.4855072463768116
353,622,345,0.6432264736297828
354,395,533,0.42564655172413796
355,368,391,0.48484848484848486
356,318,224,0.5867158671586716
357,553,529,0.511090573012939
358,229,168,0.5768261964735516
359,602,789,0.4327821710999281
360,755,1077,0.412117903930131
361,371,530,0.4117647058823529
362,468,698,0.4013722126929674
363,347,433,0.44487179487179485
364,391,560,0.41114616193480547
365,513,918,0.3584905660377358
366,216,326,0.3985239852398524
367,661,1030,0.3908929627439385
368,418,864,0.32605304212168484
369,285,183,0.6089743589743589
370,351,819,0.3
371,617,505,0.5499108734402852
372,682,664,0.5066864784546805
373,401,439,0.4773809523809524
374,172,385,0.3087971274685817
375,308,257,0.5451327433628319
376,382,569,0.40168243953732913
377,425,379,0.5286069651741293
378,418,375,0.5271122320302648
379,184,220,0.45544554455445546
380,426,644,0.3981308411214953
381,284,189,0.6004228329809725
382,264,315,0.45595854922279794
383,179,181,0.49722222222222223
384,568,571,0.4986830553116769
385,463,699,0.3984509466437177
386,354,462,0.4338235294117647
387,591,806,0.42304939155332855
388,338,396,0.4604904632152589
389,1011,1482,0.4055354993983153
390,458,565,0.447702834799609
391,471,564,0.45507246376811594
392,224,303,0.4250474383301708
393,216,210,0.5070422535211268
394,611,713,0.46148036253776437
395,554,935,0.37206178643384824
396,413,742,0.3575757575757576
397,514,675,0.432296047098402
398,335,537,0.3841743119266055
399,229,153,0.599476439790576
400,438,640,0.40630797773654914
401,291,155,0.6524663677130045
402,289,279,0.5088028169014085
403,463,498,0.481789802289282
404,339,490,0.4089264173703257
405,338,329,0.5067466266866567
406,500,567,0.46860356138706655
407,357,139,0.719758064516129
408,216,255,0.4585987261146497
409,300,323,0.48154093097913325
410,193,306,0.3867735470941884
411,487,358,0.5763313609467455
412,495,674,0.4234388366124893
413,352,609,0.36628511966701355
414,351,302,0.5375191424196019
415,685,1155,0.37228260869565216
416,375,164,0.6957328385899815
417,242,246,0.4959016393442623
418,426,715,0.3733567046450482
419,240,294,0.449438202247191
420,531,285,0.6507352941176471
421,1424,1286,0.5254612546125461
422,166,332,0.3333333333333333
423,310,330,0.484375
424,482,671,0.41803989592367735
425,479,318,0.6010037641154329
426,266,402,0.39820359281437123
427,259,189,0.578125
428,402,719,0.3586083853702052
429,285,569,0.3337236533957845
430,288,347,0.45354330708661417
431,226,249,0.47578947368421054
432,638,152,0.8075949367088607
433,421,279,0.6014285714285714
434,550,1128,0.32777115613825986
435,280,245,0.5333333333333333
436,274,304,0.4740484429065744
437,314,538,0.3685446009389671
438,358,279,0.5620094191522763
439,590,757,0.43801039346696363
440,414,226,0.646875
441,305,328,0.48183254344391785
442,199,2857,0.06511780104712042
443,239,195,0.5506912442396313
444,382,505,0.4306651634723788
445,191,307,0.38353413654618473
446,549,1239,0.3070469798657718
447,242,409,0.3717357910906298
448,221,287,0.43503937007874016
449,554,707,0.4393338620142744
450,447,530,0.45752302968270214
451,939,321,0.7452380952380953
452,548,1192,0.31494252873563217
453,296,409,0.4198581560283688
454,356,573,0.3832077502691066
455,339,480,0.4139194139194139
456,944,1168,0.44696969696969696
457,1820,2063,0.46870976049446306
458,437,734,0.3731853116994022
459,1155,153,0.8830275229357798
461,268,301,0.4710017574692443
462,345,386,0.4719562243502052
463,444,273,0.6192468619246861
464,650,847,0.43420173680694724
465,679,580,0.5393169181890389
466,311,472,0.39719029374201786
467,503,720,0.41128372853638595
468,369,845,0.3039538714991763
469,201,418,0.3247172859450727
470,466,654,0.4160714285714286
471,427,168,0.7176470588235294
472,377,598,0.38666666666666666
473,451,654,0.4081447963800905
474,834,1118,0.42725409836065575
475,481,469,0.5063157894736842
476,852,1131,0.4296520423600605
477,277,310,0.47189097103918226
478,276,537,0.33948339483394835
479,369,686,0.34976303317535545
480,707,117,0.8580097087378641
481,386,396,0.4936061381074169
482,387,454,0.460166468489893
483,153,267,0.36428571428571427
484,248,290,0.46096654275092935
485,300,193,0.6085192697768763
486,527,288,0.6466257668711657
487,498,855,0.36807095343680707
488,821,1204,0.4054320987654321
489,464,572,0.44787644787644787
490,299,456,0.39602649006622515
491,477,867,0.3549107142857143
492,300,417,0.41841004184100417
493,630,971,0.3935040599625234
494,357,349,0.5056657223796034
495,406,527,0.43515541264737406
496,402,809,0.3319570602807597
497,778,823,0.48594628357276703
498,345,506,0.40540540540540543
499,244,339,0.41852487135506006
500,765,853,0.47280593325092707
501,226,135,0.6260387811634349
502,818,909,0.4736537348002316
503,1249,1909,0.3955034832172261
504,383,280,0.5776772247360482
505,770,578,0.5712166172106825
506,289,412,0.4122681883024251
507,407,485,0.4562780269058296
508,380,420,0.475
509,357,340,0.5121951219512195
510,368,524,0.4125560538116592
511,426,728,0.36915077989601386
512,371,487,0.4324009324009324
513,116,299,0.27951807228915665
514,563,495,0.5321361058601134
515,234,420,0.3577981651376147
516,616,996,0.38213399503722084
517,346,395,0.4669365721997301
518,475,595,0.4439252336448598
519,241,313,0.43501805054151627
520,436,126,0.7758007117437722
521,804,833,0.49114233353695785
522,381,716,0.3473108477666363
523,461,1463,0.2396049896049896
524,602,1131,0.3473744950952106
525,448,407,0.5239766081871345
526,693,679,0.5051020408163265
527,497,675,0.42406143344709896
528,143,284,0.33489461358313816
529,544,575,0.48614834673815904
530,316,183,0.6332665330661322
531,201,302,0.3996023856858847
532,234,188,0.5545023696682464
533,584,518,0.52994555353902
534,199,246,0.44719101123595506
535,282,202,0.5826446280991735
536,141,411,0.2554347826086957
537,397,815,0.32755775577557755
538,287,383,0.42835820895522386
539,270,476,0.36193029490616624
540,294,625,0.31991294885745375
541,481,1077,0.3087291399229782
542,438,164,0.7275747508305648
543,373,475,0.43985849056603776
544,441,268,0.6220028208744711
545,219,259,0.4581589958158996
546,256,178,0.5898617511520737
547,571,721,0.4419504643962848
548,520,449,0.5366357069143447
549,398,279,0.5878877400295421
550,234,416,0.36
551,691,775,0.4713506139154161
552,278,375,0.42572741194486985
553,288,446,0.3923705722070845
554,259,276,0.48411214953271026
555,281,512,0.35435056746532156
556,796,680,0.5392953929539296
557,524,981,0.3481727574750831
558,254,312,0.44876325088339225
559,882,70,0.9264705882352942
560,265,155,0.6309523809523809
561,509,666,0.43319148936170215
562,326,278,0.5397350993377483
563,567,1259,0.31051478641840086
564,429,618,0.40974212034383956
565,254,306,0.45357142857142857
566,262,275,0.48789571694599626
567,421,479,0.4677777777777778
568,215,422,0.33751962323390894
569,381,472,0.4466588511137163
570,441,495,0.47115384615384615
571,312,327,0.48826291079812206
572,261,311,0.4562937062937063
573,684,844,0.4476439790575916
574,623,804,0.4365802382620883
575,399,490,0.44881889763779526
576,340,505,0.40236686390532544
577,322,395,0.4490934449093445
578,1090,609,0.6415538552089465
579,117,348,0.25161290322580643
580,375,410,0.47770700636942676
581,342,534,0.3904109589041096
582,298,237,0.5570093457943925
583,294,688,0.29938900203665986
584,419,241,0.6348484848484849
585,297,364,0.4493192133131619
586,264,236,0.528
587,306,260,0.5406360424028268
588,1047,1292,0.4476271911073108
589,364,306,0.5432835820895522
590,319,523,0.37885985748218526
591,422,864,0.328149300155521
592,300,602,0.3325942350332594
593,242,151,0.6157760814249363
594,342,135,0.7169811320754716
595,160,110,0.5925925925925926
596,542,770,0.41310975609756095
597,481,281,0.631233595800525
598,369,362,0.5047879616963065
599,463,471,0.49571734475374735
600,844,953,0.46967167501391205
601,222,336,0.3978494623655914
602,215,153,0.5842391304347826
603,274,376,0.42153846153846153
604,261,320,0.44922547332185886
605,353,539,0.3957399103139013
606,214,355,0.37609841827768015
607,380,535,0.41530054644808745
608,509,766,0.3992156862745098
609,206,408,0.3355048859934853
610,159,462,0.2560386473429952
611,518,109,0.8261562998405104
612,372,348,0.5166666666666667
613,556,766,0.4205748865355522
614,218,307,0.41523809523809524
615,279,326,0.46115702479338844
616,522,571,0.4775846294602013
617,342,400,0.4609164420485175
618,481,465,0.5084566596194503
619,673,1329,0.33616383616383616
620,328,152,0.6833333333333333
621,324,419,0.4360699865410498
622,368,246,0.5993485342019544
623,397,817,0.3270181219110379
624,484,760,0.3890675241157556
625,211,456,0.31634182908545727
626,383,592,0.39282051282051283
627,230,310,0.42592592592592593
628,1192,1248,0.4885245901639344
629,550,702,0.43929712460063897
630,420,388,0.5198019801980198
