CUSTNO,주말,평일,주말 비율
1,103.0,282.0,0.2675324675324675
2,104.0,283.0,0.268733850129199
3,77.0,282.0,0.21448467966573817
4,68.0,313.0,0.1784776902887139
6,137.0,488.0,0.2192
7,134.0,161.0,0.4542372881355932
8,414.0,390.0,0.5149253731343284
9,107.0,172.0,0.3835125448028674
10,561.0,811.0,0.40889212827988336
11,96.0,141.0,0.4050632911392405
12,45.0,166.0,0.2132701421800948
13,252.0,1006.0,0.20031796502384738
14,111.0,324.0,0.25517241379310346
15,123.0,286.0,0.30073349633251834
16,66.0,225.0,0.2268041237113402
17,179.0,264.0,0.4040632054176072
18,44.0,119.0,0.26993865030674846
19,69.0,137.0,0.33495145631067963
20,102.0,241.0,0.29737609329446063
21,311.0,567.0,0.3542141230068337
22,50.0,134.0,0.2717391304347826
23,115.0,115.0,0.5
24,65.0,229.0,0.22108843537414966
25,44.0,224.0,0.16417910447761194
26,89.0,348.0,0.2036613272311213
27,140.0,129.0,0.5204460966542751
28,62.0,423.0,0.12783505154639174
29,161.0,234.0,0.40759493670886077
30,148.0,688.0,0.17703349282296652
31,317.0,99.0,0.7620192307692307
32,139.0,425.0,0.24645390070921985
33,315.0,695.0,0.3118811881188119
34,127.0,144.0,0.46863468634686345
35,190.0,249.0,0.4328018223234624
36,67.0,283.0,0.19142857142857142
37,174.0,243.0,0.4172661870503597
38,246.0,800.0,0.23518164435946462
39,45.0,191.0,0.1906779661016949
40,26.0,297.0,0.0804953560371517
41,19.0,336.0,0.05352112676056338
42,252.0,744.0,0.25301204819277107
43,148.0,398.0,0.27106227106227104
44,119.0,232.0,0.33903133903133903
45,71.0,228.0,0.23745819397993312
46,59.0,219.0,0.21223021582733814
47,170.0,349.0,0.32755298651252407
48,114.0,169.0,0.4028268551236749
49,56.0,207.0,0.21292775665399238
50,166.0,540.0,0.23512747875354106
51,124.0,408.0,0.23308270676691728
52,188.0,353.0,0.34750462107208874
53,74.0,191.0,0.2792452830188679
54,58.0,214.0,0.21323529411764705
55,125.0,274.0,0.3132832080200501
56,96.0,196.0,0.3287671232876712
57,135.0,547.0,0.19794721407624633
58,125.0,117.0,0.5165289256198347
59,116.0,202.0,0.36477987421383645
60,175.0,426.0,0.2911813643926789
61,142.0,516.0,0.21580547112462006
62,80.0,282.0,0.22099447513812154
63,63.0,175.0,0.2647058823529412
64,39.0,152.0,0.20418848167539266
65,100.0,261.0,0.2770083102493075
66,233.0,608.0,0.27705112960760997
67,146.0,758.0,0.16150442477876106
68,101.0,401.0,0.20119521912350596
69,257.0,1244.0,0.17121918720852763
70,44.0,63.0,0.411214953271028
71,80.0,375.0,0.17582417582417584
72,194.0,266.0,0.4217391304347826
73,117.0,85.0,0.5792079207920792
74,19.0,260.0,0.06810035842293907
75,66.0,243.0,0.21359223300970873
76,128.0,218.0,0.3699421965317919
77,5.0,385.0,0.01282051282051282
78,135.0,329.0,0.29094827586206895
79,130.0,704.0,0.15587529976019185
80,188.0,431.0,0.3037156704361874
81,106.0,262.0,0.28804347826086957
82,125.0,338.0,0.26997840172786175
83,152.0,303.0,0.33406593406593404
84,76.0,126.0,0.37623762376237624
85,180.0,219.0,0.45112781954887216
86,420.0,668.0,0.3860294117647059
87,101.0,106.0,0.48792270531400966
88,279.0,280.0,0.4991055456171735
89,203.0,667.0,0.23333333333333334
90,58.0,137.0,0.29743589743589743
91,42.0,315.0,0.11764705882352941
92,194.0,463.0,0.2952815829528158
93,80.0,288.0,0.21739130434782608
94,186.0,348.0,0.34831460674157305
95,184.0,339.0,0.35181644359464626
96,80.0,149.0,0.34934497816593885
97,259.0,455.0,0.3627450980392157
98,75.0,149.0,0.33482142857142855
99,118.0,417.0,0.2205607476635514
100,83.0,153.0,0.3516949152542373
101,113.0,233.0,0.3265895953757225
102,185.0,820.0,0.18407960199004975
103,94.0,256.0,0.26857142857142857
104,251.0,820.0,0.23436041083099907
105,214.0,555.0,0.27828348504551365
106,62.0,208.0,0.22962962962962963
107,94.0,219.0,0.3003194888178914
108,147.0,271.0,0.35167464114832536
109,143.0,360.0,0.28429423459244535
110,271.0,241.0,0.529296875
111,168.0,452.0,0.2709677419354839
112,136.0,311.0,0.3042505592841163
113,185.0,452.0,0.2904238618524333
114,90.0,232.0,0.2795031055900621
115,62.0,167.0,0.27074235807860264
116,104.0,521.0,0.1664
117,135.0,405.0,0.25
118,72.0,170.0,0.2975206611570248
119,126.0,281.0,0.3095823095823096
120,86.0,369.0,0.189010989010989
121,78.0,313.0,0.19948849104859334
122,215.0,298.0,0.4191033138401559
123,206.0,435.0,0.3213728549141966
124,130.0,117.0,0.5263157894736842
125,109.0,141.0,0.436
126,172.0,552.0,0.23756906077348067
127,52.0,254.0,0.16993464052287582
128,103.0,270.0,0.2761394101876676
129,107.0,302.0,0.2616136919315403
130,239.0,112.0,0.6809116809116809
131,307.0,507.0,0.37714987714987713
132,172.0,383.0,0.3099099099099099
133,22.0,460.0,0.04564315352697095
134,114.0,250.0,0.3131868131868132
135,100.0,168.0,0.373134328358209
136,69.0,66.0,0.5111111111111111
137,134.0,375.0,0.2632612966601179
138,185.0,307.0,0.37601626016260165
139,116.0,453.0,0.2038664323374341
140,111.0,214.0,0.3415384615384615
141,86.0,495.0,0.14802065404475043
143,556.0,97.0,0.8514548238897397
144,53.0,1329.0,0.03835021707670044
145,183.0,148.0,0.552870090634441
146,34.0,147.0,0.1878453038674033
147,36.0,678.0,0.05042016806722689
148,126.0,422.0,0.22992700729927007
149,74.0,249.0,0.22910216718266255
150,222.0,443.0,0.33383458646616543
151,114.0,374.0,0.2336065573770492
152,112.0,124.0,0.4745762711864407
153,91.0,353.0,0.20495495495495494
154,107.0,160.0,0.40074906367041196
155,163.0,214.0,0.4323607427055703
156,223.0,250.0,0.4714587737843552
157,89.0,292.0,0.2335958005249344
158,136.0,290.0,0.3192488262910798
159,31.0,212.0,0.12757201646090535
160,102.0,519.0,0.1642512077294686
161,96.0,141.0,0.4050632911392405
162,148.0,226.0,0.39572192513368987
163,157.0,362.0,0.302504816955684
164,50.0,446.0,0.10080645161290322
165,71.0,118.0,0.37566137566137564
166,130.0,258.0,0.33505154639175255
167,72.0,289.0,0.1994459833795014
168,123.0,266.0,0.3161953727506427
169,81.0,410.0,0.164969450101833
170,86.0,658.0,0.11559139784946236
171,98.0,288.0,0.2538860103626943
172,103.0,468.0,0.18038528896672504
173,225.0,597.0,0.2737226277372263
175,150.0,1868.0,0.07433102081268583
176,166.0,377.0,0.30570902394106814
177,72.0,168.0,0.3
178,163.0,760.0,0.17659804983748645
179,246.0,345.0,0.41624365482233505
180,94.0,163.0,0.3657587548638132
181,98.0,319.0,0.23501199040767387
182,88.0,524.0,0.1437908496732026
183,184.0,781.0,0.19067357512953367
184,96.0,78.0,0.5517241379310345
185,253.0,438.0,0.3661360347322721
186,185.0,487.0,0.27529761904761907
187,77.0,197.0,0.28102189781021897
188,257.0,1169.0,0.18022440392706873
189,118.0,491.0,0.19376026272577998
190,220.0,286.0,0.43478260869565216
191,83.0,108.0,0.43455497382198954
192,132.0,358.0,0.2693877551020408
193,90.0,463.0,0.162748643761302
194,182.0,703.0,0.20564971751412428
195,96.0,293.0,0.2467866323907455
196,175.0,408.0,0.30017152658662094
197,121.0,435.0,0.21762589928057555
198,152.0,401.0,0.27486437613019893
199,147.0,327.0,0.310126582278481
200,84.0,244.0,0.25609756097560976
201,142.0,152.0,0.48299319727891155
202,120.0,604.0,0.16574585635359115
203,167.0,261.0,0.3901869158878505
204,170.0,574.0,0.22849462365591397
205,112.0,459.0,0.19614711033274956
206,159.0,585.0,0.21370967741935484
207,54.0,449.0,0.1073558648111332
208,73.0,46.0,0.6134453781512605
209,71.0,209.0,0.25357142857142856
210,207.0,295.0,0.4123505976095618
211,105.0,172.0,0.37906137184115524
212,193.0,486.0,0.28424153166421207
213,183.0,1621.0,0.10144124168514412
214,91.0,288.0,0.24010554089709762
215,121.0,630.0,0.1611185086551265
216,120.0,393.0,0.23391812865497075
217,82.0,159.0,0.34024896265560167
218,100.0,208.0,0.3246753246753247
219,205.0,365.0,0.35964912280701755
220,492.0,357.0,0.5795053003533569
221,189.0,308.0,0.38028169014084506
222,114.0,402.0,0.22093023255813954
223,55.0,220.0,0.2
224,74.0,123.0,0.3756345177664975
225,138.0,135.0,0.5054945054945055
226,88.0,233.0,0.27414330218068533
227,43.0,523.0,0.07597173144876325
228,180.0,644.0,0.21844660194174756
229,176.0,232.0,0.43137254901960786
230,144.0,254.0,0.36180904522613067
231,237.0,459.0,0.34051724137931033
232,186.0,568.0,0.246684350132626
233,174.0,409.0,0.29845626072041165
234,96.0,345.0,0.21768707482993196
235,215.0,249.0,0.46336206896551724
236,143.0,506.0,0.22033898305084745
237,379.0,181.0,0.6767857142857143
238,16.0,324.0,0.047058823529411764
239,124.0,267.0,0.3171355498721228
240,77.0,115.0,0.4010416666666667
241,148.0,248.0,0.37373737373737376
242,285.0,323.0,0.46875
243,99.0,322.0,0.23515439429928742
245,155.0,942.0,0.14129443938012762
246,135.0,214.0,0.3868194842406877
247,515.0,228.0,0.693135935397039
248,326.0,523.0,0.3839811542991755
249,21.0,294.0,0.06666666666666667
250,107.0,301.0,0.2622549019607843
251,20.0,306.0,0.06134969325153374
252,75.0,135.0,0.35714285714285715
253,94.0,107.0,0.46766169154228854
254,100.0,190.0,0.3448275862068966
255,42.0,312.0,0.11864406779661017
256,140.0,434.0,0.24390243902439024
257,174.0,813.0,0.1762917933130699
258,159.0,235.0,0.4035532994923858
259,231.0,986.0,0.18981101068200493
260,79.0,337.0,0.18990384615384615
261,41.0,178.0,0.1872146118721461
262,271.0,399.0,0.4044776119402985
263,116.0,333.0,0.2583518930957684
264,269.0,596.0,0.3109826589595376
265,55.0,175.0,0.2391304347826087
266,63.0,303.0,0.1721311475409836
267,138.0,81.0,0.6301369863013698
268,111.0,496.0,0.1828665568369028
269,745.0,1278.0,0.36826495304003953
270,215.0,427.0,0.3348909657320872
271,116.0,76.0,0.6041666666666666
272,218.0,555.0,0.2820181112548512
273,102.0,417.0,0.19653179190751446
274,261.0,367.0,0.4156050955414013
275,256.0,857.0,0.23000898472596587
276,291.0,933.0,0.23774509803921567
277,161.0,414.0,0.28
278,107.0,572.0,0.15758468335787923
279,17.0,210.0,0.07488986784140969
280,92.0,175.0,0.3445692883895131
281,260.0,336.0,0.436241610738255
282,84.0,211.0,0.2847457627118644
283,80.0,222.0,0.26490066225165565
284,73.0,207.0,0.26071428571428573
285,6.0,329.0,0.01791044776119403
286,130.0,247.0,0.3448275862068966
287,160.0,236.0,0.40404040404040403
288,124.0,821.0,0.1312169312169312
289,204.0,148.0,0.5795454545454546
290,150.0,637.0,0.1905972045743329
291,120.0,646.0,0.1566579634464752
292,157.0,375.0,0.2951127819548872
293,82.0,406.0,0.1680327868852459
294,58.0,137.0,0.29743589743589743
295,34.0,232.0,0.12781954887218044
296,245.0,528.0,0.3169469598965071
297,125.0,310.0,0.28735632183908044
298,113.0,327.0,0.25681818181818183
299,95.0,264.0,0.2646239554317549
300,127.0,695.0,0.15450121654501217
301,82.0,127.0,0.3923444976076555
302,108.0,272.0,0.28421052631578947
303,178.0,749.0,0.19201725997842503
304,39.0,177.0,0.18055555555555555
305,200.0,443.0,0.3110419906687403
306,106.0,240.0,0.3063583815028902
307,216.0,178.0,0.5482233502538071
308,23.0,313.0,0.06845238095238096
309,138.0,142.0,0.4928571428571429
310,244.0,478.0,0.3379501385041551
311,116.0,278.0,0.29441624365482233
312,113.0,472.0,0.19316239316239317
313,211.0,297.0,0.4153543307086614
314,86.0,319.0,0.2123456790123457
315,181.0,416.0,0.30318257956448913
316,59.0,393.0,0.13053097345132744
317,140.0,430.0,0.24561403508771928
318,114.0,142.0,0.4453125
319,38.0,143.0,0.20994475138121546
320,187.0,250.0,0.4279176201372998
321,207.0,455.0,0.31268882175226587
322,174.0,543.0,0.24267782426778242
323,81.0,381.0,0.17532467532467533
324,166.0,437.0,0.2752902155887231
325,41.0,204.0,0.1673469387755102
326,169.0,429.0,0.2826086956521739
327,114.0,123.0,0.4810126582278481
328,9.0,186.0,0.046153846153846156
329,37.0,565.0,0.061461794019933555
330,388.0,784.0,0.3310580204778157
331,64.0,486.0,0.11636363636363636
332,168.0,519.0,0.2445414847161572
333,284.0,875.0,0.2450388265746333
334,86.0,142.0,0.37719298245614036
335,95.0,350.0,0.21348314606741572
336,57.0,327.0,0.1484375
337,198.0,334.0,0.37218045112781956
338,85.0,462.0,0.15539305301645337
339,275.0,813.0,0.25275735294117646
340,68.0,132.0,0.34
341,108.0,198.0,0.35294117647058826
342,103.0,557.0,0.15606060606060607
343,98.0,292.0,0.2512820512820513
344,78.0,119.0,0.39593908629441626
345,79.0,106.0,0.42702702702702705
346,25.0,234.0,0.09652509652509653
347,196.0,316.0,0.3828125
348,159.0,681.0,0.18928571428571428
349,139.0,428.0,0.24514991181657847
350,168.0,520.0,0.2441860465116279
351,56.0,269.0,0.1723076923076923
352,60.0,176.0,0.2542372881355932
353,290.0,310.0,0.48333333333333334
354,106.0,366.0,0.2245762711864407
355,131.0,263.0,0.33248730964467005
356,94.0,169.0,0.3574144486692015
357,205.0,326.0,0.3860640301318267
358,99.0,169.0,0.3694029850746269
359,195.0,499.0,0.28097982708933716
360,138.0,866.0,0.13745019920318724
361,123.0,374.0,0.24748490945674045
362,182.0,549.0,0.24897400820793433
363,83.0,262.0,0.24057971014492754
364,116.0,426.0,0.2140221402214022
365,128.0,377.0,0.25346534653465347
366,69.0,191.0,0.2653846153846154
367,158.0,464.0,0.2540192926045016
368,94.0,669.0,0.12319790301441677
369,91.0,158.0,0.3654618473895582
370,90.0,615.0,0.1276595744680851
371,257.0,465.0,0.3559556786703601
372,229.0,478.0,0.32390381895332393
373,232.0,327.0,0.4150268336314848
374,9.0,293.0,0.029801324503311258
375,114.0,204.0,0.3584905660377358
376,149.0,451.0,0.24833333333333332
377,132.0,274.0,0.3251231527093596
378,143.0,247.0,0.36666666666666664
379,118.0,174.0,0.4041095890410959
380,120.0,448.0,0.2112676056338028
381,148.0,97.0,0.6040816326530613
382,114.0,249.0,0.3140495867768595
383,40.0,159.0,0.20100502512562815
384,342.0,533.0,0.39085714285714285
385,176.0,389.0,0.31150442477876106
386,90.0,157.0,0.3643724696356275
387,208.0,490.0,0.2979942693409742
388,130.0,165.0,0.4406779661016949
389,371.0,1109.0,0.25067567567567567
390,136.0,417.0,0.24593128390596744
391,87.0,234.0,0.27102803738317754
392,106.0,216.0,0.32919254658385094
393,42.0,199.0,0.17427385892116182
394,127.0,673.0,0.15875
395,170.0,656.0,0.20581113801452786
396,96.0,366.0,0.2077922077922078
397,202.0,616.0,0.2469437652811736
398,86.0,254.0,0.2529411764705882
399,52.0,139.0,0.27225130890052357
400,65.0,463.0,0.12310606060606061
401,113.0,125.0,0.47478991596638653
402,116.0,163.0,0.4157706093189964
403,165.0,337.0,0.3286852589641434
404,79.0,344.0,0.1867612293144208
405,103.0,92.0,0.5282051282051282
406,195.0,517.0,0.273876404494382
407,115.0,48.0,0.7055214723926381
408,74.0,146.0,0.33636363636363636
409,88.0,185.0,0.32234432234432236
410,99.0,202.0,0.3289036544850498
411,227.0,229.0,0.49780701754385964
412,87.0,558.0,0.13488372093023257
413,72.0,513.0,0.12307692307692308
414,81.0,205.0,0.28321678321678323
415,277.0,907.0,0.23395270270270271
416,129.0,163.0,0.4417808219178082
417,36.0,121.0,0.22929936305732485
418,144.0,608.0,0.19148936170212766
419,21.0,178.0,0.10552763819095477
420,174.0,208.0,0.45549738219895286
421,390.0,1261.0,0.23622047244094488
422,31.0,156.0,0.1657754010695187
423,101.0,259.0,0.28055555555555556
424,200.0,423.0,0.32102728731942215
425,214.0,302.0,0.41472868217054265
426,20.0,309.0,0.060790273556231005
427,109.0,150.0,0.42084942084942084
428,76.0,508.0,0.13013698630136986
429,68.0,328.0,0.1717171717171717
430,92.0,186.0,0.33093525179856115
431,121.0,185.0,0.3954248366013072
