CUSTNO,Monetary_가구인테리어/잡화_고가_등급,Monetary_가구인테리어/잡화_저가_등급,Monetary_가구인테리어/잡화_중가_등급,Monetary_가전/레저취미/멀티샵_고가_등급,Monetary_가전/레저취미/멀티샵_저가_등급,Monetary_가전/레저취미/멀티샵_중가_등급,Monetary_교육문화/아동_고가_등급,Monetary_교육문화/아동_저가_등급,Monetary_교육문화/아동_중가_등급,Monetary_식품/생활_고가_등급,Monetary_식품/생활_저가_등급,Monetary_식품/생활_중가_등급,Monetary_의류/이미용_고가_등급,Monetary_의류/이미용_저가_등급,Monetary_의류/이미용_중가_등급,Monetary_침구/주방_고가_등급,Monetary_침구/주방_저가_등급,Monetary_침구/주방_중가_등급
1,0,1,3,1,0,2,0,0,0,0,0,2,0,0,-1,0,2,5
2,3,-1,3,0,4,0,0,0,5,2,-1,2,0,-3,0,4,0,-7
3,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0
4,0,-1,-1,0,0,0,0,-4,0,-1,-1,1,-1,0,0,1,0,0
6,-1,0,-1,0,0,0,0,0,0,1,2,2,0,0,-1,4,3,2
7,0,1,0,2,0,2,0,0,0,-3,0,0,-3,1,4,-1,-1,2
8,0,0,-3,3,0,-3,0,0,0,0,-1,0,0,0,1,1,0,0
9,2,-7,-1,5,0,1,0,0,0,-2,0,-1,2,0,-1,0,0,0
10,0,0,-2,0,-3,0,0,0,0,1,1,-1,-1,-1,1,-2,-2,1
11,-6,-3,-6,0,0,-3,0,0,-2,0,0,1,-1,0,-4,0,0,2
12,0,-3,0,0,-2,0,0,0,0,-1,0,0,0,0,-2,0,0,-1
13,0,-1,2,0,0,0,0,-1,0,0,-1,-1,-1,0,1,0,0,0
14,-1,4,1,1,-1,-1,0,0,0,-1,0,0,0,0,1,1,1,1
15,0,-2,2,0,0,-1,0,-1,0,1,1,-1,-5,0,1,0,1,-1
16,-1,1,0,0,0,0,-2,0,-2,2,0,2,0,1,1,0,0,0
17,-2,-2,-1,0,0,0,0,0,0,-4,0,-6,3,0,-2,0,-3,0
18,0,0,3,0,0,1,0,3,0,-1,-1,0,1,0,0,0,0,0
19,-1,-2,-1,-2,0,0,0,0,0,0,0,-1,-2,0,0,1,0,2
20,2,2,-1,1,0,4,0,0,0,-1,-1,3,-2,-1,0,0,0,0
21,0,0,-1,0,-4,-2,0,-2,-3,0,-2,-1,4,0,-3,0,2,0
22,3,0,-2,2,0,0,0,0,0,-2,0,0,-1,0,0,-1,0,0
23,0,0,-2,1,0,-1,0,0,0,-1,0,4,0,0,0,1,0,-4
24,0,1,0,0,5,-1,0,0,0,-3,0,0,0,4,0,0,-2,-1
25,0,-1,1,-1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
26,2,-1,0,0,0,1,0,0,0,-1,-2,-2,-1,0,3,0,0,-2
27,1,0,0,-1,0,0,0,0,-5,0,-1,0,1,0,-2,-2,0,0
28,0,-1,0,0,0,0,0,0,0,-1,-1,-2,-1,1,0,0,-1,0
29,1,3,-2,-3,0,1,0,0,-2,2,0,0,0,1,0,2,2,2
30,-2,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-5,-2,-2,-3
31,0,1,-1,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,0
32,0,2,0,0,-2,2,0,0,0,1,0,1,0,-1,0,0,1,0
33,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-2,2,0,3
35,0,-2,1,0,-1,-1,0,0,0,-2,-1,-2,1,2,0,3,0,-2
36,0,-4,-1,0,0,2,0,0,-3,-1,0,-1,-3,0,0,-6,0,-5
37,0,0,0,-1,0,0,0,0,0,-3,-1,2,0,0,-2,-2,0,0
38,0,2,-1,0,-1,0,1,-2,-1,0,0,1,0,1,0,0,4,2
39,0,-2,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0
40,0,1,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,2,3
41,2,0,0,0,0,2,0,0,0,0,-1,1,-1,0,-1,0,0,0
42,0,3,1,0,-2,0,0,0,0,-1,0,0,1,1,0,0,0,0
43,0,0,0,0,-1,0,0,1,0,0,0,-1,0,1,0,0,-3,0
44,0,3,2,0,0,-1,0,0,0,-1,-1,1,0,0,2,-1,-2,0
45,-1,-1,2,-1,0,2,1,0,0,1,0,1,0,-1,-1,0,2,0
46,4,-3,3,3,0,-3,0,0,0,-2,0,1,-2,0,-3,2,0,0
47,0,4,2,-1,0,1,0,1,1,0,2,0,1,-1,0,0,0,0
48,0,2,1,0,0,3,0,0,1,4,0,-1,0,-1,0,-1,0,3
49,-1,3,-1,-1,0,0,0,0,-2,4,0,0,0,0,1,2,0,0
50,-1,1,-2,0,0,1,0,0,2,-1,0,2,-2,2,-2,0,0,-2
51,0,1,-2,-2,0,0,0,1,0,1,0,2,-1,0,-1,1,1,-1
52,0,1,0,0,-2,-2,0,0,-2,0,1,-1,-2,0,-1,2,0,4
53,-2,0,-1,0,0,-2,0,0,0,0,0,1,-2,0,1,2,0,0
54,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,2,0,0,0
55,0,0,0,0,-1,2,0,0,0,-1,-1,0,0,2,0,0,1,0
56,-4,1,-4,2,0,0,0,0,-5,0,-1,0,2,0,0,-4,0,-3
57,0,0,0,0,1,0,0,0,0,5,0,0,0,-2,0,0,0,0
58,1,2,0,0,0,-1,0,0,-1,0,0,-1,-1,0,0,0,0,0
59,-2,0,0,0,0,0,0,0,0,1,1,0,-1,0,-1,1,0,0
60,0,-1,-1,0,-2,-2,0,0,1,0,0,-2,0,1,-2,2,1,0
61,0,1,1,0,2,0,1,1,1,-1,1,0,-1,0,-1,1,-1,2
62,-1,0,0,-2,0,2,0,0,1,0,1,2,2,1,-2,-2,1,-1
63,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
65,-1,-2,0,0,0,1,0,0,0,1,0,1,0,-4,2,-2,1,2
66,0,1,0,0,2,-1,0,0,0,-1,0,0,-2,-1,1,0,-2,0
67,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,0,0,-1,-1
68,2,-1,0,0,0,0,-3,1,5,-2,0,0,5,0,0,2,0,3
69,0,-2,0,0,-1,0,0,0,0,0,-1,1,0,-1,0,0,0,0
70,-1,1,3,0,0,-1,0,0,0,1,1,2,0,0,0,-2,0,-1
71,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,1
72,0,0,0,0,-1,1,0,-1,1,1,-1,-1,0,1,0,0,-1,0
73,0,0,0,-1,0,5,0,0,3,-2,1,0,4,0,1,0,0,0
74,2,2,-2,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0
75,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
76,-1,-2,0,0,0,-2,0,0,-1,0,1,0,0,1,-2,-2,0,-1
77,1,0,0,0,0,0,0,5,2,-1,-1,1,0,-3,0,0,-1,0
78,0,0,-3,4,0,-2,0,0,0,-2,0,0,-1,-2,-1,0,-2,0
79,0,0,0,0,0,-2,0,0,-1,1,0,-2,-2,1,1,-2,0,0
80,0,1,0,0,0,0,0,0,0,0,0,0,2,-1,-1,1,0,1
81,-1,-1,-1,0,2,0,0,0,0,-1,0,3,-2,0,0,-1,0,-1
82,-5,-1,2,1,0,-1,0,0,-2,0,0,1,1,-1,-2,-1,0,3
83,0,-2,0,-1,0,1,0,0,0,-1,0,0,0,0,-3,6,2,-3
84,-3,1,4,2,0,3,0,-1,0,-1,0,0,-4,-2,0,-1,2,-1
85,0,-1,1,0,0,-1,0,0,0,-2,0,-3,1,1,1,-1,0,1
86,-1,2,0,0,-3,0,0,0,-1,1,0,1,0,0,1,-2,1,2
87,0,-2,1,5,0,-3,0,0,-3,3,-1,3,0,0,0,3,0,3
88,0,1,6,3,0,0,0,0,0,-3,2,2,-2,-1,-1,1,2,-2
89,0,3,-1,0,4,4,0,-1,-1,0,0,-1,-1,-2,0,0,0,-1
90,0,-2,-2,-2,0,1,0,0,0,-1,0,-1,0,0,-1,2,0,0
91,0,-1,-2,0,0,0,0,0,-1,0,0,1,2,0,0,0,-2,0
92,0,0,-3,-1,0,0,1,3,0,0,0,0,1,0,-2,-1,3,2
93,0,3,-3,0,0,0,0,0,0,4,1,1,-1,0,1,0,0,0
94,0,-2,3,-1,-1,-1,0,0,0,-1,0,1,1,0,0,0,-2,-3
95,0,3,0,0,1,0,0,1,0,0,0,-1,1,2,0,0,-2,0
96,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
97,0,3,0,0,0,0,0,0,-2,4,-1,5,0,1,-1,0,2,-3
98,-2,0,3,0,0,1,0,0,1,-1,0,-1,0,-2,2,5,0,1
99,-1,-3,-5,-1,3,0,2,-1,0,1,0,-1,-1,1,0,2,3,1
100,1,1,-1,0,0,-2,0,0,2,1,0,0,0,3,1,2,0,2
101,0,5,0,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0
102,0,-3,-2,-3,0,1,0,0,0,-3,2,1,-1,1,0,-4,3,-1
103,0,2,0,0,2,0,0,0,0,1,-1,0,0,0,0,0,-2,0
104,0,0,0,0,0,0,-2,0,0,1,-2,0,0,0,0,0,1,-1
105,0,-1,2,0,0,-2,1,1,-1,2,-1,2,0,0,-1,-1,1,-1
106,0,1,-1,-2,0,-3,0,0,1,0,1,0,-2,2,-1,0,2,1
107,-2,1,-3,-2,0,-2,0,0,-2,1,0,-2,0,0,-1,-2,0,0
108,-1,-1,-2,0,0,-3,0,0,0,-1,0,0,0,0,0,0,0,0
109,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0
110,0,-2,-2,0,0,0,-1,0,2,1,0,0,-1,-2,1,-2,0,3
111,0,-1,0,0,0,0,0,-3,0,1,-1,0,0,0,0,0,1,-1
112,0,-1,0,0,0,-5,0,0,1,-1,1,-3,0,2,1,0,2,0
113,-1,-1,-1,-4,0,0,3,4,-1,-1,0,-1,-2,2,1,1,-2,-2
114,2,2,0,1,0,0,0,0,-1,0,0,0,-2,2,0,1,0,-2
115,2,-3,-1,0,0,-2,0,0,0,-1,-1,2,0,0,0,-1,0,0
116,0,-2,0,0,-2,0,0,0,0,0,0,0,-1,2,-2,0,0,0
117,-2,2,0,0,0,-1,0,0,0,0,-1,0,-2,-3,-2,0,1,-3
118,-1,3,-1,1,0,-1,0,0,0,-1,1,0,0,-2,1,-1,0,4
119,-2,0,5,-1,0,1,0,0,2,-1,-1,2,1,-1,4,2,0,-1
120,2,0,2,0,0,-3,0,0,0,-2,0,0,0,0,-3,1,0,-4
