CUSTNO,변동폭_Monetary_가구인테리어/잡화_고가_등급,변동폭_Monetary_가구인테리어/잡화_저가_등급,변동폭_Monetary_가구인테리어/잡화_중가_등급,변동폭_Monetary_가전/레저취미/멀티샵_고가_등급,변동폭_Monetary_가전/레저취미/멀티샵_저가_등급,변동폭_Monetary_가전/레저취미/멀티샵_중가_등급,변동폭_Monetary_교육문화/아동_고가_등급,변동폭_Monetary_교육문화/아동_저가_등급,변동폭_Monetary_교육문화/아동_중가_등급,변동폭_Monetary_식품/생활_고가_등급,변동폭_Monetary_식품/생활_저가_등급,변동폭_Monetary_식품/생활_중가_등급,변동폭_Monetary_의류/이미용_고가_등급,변동폭_Monetary_의류/이미용_저가_등급,변동폭_Monetary_의류/이미용_중가_등급,변동폭_Monetary_침구/주방_고가_등급,변동폭_Monetary_침구/주방_저가_등급,변동폭_Monetary_침구/주방_중가_등급,절대변동폭_Monetary_가구인테리어/잡화_고가_등급,절대변동폭_Monetary_가구인테리어/잡화_저가_등급,절대변동폭_Monetary_가구인테리어/잡화_중가_등급,절대변동폭_Monetary_가전/레저취미/멀티샵_고가_등급,절대변동폭_Monetary_가전/레저취미/멀티샵_저가_등급,절대변동폭_Monetary_가전/레저취미/멀티샵_중가_등급,절대변동폭_Monetary_교육문화/아동_고가_등급,절대변동폭_Monetary_교육문화/아동_저가_등급,절대변동폭_Monetary_교육문화/아동_중가_등급,절대변동폭_Monetary_식품/생활_고가_등급,절대변동폭_Monetary_식품/생활_저가_등급,절대변동폭_Monetary_식품/생활_중가_등급,절대변동폭_Monetary_의류/이미용_고가_등급,절대변동폭_Monetary_의류/이미용_저가_등급,절대변동폭_Monetary_의류/이미용_중가_등급,절대변동폭_Monetary_침구/주방_고가_등급,절대변동폭_Monetary_침구/주방_저가_등급,절대변동폭_Monetary_침구/주방_중가_등급
1,-2,4,-2,2,0,0,0,0,2,2,-1,0,0,0,-1,-3,0,-1,0,0,10,2,0,2,0,0,0,4,2,2,2,0,2,4,0,10
2,0,-1,2,0,3,0,0,0,0,2,0,0,0,0,-3,0,0,-4,0,0,0,2,6,4,0,0,2,2,0,0,2,0,2,0,0,0
3,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4,0,-1,2,-2,0,0,0,0,0,0,0,0,-1,-1,-2,-2,0,-1,0,0,2,2,2,0,0,0,0,0,2,2,4,0,4,0,2,4
6,-1,-2,-1,0,0,0,0,0,0,-1,1,0,-1,0,-1,0,0,2,2,6,4,0,4,0,0,0,0,0,2,0,0,0,2,4,0,4
7,-3,0,-3,1,0,1,0,-2,0,0,0,1,-2,-1,4,0,-1,-2,0,4,2,2,0,4,0,4,6,0,0,2,2,0,8,4,2,0
8,0,2,0,1,0,1,0,-3,0,0,-1,-1,0,0,-2,-1,3,0,0,0,0,6,0,2,0,0,6,0,0,2,2,0,4,2,6,0
9,-2,1,0,3,0,4,0,0,0,0,0,0,-2,0,-1,6,0,0,0,0,0,6,0,0,0,0,0,2,0,0,2,0,4,12,0,0
10,0,1,0,0,0,-1,0,0,1,0,1,1,0,1,1,0,-1,-3,4,4,0,0,0,2,0,0,0,0,2,0,4,2,0,0,4,0
11,-4,-1,4,1,-1,-3,0,0,0,1,2,0,1,0,0,-2,1,1,4,4,6,2,0,6,0,0,2,2,2,6,0,0,2,2,2,2
12,0,4,0,0,0,0,0,0,0,1,0,0,-1,-2,0,0,1,0,0,8,0,0,0,0,0,0,0,4,2,0,0,0,4,0,0,0
