CUSTNO,Frequency_가구인테리어/잡화_고가_증감여부,Frequency_가구인테리어/잡화_저가_증감여부,Frequency_가구인테리어/잡화_중가_증감여부,Frequency_가전/레저취미/멀티샵_고가_증감여부,Frequency_가전/레저취미/멀티샵_저가_증감여부,Frequency_가전/레저취미/멀티샵_중가_증감여부,Frequency_교육문화/아동_고가_증감여부,Frequency_교육문화/아동_저가_증감여부,Frequency_교육문화/아동_중가_증감여부,Frequency_식품/생활_고가_증감여부,Frequency_식품/생활_저가_증감여부,Frequency_식품/생활_중가_증감여부,Frequency_의류/이미용_고가_증감여부,Frequency_의류/이미용_저가_증감여부,Frequency_의류/이미용_중가_증감여부,Frequency_침구/주방_고가_증감여부,Frequency_침구/주방_저가_증감여부,Frequency_침구/주방_중가_증감여부
1,4,1,2,1,0,4,0,0,1,1,4,4,3,0,3,4,0,4
2,0,1,1,3,0,1,0,0,2,1,0,2,3,0,4,3,0,3
3,0,2,0,0,4,0,0,0,0,1,3,4,0,0,1,0,4,0
4,0,3,1,4,1,3,0,0,0,1,1,1,1,4,2,4,1,4
6,3,1,2,0,1,0,0,0,0,3,3,1,4,2,3,1,3,0
7,4,2,4,1,0,3,0,2,1,3,2,2,3,4,3,1,3,4
8,0,1,0,4,0,1,0,4,1,3,4,3,3,0,1,3,0,0
9,4,1,0,0,0,1,0,0,0,1,4,4,3,0,2,0,0,0
10,1,4,0,0,2,3,0,0,1,4,2,2,4,0,1,0,1,4
11,3,2,2,0,4,4,0,0,3,3,1,4,2,0,4,3,0,0
12,0,0,0,0,0,0,0,0,0,4,4,2,4,4,4,0,2,0
13,0,2,0,0,1,0,0,2,0,1,3,2,2,3,1,0,1,0
14,4,1,3,3,1,3,0,1,1,1,2,1,1,1,3,0,4,1
15,0,3,1,0,4,4,0,0,0,4,1,2,3,2,1,0,4,0
16,0,1,0,4,0,0,0,0,0,4,0,4,0,4,4,0,0,0
17,1,4,1,0,0,0,0,0,0,3,4,4,1,4,1,4,4,1
18,1,3,1,2,0,3,0,0,1,4,2,2,3,0,2,1,4,2
19,4,4,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1
20,0,3,0,1,0,1,0,0,1,3,0,3,0,0,4,0,0,1
21,0,0,1,0,1,1,3,1,4,4,3,4,0,3,3,0,3,1
22,2,4,1,0,0,0,0,0,0,2,0,1,1,0,0,4,0,0
23,3,4,3,2,0,2,0,0,0,2,3,4,4,0,3,4,4,1
24,1,2,4,0,1,3,0,0,0,3,3,2,0,1,4,0,1,0
25,1,3,3,0,0,4,0,0,0,1,3,4,1,2,1,1,0,0
26,2,2,2,1,0,4,0,0,4,3,0,3,2,0,1,3,0,4
27,1,0,3,0,0,1,0,0,0,2,1,1,1,1,2,0,0,0
28,0,1,1,0,0,0,0,1,0,4,1,1,0,1,4,0,1,0
29,2,2,4,3,0,3,0,0,2,1,4,4,2,2,3,3,3,1
30,3,2,1,0,4,1,0,0,0,3,2,2,3,4,0,2,2,3
31,0,3,2,1,0,0,0,0,3,3,0,1,4,0,4,4,0,0
32,0,4,2,1,2,0,0,1,3,2,4,3,0,4,3,0,4,0
33,0,2,0,0,0,0,0,0,0,2,2,2,1,3,1,0,2,1
34,0,3,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
35,4,1,3,0,0,0,0,0,0,1,1,1,1,1,2,4,1,0
36,1,1,1,4,0,4,0,1,1,1,4,1,4,0,4,3,1,2
37,1,3,4,1,0,0,0,0,1,2,1,2,4,0,0,0,0,4
38,1,4,1,0,2,0,0,2,4,3,4,3,4,3,1,0,2,4
39,1,1,0,0,0,0,0,0,0,3,1,1,2,0,1,0,0,0
40,1,3,0,4,0,4,0,0,2,1,1,1,3,1,1,1,3,4
41,1,1,4,1,0,0,0,0,0,2,2,2,0,4,1,0,0,1
42,0,4,1,0,4,1,0,1,0,3,4,3,4,2,1,0,1,0
43,0,1,0,0,0,0,0,0,0,2,2,1,0,1,1,0,2,0
44,3,4,0,1,0,1,0,0,0,3,4,4,0,4,4,0,4,0
45,0,1,0,4,0,4,0,0,1,2,1,2,4,2,3,4,3,0
46,1,1,0,4,0,1,0,0,0,3,1,3,2,0,1,0,0,0
47,4,2,1,0,4,2,0,1,1,2,1,1,4,3,3,1,1,1
48,4,4,1,4,0,1,0,0,0,1,1,3,2,0,4,4,1,4
49,2,2,0,0,0,1,0,0,4,3,0,1,2,0,4,2,0,0
50,0,2,1,0,2,1,0,1,2,3,1,1,4,2,4,2,0,1
51,0,2,1,0,0,1,0,3,1,2,2,2,2,3,4,0,3,1
52,3,3,4,0,4,4,0,0,0,2,1,4,4,4,1,3,4,1
53,1,4,1,2,4,1,0,0,0,4,1,4,4,0,0,0,0,0
54,0,3,4,0,0,0,0,0,0,2,0,2,2,0,1,0,0,0
55,0,3,0,0,0,4,0,0,0,4,3,3,0,4,4,0,4,0
56,1,1,1,0,0,0,0,0,3,4,1,1,1,1,4,3,0,1
57,4,2,0,0,1,0,0,0,0,1,2,2,0,3,4,0,3,0
58,2,1,4,0,0,3,0,0,3,3,0,2,1,0,4,0,0,1
59,3,1,1,0,0,0,0,0,0,4,4,4,2,4,0,3,4,0
60,0,4,0,0,2,0,0,2,1,2,2,3,2,1,2,2,3,0
61,3,1,3,0,0,4,0,0,0,1,1,1,3,3,1,1,2,1
62,0,4,0,1,0,4,2,0,3,1,1,1,1,1,3,0,4,0
63,0,4,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0
64,0,1,0,0,0,0,0,0,0,1,1,2,0,4,1,0,1,0
65,0,1,0,0,0,3,0,4,0,1,1,4,4,2,1,4,3,2
66,0,2,0,0,4,0,0,1,0,4,2,3,4,4,2,2,3,0
67,0,4,4,0,4,0,0,0,0,4,4,3,1,1,2,0,2,0
68,2,2,2,4,0,0,0,0,1,4,3,4,3,2,3,4,1,2
69,0,2,0,0,4,0,0,4,0,4,3,3,0,2,0,0,1,0
70,3,3,0,4,1,3,0,0,1,1,1,1,4,0,4,0,0,1
71,0,0,0,0,0,0,0,2,0,3,4,3,0,1,0,0,4,0
72,0,0,4,0,4,0,0,2,3,4,2,4,1,4,4,0,4,1
73,3,4,3,2,0,1,0,0,0,4,4,4,1,0,3,2,0,2
74,2,1,3,0,0,2,0,0,3,3,4,4,2,4,2,4,3,1
75,0,1,0,0,0,0,0,0,0,3,3,4,3,0,4,0,0,4
76,1,4,3,0,0,1,0,1,1,2,1,1,0,2,4,4,1,2
77,2,3,4,0,0,4,0,4,3,3,4,4,1,4,2,0,4,0
78,3,3,2,4,4,4,0,0,0,4,1,4,3,4,4,4,1,4
79,0,4,0,0,1,3,1,1,1,3,4,4,1,3,3,0,3,4
80,0,4,0,0,4,0,0,0,0,3,4,4,1,2,4,1,1,3
81,3,1,2,4,0,0,0,0,4,2,2,1,1,2,4,2,0,3
82,4,4,2,2,0,3,2,2,3,3,3,4,4,4,4,4,4,3
83,1,4,4,1,0,3,0,0,0,3,4,4,3,4,2,1,1,0
84,0,2,2,4,0,4,0,0,0,4,4,4,2,4,2,3,0,3
85,0,2,0,0,0,0,0,0,0,4,0,4,1,0,3,0,0,3
86,0,3,2,0,4,1,0,0,1,3,1,2,4,4,2,0,1,4
87,0,4,0,1,0,1,0,0,4,1,1,1,0,0,1,0,0,1
88,0,4,3,2,1,4,0,0,0,1,2,3,3,0,4,4,1,4
89,0,4,0,0,0,1,0,4,0,4,1,2,2,1,2,2,2,3
90,4,4,0,4,0,4,0,0,1,2,4,4,1,0,2,3,0,4
91,0,3,0,0,1,0,0,0,4,1,1,4,4,0,2,0,0,0
92,0,2,3,0,4,4,3,4,2,4,1,2,2,4,4,4,2,4
93,1,1,2,0,0,4,0,0,4,2,0,1,4,0,3,4,0,0
94,4,4,4,4,0,4,0,1,4,4,1,4,0,0,4,0,1,0
