CUSTNO,Moneytary_가구인테리어/잡화_고가_증감여부,Moneytary_가구인테리어/잡화_저가_증감여부,Moneytary_가구인테리어/잡화_중가_증감여부,Moneytary_가전/레저취미/멀티샵_고가_증감여부,Moneytary_가전/레저취미/멀티샵_저가_증감여부,Moneytary_가전/레저취미/멀티샵_중가_증감여부,Moneytary_교육문화/아동_고가_증감여부,Moneytary_교육문화/아동_저가_증감여부,Moneytary_교육문화/아동_중가_증감여부,Moneytary_식품/생활_고가_증감여부,Moneytary_식품/생활_저가_증감여부,Moneytary_식품/생활_중가_증감여부,Moneytary_의류/이미용_고가_증감여부,Moneytary_의류/이미용_저가_증감여부,Moneytary_의류/이미용_중가_증감여부,Moneytary_침구/주방_고가_증감여부,Moneytary_침구/주방_저가_증감여부,Moneytary_침구/주방_중가_증감여부
1,1,4,3,4,0,4,0,0,0,4,4,4,1,4,2,3,4,2
2,4,2,0,1,4,0,0,0,1,4,4,2,2,0,1,1,0,1
3,0,1,0,0,1,0,0,0,0,4,1,1,0,0,0,0,1,0
4,0,2,0,1,0,2,0,0,0,2,4,2,2,2,2,3,4,2
6,1,3,1,0,0,0,0,0,0,2,2,3,2,3,2,4,3,4
7,4,2,2,4,0,3,0,3,0,3,1,3,3,1,4,4,1,1
8,0,3,4,2,0,4,0,1,0,4,1,1,2,0,1,4,0,4
9,4,4,0,0,0,3,0,0,0,4,2,2,1,0,2,4,0,0
10,0,3,0,0,4,1,0,0,0,3,3,3,1,4,1,0,4,1
11,1,1,1,4,1,3,0,0,3,4,4,1,2,0,2,1,0,0
12,0,4,0,0,0,0,0,0,0,4,3,1,1,1,1,0,1,4
13,0,4,0,0,0,4,0,1,0,4,3,3,2,2,4,0,3,0
14,2,2,2,2,0,3,0,0,0,3,3,3,1,4,1,0,2,0
15,0,3,4,0,1,2,0,0,0,4,4,2,1,1,1,4,1,0
16,0,4,0,1,0,0,0,0,0,3,0,4,4,1,1,0,0,4
17,1,4,2,0,0,0,0,0,0,4,1,3,4,1,4,3,1,4
18,0,1,1,1,0,1,0,0,0,2,1,1,1,0,1,0,1,1
19,1,1,0,4,0,0,0,0,0,3,4,4,3,0,0,0,0,0
20,0,2,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,4
21,0,0,0,0,0,4,2,3,3,3,2,1,0,1,1,0,3,0
22,3,1,4,0,0,0,0,0,0,1,0,4,4,0,0,2,0,0
23,4,1,2,3,0,3,0,4,0,4,4,3,3,0,4,1,3,4
24,0,4,1,0,3,2,0,0,0,1,4,3,0,4,1,0,4,0
25,4,2,1,0,0,1,0,0,0,1,4,1,2,1,1,0,0,0
26,4,1,1,4,0,1,0,0,2,2,4,2,4,4,3,4,0,1
27,0,4,1,4,0,4,0,0,0,1,4,2,3,0,3,0,4,0
28,0,1,0,0,0,0,0,0,0,3,3,4,0,4,1,0,1,4
29,3,3,2,2,0,4,0,0,1,4,1,2,2,4,1,3,3,4
30,4,3,4,0,1,0,0,0,0,3,2,2,2,2,4,3,2,3
31,0,3,2,0,0,0,0,0,3,2,0,3,2,0,3,1,0,4
32,0,1,1,0,3,4,0,0,1,3,3,2,0,4,1,0,1,0
33,0,3,0,0,0,0,0,0,0,3,2,2,0,1,0,0,4,0
34,0,2,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0
35,1,2,2,0,4,0,0,0,0,2,4,3,0,3,2,1,1,0
36,0,2,4,1,0,1,0,0,0,1,1,3,3,0,2,1,0,3
37,0,3,1,4,0,0,0,0,4,2,0,3,3,0,4,0,0,3
38,0,2,0,0,1,0,0,3,1,3,2,3,1,1,1,4,2,1
39,0,4,0,0,0,0,0,0,4,3,0,4,3,0,0,4,0,0
40,0,3,4,3,0,1,0,0,1,4,4,2,1,4,4,4,1,2
41,0,4,2,0,0,0,0,0,0,4,4,4,4,1,0,4,0,0
42,0,1,0,0,1,0,0,2,0,3,3,2,1,2,1,0,1,0
43,0,0,0,0,0,0,0,0,0,3,4,4,0,3,4,0,3,0
44,4,3,0,0,0,4,0,0,0,3,1,2,4,1,3,4,4,0
45,4,2,4,1,0,2,0,4,0,2,3,4,3,2,3,1,1,0
46,3,4,0,1,0,4,0,0,0,4,1,2,3,0,4,4,0,0
47,1,1,0,0,2,1,0,4,4,2,2,2,1,3,1,4,1,4
48,1,1,4,1,0,4,0,0,0,4,4,2,2,0,3,1,4,3
49,1,3,4,0,0,0,0,0,1,2,0,3,2,0,2,1,0,4
50,0,2,0,0,1,1,0,0,3,2,1,2,3,2,1,3,0,4
51,0,2,0,4,0,4,0,1,1,2,3,2,4,3,1,4,3,4
52,3,2,1,0,1,2,0,0,4,4,1,3,3,1,3,2,1,4
53,4,4,0,4,1,4,0,0,0,2,4,2,2,0,4,4,0,4
54,0,2,1,0,0,0,0,0,0,3,0,3,2,0,4,0,0,0
55,0,1,0,0,0,1,0,0,0,3,2,2,0,4,1,0,3,0
56,4,1,0,4,0,4,0,0,2,3,4,4,4,0,3,3,4,0
57,1,3,0,0,4,4,0,4,0,3,2,3,0,4,1,0,4,0
58,2,3,1,0,0,3,0,0,1,3,0,2,4,0,3,4,0,0
59,1,4,4,0,0,0,0,0,0,4,3,3,2,2,0,2,4,4
60,0,3,0,0,3,4,0,1,0,2,3,2,4,1,3,1,3,0
61,1,4,1,0,0,1,0,0,0,3,4,2,2,3,3,0,2,4
62,0,1,4,4,0,2,2,0,3,3,3,3,0,3,1,0,3,0
63,0,2,0,0,0,0,0,0,0,3,0,1,4,0,0,0,0,0
64,0,0,0,0,0,0,0,0,4,4,4,4,0,2,1,0,4,4
65,4,4,0,0,4,1,0,1,0,1,4,1,1,3,0,1,1,1
66,0,1,0,0,3,4,0,0,0,3,3,3,4,4,2,3,3,0
67,0,1,1,0,1,0,0,0,0,3,2,3,4,4,1,0,2,4
68,2,1,2,1,0,0,4,4,4,2,3,2,4,1,1,2,1,2
69,0,2,0,0,1,0,0,1,0,2,1,3,0,1,0,0,4,0
70,2,1,4,4,0,1,0,0,0,3,1,3,1,0,1,0,0,0
71,0,0,0,0,0,0,0,3,4,3,1,3,0,1,0,0,2,4
72,0,0,1,0,2,0,0,4,3,3,3,3,0,1,1,0,2,0
73,2,2,3,3,0,0,0,4,0,2,1,1,2,0,1,3,0,4
74,1,4,2,0,0,1,0,0,1,2,1,3,1,1,1,1,1,0
75,0,2,0,0,0,0,0,0,0,2,1,3,2,4,1,0,4,1
76,1,3,3,0,0,4,0,0,4,3,4,3,4,3,1,2,0,2
77,1,1,3,0,0,1,0,1,1,2,1,2,2,1,3,0,1,0
78,2,4,3,3,0,3,0,0,0,3,4,4,2,4,1,2,4,1
79,0,4,0,0,3,1,0,4,4,2,3,2,4,1,4,0,3,1
80,0,3,0,0,1,4,0,0,0,4,2,3,4,1,1,0,4,1
81,1,1,4,1,0,0,0,0,1,3,4,4,3,1,1,1,0,2
82,3,1,3,1,0,1,2,1,1,3,2,2,1,4,3,1,2,3
83,0,3,1,4,0,3,0,0,0,3,1,2,1,1,2,0,4,0
84,0,1,3,1,0,2,0,0,0,1,4,1,1,1,1,2,0,3
85,0,4,0,0,0,0,0,0,0,3,0,4,4,0,1,4,0,3
86,4,2,1,0,1,1,0,0,4,3,4,3,1,2,1,0,4,2
87,4,3,0,0,0,4,0,0,1,1,1,4,4,0,4,4,0,4
88,0,3,3,3,4,1,0,4,0,3,4,2,1,4,1,1,4,2
89,0,2,4,0,0,1,0,3,0,3,1,3,1,3,4,1,2,3
90,3,3,4,4,0,2,0,4,0,3,4,2,4,4,4,4,4,1
91,0,2,0,0,0,4,0,0,1,4,1,3,1,0,3,0,0,0
92,4,2,3,0,1,3,2,1,3,4,2,2,3,2,2,1,3,1
93,4,1,1,0,0,1,0,0,1,1,0,1,2,0,1,1,0,0
94,1,2,1,4,0,1,0,0,4,4,4,3,0,0,3,4,1,4
95,4,2,0,0,0,0,0,1,1,3,4,2,4,4,3,0,4,0
96,0,2,0,0,0,3,0,0,0,2,0,2,1,0,4,0,0,0
97,4,2,4,2,4,3,0,0,4,1,3,1,2,4,3,2,4,3
98,3,1,0,0,0,1,0,0,2,3,1,2,1,1,3,4,1,4
99,3,3,1,4,0,0,0,0,0,3,1,1,1,1,2,1,1,2
100,1,4,1,1,0,1,0,0,4,1,1,2,3,3,4,1,0,4
101,0,0,0,0,0,0,0,0,0,4,1,4,1,0,1,0,1,0
102,3,2,4,4,1,1,0,0,0,3,1,2,1,4,1,4,3,3
103,0,1,0,0,0,1,0,0,0,2,1,1,0,0,1,0,3,0
104,0,1,0,0,0,0,4,0,0,1,2,1,4,3,1,0,1,4
105,0,1,1,0,4,2,4,4,0,3,2,3,0,4,0,1,3,1
106,4,1,2,3,0,4,0,0,2,2,4,4,4,0,3,4,0,0
107,1,3,3,4,0,4,0,0,2,4,4,4,3,0,2,1,4,1
108,0,4,2,0,2,3,1,0,1,3,1,3,3,1,2,4,0,1
109,0,1,0,0,1,0,0,1,0,3,2,2,0,1,1,0,0,0
110,0,2,4,2,1,1,4,1,3,2,1,2,3,4,1,1,3,4
111,0,1,0,0,0,1,0,0,0,1,3,2,0,1,0,0,1,0
112,0,1,2,0,0,4,0,4,1,3,3,1,1,1,4,1,3,0
113,4,3,2,3,4,3,1,1,3,2,1,3,3,4,3,2,4,3
114,0,4,0,4,0,2,0,0,4,4,1,2,1,4,2,0,0,1
115,1,2,4,4,0,3,0,0,0,3,1,4,2,0,4,3,1,4
116,0,1,0,0,0,0,0,0,0,2,2,1,4,0,3,0,0,0
117,3,1,0,1,0,1,0,0,0,1,3,1,2,0,0,2,4,1
118,2,4,2,2,0,4,0,0,4,3,0,4,4,0,3,1,0,4
119,1,3,4,0,1,3,0,0,3,3,1,2,2,1,4,4,0,2
120,2,2,3,0,0,2,0,0,0,1,1,2,2,4,2,3,1,2
121,1,4,0,0,0,0,0,0,4,4,4,4,0,4,4,4,2,4
122,0,2,0,0,4,3,2,3,2,4,1,2,4,4,2,2,1,3
123,0,1,0,0,0,0,0,4,1,2,4,3,0,1,0,0,1,0
124,0,2,2,0,0,2,0,0,1,4,1,2,1,1,2,4,1,0
125,1,4,0,2,0,1,0,4,0,4,1,2,1,3,1,0,1,1
126,4,1,0,0,3,4,0,0,0,4,3,3,4,3,4,0,0,1
127,0,4,1,0,0,2,0,0,0,1,1,2,1,1,1,0,2,1
128,0,3,0,0,0,0,0,0,0,3,2,1,0,1,1,0,1,0
129,0,0,0,0,4,0,1,1,0,4,3,3,0,1,0,0,2,0
130,0,4,1,0,0,1,0,0,4,3,4,3,3,0,2,4,4,2
131,2,1,1,0,0,0,0,0,0,2,1,1,4,1,1,1,4,2
132,0,1,0,0,4,0,0,3,0,4,4,3,0,2,4,0,1,0
133,0,1,1,1,1,1,0,2,0,4,4,2,1,4,1,3,4,0
134,2,4,1,0,0,3,0,4,1,4,4,4,1,0,2,3,4,2
135,0,4,0,0,0,1,0,0,1,4,4,4,1,0,1,0,1,4
136,0,4,2,4,0,2,0,0,1,1,4,3,2,0,4,1,0,0
137,4,2,0,1,0,1,1,1,4,2,4,3,1,4,2,2,2,1
138,4,4,1,4,1,3,0,4,0,4,4,3,1,1,3,4,1,1
139,4,3,4,0,0,1,0,1,4,3,4,4,2,3,1,1,2,2
140,2,1,4,2,0,1,0,0,1,3,1,4,2,1,4,3,1,1
141,0,2,0,0,4,0,0,0,0,3,2,3,0,0,0,0,2,0
143,0,3,0,0,1,0,1,2,4,0,3,2,0,3,1,0,1,4
144,1,1,0,0,2,1,1,1,1,3,2,2,1,1,1,0,2,1
145,2,4,4,3,0,4,0,0,0,2,4,3,1,4,3,2,4,4
146,3,4,4,0,0,1,0,0,1,2,0,2,4,0,1,1,0,2
147,4,2,4,1,1,4,0,2,1,2,1,2,1,4,3,4,2,3
148,0,4,0,0,0,1,0,0,0,3,3,2,0,1,1,0,3,0
149,1,1,1,0,0,2,0,0,0,3,1,2,4,4,2,3,0,4
150,4,4,4,0,4,0,0,2,0,1,1,2,4,4,4,0,1,4
151,0,4,1,1,0,3,4,0,4,2,2,1,1,2,4,2,3,1
152,4,4,4,1,0,1,0,0,0,3,1,2,1,0,2,1,2,2
153,0,3,0,4,0,3,0,0,0,2,2,2,1,0,4,0,0,1
154,0,0,0,0,0,4,0,0,0,2,1,3,2,0,4,0,1,4
155,0,3,2,0,0,1,0,0,0,3,0,4,2,0,2,1,0,1
156,1,2,1,1,0,3,0,0,4,2,4,3,2,0,2,2,0,4
157,0,1,1,4,0,1,0,0,0,2,4,2,1,0,1,4,4,0
158,0,4,1,0,0,0,0,0,3,4,4,3,1,0,2,1,1,1
159,4,0,3,0,0,1,0,0,4,4,1,4,4,0,2,1,0,1
160,0,2,1,0,3,2,0,0,0,3,2,4,1,1,2,3,1,2
161,2,4,4,4,0,1,0,0,2,3,0,4,4,0,2,3,0,4
162,0,2,2,3,0,4,0,4,3,2,1,3,4,3,3,4,1,1
163,0,1,0,0,3,0,0,0,1,4,2,3,0,1,1,0,1,0
164,2,0,1,4,0,4,0,0,0,3,1,3,0,4,4,1,4,4
165,1,4,3,0,1,2,0,0,1,2,1,4,2,0,3,4,0,1
166,4,3,0,0,1,4,2,4,4,4,4,4,1,4,3,2,2,2
167,4,3,4,0,0,0,0,0,0,3,0,3,4,0,3,4,0,4
168,1,4,1,2,4,4,0,0,1,4,3,3,3,2,4,4,4,4
169,0,3,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0
170,0,1,0,0,0,0,0,4,0,1,2,2,4,4,1,0,3,1
171,0,1,0,0,0,1,0,1,0,4,4,2,1,2,1,1,0,4
172,0,2,1,0,0,2,1,0,1,4,2,2,1,1,4,0,4,0
173,0,1,0,0,0,4,0,0,1,3,3,2,1,2,0,0,1,4
175,1,2,0,0,3,4,0,1,0,3,2,2,0,4,1,0,3,0
176,0,0,0,0,3,0,0,0,4,1,2,2,0,1,0,0,4,1
177,0,3,3,2,0,4,0,0,1,4,1,1,3,0,4,4,0,1
178,0,4,4,0,0,4,0,0,0,3,1,2,0,3,4,0,3,4
179,4,2,1,2,0,4,4,0,4,2,4,3,2,4,2,0,1,0
180,4,1,0,0,0,0,0,0,0,3,0,2,4,0,0,1,0,0
181,4,3,4,4,0,1,0,0,3,3,0,4,4,0,3,1,0,1
182,1,2,2,3,0,4,0,4,0,2,4,3,2,4,1,4,4,4
183,0,2,0,0,0,0,0,1,1,3,4,2,0,3,4,0,3,0
184,1,2,4,0,0,4,4,0,4,3,4,3,4,0,3,2,1,1
185,0,0,4,0,3,1,0,1,1,3,4,3,0,4,1,0,2,2
186,0,1,0,1,0,3,1,0,4,2,4,3,2,4,3,3,4,1
187,0,3,2,0,0,0,0,0,0,4,3,4,0,0,1,0,1,3
188,0,1,4,0,4,0,1,4,0,2,1,2,0,1,1,0,1,0
189,1,3,2,2,0,2,0,0,4,4,0,4,3,0,1,3,0,3
190,4,2,4,0,0,3,0,0,1,1,0,3,3,0,2,1,0,4
191,3,1,3,3,0,4,0,0,0,1,1,1,1,4,3,4,0,3
192,3,2,1,4,1,0,0,4,0,1,1,3,3,3,1,1,1,4
193,0,1,0,0,2,0,0,1,1,4,4,3,0,2,0,0,4,0
194,0,4,1,0,1,1,0,0,0,3,1,2,4,2,4,0,3,1
195,0,1,0,0,0,1,0,0,0,4,1,3,0,3,0,0,1,0
196,3,2,3,4,1,4,0,3,1,4,2,2,3,1,4,1,1,2
197,0,4,4,4,0,1,0,1,2,1,1,2,4,2,4,1,2,4
198,1,3,0,1,0,4,0,0,0,1,2,2,1,1,4,0,1,3
199,0,4,0,1,0,4,4,1,0,1,3,2,0,2,4,0,3,0
200,0,1,0,0,0,0,0,0,0,2,2,2,3,1,1,4,3,0
201,4,3,1,3,0,1,0,0,4,3,1,1,3,0,3,3,1,1
202,2,3,2,4,0,2,0,0,4,4,4,3,1,0,4,1,4,2
203,0,1,0,0,0,0,0,4,0,2,3,3,0,2,0,0,4,0
204,0,1,1,0,2,4,0,1,0,3,1,2,3,4,2,0,3,0
205,0,1,1,0,0,4,0,1,0,2,3,2,2,4,4,1,2,1
206,1,2,0,0,0,2,0,1,1,4,3,2,1,1,2,4,1,1
207,0,3,0,0,4,1,0,3,0,3,4,3,0,4,1,0,2,0
208,3,3,3,3,0,2,0,0,0,4,1,1,1,4,1,4,0,0
209,3,3,1,4,0,1,0,0,4,3,2,1,1,1,4,1,1,1
210,0,3,0,0,4,0,0,3,0,3,2,4,1,1,1,4,1,3
211,1,3,0,0,0,0,0,0,4,3,4,2,1,1,0,0,4,0
212,1,1,0,0,0,4,0,0,0,4,3,3,1,0,1,0,1,0
213,0,2,4,4,0,0,0,4,4,3,2,2,4,3,4,4,3,3
214,0,2,0,0,0,0,0,0,1,4,1,2,4,0,1,1,3,1
215,0,4,1,0,4,3,0,2,0,3,2,2,3,2,3,0,1,4
216,0,1,0,0,3,0,0,0,0,4,4,3,1,2,2,1,0,0
217,0,3,0,0,4,4,0,4,3,2,1,2,4,0,1,1,1,0
218,2,3,2,3,0,4,0,0,1,2,4,1,4,0,2,3,0,4
219,0,3,3,0,3,4,4,4,1,2,4,3,4,4,4,4,4,0
220,0,0,0,0,1,1,4,4,1,4,2,4,0,3,0,0,3,0
221,0,4,4,0,4,4,0,4,4,2,1,3,4,2,4,0,1,4
222,4,4,3,1,0,3,1,0,1,2,3,1,2,3,1,3,1,1
223,4,2,2,4,0,0,0,0,0,4,1,2,3,0,4,4,0,4
224,1,1,4,0,0,0,0,4,2,1,4,3,1,4,2,3,0,0
225,1,2,1,3,0,3,0,0,0,3,3,4,4,0,3,2,0,2
226,0,1,0,0,4,4,0,0,4,2,1,4,0,1,0,4,4,4
227,0,3,0,0,2,0,0,0,0,3,4,4,0,3,0,0,3,0
228,0,2,0,0,1,1,0,1,1,3,4,2,0,2,1,0,1,0
229,4,1,1,4,0,1,0,0,1,3,1,2,3,0,4,1,0,1
230,0,2,1,0,0,4,0,0,4,3,4,3,0,0,4,0,0,4
231,0,0,0,0,0,1,0,0,0,2,3,3,0,4,1,0,2,1
232,0,4,1,0,4,1,0,0,0,3,2,3,0,1,1,0,4,0
233,1,0,1,4,1,1,0,0,0,2,3,3,0,4,0,4,2,0
234,4,3,0,0,0,1,0,1,2,4,4,4,1,0,2,3,1,3
