CUSTNO,Monetary_가구인테리어/잡화_저가_증감여부_q2_q1,Monetary_가구인테리어/잡화_저가_증감여부_q3_q2,Monetary_가구인테리어/잡화_저가_증감여부_q4_q3,Monetary_가구인테리어/잡화_저가_증감여부_q5_q4,Monetary_가구인테리어/잡화_저가_증감여부_q6_q5,Monetary_가구인테리어/잡화_저가_증감여부_q7_q6,Monetary_가구인테리어/잡화_저가_증감여부_q8_q7,Monetary_가구인테리어/잡화_저가_q2_q1_로그변환,Monetary_가구인테리어/잡화_저가_q3_q2_로그변환,Monetary_가구인테리어/잡화_저가_q4_q3_로그변환,Monetary_가구인테리어/잡화_저가_q5_q4_로그변환,Monetary_가구인테리어/잡화_저가_q6_q5_로그변환,Monetary_가구인테리어/잡화_저가_q7_q6_로그변환,Monetary_가구인테리어/잡화_저가_q8_q7_로그변환
1,2,1,4,1,2,1,4,-9.076455880664907,-12.728065925149231,13.538951816426527,-13.54173866658032,-10.485549619469323,-9.998479832298177,10.608223234303702
2,2,3,2,3,3,3,1,-10.904746832783617,12.113279769833428,-13.036890656171039,9.601599147009019,12.502231322892479,12.930275666837527,-13.375274268294882
3,3,4,1,1,4,3,2,6.934872374399466,8.775226007887493,-8.906223792729982,-6.378138181996975,7.6228951483992065,5.046719359371613,-6.671179242658424
4,2,3,2,2,4,2,3,-10.784577016893856,11.27838610100466,-11.880413955554124,-10.86487787182765,11.277828617613718,-10.643427549801805,10.202136532551792
6,4,1,3,4,3,1,3,11.627683817852363,-11.26486672544881,9.558482908683645,11.375871159279352,8.758725319037664,-11.577415079163709,10.553411173032464
7,4,2,2,4,2,2,4,11.515270777480067,-11.308290816865226,-9.990280003271563,11.608293839267784,-11.25538246528953,-10.655844239423171,11.941004939451942
8,2,1,3,3,3,2,3,-7.349352354413548,-11.7172072329937,10.622165384703694,10.119336276511582,9.872167667954136,-9.749233407619503,11.442527512153099
9,2,1,4,1,4,1,4,4.179443676233926,-9.254089611295973,11.377673238792074,-11.377673238792074,13.332585029986213,-13.209532516708807,12.985544483136024
10,1,4,3,4,2,3,1,-10.288833864560639,9.08561814189358,8.194063697454844,10.23527007433002,-9.809827721275989,9.488329269164579,-10.471827536873283
11,4,2,1,1,4,1,2,12.015111236555875,-11.579619189368216,-11.256463588606767,-8.965453589346023,11.614856919392507,-11.375886614147733,-8.28672105923274
12,1,0,4,1,4,1,1,-12.056019636602532,0.0,10.554587112578428,-10.554587112578428,11.694058314221753,-11.63854201699718,-8.775504406695555
13,2,1,4,2,4,2,1,-9.26023588384041,-11.026739212235325,10.261879663786914,-9.012099913472039,11.017410463260694,-9.133683578764659,-11.232607178607415
14,3,2,2,4,1,3,4,11.689269713455948,-11.879267392070915,-10.68595015144921,12.972956045492134,-13.047120079358201,7.6485452593244485,11.6233175245742
15,2,2,3,2,4,4,1,-9.176712947999562,-6.569993648317596,10.120256218642574,-10.046609406550179,11.835762772166122,12.521181040453078,-12.870405169005496
16,4,1,4,4,2,3,3,10.705469951787084,-10.914743282401535,9.658536894032324,10.588666195970989,-9.877626846645983,10.84659672119782,10.827615911062223
17,1,4,4,1,4,3,3,-13.528904897853817,10.365729176342084,13.665200739651796,-13.693258875453767,10.840903323400363,10.622611823668542,12.116618090257294
18,4,2,1,1,2,4,2,13.007209920620566,-10.32455826883274,-12.717338490143828,-11.431740788030245,-9.182804379964795,11.002746697923092,-10.566122047890648
19,1,3,1,2,4,2,2,-12.62931649907369,11.809831971436386,-12.180440115187315,-9.98805012629442,11.955389524781346,-11.30610562463155,-10.282835238002033
20,2,3,2,4,2,2,3,-12.205451617208967,11.418067176529982,-11.595911417742492,12.208414790248785,-11.559225508967126,-11.716348917616378,10.575320076008566
21,1,0,0,4,2,1,4,-11.599201108018278,0.0,0.0,9.01221626267885,-6.586720405900448,-8.919758430379847,11.430040640214575
22,1,4,1,0,0,0,0,-12.182210441471321,8.911286332301572,-8.911286332301572,0.0,0.0,0.0,0.0
23,1,4,1,3,3,2,2,-10.258725102718683,11.57352719553383,-11.419310373713442,9.664896370913869,10.016531969154313,-9.892993641283004,-9.184768843571513
