CUSTNO,Monetary_가구인테리어/잡화_중가_증감여부_q2_q1,Monetary_가구인테리어/잡화_중가_증감여부_q3_q2,Monetary_가구인테리어/잡화_중가_증감여부_q4_q3,Monetary_가구인테리어/잡화_중가_증감여부_q5_q4,Monetary_가구인테리어/잡화_중가_증감여부_q6_q5,Monetary_가구인테리어/잡화_중가_증감여부_q7_q6,Monetary_가구인테리어/잡화_중가_증감여부_q8_q7,Monetary_가구인테리어/잡화_중가_q2_q1_로그변환,Monetary_가구인테리어/잡화_중가_q3_q2_로그변환,Monetary_가구인테리어/잡화_중가_q4_q3_로그변환,Monetary_가구인테리어/잡화_중가_q5_q4_로그변환,Monetary_가구인테리어/잡화_중가_q6_q5_로그변환,Monetary_가구인테리어/잡화_중가_q7_q6_로그변환,Monetary_가구인테리어/잡화_중가_q8_q7_로그변환
1,4,1,3,4,1,4,1,13.742593216241286,-13.55909154758583,10.527652680346357,13.263987163529064,-13.54721196754781,13.768882403049798,-13.651567165910741
2,3,1,0,4,1,0,0,11.697426116079843,-12.563094499305155,0.0,12.82936299182054,-12.82936299182054,0.0,0.0
3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,1,0,0,4,4,1,11.454779840223113,-12.623203566440333,0.0,0.0,9.9823748166889,11.997582169216471,-12.122704078517327
6,4,1,1,0,4,4,1,12.500575402988167,-12.275475912782772,-10.898941690118297,0.0,10.723076596836416,11.877734304525006,-11.871271832234347
7,4,4,2,1,0,0,0,11.355734018446917,12.524826196852725,-12.135043017664103,-12.06824431020928,0.0,0.0,0.0
8,0,0,4,1,4,1,4,0.0,0.0,10.535059489717366,-10.535059489717366,12.782090046675153,-12.782090046675153,11.592592937747574
9,0,0,0,4,3,2,2,0.0,0.0,0.0,13.184556617598838,12.481410739632903,-13.196731016139006,-10.400726366560093
10,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,11.811521901778226,-11.811521901778226,0.0
11,1,2,1,0,4,1,4,-14.21629766230626,-12.399146771672742,-12.210121780587011,0.0,14.208160423329128,-14.208160423329128,12.612011682545152
12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,0,4,1,0,0,0.0,0.0,0.0,12.32990525950962,-12.32990525950962,0.0,0.0
14,4,2,2,2,1,4,4,11.804695987520066,-9.247844790136373,-11.13958478487269,-9.340682554695855,-10.675103037130551,11.029967683321212,13.126165962032337
15,4,1,4,4,2,2,1,12.238386420189917,-12.238386420189917,11.967363694511503,13.37998058941502,-13.268205105088624,-11.926762762750185,-11.22102010119043
16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4,1,2,2,3,3,2,16.075387698092683,-15.977929232612025,-13.063099773753889,-13.308346498047964,14.660946997456543,15.199408099121426,-15.608356115951402
18,3,1,1,4,1,0,0,14.253321779572394,-15.179484291317134,-13.626071117534572,13.052358054205067,-13.052358054205067,0.0,0.0
19,4,1,0,0,4,1,0,12.156555782393799,-12.156555782393799,0.0,0.0,11.600214553659463,-11.600214553659463,0.0
20,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,11.42626298771756,-11.42626298771756,0.0
21,4,1,0,0,4,1,0,9.765578270768762,-9.765578270768762,0.0,0.0,9.529204797539581,-9.529204797539581,0.0
22,4,1,4,1,4,1,0,12.87100658460498,-12.87100658460498,12.11366153508435,-12.11366153508435,12.624863813412695,-12.624863813412695,0.0
23,2,2,2,3,3,2,1,-11.652118289973787,8.389671350026875,-10.704029170006404,9.21701463902651,13.1940450008149,-13.222696396570568,-13.002742497131356
24,0,4,1,0,0,0,0,0.0,13.135797735110286,-13.135797735110286,0.0,0.0,0.0,0.0
