CUSTNO,Monetary_가전/레저취미/멀티샵_저가_증감여부_q2_q1,Monetary_가전/레저취미/멀티샵_저가_증감여부_q3_q2,Monetary_가전/레저취미/멀티샵_저가_증감여부_q4_q3,Monetary_가전/레저취미/멀티샵_저가_증감여부_q5_q4,Monetary_가전/레저취미/멀티샵_저가_증감여부_q6_q5,Monetary_가전/레저취미/멀티샵_저가_증감여부_q7_q6,Monetary_가전/레저취미/멀티샵_저가_증감여부_q8_q7,Monetary_가전/레저취미/멀티샵_저가_q2_q1_로그변환,Monetary_가전/레저취미/멀티샵_저가_q3_q2_로그변환,Monetary_가전/레저취미/멀티샵_저가_q4_q3_로그변환,Monetary_가전/레저취미/멀티샵_저가_q5_q4_로그변환,Monetary_가전/레저취미/멀티샵_저가_q6_q5_로그변환,Monetary_가전/레저취미/멀티샵_저가_q7_q6_로그변환,Monetary_가전/레저취미/멀티샵_저가_q8_q7_로그변환
1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,4,4,1,0,0,-10.386249801572005,0.0,10.265748822361697,11.024849753888594,-11.40879890392522,0.0,0.0
3,0,4,1,0,0,4,1,0.0,10.21417129065092,-10.21417129065092,0.0,0.0,7.755346016761853,-7.755346016761853
4,4,1,0,0,0,4,1,8.528127110508203,-8.528127110508203,0.0,0.0,0.0,8.180749376946507,-8.180749376946507
6,4,1,0,0,0,0,4,9.573967338455494,-9.573967338455494,0.0,0.0,0.0,0.0,10.502130273025672
7,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,8.570856549864837,-8.570856549864837
8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3,2,4,1,4,1,0,7.785268024937701,-8.19943903269131,10.00461163193307,-10.111048255992396,10.540291340220184,-10.540291340220184,0.0
11,0,4,1,0,0,0,0,0.0,8.490829637918301,-8.490829637918301,0.0,0.0,0.0,0.0
12,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,9.511233498786149,-9.511233498786149,0.0
13,4,1,0,0,0,0,4,10.213893635632143,-10.54285866790742,0.0,0.0,0.0,0.0,9.167206141318324
14,1,1,0,0,4,1,4,-11.69294796017438,-9.07660953260347,0.0,0.0,8.944997171421157,-8.944997171421157,9.390328810853857
15,0,4,1,0,0,0,0,0.0,9.907740082854389,-9.907740082854389,0.0,0.0,0.0,0.0
16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4,1,0,0,4,2,3,10.54285866790742,-10.54285866790742,0.0,0.0,11.24873151658256,-9.63642734124695,9.612745307389332
22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2,2,3,3,1,4,2,-12.286083127860579,-10.88099405776942,12.345477979288098,11.489703910913104,-12.96421792972439,12.248610570483782,-11.686489023840096
25,1,0,0,0,0,4,1,-7.924365593474235,0.0,0.0,0.0,0.0,9.688389466413522,-9.688389466413522
26,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,4,1,0,4,1,0,-7.962092520651827,9.479312086863997,-9.479312086863997,0.0,7.27200768524793,-7.27200768524793,0.0
31,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2,2,3,3,3,1,2,-6.301176562614991,5.543721212075139,7.837560098613365,6.851638974257577,10.245224966487216,-10.260539147566048,-8.480658565772913
33,1,0,0,0,0,0,0,-9.453477332930209,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,0,4,1,3,1,0,0.0,0.0,11.19526371456542,-11.090707034466385,9.11640297381852,-9.700710768459672,0.0
36,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,8.203216010733833,-8.203216010733833
38,2,3,1,4,4,1,0,-10.017572927493775,9.371866977967109,-10.140923614100888,6.969432891850636,9.313559728557955,-9.405081592680359,0.0
39,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,4,1,0,4,1,4,0.0,9.630124278233177,-9.630124278233177,0.0,9.560362638660168,-9.560362638660168,11.098638272698597
43,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,8.488914310328726,-8.488914310328726,0.0
44,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1,4,2,2,3,1,0,-11.245171453014175,11.290202078768427,-10.463746786083854,-8.964492734902517,10.003164182257741,-10.99016137137225,0.0
48,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,7.328130480326707,-7.328130480326707
49,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,4,3,1,0,0,4,2,9.277259444484104,9.403676141436128,-10.035567479807433,0.0,0.0,9.204491333442954,-7.887317826558968
51,1,0,0,0,0,0,0,-8.067418193375522,0.0,0.0,0.0,0.0,0.0,0.0
52,0,4,1,0,4,1,4,0.0,9.675731859339706,-9.675731859339706,0.0,9.626607507060404,-9.626607507060404,7.963476925529927
53,0,4,1,0,0,0,0,0.0,7.386362210381783,-7.386362210381783,0.0,0.0,0.0,0.0
54,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1,0,0,0,4,1,0,-8.21866361129444,0.0,0.0,0.0,8.2633197061045,-8.2633197061045,0.0
56,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,4,1,4,3,2,1,4,9.580700904092797,-9.580700904092797,8.65478235371708,8.84067436413264,-8.49301363770461,-8.739550179721734,9.566701631737942
58,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2,2,3,3,4,1,2,-9.670491943139346,6.011217129454786,8.856975190574262,8.308252110841892,11.121945631969428,-11.201500874766475,-8.822933949259271
61,0,0,0,4,1,2,1,0.0,0.0,0.0,10.42798814642405,-10.259200061736632,-7.909713014898632,-7.83468691110777
62,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0,0,4,1,0,0,0,0.0,0.0,8.810575942579913,-8.810575942579913,0.0,0.0,0.0
66,0,4,3,3,1,0,0,0.0,9.398629597146765,8.851958535845654,7.032518679107227,-9.91298077163476,0.0,0.0
67,0,4,1,0,0,0,0,0.0,10.323238598812296,-10.323238598812296,0.0,0.0,0.0,0.0
68,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,4,4,1,0,4,3,3,8.07350484622322,9.709427132685558,-9.887332237775746,0.0,8.129467145082154,7.263466809967189,8.804689759381892
70,4,1,0,0,0,0,0,9.587389431919926,-9.587389431919926,0.0,0.0,0.0,0.0,0.0
71,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0,4,2,1,4,1,0,0.0,10.585595280053944,-8.061140830590514,-10.502130273025672,9.07660953260347,-9.07660953260347,0.0
73,1,0,0,0,0,0,0,-8.57411110686555,0.0,0.0,0.0,0.0,0.0,0.0
74,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,4,1,3,3,3,3,2,12.008626319249744,-11.930555982831532,9.493899227115442,-8.759973413105659,9.976616219588772,6.904140400402408,-9.456257725298675
80,1,4,1,0,0,0,0,-7.7108776369222625,9.214642688880016,-9.214642688880016,0.0,0.0,0.0,0.0
81,0,0,0,4,1,0,0,0.0,0.0,0.0,9.66318302826508,-9.66318302826508,0.0,0.0
82,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,9.406997156504472,-9.406997156504472
84,1,0,0,0,0,0,0,-11.325213155282908,0.0,0.0,0.0,0.0,0.0,0.0
85,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0,4,1,0,4,1,4,0.0,9.942481331224744,-9.942481331224744,0.0,10.5168838757462,-10.5168838757462,8.656450120332186
87,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,3,1,4,3,3,2,1,10.066502805489975,-10.744571772274822,9.2851072171843,-7.108708955961306,8.877750297037705,-9.291103573738084,-9.015442349526284
89,0,0,0,4,1,0,4,0.0,0.0,0.0,11.548354293621465,-11.548354293621465,0.0,10.85352001824475
90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,4,1,0,0,0,0,0,8.302626870051627,-8.302626870051627,0.0,0.0,0.0,0.0,0.0
92,1,4,1,0,0,0,0,-9.676605200839303,9.630124278233177,-9.630124278233177,0.0,0.0,0.0,0.0
93,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,6.6574123803248755,-6.6574123803248755,0.0
95,4,1,0,4,1,0,0,9.3558954983009,-9.3558954983009,0.0,6.969432891850636,-6.969432891850636,0.0,0.0
96,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,4,1,4,1,3,3,2,10.21151189594477,-10.21151189594477,10.671202328727995,-10.587138823829754,8.672006781559553,9.542449728220715,-9.552185174503348
98,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,4,1,0,4,1,0,4,10.54285866790742,-10.54285866790742,0.0,10.369721013851091,-10.369721013851091,0.0,11.038919969252953
100,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
