CUSTNO,Monetary_교육문화/아동_중가_증감여부_q2_q1,Monetary_교육문화/아동_중가_증감여부_q3_q2,Monetary_교육문화/아동_중가_증감여부_q4_q3,Monetary_교육문화/아동_중가_증감여부_q5_q4,Monetary_교육문화/아동_중가_증감여부_q6_q5,Monetary_교육문화/아동_중가_증감여부_q7_q6,Monetary_교육문화/아동_중가_증감여부_q8_q7,Monetary_교육문화/아동_중가_q2_q1_로그변환,Monetary_교육문화/아동_중가_q3_q2_로그변환,Monetary_교육문화/아동_중가_q4_q3_로그변환,Monetary_교육문화/아동_중가_q5_q4_로그변환,Monetary_교육문화/아동_중가_q6_q5_로그변환,Monetary_교육문화/아동_중가_q7_q6_로그변환,Monetary_교육문화/아동_중가_q8_q7_로그변환
1,2,1,0,0,0,0,0,-10.471866249177374,-11.196169929953134,0.0,0.0,0.0,0.0,0.0
2,4,1,1,4,1,4,1,12.343791410205753,-12.296905370076141,-11.769772636378454,13.895552292111176,-13.895552292111176,11.338500271622335,-11.338500271622335
3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4,1,0,0,0,0,0,12.24997000011397,-12.24997000011397,0.0,0.0,0.0,0.0,0.0
8,4,1,0,0,0,0,0,11.954361125043448,-11.954361125043448,0.0,0.0,0.0,0.0,0.0
9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,1,0,0,0,0,0,6.078543543782855,-9.603999732146033,0.0,0.0,0.0,0.0,0.0
11,3,2,3,1,4,1,4,12.577697398599364,-12.365744246146427,10.818260775335792,-12.723088445666578,12.440341145696074,-12.497384965310026,12.331268967858481
12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2,1,0,0,0,0,0,-10.167092021306907,-10.419326935183275,0.0,0.0,0.0,0.0,0.0
15,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,0,0,4,1,4,0.0,0.0,0.0,0.0,10.68462975386932,-10.68462975386932,10.385918422918635
17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
