CUSTNO,Monetary_의류/이미용_중가_증감여부_q2_q1,Monetary_의류/이미용_중가_증감여부_q3_q2,Monetary_의류/이미용_중가_증감여부_q4_q3,Monetary_의류/이미용_중가_증감여부_q5_q4,Monetary_의류/이미용_중가_증감여부_q6_q5,Monetary_의류/이미용_중가_증감여부_q7_q6,Monetary_의류/이미용_중가_증감여부_q8_q7,Monetary_의류/이미용_중가_q2_q1_로그변환,Monetary_의류/이미용_중가_q3_q2_로그변환,Monetary_의류/이미용_중가_q4_q3_로그변환,Monetary_의류/이미용_중가_q5_q4_로그변환,Monetary_의류/이미용_중가_q6_q5_로그변환,Monetary_의류/이미용_중가_q7_q6_로그변환,Monetary_의류/이미용_중가_q8_q7_로그변환
1,3,3,2,3,3,3,2,13.142793093159058,14.08164497247861,-14.230807599688747,12.707565931161692,13.73149800777848,11.903089206794146,-14.633402628600363
2,4,4,1,2,3,4,2,13.09763332761853,14.880569405826513,-14.76937808946847,-11.354179045799391,13.33904994782668,14.836489490834692,-14.570724337681265
3,4,1,0,0,0,0,0,11.334636100219821,-11.334636100219821,0.0,0.0,0.0,0.0,0.0
4,4,2,2,3,2,3,1,13.979521100258607,-13.116794553945498,-12.752292846837031,12.312123117954734,-11.585458504879036,13.04463100489693,-13.234284954212926
6,4,2,2,2,4,3,1,13.210990418257285,-11.531696597037408,-12.998047864328687,-12.31580671648817,13.439095497162894,12.568688147915989,-13.433488882649655
7,1,2,4,4,1,4,4,-15.838823917138319,-11.475149506659939,14.01905752822639,15.26617746139729,-15.573444286089183,13.939815401671266,16.01606048652247
8,4,2,1,4,1,4,4,12.607298128230132,-8.903217511029334,-11.966652310899883,12.371686263564511,-12.380356121024754,12.865185002268788,14.93803323828567
9,4,2,2,2,4,2,2,16.175721413094887,-14.909176440361824,-13.431532917081082,-15.599565757102603,15.879020448999583,-14.282286668762504,-14.430491206757807
10,2,1,1,4,1,4,1,-9.944054059876418,-12.2928041642566,-10.136720733903484,13.61856984927569,-13.555085804814187,11.953699591874411,-11.885078451057222
11,1,4,2,1,4,1,4,-14.596870615130136,14.65437915876537,-14.3270954634327,-14.384812636515205,15.039297272151632,-15.039297272151632,14.621038471080169
12,1,4,1,0,4,3,1,-12.435828444497586,12.163484160425426,-12.163484160425426,0.0,12.162088891445364,11.645954457554422,-12.630101746160918
13,3,1,4,3,1,4,1,11.439261718869888,-12.6085926677536,11.561104674305435,11.311963815289012,-12.137414981804753,11.666084919401838,-11.666084919401838
14,2,4,1,4,2,3,1,-12.47077828839493,14.14568839742833,-14.594609398388105,13.676279544406965,-13.501032943341073,13.42922404257602,-14.121837784123834
15,2,1,1,4,1,1,4,-13.76751592634602,-13.392482710283995,-13.079163092167104,14.295395180440812,-14.060706292541305,-12.838704201177578,11.876282285129324
16,0,4,1,1,1,4,2,0.0,11.781394831464683,-11.15589960652477,-10.605698418921252,-9.926151532684278,12.587247463687861,-11.60430858048217
17,4,1,4,1,4,2,2,14.241004145042853,-14.706685061781608,12.861999825670612,-12.577258689878748,13.812992677729474,-11.929036374152597,-12.717315532803102
18,1,1,1,0,0,4,1,-15.31375028921001,-14.72656423403961,-13.259815608686171,0.0,0.0,13.210088278575025,-13.210088278575025
19,3,1,0,4,2,4,1,11.490403210430786,-12.76344192428578,0.0,11.73415227063433,-10.569703601707591,12.92853136657551,-13.117796255767196
20,1,4,1,4,4,3,3,-12.581976929990864,12.324749147600071,-12.513377876960451,10.146265796425913,11.394356895240739,10.510131295957837,11.66860973013136
21,1,4,1,1,4,1,3,-10.64673946026677,11.618668250351943,-11.567675357124545,-10.047477483350368,13.899670574407056,-13.883710587221024,9.329287991423838
22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4,1,4,1,4,3,2,12.84378932932337,-12.810438447095226,14.322381707886517,-14.334681270535592,11.899591786015202,11.659309774293702,-11.050472023513231
24,1,4,1,0,0,4,3,-9.636809416302915,11.286941075284776,-11.286941075284776,0.0,0.0,11.761394319212313,-7.069547813692957
25,4,2,1,4,2,1,4,13.717726771030614,-10.967248877378424,-13.951516146433239,15.943380763328486,-14.85498988082895,-15.165459728746823,15.76139736700477
26,3,1,3,2,1,4,2,14.41407651736519,-15.882080624394355,14.59471719687117,-11.567217614279803,-15.302010472823406,15.055551809775457,-13.149715812300444
27,2,2,3,1,4,4,1,-11.242081790883425,-10.252423934613427,11.156483624593177,-11.92129219290897,12.82977559425355,14.451042003759923,-14.631401392813876
28,0,4,1,0,0,0,0,0.0,9.945133902693554,-9.945133902693554,0.0,0.0,0.0,0.0
29,1,3,1,4,2,4,3,-14.405354701908331,13.77758183417918,-14.436279308179373,13.882084611219373,-13.211650760823996,14.513559860711645,11.686191933709503
30,1,0,4,1,4,2,1,-13.278245213627613,0.0,11.78456908245202,-11.78456908245202,15.449198321161958,-14.65304496498069,-14.775184706370823
31,4,4,3,2,1,3,3,10.750874373770273,13.306528952156102,11.31145741122581,-12.630460689495033,-12.45789533458156,11.827084971279355,10.353778950879285
32,3,4,1,0,0,0,4,12.03904757470004,13.20783329101703,-13.731532726746499,0.0,0.0,0.0,12.254980493252662
33,4,1,0,0,0,0,4,11.479816494966919,-11.479816494966919,0.0,0.0,0.0,0.0,11.249418004199784
34,4,1,3,1,4,1,0,13.450608670283815,-13.44531512015104,10.520598507504914,-11.857016973428651,13.926331825472428,-13.971313458782001,0.0
35,4,2,2,3,2,4,1,13.986363386044468,-13.014147608240409,9.448623020291654,12.433481477012398,-13.285793680911333,13.911745541251376,-14.110225124907258
36,0,4,2,1,0,4,1,0.0,12.960988489007683,-12.255579682650499,-12.279959050032282,0.0,14.632185695007685,-14.493751309939682
37,0,0,4,1,4,1,4,0.0,0.0,12.33693842772239,-12.33693842772239,12.701993544725353,-12.701993544725353,13.687518364059526
38,2,2,1,4,2,4,3,-10.979219877998558,-9.027998775805175,-11.35034079486082,11.330169131929484,-10.458494087907955,12.229136208053806,11.46020091715873
39,1,1,0,0,0,4,4,-12.245296746267694,-10.864639641975044,0.0,0.0,0.0,11.414772942526213,13.012253279874459
40,2,1,4,3,3,1,3,-10.809966295303314,-10.508993526833606,12.734850162610464,12.909915051074725,11.050726800523188,-13.121334622757598,11.986995021727193
41,4,1,0,0,4,1,0,11.816658788962156,-12.286286638753511,0.0,0.0,11.322057469300432,-11.322057469300432,0.0
42,1,2,1,0,0,4,4,-12.026698208452716,-8.099246984870682,-11.047846388576794,0.0,0.0,12.35922780998808,13.272195698172707
43,1,1,4,1,0,0,0,-12.046629361978415,-9.50989894240884,13.98292713904204,-13.98292713904204,0.0,0.0,0.0
44,2,4,3,4,1,1,4,-12.959444175034061,13.444671170760763,9.883906795110189,15.183733922985931,-15.10944628829706,-14.088544028249272,13.654003762217894
45,3,4,3,1,4,1,4,10.10253946696054,13.408373873332426,14.11238351693914,-14.465590016041993,14.193731274563898,-14.253946820506062,14.343590030631647
46,4,1,4,1,4,3,4,12.48203039550698,-12.48203039550698,13.804012241794512,-13.804012241794512,14.04267514632944,12.925395952951131,15.724905301866121
47,2,1,1,0,0,0,4,-10.98734860080287,-11.054768871445559,-11.045782437251399,0.0,0.0,0.0,9.637021806931802
48,1,4,3,2,4,3,4,-13.057987505828079,12.68010167225428,12.352575266566925,-12.274028868243846,13.084965687483349,11.33458579416953,14.938411050314336
49,4,4,2,4,1,4,3,12.344136317248202,12.328058779614897,-12.23581479400773,12.749159909969501,-13.25840353288619,12.143334572777729,11.022626890823048
50,3,3,1,1,4,1,4,11.108794926713248,12.80396021035989,-13.3971984332645,-11.504507704181622,12.574630945207728,-12.033540217519251,12.049425014920597
51,2,4,1,1,4,4,1,-11.942445862627993,12.171188380921237,-12.35902617590568,-11.911521031041264,10.864639641975044,11.523231814155608,-11.475024990885375
52,2,1,3,3,3,1,1,-14.659459097376764,-14.808168650675624,12.310947509569266,11.738645869482909,12.155609311083344,-13.452095543994483,-12.31475351498739
53,0,0,4,2,1,1,1,0.0,0.0,14.211673369587274,-13.458233493842704,-13.367764500955404,-11.469987957164012,-10.852662346203669
54,4,1,4,4,1,0,0,11.980423898310491,-11.980423898310491,10.380598552108978,12.142417451235048,-12.300896083979506,0.0,0.0
55,1,4,1,0,0,0,0,-11.019693522719008,12.056621603327471,-12.056621603327471,0.0,0.0,0.0,0.0
56,2,4,3,2,3,1,2,-12.77813896005796,13.089159065119853,13.195822806630382,-11.546452750360686,12.485476231294843,-13.837337192032967,-9.346829386891194
57,0,4,1,0,0,0,0,0.0,11.252255959728352,-11.252255959728352,0.0,0.0,0.0,0.0
58,1,3,3,2,2,4,2,-13.797447986501869,12.71468760185386,13.051118066252851,-12.96060902498824,-12.147702576679903,13.777447393595166,-13.542927463969201
59,0,0,0,4,4,3,1,0.0,0.0,0.0,10.730893968708596,12.397870234126678,9.846154236958494,-12.187711139579093
60,1,1,3,1,4,1,2,-13.00143710026045,-12.328163583246212,12.553357271388643,-12.5895987123217,14.029935328200953,-13.849695967444827,-9.96397214297835
61,2,1,3,2,4,3,3,-13.156338335308343,-13.699268759427037,10.289290120133384,-11.80239188754333,12.331382331015224,12.027030544480557,12.628013059988277
62,4,3,1,0,4,1,4,13.071008102183562,12.364501407356327,-13.50061281925042,0.0,12.917207062138438,-12.917207062138438,9.865164585483594
63,4,1,0,4,1,4,1,10.35048797185333,-10.35048797185333,0.0,11.795202865248141,-11.632868478749494,11.472438690017128,-11.660513922284945
64,4,4,1,0,0,0,0,10.804421150162877,11.480451375144012,-12.071547167529578,0.0,0.0,0.0,0.0
65,4,1,0,4,1,1,4,12.850734208763456,-12.998434131811027,0.0,13.900313087164019,-13.744683152437892,-11.963239182161454,12.191614616664307
66,1,1,2,4,1,3,2,-13.687463133497737,-12.91220386456369,-10.822940620565213,12.570572818779969,-12.122040391324218,12.001459478202676,-10.481352741655407
67,2,3,1,0,0,0,0,-10.621071882988566,10.630716002365116,-11.928447203883753,0.0,0.0,0.0,0.0
