,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가,총 평균 구매주기
1,,38.5,-1,-1,,,,,,12.0,5.0,6.357142857142857,24.5,,8.666666666666666,8.0,,-1,4.045454545454546
2,,11.285714285714286,,-1,,,,,,4.166666666666667,,3.869565217391304,9.11111111111111,,13.166666666666666,,,31.5,3.0689655172413794
3,,-1,,,,,,,,,3.0344827586206895,4.777777777777778,,23.0,,,,,2.3783783783783785
4,,15.8,,,,,,,,14.8,13.0,3.0,,-1,11.166666666666666,,,-1,2.5
6,-1,14.333333333333334,-1,-1,1.0,,,-1,,11.833333333333334,3.3333333333333335,1.7708333333333333,8.4,7.444444444444445,10.0,,-1,,1.6346153846153846
7,-1,10.25,,,,,,,,6.166666666666667,17.0,3.103448275862069,,,13.333333333333334,,,-1,2.25
8,-1,5.333333333333333,49.0,,,24.5,,,,4.5,,1.7959183673469388,9.428571428571429,,9.0,28.0,,24.0,1.6923076923076923
9,-1,7.0,-1,,,-1,,,,5.875,,4.15,8.625,,4.421052631578948,,,,2.4444444444444446
10,,,,,,,,,,12.833333333333334,1.875,1.7115384615384615,,62.0,-1,,14.0,41.5,1.4754098360655739
11,49.0,-1,-1,,,7.0,,,-1,11.125,,5.055555555555555,11.285714285714286,,19.75,-1,,,3.5
12,,,,,,,,,,,6.153846153846154,3.103448275862069,-1,10.0,,,,,2.6470588235294117
13,-1,-1,,,-1,,,,,19.0,2.2051282051282053,1.851063829787234,,10.25,,,12.0,-1,1.8125
14,-1,14.6,49.0,1.0,-1,,,,,-1,10.6,3.142857142857143,15.5,,9.0,,-1,-1,2.3783783783783785
15,,13.0,,,,-1,,,,14.5,8.0,2.1219512195121952,-1,25.5,18.0,1.0,,,1.7058823529411764
16,,16.5,,-1,,,,,-1,5.6,-1,2.75,,,-1,,,7.0,2.4444444444444446
17,53.0,7.0,-1,,,,,,,5.3125,-1,2.7419354838709675,38.5,-1,6.0,-1,,54.0,1.8888888888888888
18,,29.666666666666668,,,,-1,,,,11.125,,5.0,-1,,,,,,4.5
19,-1,7.2,,,,,,,,5.0,,6.2,11.666666666666666,,,28.0,,-1,5.636363636363637
20,,11.333333333333334,,11.75,,-1,,,,4.157894736842105,-1,3.56,16.666666666666668,-1,29.0,,,,2.4722222222222223
21,,4.666666666666667,,,14.2,,-1,6.0,11.142857142857142,4.818181818181818,2.0238095238095237,1.6111111111111112,,18.25,2.0,,14.666666666666666,,1.4262295081967213
22,1.0,,,,,,,,,,,1.8,71.0,,,,,,1.7307692307692308
23,2.0,-1,,6.6,,16.5,,,,14.0,,13.5,42.0,,13.5,,,-1,5.769230769230769
24,,,,,14.0,,,,,16.333333333333332,4.454545454545454,3.2857142857142856,,25.5,-1,,,-1,2.857142857142857
