,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가
1,6,2,2,3,7,3,7,7,6,2,4,3,2,6,1,1,6,2
2,6,1,3,2,6,3,7,7,4,3,6,3,1,7,3,3,7,2
3,7,1,7,7,6,7,7,7,7,4,1,3,7,7,6,7,3,7
4,7,3,3,3,6,5,7,7,7,4,4,3,3,4,3,3,5,3
6,4,3,3,7,6,7,7,7,7,3,3,2,2,2,2,4,1,6
7,3,3,3,4,7,4,7,5,1,3,4,3,3,3,3,4,3,3
8,7,3,6,2,7,4,7,6,3,1,6,3,2,7,4,4,7,6
9,3,5,7,7,7,2,7,7,7,4,5,4,1,7,1,1,7,7
10,6,3,7,7,3,5,7,7,6,3,1,1,3,6,3,7,3,2
11,4,2,3,6,6,3,7,7,4,3,5,4,2,7,3,2,7,7
12,7,6,7,7,7,7,7,7,7,3,3,5,6,4,6,7,3,6
13,7,3,7,7,6,6,7,4,7,2,2,2,3,3,4,7,3,7
14,2,2,3,3,6,4,7,6,6,3,3,2,2,4,2,7,3,6
15,7,3,5,7,6,3,7,7,7,3,3,2,2,4,3,6,3,7
16,7,5,7,6,7,7,7,7,7,2,7,4,3,6,3,7,7,6
17,3,2,2,7,7,7,7,7,7,4,4,5,4,6,4,4,6,4
18,6,2,1,3,7,4,7,7,6,3,4,4,1,7,2,6,6,3
19,6,3,6,4,7,7,7,7,7,3,5,4,3,7,3,7,7,6
20,7,2,7,6,7,2,7,7,6,1,7,3,7,7,4,7,7,5
21,7,7,6,7,5,6,3,3,3,2,3,2,7,3,5,7,3,6
22,3,6,5,7,7,7,7,7,7,4,7,3,3,7,7,4,7,7
23,3,4,3,2,7,3,7,1,7,3,4,3,2,7,3,6,5,5
24,6,5,4,7,3,4,7,7,7,4,3,3,7,3,6,7,4,7
25,5,3,3,7,7,4,7,7,7,5,5,4,3,4,2,6,7,7
26,2,2,2,4,7,3,7,7,4,3,6,4,3,6,2,2,7,3
27,6,1,2,6,7,4,7,7,7,2,5,4,2,6,4,7,6,7
28,7,4,6,7,7,7,7,6,7,1,2,2,7,3,6,7,3,6
29,3,3,2,2,7,3,7,7,1,4,4,4,2,4,2,3,4,5
30,4,1,4,7,6,1,7,7,7,3,3,2,1,5,6,3,1,4
31,7,1,4,6,7,7,7,7,3,2,7,3,4,7,3,3,7,6
32,7,4,3,6,3,6,7,6,5,1,3,1,7,3,3,7,4,7
33,7,5,7,7,7,7,7,7,7,3,3,3,6,3,6,7,3,6
34,7,1,1,7,7,6,7,7,7,1,1,3,7,7,3,7,7,7
35,2,2,1,7,1,7,7,7,7,3,5,4,3,5,3,6,3,7
36,6,3,4,6,7,4,7,6,1,2,4,4,3,7,4,2,6,3
37,6,3,3,3,7,7,7,7,5,2,6,3,2,7,6,7,7,4
38,6,1,6,7,3,7,7,3,3,1,2,2,6,2,3,2,1,4
39,6,3,7,7,7,7,7,7,6,3,6,3,1,7,6,6,7,7
40,2,3,3,5,7,2,7,7,3,3,3,3,3,4,4,3,4,5
41,4,4,4,1,7,7,7,7,7,4,5,3,6,6,1,6,7,6
42,7,6,6,7,6,6,7,4,7,2,3,2,6,2,3,7,2,7
43,7,6,7,7,7,7,7,7,7,4,3,4,7,3,5,7,2,7
44,2,3,7,6,7,3,7,7,7,2,3,2,1,4,2,2,4,7
45,3,4,1,6,7,4,7,6,3,4,4,4,1,5,3,6,2,7
46,3,4,7,6,7,5,7,7,7,4,5,3,3,7,5,2,7,7
47,6,2,6,7,3,4,7,4,4,2,3,3,1,3,3,5,2,5
48,2,1,3,6,7,5,7,7,7,4,4,4,1,7,3,2,5,3
49,2,3,3,7,7,6,7,7,6,3,7,3,1,7,4,2,7,6
50,7,1,1,7,3,1,7,6,1,1,4,2,3,4,3,4,7,4
51,7,2,1,6,7,5,7,3,3,2,3,3,3,3,4,1,1,5
52,3,2,3,7,3,3,7,7,3,3,5,3,3,6,2,4,6,4
53,4,3,6,2,6,5,7,7,7,5,5,2,5,7,4,6,7,6
54,7,2,6,7,7,7,7,7,7,1,7,3,3,7,5,7,7,7
55,7,3,7,7,6,6,7,7,7,3,2,4,7,3,6,7,3,7
56,4,3,2,6,7,6,7,7,3,3,5,3,3,6,3,3,6,3
57,6,4,7,7,5,7,7,6,7,3,2,3,7,3,6,7,3,7
58,3,3,6,7,7,3,7,7,4,2,7,4,5,7,2,6,7,6
59,1,5,5,7,7,7,7,7,7,3,4,2,3,4,7,5,4,6
60,7,3,7,7,4,3,7,5,1,2,3,2,4,3,4,4,4,7
61,5,3,3,7,7,6,7,7,7,2,3,3,4,3,3,2,3,4
62,7,3,6,4,7,2,4,7,2,3,4,3,6,4,2,7,4,7
63,7,3,6,7,7,7,7,7,7,1,7,3,4,7,6,7,7,7
64,7,1,7,7,7,7,7,7,6,5,3,1,7,3,3,7,5,4
65,6,3,7,7,6,3,7,6,7,3,5,3,3,3,1,2,3,2
66,7,3,7,7,5,6,7,6,7,2,2,2,3,3,3,3,3,7
67,7,5,6,7,6,7,7,7,7,3,3,3,5,3,4,7,4,2
68,4,3,1,2,7,7,6,6,3,1,4,4,3,5,2,3,4,3
69,7,1,7,7,2,7,7,6,7,1,1,1,7,3,7,7,3,7
70,3,3,6,5,6,3,7,7,6,2,5,2,6,7,3,7,7,6
71,7,7,7,7,7,7,7,4,6,5,3,3,7,3,7,7,3,6
72,7,7,1,7,3,7,7,4,3,3,3,3,6,2,4,7,3,6
73,1,4,1,2,7,6,7,6,7,4,5,5,2,7,2,2,7,3
74,2,3,2,7,7,1,7,7,4,4,5,4,3,3,2,3,4,4
75,7,3,7,7,7,7,7,7,7,4,4,1,4,6,6,7,6,6
76,2,2,4,7,7,4,7,6,5,3,4,3,4,3,3,3,3,2
77,3,3,3,7,7,3,7,6,3,3,4,4,4,3,3,7,3,7
78,2,3,3,2,6,3,7,7,7,3,5,4,1,4,3,2,5,3
79,7,4,7,7,2,4,6,4,4,3,3,3,5,3,4,7,3,6
80,7,4,7,7,4,7,7,7,7,1,2,2,4,3,5,6,4,3
81,5,3,4,4,7,7,7,7,6,4,5,3,2,3,4,3,7,3
82,4,3,4,4,7,5,4,4,3,3,3,2,1,3,4,4,2,3
83,6,3,3,5,7,4,7,7,7,1,4,2,1,4,3,6,4,7
84,7,4,3,3,7,3,7,7,7,5,5,5,3,3,3,4,7,3
85,7,3,7,7,7,7,7,7,7,1,7,3,4,7,5,6,7,3
86,6,3,3,7,6,4,7,7,5,2,3,3,3,3,3,7,3,3
87,6,5,7,1,7,4,7,7,6,3,5,4,6,7,4,1,7,4
88,7,4,5,2,3,4,7,6,7,2,3,3,3,6,6,3,4,3
89,7,3,6,7,7,2,7,5,7,4,3,1,3,3,3,2,1,4
90,3,3,6,3,7,4,7,6,6,3,4,4,3,2,3,3,6,3
91,7,1,7,7,6,6,7,7,3,5,4,3,2,7,5,7,7,7
92,6,2,3,7,6,3,2,4,1,3,3,3,2,3,2,3,2,2
93,4,5,1,7,7,4,7,7,6,3,7,5,1,7,3,6,7,7
94,6,1,1,3,7,4,7,6,5,1,5,3,7,7,3,6,1,1
95,6,4,7,7,1,6,7,6,6,3,3,2,3,3,4,7,2,7
96,6,1,7,3,7,4,7,7,7,2,7,3,3,7,3,6,7,6
97,3,4,1,1,4,2,7,7,6,3,3,4,2,5,5,1,4,2
98,5,4,7,7,7,4,7,7,3,1,5,3,3,3,3,6,5,6
99,2,3,3,3,6,7,7,7,6,2,4,3,1,4,1,3,3,1
100,6,4,4,6,7,1,7,7,3,3,5,3,3,2,2,3,6,4
101,7,1,7,7,7,7,7,7,7,3,4,3,2,7,6,7,2,7
102,2,3,6,5,5,3,7,7,7,2,2,1,2,3,2,4,3,3
103,7,6,7,7,7,6,7,7,7,4,2,3,7,7,5,7,4,7
104,7,4,7,7,7,7,6,7,7,3,2,1,3,4,4,7,2,6
105,7,4,6,7,1,4,6,6,7,1,2,2,7,4,4,3,3,1
106,5,2,3,1,7,3,7,7,3,3,4,3,2,7,3,6,7,7
107,1,2,2,6,7,4,7,7,4,3,4,3,1,7,3,3,6,3
108,7,1,3,7,5,3,6,7,5,2,5,3,5,6,3,6,7,2
109,7,6,7,7,6,7,7,6,7,2,2,1,7,5,6,7,1,7
110,7,2,1,5,6,1,3,3,4,1,4,3,2,5,4,3,4,4
111,7,5,7,7,7,6,7,7,7,5,1,3,7,4,7,7,3,1
112,7,3,3,7,7,2,7,6,3,3,4,3,1,4,2,2,4,7
113,2,2,3,4,5,3,6,4,2,1,4,3,3,4,2,2,5,2
114,7,3,7,5,7,3,7,7,6,4,4,3,3,4,3,7,6,1
115,3,2,5,6,7,5,7,7,7,2,4,3,3,7,4,2,6,6
116,7,3,7,7,2,7,7,7,7,3,1,3,5,7,5,7,6,7
117,3,1,7,3,7,3,7,7,7,3,3,3,4,6,7,2,5,1
118,2,4,3,3,7,3,7,7,5,1,7,4,1,7,1,4,7,6
119,2,2,4,7,1,2,7,7,2,2,4,3,3,4,2,3,3,3
120,3,2,1,7,7,3,7,7,7,3,4,3,1,6,1,3,6,2
121,6,2,7,7,7,7,7,7,3,3,4,3,7,6,3,6,4,6
122,7,2,7,1,6,3,4,3,2,3,4,4,5,5,3,3,3,4
123,7,2,7,7,7,7,7,3,5,2,3,2,7,3,6,7,2,7
124,6,2,3,7,7,4,7,7,6,3,5,4,3,5,2,1,6,7
125,2,3,7,4,7,6,7,6,7,4,4,3,4,4,3,7,3,6
126,1,5,7,6,4,6,7,6,7,3,3,2,1,3,3,7,6,6
127,7,4,4,7,7,3,7,7,7,4,5,3,6,3,3,7,3,4
128,7,4,7,7,6,7,7,7,7,4,3,3,7,3,6,7,3,7
129,7,2,7,7,3,7,5,3,2,3,3,3,6,3,7,7,3,7
130,2,2,2,7,7,2,7,7,3,2,4,3,2,7,2,3,6,2
131,3,1,4,3,7,2,7,7,7,1,3,3,3,5,3,2,5,2
132,7,3,7,7,6,7,7,3,7,3,1,1,7,2,6,7,1,7
133,7,3,6,4,3,4,7,3,7,4,4,3,6,5,2,4,4,6
134,2,3,3,2,7,3,7,1,6,3,4,4,3,7,2,2,6,2
135,7,3,7,1,7,3,7,7,6,3,4,3,4,7,3,7,6,2
136,7,2,4,4,7,2,6,7,1,3,6,4,3,7,3,3,7,6
137,3,3,7,3,7,4,6,6,3,4,3,3,4,5,3,3,4,3
138,2,2,6,6,4,1,7,6,7,5,4,4,3,5,3,3,3,3
139,2,3,3,7,7,5,7,6,6,2,3,3,1,2,3,2,2,3
140,2,3,5,2,6,3,7,7,6,1,4,3,2,6,4,3,5,2
141,7,2,7,7,2,7,7,7,7,4,2,3,7,7,6,7,4,7
143,7,3,7,7,3,7,6,2,6,7,3,3,7,3,3,7,1,6
144,5,1,7,7,1,6,1,1,2,1,2,2,5,3,4,7,1,5
145,3,3,5,2,7,2,7,7,6,3,5,5,5,5,4,2,6,3
146,2,3,3,7,7,3,7,7,3,5,7,4,4,7,2,2,7,3
