CUSTNO,D-Recency,Frequancy,Monetary,Recency
1,4,312,17898365,20150627
2,7,261,27791610,20150624
3,2,220,592280,20150629
4,1,263,3656937,20150630
6,1,397,6389055,20150630
7,2,200,21023304,20150629
8,2,525,14506420,20150629
9,3,193,83988810,20150628
10,4,918,5268427,20150627
11,1,168,33356200,20150630
12,6,141,1233344,20150625
13,2,844,5059991,20150629
14,1,282,11421564,20150630
15,1,285,8387138,20150630
16,1,220,3654695,20150630
17,1,290,24983228,20150630
18,1,101,2794320,20150630
19,3,135,11059410,20150628
20,1,251,6624950,20150630
21,2,540,7186304,20150629
22,2,154,37499200,20150629
23,6,179,15464550,20150625
24,1,181,2290513,20150630
25,1,211,19249381,20150630
26,1,295,24805516,20150630
27,2,147,13650380,20150629
28,1,302,2038994,20150630
29,3,278,20350894,20150628
30,3,515,27172546,20150628
31,3,260,3225860,20150628
32,1,366,4532715,20150630
33,2,632,2513110,20150629
34,3,218,3614970,20150628
35,3,295,12242601,20150628
36,2,192,10173310,20150629
37,3,260,16756820,20150628
38,1,691,5494639,20150630
39,4,175,35631338,20150627
40,1,221,7116033,20150630
41,8,211,4938550,20150623
42,1,666,4384147,20150630
43,4,340,1442350,20150627
44,1,232,9832914,20150630
45,3,222,77343532,20150628
46,2,185,48694400,20150629
47,9,418,3827355,20150622
48,1,172,25175180,20150630
49,2,175,22192400,20150629
50,1,443,5414960,20150630
51,1,367,4060736,20150630
52,1,395,10762750,20150630
53,1,179,9141840,20150630
54,1,163,2191650,20150630
55,1,262,1808780,20150630
56,1,209,36184363,20150630
57,1,350,2982629,20150630
58,1,179,5478560,20150630
59,2,223,5907000,20150629
60,2,377,6653988,20150629
61,2,379,4470494,20150629
62,2,257,4529970,20150629
63,3,158,1749730,20150628
64,8,180,770245,20150623
65,1,301,6897950,20150630
66,1,556,4626782,20150630
67,1,589,2877652,20150630
68,1,288,57876795,20150630
69,1,934,3722299,20150630
70,18,88,5061540,20150613
71,1,281,1309351,20150630
72,1,305,2386468,20150630
73,6,127,59480490,20150625
74,13,216,5163110,20150618
75,5,190,1108206,20150626
76,3,214,3018310,20150628
77,5,259,7893718,20150626
78,2,326,33694851,20150629
79,1,522,3607631,20150630
80,2,398,2979539,20150629
81,1,247,19546090,20150630
82,2,345,30271926,20150629
83,1,291,29628050,20150630
84,2,162,38392370,20150629
85,2,248,4474790,20150629
86,1,775,9545458,20150630
87,2,140,7752052,20150629
88,1,383,12320118,20150630
89,2,591,4388995,20150629
90,2,118,7796930,20150629
91,1,235,4986750,20150630
92,4,405,12305226,20150627
93,3,199,37975290,20150628
94,2,350,8765136,20150629
95,2,339,1812664,20150629
96,6,140,4685750,20150625
97,2,501,307372262,20150629
98,2,145,6148540,20150629
99,2,362,66658092,20150629
100,5,133,2716925,20150626
101,4,221,1699057,20150627
102,4,709,17374387,20150627
103,2,210,1139608,20150629
104,2,659,3397468,20150629
105,2,482,4549573,20150629
106,3,178,13209950,20150628
107,1,217,37608047,20150630
108,2,265,3615950,20150629
109,3,341,1449687,20150628
110,1,335,6392191,20150630
111,1,411,1438582,20150630
112,2,253,18511827,20150629
113,1,413,24949332,20150630
114,1,235,6902323,20150630
115,2,184,24897191,20150629
116,1,453,2197348,20150630
