,제휴사,대분류코드,금액 타입,대분류명_y,중분류명,소분류명,UPRICE,QTY,AVG,AVGVS,구매금액_min,구매금액_max,구매금액_mean
0,B,1,저가,식품,버섯,건버섯,3017,123931,7926,0.4,3600,68000,5712.75104
1,B,1,저가,식품,버섯,느타리버섯,3017,123931,7926,0.4,800,23840,2140.674677
2,B,1,저가,식품,버섯,버섯모둠,3017,123931,7926,0.4,990,11400,3076.950092
3,B,1,저가,식품,버섯,버섯선물세트,3017,123931,7926,0.4,36000,1068000,151396
4,B,1,저가,식품,버섯,새송이버섯,3017,123931,7926,0.4,690,75900,2820.411729
5,B,1,저가,식품,버섯,양송이버섯,3017,123931,7926,0.4,979,38000,4202.924323
6,B,1,저가,식품,버섯,이색버섯,3017,123931,7926,0.4,1000,125000,4572.500762
7,B,1,저가,식품,버섯,팽이버섯,3017,123931,7926,0.4,300,19400,1255.882051
8,B,1,저가,식품,버섯,표고버섯,3017,123931,7926,0.4,1008,77740,4306.512575
9,B,1,저가,식품,열매채소,가시오이,2022,176823,7926,0.3,300,21000,1850.472978
10,B,1,저가,식품,열매채소,가지,2022,176823,7926,0.3,200,22500,1838.65616
11,B,1,저가,식품,열매채소,고추,2022,176823,7926,0.3,224,152960,2039.453239
12,B,1,저가,식품,열매채소,구색 호박,2022,176823,7926,0.3,250,54000,2309.300516
13,B,1,저가,식품,열매채소,기타과채류,2022,176823,7926,0.3,420,30000,3072.816794
14,B,1,저가,식품,열매채소,기타열매채소,2022,176823,7926,0.3,438,30000,2798.006515
15,B,1,저가,식품,열매채소,기타오이,2022,176823,7926,0.3,300,8400,2732.895833
16,B,1,저가,식품,열매채소,기타호박,2022,176823,7926,0.3,400,20000,1875.428841
17,B,1,저가,식품,열매채소,다다기오이,2022,176823,7926,0.3,100,50000,2159.601867
18,B,1,저가,식품,열매채소,단호박,2022,176823,7926,0.3,500,77940,3241.137747
19,B,1,저가,식품,열매채소,애호박,2022,176823,7926,0.3,100,45760,1575.241825
20,B,1,저가,식품,열매채소,여주,2022,176823,7926,0.3,1500,37500,6097.747748
21,B,1,저가,식품,열매채소,오이,2022,176823,7926,0.3,200,34400,2081.660732
22,B,1,저가,식품,열매채소,옥수수,2022,176823,7926,0.3,400,59600,4243.438464
23,B,1,저가,식품,열매채소,취청오이,2022,176823,7926,0.3,150,39000,2128.838211
24,B,1,저가,식품,열매채소,친환경열매채소,2022,176823,7926,0.3,500,16200,2458.025391
25,B,1,저가,식품,열매채소,콩류,2022,176823,7926,0.3,1500,41220,5198.729508
26,B,1,저가,식품,열매채소,피망,2022,176823,7926,0.3,444,39000,2685.126979
27,B,5,저가,식품,열매채소,가시오이,2169,83576,7926,0.3,300,21000,1850.472978
28,B,5,저가,식품,열매채소,가지,2169,83576,7926,0.3,200,22500,1838.65616
29,B,5,저가,식품,열매채소,고추,2169,83576,7926,0.3,224,152960,2039.453239
30,B,5,저가,식품,열매채소,구색 호박,2169,83576,7926,0.3,250,54000,2309.300516
31,B,5,저가,식품,열매채소,기타과채류,2169,83576,7926,0.3,420,30000,3072.816794
32,B,5,저가,식품,열매채소,기타열매채소,2169,83576,7926,0.3,438,30000,2798.006515
33,B,5,저가,식품,열매채소,기타오이,2169,83576,7926,0.3,300,8400,2732.895833
34,B,5,저가,식품,열매채소,기타호박,2169,83576,7926,0.3,400,20000,1875.428841
35,B,5,저가,식품,열매채소,다다기오이,2169,83576,7926,0.3,100,50000,2159.601867
36,B,5,저가,식품,열매채소,단호박,2169,83576,7926,0.3,500,77940,3241.137747
37,B,5,저가,식품,열매채소,애호박,2169,83576,7926,0.3,100,45760,1575.241825
38,B,5,저가,식품,열매채소,여주,2169,83576,7926,0.3,1500,37500,6097.747748
39,B,5,저가,식품,열매채소,오이,2169,83576,7926,0.3,200,34400,2081.660732
40,B,5,저가,식품,열매채소,옥수수,2169,83576,7926,0.3,400,59600,4243.438464
41,B,5,저가,식품,열매채소,취청오이,2169,83576,7926,0.3,150,39000,2128.838211
42,B,5,저가,식품,열매채소,친환경열매채소,2169,83576,7926,0.3,500,16200,2458.025391
43,B,5,저가,식품,열매채소,콩류,2169,83576,7926,0.3,1500,41220,5198.729508
44,B,5,저가,식품,열매채소,피망,2169,83576,7926,0.3,444,39000,2685.126979
45,B,3,저가,식품,포장반찬,메인요리,3290,29064,7926,0.4,4980,5980,5046.666667
46,B,3,저가,식품,포장반찬,볶음/무침반찬,3290,29064,7926,0.4,1120,38100,5289.951766
47,B,3,저가,식품,포장반찬,절임반찬,3290,29064,7926,0.4,520,71720,3083.189394
48,B,3,저가,식품,포장반찬,조림반찬,3290,29064,7926,0.4,1980,95760,5373.346774
49,B,3,저가,식품,포장반찬,포장반찬,3290,29064,7926,0.4,1640,38780,6071.911826
50,B,5,저가,식품,LOCAL김치채소,Local갓,2412,2501,7926,0.3,1780,12460,3810
51,B,5,저가,식품,LOCAL김치채소,Local무우,2412,2501,7926,0.3,300,4740,1445.757576
52,B,5,저가,식품,LOCAL김치채소,Local배추,2412,2501,7926,0.3,800,22320,2655.18797
53,B,5,저가,식품,LOCAL김치채소,Local얼갈이,2412,2501,7926,0.3,500,11920,2123.484609
54,B,5,저가,식품,LOCAL김치채소,Local열무,2412,2501,7926,0.3,500,14760,2826.953441
55,B,5,저가,식품,LOCAL잎채소,Local근대,1836,28219,7926,0.2,500,5820,1498.355556
56,B,5,저가,식품,LOCAL잎채소,Local기타잎채소,1836,28219,7926,0.2,350,86400,2413.182368
57,B,5,저가,식품,LOCAL잎채소,Local깻잎,1836,28219,7926,0.2,900,19440,1714.37604
58,B,5,저가,식품,LOCAL잎채소,Local미나리,1836,28219,7926,0.2,1152,3020,1745.666667
59,B,5,저가,식품,LOCAL잎채소,Local부추,1836,28219,7926,0.2,700,7380,1948.326118
60,B,5,저가,식품,LOCAL잎채소,Local상추,1836,28219,7926,0.2,400,14500,1525.917054
61,B,5,저가,식품,LOCAL잎채소,Local시금치,1836,28219,7926,0.2,300,23840,1990.02071
62,B,5,저가,식품,LOCAL잎채소,Local쌈채소,1836,28219,7926,0.2,600,7960,2749.04
63,B,5,저가,식품,LOCAL잎채소,Local쑥갓,1836,28219,7926,0.2,500,4950,1097.541254
64,B,5,저가,식품,LOCAL잎채소,Local아욱,1836,28219,7926,0.2,500,6600,1459.280344
65,B,5,저가,식품,LOCAL잎채소,Local양배추,1836,28219,7926,0.2,100,23750,1960.693928
66,B,5,저가,식품,김치채소,갓,2220,91437,7926,0.3,500,26700,3166.316411
67,B,5,저가,식품,김치채소,무우,2220,91437,7926,0.3,100,49600,1531.871527
68,B,5,저가,식품,김치채소,배추,2220,91437,7926,0.3,141,480000,3583.21398
69,B,5,저가,식품,김치채소,알타리무,2220,91437,7926,0.3,1500,45000,7211.034483
70,B,5,저가,식품,김치채소,얼갈이,2220,91437,7926,0.3,300,30520,2060.051657
71,B,5,저가,식품,김치채소,열무,2220,91437,7926,0.3,490,26350,3019.635763
72,B,5,저가,식품,김치채소,친환경김치채소,2220,91437,7926,0.3,500,10000,1952.061966
73,B,5,저가,식품,버섯류,건버섯,2920,61371,7926,0.4,3500,58600,6325.907384
74,B,5,저가,식품,버섯류,기타버섯,2920,61371,7926,0.4,1000,676000,4595.252796
75,B,5,저가,식품,버섯류,버섯류 선물세트,2920,61371,7926,0.4,30000,724000,124490.566
76,B,5,저가,식품,버섯류,버섯모둠,2920,61371,7926,0.4,3300,9800,4360.5
77,B,5,저가,식품,버섯류,새송이버섯,2920,61371,7926,0.4,500,26400,2705.232599
78,B,5,저가,식품,버섯류,양송이버섯,2920,61371,7926,0.4,350,31464,4031.932786
79,B,5,저가,식품,버섯류,일반느타리버섯,2920,61371,7926,0.4,400,20900,2091.480518
80,B,5,저가,식품,버섯류,친환경참맛느타리,2920,61371,7926,0.4,300,18200,2019.496951
81,B,5,저가,식품,버섯류,친환경팽이버섯,2920,61371,7926,0.4,200,15300,1348.513122
82,B,5,저가,식품,버섯류,표고버섯,2920,61371,7926,0.4,800,40000,4351.082326
83,B,5,저가,식품,뿌리채소,감자,3189,56555,7926,0.4,19,141360,2739.138608
84,B,5,저가,식품,뿌리채소,고구마,3189,56555,7926,0.4,31,61800,5347.405809
85,B,5,저가,식품,뿌리채소,기타뿌리채소,3189,56555,7926,0.4,2400,31500,6564.285714
86,B,5,저가,식품,뿌리채소,당근,3189,56555,7926,0.4,12,39920,1585.940494
87,B,5,저가,식품,뿌리채소,마,3189,56555,7926,0.4,1079,66000,10036.6082
88,B,5,저가,식품,뿌리채소,연근,3189,56555,7926,0.4,435,37037,4557.740925
89,B,5,저가,식품,뿌리채소,우엉,3189,56555,7926,0.4,1000,71760,5555.98239
90,B,5,저가,식품,뿌리채소,친환경 뿌리채소,3189,56555,7926,0.4,500,8100,2524.149533
91,B,5,저가,식품,뿌리채소,친환경뿌리채소,3189,56555,7926,0.4,500,27500,5616.231288
92,B,91,저가,식품,뿌리채소,감자,3202,112576,7926,0.4,19,141360,2739.138608
93,B,91,저가,식품,뿌리채소,고구마,3202,112576,7926,0.4,31,61800,5347.405809
94,B,91,저가,식품,뿌리채소,기타뿌리채소,3202,112576,7926,0.4,2400,31500,6564.285714
95,B,91,저가,식품,뿌리채소,당근,3202,112576,7926,0.4,12,39920,1585.940494
96,B,91,저가,식품,뿌리채소,마,3202,112576,7926,0.4,1079,66000,10036.6082
97,B,91,저가,식품,뿌리채소,연근,3202,112576,7926,0.4,435,37037,4557.740925
98,B,91,저가,식품,뿌리채소,우엉,3202,112576,7926,0.4,1000,71760,5555.98239
99,B,91,저가,식품,뿌리채소,친환경 뿌리채소,3202,112576,7926,0.4,500,8100,2524.149533
100,B,91,저가,식품,뿌리채소,친환경뿌리채소,3202,112576,7926,0.4,500,27500,5616.231288
101,B,5,저가,식품,샐러드/간편채소,간편구색,3404,54613,7926,0.4,850,74600,2474.499699
102,B,5,저가,식품,샐러드/간편채소,간편양념,3404,54613,7926,0.4,980,58900,3411.07694
103,B,5,저가,식품,샐러드/간편채소,드레싱,3404,54613,7926,0.4,650,102900,3658.630413
104,B,5,저가,식품,샐러드/간편채소,샐러드,3404,54613,7926,0.4,990,57000,3450.269939
105,B,5,저가,식품,샐러드채소,구색샐러드채소,2912,122520,7926,0.4,276,14492,2143.236088
106,B,5,저가,식품,샐러드채소,구색양채,2912,122520,7926,0.4,392,30000,3667.372531
107,B,5,저가,식품,샐러드채소,기타양채,2912,122520,7926,0.4,600,2300,1400
108,B,5,저가,식품,샐러드채소,브로콜리,2912,122520,7926,0.4,294,70000,2707.555689
109,B,5,저가,식품,샐러드채소,샐러드채소,2912,122520,7926,0.4,2980,2980,2980
110,B,5,저가,식품,샐러드채소,아스파라거스,2912,122520,7926,0.4,1000,60000,3894.096806
111,B,5,저가,식품,샐러드채소,양상추,2912,122520,7926,0.4,500,73440,2227.705928
112,B,5,저가,식품,샐러드채소,즙용샐러드채소,2912,122520,7926,0.4,1780,19600,3379.975112
113,B,5,저가,식품,샐러드채소,즙용양채,2912,122520,7926,0.4,1590,15000,3737.874818
114,B,5,저가,식품,샐러드채소,친환경샐러드채소,2912,122520,7926,0.4,500,35000,2920.541453
115,B,5,저가,식품,샐러드채소,파프리카,2912,122520,7926,0.4,100,57600,3225.349226
116,B,5,저가,식품,샐러드채소,향신채소,2912,122520,7926,0.4,500,11880,1998.735409
117,B,5,저가,식품,식자재,식자재,2426,718,7926,0.3,400,17500,2426.019499
118,B,5,저가,식품,식자재,직영식자재,2426,718,7926,0.3,1500,52000,5603.752759
119,B,5,저가,식품,식자재,특정식자재,2426,718,7926,0.3,250,59720,6001.775457
120,B,5,저가,식품,양념류,건고추,2623,51391,7926,0.3,2900,242800,23824.34343
121,B,5,저가,식품,양념류,기타양념,2623,51391,7926,0.3,4300,108000,14473.94958
122,B,5,저가,식품,양념류,깐마늘,2623,51391,7926,0.3,990,42000,2481.408935
123,B,5,저가,식품,양념류,대파,2623,51391,7926,0.3,500,10000,1700.071143
124,B,5,저가,식품,양념류,마늘쫑,2623,51391,7926,0.3,800,29900,2898.389623
125,B,5,저가,식품,양념류,생강,2623,51391,7926,0.3,90,18000,1883.921329
126,B,5,저가,식품,양념류,양념류 선물세트,2623,51391,7926,0.3,16990,74250,33722
