CUSTNO,전체 분기 중요 카테고리 top_1,전체 분기 중요 카테고리 top_2
1,{'의류/이미용_중가': 31514132.822064523},{'의류/이미용_고가': 11680492.78721102}
2,[{'의류/이미용_고가': 35844891.95116373}],[{'의류/이미용_중가': 15464257.61488105}]
3,[{'식품/생활_저가': 1578196.5014246835}],[{'식품/생활_중가': 1217956.6217703721}]
4,[{'식품/생활_중가': 5136305.8406054005}],[{'의류/이미용_중가': 5125107.05080192}]
6,[{'의류/이미용_고가': 5698199.893955354}],[{'의류/이미용_중가': 5474293.3214919735}]
7,[{'의류/이미용_중가': 28675566.622859523}],[{'의류/이미용_고가': 19755718.127727747}]
8,[{'식품/생활_중가': 15115229.37188153}],[{'의류/이미용_고가': 14572042.513376832}]
9,[{'의류/이미용_중가': 83015485.14988564}],[{'침구/주방_고가': 45422544.622666314}]
10,[{'식품/생활_중가': 9141782.022023812}],[{'식품/생활_저가': 4120131.2967598126}]
11,[{'가구인테리어/잡화_고가': 59866317.727932625}],[{'의류/이미용_고가': 21102304.34997803}]
12,[{'의류/이미용_고가': 2379186.941975194}],[{'식품/생활_중가': 1705476.2209511078}]
13,[{'식품/생활_중가': 10066072.638783526}],[{'식품/생활_저가': 2313949.4153354145}]
14,[{'의류/이미용_중가': 10321103.838181518}],[{'식품/생활_중가': 9255069.522826355}]
15,[{'의류/이미용_고가': 10534022.994182194}],[{'의류/이미용_중가': 6028514.901437847}]
16,[{'식품/생활_중가': 5591725.190165352}],[{'식품/생활_고가': 2757254.3719400573}]
17,[{'식품/생활_고가': 43528123.150427654}],[{'가구인테리어/잡화_중가': 37825593.842030324}]
18,[{'의류/이미용_고가': 51421418.20758451}],[{'의류/이미용_중가': 11714547.426142994}]
19,[{'의류/이미용_고가': 20768025.177942358}],[{'식품/생활_중가': 13605164.138640722}]
20,[{'식품/생활_고가': 10126067.935109008}],[{'식품/생활_중가': 6365326.318797886}]
21,[{'식품/생활_중가': 9772424.330370981}],[{'식품/생활_고가': 3427407.7827137616}]
22,[{'가구인테리어/잡화_고가': 105815868.51147878}],[{'의류/이미용_고가': 23817017.65403682}]
23,[{'의류/이미용_고가': 17238530.77230003}],[{'가전/레저취미/멀티샵_고가': 16546783.1749666}]
24,[{'식품/생활_중가': 3919163.0902723884}],[{'가전/레저취미/멀티샵_저가': 1830647.5122071411}]
25,[{'의류/이미용_중가': 27036106.45647388}],[{'의류/이미용_고가': 6580208.142235972}]
26,[{'가구인테리어/잡화_고가': 41707585.50018261}],[{'의류/이미용_중가': 39951869.77212625}]
27,[{'의류/이미용_고가': 23874243.563301954}],[{'식품/생활_고가': 19487558.751283254}]
