CUSTNO,Count_전체 분기 중요 카테고리 top_1,Count_전체 분기 중요 카테고리 top_2
1,{'Frequency_식품/생활_중가': 538.020690710877},{'Frequency_의류/이미용_중가': 156.8139418447174}
2,[{'Frequency_식품/생활_중가': 632.446437301514}],[{'Frequency_가구인테리어/잡화_저가': 104.96791822565766}]
3,[{'Frequency_식품/생활_저가': 828.7235401932292}],[{'Frequency_식품/생활_중가': 238.02864888700404}]
4,[{'Frequency_식품/생활_중가': 591.07584559882}],[{'Frequency_식품/생활_저가': 122.0801627876277}]
6,[{'Frequency_식품/생활_중가': 709.9071832123506}],[{'Frequency_식품/생활_저가': 525.2480888443353}]
7,[{'Frequency_식품/생활_중가': 419.9447218559633}],[{'Frequency_식품/생활_저가': 86.81155846301212}]
8,[{'Frequency_식품/생활_중가': 1244.1871668323079}],[{'Frequency_식품/생활_고가': 415.43896896833667}]
9,[{'Frequency_의류/이미용_중가': 219.09822986146276}],[{'Frequency_식품/생활_중가': 192.8031445336224}]
10,[{'Frequency_식품/생활_저가': 1617.4507350522044}],[{'Frequency_식품/생활_중가': 1600.425351426921}]
11,[{'Frequency_식품/생활_중가': 436.0344768852292}],[{'Frequency_식품/생활_고가': 99.13661078286975}]
12,[{'Frequency_식품/생활_중가': 257.56062692496175}],[{'Frequency_식품/생활_저가': 178.5103455727394}]
13,[{'Frequency_식품/생활_중가': 1769.3449322306592}],[{'Frequency_식품/생활_저가': 824.0893581350864}]
14,[{'Frequency_식품/생활_중가': 666.0647003408508}],[{'Frequency_식품/생활_저가': 328.93166487166707}]
15,[{'Frequency_식품/생활_중가': 573.4358740907426}],[{'Frequency_식품/생활_저가': 196.84119604464453}]
16,[{'Frequency_식품/생활_중가': 418.73749000092016}],[{'Frequency_식품/생활_고가': 113.6811496862499}]
17,[{'Frequency_식품/생활_중가': 410.60619679708077}],[{'Frequency_식품/생활_저가': 136.95124773173825}]
18,[{'Frequency_식품/생활_중가': 330.690858064662}],[{'Frequency_식품/생활_고가': 108.3210268129129}]
19,[{'Frequency_식품/생활_중가': 372.68432887308194}],[{'Frequency_식품/생활_고가': 60.4781901900695}]
20,[{'Frequency_식품/생활_중가': 692.0755288805152}],[{'Frequency_식품/생활_고가': 222.0958029678119}]
21,[{'Frequency_식품/생활_중가': 1311.8394725294193}],[{'Frequency_식품/생활_저가': 582.4894041704844}]
22,[{'Frequency_식품/생활_중가': 416.0966178250055}],[{'Frequency_의류/이미용_고가': 30.631296044933833}]
23,[{'Frequency_식품/생활_중가': 441.53191813464787}],[{'Frequency_식품/생활_고가': 85.87503947289152}]
24,[{'Frequency_식품/생활_중가': 475.7339245043581}],[{'Frequency_식품/생활_저가': 207.1609274846306}]
25,[{'Frequency_식품/생활_중가': 307.6141101575041}],[{'Frequency_의류/이미용_중가': 105.21354133741782}]
26,[{'Frequency_식품/생활_중가': 409.4029926824399}],[{'Frequency_의류/이미용_중가': 110.85152122413643}]
27,[{'Frequency_식품/생활_중가': 371.1454114588442}],[{'Frequency_식품/생활_고가': 127.5272964722448}]
28,[{'Frequency_식품/생활_중가': 756.6252060916904}],[{'Frequency_식품/생활_저가': 471.00006800462324}]
29,[{'Frequency_식품/생활_중가': 255.28756105346392}],[{'Frequency_의류/이미용_중가': 126.64700664057787}]
30,[{'Frequency_식품/생활_중가': 1258.960075492557}],[{'Frequency_식품/생활_저가': 594.1188707556879}]
31,[{'Frequency_식품/생활_중가': 634.7454674441431}],[{'Frequency_식품/생활_고가': 147.10862541141358}]
32,[{'Frequency_식품/생활_중가': 1063.0215842130908}],[{'Frequency_식품/생활_저가': 204.93862933224725}]
33,[{'Frequency_식품/생활_중가': 1312.1228841292782}],[{'Frequency_식품/생활_저가': 915.8049636784324}]
34,[{'Frequency_식품/생활_중가': 685.8433703596403}],[{'Frequency_식품/생활_고가': 117.29094197507197}]
35,[{'Frequency_식품/생활_중가': 534.7228490839765}],[{'Frequency_식품/생활_고가': 129.13846249406154}]
36,[{'Frequency_식품/생활_중가': 578.3813083229188}],[{'Frequency_식품/생활_고가': 180.27552764037108}]
37,[{'Frequency_식품/생활_중가': 867.9016734683634}],[{'Frequency_식품/생활_고가': 106.55351694621406}]
38,[{'Frequency_식품/생활_중가': 1241.864084047521}],[{'Frequency_식품/생활_저가': 900.900154932443}]
39,[{'Frequency_식품/생활_중가': 391.74401326162257}],[{'Frequency_의류/이미용_고가': 85.44206293099936}]
40,[{'Frequency_식품/생활_중가': 297.4205745242879}],[{'Frequency_식품/생활_저가': 230.1795310895401}]
41,[{'Frequency_식품/생활_중가': 571.2847443785408}],[{'Frequency_식품/생활_저가': 60.65035538173032}]
42,[{'Frequency_식품/생활_중가': 1226.570707599121}],[{'Frequency_식품/생활_저가': 652.586549484632}]
43,[{'Frequency_식품/생활_중가': 542.4248738741245}],[{'Frequency_식품/생활_저가': 422.93356175556585}]
44,[{'Frequency_식품/생활_중가': 615.1859614690364}],[{'Frequency_식품/생활_저가': 122.99748736973226}]
45,[{'Frequency_식품/생활_중가': 349.53112842800334}],[{'Frequency_의류/이미용_고가': 193.3452556443952}]
