CUSTNO,Monetary_가구인테리어/잡화_고가_등급,Monetary_가구인테리어/잡화_저가_등급,Monetary_가구인테리어/잡화_중가_등급,Monetary_가전/레저취미/멀티샵_고가_등급,Monetary_가전/레저취미/멀티샵_저가_등급,Monetary_가전/레저취미/멀티샵_중가_등급,Monetary_교육문화/아동_고가_등급,Monetary_교육문화/아동_저가_등급,Monetary_교육문화/아동_중가_등급,Monetary_식품/생활_고가_등급,Monetary_식품/생활_저가_등급,Monetary_식품/생활_중가_등급,Monetary_의류/이미용_고가_등급,Monetary_의류/이미용_저가_등급,Monetary_의류/이미용_중가_등급,Monetary_침구/주방_고가_등급,Monetary_침구/주방_저가_등급,Monetary_침구/주방_중가_등급
1,2,2,-4,-1,0,-1,0,0,0,1,0,1,1,0,0,-3,0,0
2,0,-1,0,-2,0,0,0,0,-2,-2,0,0,1,1,-2,-2,0,4
3,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0
4,0,0,-1,0,-1,-1,0,4,0,1,1,0,1,-2,-1,-1,0,0
6,0,2,-1,0,0,0,0,-1,0,-3,0,-1,0,-1,0,0,-2,-2
7,-2,1,0,-1,-1,-2,0,1,0,2,0,0,4,0,-2,0,2,0
8,0,0,3,0,0,3,0,0,0,0,0,0,0,0,-1,0,0,0
9,1,4,2,1,0,3,0,0,0,-2,0,0,-1,0,0,0,0,0
10,0,0,2,0,3,-1,0,0,0,-1,-1,1,1,1,-1,2,1,-1
11,6,1,6,0,0,3,0,0,2,2,0,-4,1,0,4,0,0,0
12,0,2,0,0,2,0,0,0,0,0,0,0,-4,0,0,0,0,1
13,0,0,0,0,0,0,0,2,0,1,0,1,2,0,-1,-3,-1,0
14,2,0,-1,3,1,3,0,0,0,1,0,-1,1,0,-1,1,1,0
15,0,-2,1,0,0,2,0,1,0,-2,-1,0,4,0,2,-2,0,0
16,1,-1,0,0,0,0,2,0,2,0,0,1,0,0,-2,2,0,-3
17,0,0,0,0,0,0,0,0,0,0,1,0,-3,0,0,1,1,0
18,0,-1,0,0,0,-2,0,0,0,1,0,0,1,0,-2,0,0,2
19,1,1,1,1,0,-4,0,0,0,0,0,0,0,-1,-1,-2,0,0
20,0,1,1,-2,0,-1,0,0,0,1,1,0,0,1,0,0,0,0
21,0,1,1,0,1,2,0,2,1,0,1,-2,0,0,2,0,-1,-3
22,3,0,2,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0
23,-1,0,2,-1,0,-2,0,0,0,0,0,1,-1,0,-1,-3,0,2
24,0,-2,0,0,-4,0,0,0,-1,3,0,-1,0,-3,-1,0,-2,-3
25,2,1,2,1,-2,0,0,0,0,0,0,0,0,2,2,0,0,0
26,3,1,-1,-1,0,0,0,0,0,2,1,0,0,1,-3,2,0,2
27,-1,0,-1,1,0,-1,0,0,5,-1,1,-4,-1,0,-2,2,0,0
28,0,1,0,0,0,0,0,0,0,1,0,1,-2,0,0,0,-1,-2
29,2,-2,0,1,0,2,0,0,4,-3,0,0,0,-1,-1,-1,-1,-2
30,2,-2,2,0,1,0,0,0,0,0,-1,0,0,1,1,2,0,1
31,0,-1,-1,0,0,0,0,0,-1,0,-1,0,1,0,0,0,0,0
32,0,-1,-1,0,2,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1
33,0,1,1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0
34,0,2,0,0,0,0,0,0,0,0,0,1,-3,0,3,-3,0,-2
35,0,2,-3,-1,2,3,0,0,0,1,1,3,0,0,0,-2,-1,2
36,0,0,1,0,0,-2,0,0,3,-1,-1,0,2,0,-4,3,0,0
37,0,-1,-3,-3,-1,0,0,0,0,1,0,-1,2,0,2,2,-1,-2
38,-1,-3,1,0,2,-2,0,1,-1,1,0,-1,0,0,-1,-1,0,1
39,0,0,-3,0,0,0,0,0,0,0,0,2,0,0,-1,0,0,-3
40,0,-2,-1,-3,0,1,0,0,0,0,0,0,-1,0,0,1,-3,-1
41,0,-4,0,0,0,0,0,0,0,-2,1,1,1,-1,1,0,-1,0
42,0,-2,0,0,2,0,0,0,0,0,-2,1,0,2,-2,0,-1,0
43,0,-1,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,4,-1
44,-3,0,0,0,0,2,0,0,0,2,0,-1,-1,0,2,1,2,0
45,-2,3,0,3,0,1,0,0,0,0,0,0,0,-1,1,0,0,0
46,1,-1,-2,-5,0,0,0,0,0,0,-1,1,1,0,0,1,0,0
47,0,0,0,1,3,-2,0,-2,1,0,1,2,0,-2,0,-1,1,0
48,1,-1,-2,0,-1,0,0,-1,0,-4,0,0,0,1,-1,0,-1,-1
49,-1,0,-2,-6,0,0,0,0,2,-1,0,0,0,0,-1,3,0,-1
50,1,1,2,0,-1,1,-1,0,-2,0,0,-2,0,-1,1,-2,3,0
51,0,2,2,2,0,-1,0,0,2,-1,0,0,0,-1,0,2,0,-2
52,0,0,0,0,2,2,0,0,0,2,-1,2,0,0,1,-1,0,0
53,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,0,-3,0,0,0,0,0,0,0,2,0,-1,2,0,0,0,0,0
55,0,-1,-1,0,1,0,0,0,0,0,0,0,0,-2,0,0,1,0
56,2,4,4,0,0,0,0,0,3,-1,1,-1,0,0,1,4,0,3
57,0,0,0,0,0,0,0,0,0,0,-2,-1,0,0,0,0,-1,0
58,0,-2,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2
59,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,1,1,0,2,-2,0,-3,-1,-2,0,0,-1,-1,1,-2,-4,-2
61,-1,-1,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,2,-2
62,0,-6,-1,2,0,-2,0,0,1,1,-1,0,-1,0,2,2,-1,-4
63,0,1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,1,4,0,0,0,0,0,-1,-1,0,0,2,1,3,1,2,0,1
66,0,-1,-2,0,0,0,0,0,0,1,0,1,2,1,-1,0,2,0
67,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,1,1
68,0,1,0,-2,0,-6,2,0,-1,0,-1,-1,0,0,0,0,0,-3
69,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-3,0
70,0,-1,0,0,0,-2,0,0,0,0,-1,0,0,0,0,2,0,1
71,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0
72,0,2,-2,0,1,0,0,0,-2,0,1,1,0,0,0,0,0,0
73,0,0,2,1,0,-5,0,0,0,2,-1,0,-1,0,-1,0,0,0
74,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
75,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1,1,0,0,0,1,0,0,0,1,0,-1,0,1,1,1,0,1
77,-1,4,-1,0,0,-2,0,0,1,1,-1,1,1,0,-1,0,1,0
78,-1,3,4,-3,0,1,0,0,0,2,0,1,1,2,-1,0,3,0
79,0,-1,0,0,0,2,0,0,1,-2,-1,1,2,-1,-2,2,0,0
80,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,-1,2,0,0,0
81,-2,2,1,0,0,-1,0,0,0,0,0,-1,1,0,1,3,-1,1
82,1,1,-2,2,0,0,0,0,-1,1,1,1,-1,-3,0,0,2,2
83,0,-1,0,-1,-2,-1,0,0,0,1,1,-1,0,1,-1,-1,0,-1
84,2,-1,-4,5,0,1,0,1,-2,1,0,1,4,2,0,0,0,2
85,0,2,1,0,0,0,0,0,0,-2,0,1,-1,0,0,2,0,3
86,1,1,-2,-3,3,-2,0,1,3,-2,2,1,0,-1,0,1,-2,-4
87,-4,1,-3,0,0,1,0,0,0,-2,1,1,0,0,-2,-3,0,0
88,0,0,0,-1,1,-4,0,0,-6,3,-1,0,3,0,0,-1,-1,0
89,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,-1,3,3
90,0,3,1,-3,0,-3,0,0,0,-2,0,-1,1,0,1,1,0,2
91,-2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1
92,-2,-2,3,1,0,0,-1,-1,1,-1,0,-1,-1,1,-1,-1,0,-3
93,5,-2,4,0,0,0,0,0,0,-5,0,-3,1,0,-4,0,0,0
94,-5,0,0,-3,1,0,0,-2,0,0,0,0,1,-1,0,0,2,2
95,0,-3,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,1,-1
96,0,-2,0,-2,0,-3,0,0,0,0,-1,-1,0,-2,-1,0,0,-3
97,-2,0,-5,0,-1,0,0,0,3,-3,2,-5,0,0,0,0,-1,3
98,2,0,0,0,0,1,0,0,-2,0,0,1,0,2,-2,0,0,0
99,0,4,5,3,0,2,0,1,-1,0,0,0,2,0,3,-1,0,-2
100,0,-2,0,0,0,1,0,0,0,-2,1,-2,-2,-1,-1,1,0,-4
101,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
102,-1,4,3,4,0,0,0,0,0,2,-2,1,1,1,-1,5,-2,5
103,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,2,0
104,0,0,0,0,-2,0,2,0,-1,-1,1,-2,0,-1,1,0,0,1
105,0,1,-1,0,4,2,-3,0,1,-1,-1,-1,0,0,-2,1,-3,1
106,0,-1,1,0,0,2,0,0,1,0,-1,0,-1,-2,1,2,0,0
107,0,2,3,2,0,-1,0,0,2,-1,0,1,1,0,0,1,0,2
108,1,1,0,0,0,1,-5,-2,-1,1,-1,-1,1,0,0,0,0,0
109,0,0,0,0,-2,0,0,0,0,0,1,-1,0,0,0,0,-1,0
110,0,3,-1,0,-1,-1,2,0,0,-1,-1,1,0,0,0,1,-2,0
111,0,0,0,0,0,0,0,3,0,0,1,0,0,-2,0,0,0,1
112,0,0,1,0,-1,3,0,0,-2,-2,0,-1,-2,0,0,-7,-3,-4
113,1,-1,-1,4,-2,1,-1,-3,-1,1,1,0,2,-1,1,1,-1,2
114,0,1,0,1,0,0,0,0,1,1,0,1,3,0,0,0,0,2
115,2,5,2,0,0,2,0,0,0,0,1,1,1,0,1,1,0,1
116,0,2,0,0,2,0,0,0,0,0,1,0,0,0,1,0,-1,0
117,2,0,0,0,0,1,0,0,0,2,2,-1,3,4,2,0,3,3
118,1,1,1,-2,0,-1,0,0,0,2,0,0,1,0,-1,2,0,0
119,1,1,-2,-1,0,0,0,0,-1,2,0,0,0,1,-3,-1,1,1
120,-2,1,-2,0,0,2,0,0,0,1,0,-1,0,0,-1,-3,2,4
121,0,-3,0,0,0,2,-1,0,0,0,1,-1,-3,-1,-1,0,-2,0
122,3,0,-4,0,2,1,1,-2,-1,1,0,0,0,0,-1,0,3,1
123,0,0,0,0,1,0,0,0,-1,1,1,0,-2,0,0,0,1,-1
124,3,2,3,0,0,-1,0,0,0,1,0,0,0,0,2,1,0,0
125,2,2,0,3,3,0,0,0,0,0,-1,2,2,0,1,0,3,4
126,1,0,3,0,0,1,0,0,0,0,1,1,3,1,0,2,0,4
127,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
128,0,0,0,0,5,-2,0,0,0,0,1,1,0,-2,0,0,-1,0
129,0,0,0,0,1,0,0,-2,0,0,-1,0,0,0,0,0,1,0
130,0,1,0,0,1,4,0,0,-2,2,0,0,1,0,1,1,1,-2
131,0,0,0,3,0,0,0,0,0,-1,-1,-2,-1,-1,-1,-1,-6,2
132,0,0,1,-1,-1,2,0,1,0,0,0,0,3,2,0,0,1,0
133,-1,-1,0,1,0,1,0,0,0,-2,0,-1,2,-1,0,2,4,0
134,1,3,-3,0,0,-1,0,0,-1,3,0,0,-1,4,1,4,0,-1
135,0,0,-1,0,0,-1,0,0,0,2,0,1,0,0,-1,0,0,-2
136,0,0,-4,3,0,3,0,0,1,0,0,0,3,0,2,0,0,1
137,-3,2,-4,2,0,-1,0,6,3,1,0,0,1,0,-1,3,-1,0
138,1,1,1,0,-2,2,0,0,1,2,0,2,1,1,2,0,1,0
139,0,5,0,0,-2,-1,0,0,0,-1,0,-2,-1,-1,-3,0,1,-4
140,-1,-2,0,1,0,0,0,0,0,1,0,3,-2,0,0,0,0,3
141,0,0,0,0,1,0,1,0,0,-2,-1,0,0,-1,0,0,3,0
143,0,-1,2,0,1,0,0,0,1,2,0,0,0,-1,1,0,1,0
144,0,-1,0,-2,-1,0,-4,0,-4,1,1,-1,-5,0,-4,0,-3,-6
145,-3,-1,0,2,0,2,0,0,4,-3,0,-1,0,2,0,-2,0,0
146,1,-1,6,0,0,-2,0,0,0,-1,0,0,-1,0,-1,2,0,1
147,1,-3,3,1,-2,0,0,-1,0,1,0,-2,1,1,0,-2,4,-1
148,0,0,0,0,-1,0,0,0,0,2,0,0,0,-1,0,0,1,0
149,1,0,2,0,0,0,0,0,0,1,1,3,0,0,-1,6,3,3
150,0,0,0,1,5,-1,0,0,0,-1,1,2,5,-3,-1,-2,2,0
151,-5,1,0,-1,0,-2,0,0,-3,-1,0,1,2,2,2,4,0,0
152,0,-1,-5,2,0,0,0,0,0,-1,0,0,0,-1,-2,5,0,0
153,0,0,0,0,0,3,0,0,0,0,-1,0,1,-1,1,0,-1,0
154,-6,3,0,-1,0,0,0,0,0,0,0,-1,0,-1,-4,1,1,0
155,-2,1,0,-1,0,2,0,-4,0,0,-1,3,0,0,0,-3,0,-7
156,1,0,-2,2,0,3,0,0,3,3,0,-4,0,3,3,-1,0,-1
157,0,2,-2,0,0,1,0,0,0,0,1,0,0,1,-1,1,-1,-2
158,0,-1,0,0,0,-2,0,0,0,1,0,4,-1,0,-1,-1,-2,0
159,0,3,0,0,0,3,-2,0,0,0,0,0,1,1,1,1,-1,7
160,0,0,3,0,3,0,0,0,2,0,0,-1,0,2,1,0,-2,2
161,0,-1,2,2,0,2,0,0,2,0,1,0,0,0,2,2,0,-3
162,1,2,-1,2,0,2,0,0,-1,1,0,0,1,-1,-1,-1,-5,1
163,0,-2,-2,0,0,0,0,0,0,1,1,0,0,2,-3,0,-2,-2
164,-1,0,0,-1,2,1,0,-2,0,-2,-1,0,-3,-1,0,0,-2,-2
165,-1,2,0,1,0,1,0,0,0,0,0,0,1,0,1,-5,0,-4
166,1,0,0,0,0,1,2,-2,-1,1,-1,0,-1,1,-3,1,1,0
167,-1,-1,0,0,0,0,0,0,0,-2,0,0,0,0,-1,2,0,0
168,-1,1,-1,3,0,1,4,0,1,2,0,4,1,0,1,5,-1,3
169,-1,1,2,0,0,0,0,-5,0,0,-1,-1,-2,-1,0,0,1,-1
170,0,-2,0,0,0,1,0,1,0,-1,0,0,-1,1,0,0,0,0
171,-1,0,0,-2,1,1,0,0,-1,0,0,0,-2,1,-1,1,0,-1
172,0,-1,0,2,0,1,-2,-1,0,0,-1,-2,2,-1,0,-3,-5,-3
173,1,-2,0,1,1,1,0,0,1,1,0,0,2,2,1,3,-1,0
175,0,1,0,0,0,-2,0,-1,0,1,0,1,0,1,0,0,-1,0
176,0,1,1,0,0,0,-2,0,0,0,0,0,2,0,1,0,0,0
177,0,1,1,-1,0,0,0,0,0,-1,0,0,2,2,0,2,0,2
178,0,0,-3,0,0,1,0,0,0,0,0,0,0,0,2,-1,0,-1
179,-1,0,1,2,0,1,0,0,1,1,0,1,0,1,0,-1,5,0
180,1,0,0,0,0,4,0,0,-1,1,-1,2,-1,0,0,-2,0,0
181,0,2,2,3,0,0,0,0,0,1,-1,2,-2,0,2,1,0,0
182,-3,0,-3,0,0,1,0,0,0,1,-1,0,1,0,-1,3,0,0
183,0,1,0,0,0,0,2,1,1,1,0,0,0,2,0,1,2,2
184,2,0,3,0,-2,0,2,0,1,1,0,0,1,-1,2,-2,-1,2
185,0,-1,0,0,5,-2,0,-3,0,0,0,3,0,0,-1,0,3,-2
186,0,-1,-2,1,1,2,0,0,-2,2,1,1,-1,0,0,0,1,-2
187,0,-2,-2,0,0,2,0,0,0,-1,0,-1,0,0,1,0,0,-3
188,0,-1,-1,0,-1,0,0,1,0,0,-2,-1,0,0,1,0,0,0
189,1,0,0,0,-3,0,0,0,4,0,-1,2,1,1,-2,-1,0,-1
190,0,0,0,0,0,3,0,0,2,0,0,2,3,0,2,3,0,2
191,-4,0,-2,0,0,-1,0,0,5,2,0,0,-4,-1,-2,-2,0,2
192,1,2,0,0,0,-3,0,0,0,-4,-1,0,-1,0,0,-1,0,-5
193,0,-1,0,0,0,0,0,1,0,1,0,-1,0,2,0,0,1,-3
194,0,-4,1,0,0,0,0,0,0,-1,0,0,0,1,1,-1,-1,0
195,0,0,0,0,-1,1,0,-1,0,0,-1,0,0,-1,0,0,1,0
196,0,-1,3,0,-4,-1,0,2,-2,0,-1,-1,1,-3,0,0,-6,-4
197,-1,3,1,0,1,1,0,-1,0,4,0,-1,0,0,1,1,-1,-3
198,-2,-2,-2,0,0,1,0,-4,-1,-2,0,-1,2,-1,1,1,-2,-1
