CUSTNO,변동폭_Monetary_가구인테리어/잡화_고가_등급,변동폭_Monetary_가구인테리어/잡화_저가_등급,변동폭_Monetary_가구인테리어/잡화_중가_등급,변동폭_Monetary_가전/레저취미/멀티샵_고가_등급,변동폭_Monetary_가전/레저취미/멀티샵_저가_등급,변동폭_Monetary_가전/레저취미/멀티샵_중가_등급,변동폭_Monetary_교육문화/아동_고가_등급,변동폭_Monetary_교육문화/아동_저가_등급,변동폭_Monetary_교육문화/아동_중가_등급,변동폭_Monetary_식품/생활_고가_등급,변동폭_Monetary_식품/생활_저가_등급,변동폭_Monetary_식품/생활_중가_등급,변동폭_Monetary_의류/이미용_고가_등급,변동폭_Monetary_의류/이미용_저가_등급,변동폭_Monetary_의류/이미용_중가_등급,변동폭_Monetary_침구/주방_고가_등급,변동폭_Monetary_침구/주방_저가_등급,변동폭_Monetary_침구/주방_중가_등급,절대변동폭_Monetary_가구인테리어/잡화_고가_등급,절대변동폭_Monetary_가구인테리어/잡화_저가_등급,절대변동폭_Monetary_가구인테리어/잡화_중가_등급,절대변동폭_Monetary_가전/레저취미/멀티샵_고가_등급,절대변동폭_Monetary_가전/레저취미/멀티샵_저가_등급,절대변동폭_Monetary_가전/레저취미/멀티샵_중가_등급,절대변동폭_Monetary_교육문화/아동_고가_등급,절대변동폭_Monetary_교육문화/아동_저가_등급,절대변동폭_Monetary_교육문화/아동_중가_등급,절대변동폭_Monetary_식품/생활_고가_등급,절대변동폭_Monetary_식품/생활_저가_등급,절대변동폭_Monetary_식품/생활_중가_등급,절대변동폭_Monetary_의류/이미용_고가_등급,절대변동폭_Monetary_의류/이미용_저가_등급,절대변동폭_Monetary_의류/이미용_중가_등급,절대변동폭_Monetary_침구/주방_고가_등급,절대변동폭_Monetary_침구/주방_저가_등급,절대변동폭_Monetary_침구/주방_중가_등급
1,0,-1,3,-3,0,-1,0,0,2,3,0,-4,1,-1,0,-7,-4,-5,0,0,10,2,0,2,0,0,0,4,2,2,2,0,2,4,0,10
2,-2,1,2,1,-2,2,0,0,3,2,-1,0,1,0,0,4,0,0,0,0,0,2,6,4,0,0,2,2,0,0,2,0,2,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4,0,1,3,1,1,1,0,0,0,0,1,2,1,-1,1,-3,-2,-2,0,0,2,2,2,0,0,0,0,0,2,2,4,0,4,0,2,4
6,1,1,2,0,2,0,0,0,0,0,0,0,-1,0,1,0,0,-2,2,6,4,0,4,0,0,0,0,0,2,0,0,0,2,4,0,4
7,-5,2,-1,1,0,-1,0,0,3,0,0,0,-4,0,-1,1,2,-1,0,4,2,2,0,4,0,4,6,0,0,2,2,0,8,4,2,0
8,0,1,-1,-2,0,0,0,0,3,-1,0,1,0,0,1,-5,0,-1,0,0,0,6,0,2,0,0,6,0,0,2,2,0,4,2,6,0
9,-3,-2,0,0,0,3,0,0,0,-4,0,0,1,0,1,-5,0,0,0,0,0,6,0,0,0,0,0,2,0,0,2,0,4,12,0,0
10,2,-1,0,0,-1,1,0,0,1,-1,-1,1,0,-1,2,0,0,0,4,4,0,0,0,2,0,0,0,0,2,0,4,2,0,0,4,0
11,0,3,3,-2,0,0,0,0,1,-1,0,0,2,0,0,4,0,0,4,4,6,2,0,6,0,0,2,2,2,6,0,0,2,2,2,2
12,0,-2,0,0,0,0,0,0,0,-2,-1,0,0,0,0,0,3,-1,0,8,0,0,0,0,0,0,0,4,2,0,0,0,4,0,0,0
13,0,1,0,0,3,-2,0,2,0,0,-1,-2,0,0,1,0,0,0,0,0,0,0,4,0,0,4,0,2,0,2,2,2,0,0,0,0
14,-2,2,1,1,1,0,0,3,1,1,0,2,2,1,1,0,1,1,0,2,4,0,8,2,0,6,2,2,2,6,4,2,0,0,2,6
15,0,-1,0,0,0,0,0,0,0,-1,-1,0,5,0,2,-1,1,0,0,2,4,2,0,2,0,0,0,4,2,0,6,2,2,0,2,0
16,0,1,0,0,0,0,0,0,0,-2,0,-2,-2,0,-1,0,0,-1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
17,5,-7,1,0,0,0,0,0,0,-5,0,-1,2,0,2,-2,0,-6,10,14,2,0,0,0,0,0,0,12,0,4,8,2,2,0,0,2
18,2,3,7,3,0,1,0,0,2,1,1,2,5,0,4,4,0,2,4,8,0,6,0,2,0,0,4,0,0,2,0,0,4,2,0,4
19,0,1,2,-2,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,6,4,2,0,0,0,0,0,0,2,2,2,0,0,0,0,4
20,0,0,0,2,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,4,0,6,0,0,2,0,0,0,4,0,2,0,0,2
21,0,0,1,0,3,0,0,1,-2,-3,0,1,0,0,0,0,2,3,0,6,2,4,6,2,2,2,0,0,0,2,0,2,0,0,6,6
22,1,0,1,0,0,0,0,0,0,3,0,-4,0,0,0,-1,0,0,4,8,6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
23,-3,-1,0,1,0,0,0,-4,0,-1,0,-3,-2,0,-1,0,-2,-1,4,4,0,4,0,6,0,0,0,0,0,4,2,0,2,4,2,2
24,2,0,0,0,0,0,0,0,0,3,0,0,0,-2,0,0,1,0,4,4,0,0,0,2,0,0,0,4,0,2,0,4,2,0,2,6
25,-1,0,2,0,0,-1,0,0,0,0,0,0,1,1,3,1,0,0,0,0,4,0,2,0,0,0,0,4,0,0,4,2,2,2,0,0
26,-2,4,5,0,0,2,0,0,-2,1,-1,1,-3,-1,1,-4,0,-1,2,2,10,6,0,4,0,0,6,2,2,2,2,0,0,2,0,0
27,2,-1,3,-1,0,1,0,0,0,4,0,1,0,1,0,0,-2,0,2,0,6,4,0,6,0,0,0,0,2,2,4,2,2,0,0,0
28,0,0,2,0,0,0,0,1,0,-1,1,0,0,-1,0,0,3,-1,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0
29,3,1,-1,0,0,0,0,0,3,-1,0,0,2,-1,1,-1,-1,0,10,0,4,0,0,0,0,0,4,2,0,0,4,0,2,6,0,4
30,0,0,-1,0,0,2,0,0,0,-1,0,0,0,0,-1,1,1,-1,6,0,2,4,2,4,0,0,0,0,2,2,2,0,4,4,2,0
31,0,-1,1,1,0,0,0,0,-1,1,0,0,-1,0,-2,-1,0,-2,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0
32,0,-1,1,1,0,-1,0,1,3,1,0,-1,0,-4,2,0,1,0,0,2,2,2,0,0,0,2,4,4,0,2,0,6,0,0,0,0
33,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,-1,3,0,2,0,0,4,0,0,0,0,0,2,2,2,2,2,0,0,6
34,0,0,3,0,0,1,0,0,0,-1,1,0,0,0,1,0,0,0,0,2,6,0,0,2,0,0,0,2,2,2,0,0,4,0,0,2
35,1,2,1,0,-4,0,0,0,0,2,0,1,3,1,0,0,3,0,2,4,2,6,0,0,0,0,0,2,4,2,0,2,2,0,2,4
36,3,3,-5,0,0,-1,0,2,4,3,0,2,-2,0,-2,6,2,2,6,0,2,0,0,0,0,4,8,6,0,4,4,0,0,0,4,4
37,1,-1,-1,-3,0,0,0,0,-2,1,1,-1,-3,0,-2,0,0,-1,2,0,4,2,0,0,0,0,2,6,0,6,2,0,0,0,0,2
38,1,1,1,0,2,0,0,-2,1,-1,-1,-2,0,0,0,-1,2,0,2,4,0,0,2,0,0,2,0,2,2,2,0,4,2,0,4,2
39,3,1,0,0,0,0,0,0,-2,0,1,0,0,0,1,-2,0,0,6,4,0,0,0,0,0,0,0,6,2,4,0,0,2,4,0,0
40,1,-4,-3,-1,0,0,0,0,2,-1,0,0,4,1,-1,-1,0,-1,2,2,2,2,0,2,0,0,4,2,0,0,2,2,0,2,4,4
41,2,-3,-2,3,0,0,0,0,0,1,0,0,-3,0,2,-2,0,1,4,8,0,6,0,0,0,0,0,4,0,0,0,2,2,0,0,2
42,0,0,1,0,0,1,0,0,0,1,0,0,0,4,1,0,3,0,0,8,2,0,0,2,4,2,0,0,0,2,0,6,2,0,2,4
43,0,1,0,0,0,0,0,0,0,1,-1,-1,0,1,-2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0
44,-5,-4,0,2,0,1,0,0,0,1,0,-1,-2,0,-1,-5,-2,0,2,0,6,4,0,6,0,0,0,2,0,0,0,0,2,0,0,0
45,-3,0,-4,0,0,-3,0,-1,1,0,1,-2,-4,0,-2,0,2,0,0,2,8,0,0,0,0,0,2,2,2,0,8,2,0,4,4,0
46,3,-1,0,0,0,-2,0,0,0,-1,0,-2,0,0,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,4,6,0,0
47,0,3,1,0,-3,2,0,0,-2,3,3,3,0,0,1,0,4,1,0,2,2,0,8,4,0,0,4,4,2,2,0,2,2,2,2,6
48,2,0,2,0,0,0,0,0,0,0,0,0,1,0,-2,0,-1,-4,4,0,6,0,0,2,0,0,0,0,2,0,0,0,4,2,2,6
49,4,1,-3,0,0,2,0,0,0,2,0,0,1,0,0,1,0,-1,4,2,4,0,0,4,0,0,0,2,2,0,0,0,4,0,0,2
50,0,2,2,0,2,5,0,2,-1,0,0,1,-2,0,1,-1,0,-1,2,4,2,0,4,8,6,0,4,2,0,0,4,2,0,0,4,0
51,0,1,3,-4,0,-1,0,1,3,1,1,2,-1,-1,1,-1,-1,0,0,0,6,6,2,2,0,2,2,2,4,2,2,4,0,0,2,4
52,0,-1,0,0,0,-3,0,0,-3,-1,0,-3,-1,0,2,0,0,1,2,2,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,4
53,-3,-3,1,1,0,1,0,0,0,0,1,-1,0,0,-3,-1,0,-3,2,0,4,6,0,0,0,0,0,0,2,4,2,0,0,0,0,0
54,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,6,0
55,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-2,0,0,-2,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,2,0,2,0
56,3,6,3,-1,0,-1,0,0,1,-1,0,-1,1,1,-1,-3,-1,2,0,0,6,0,0,0,0,0,2,8,2,0,4,2,2,2,0,2
57,0,0,0,0,1,-1,0,-1,0,1,1,1,0,0,0,0,-2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
