CUSTNO,Frequency_가구인테리어/잡화_고가,Frequency_가구인테리어/잡화_저가,Frequency_가구인테리어/잡화_중가,Frequency_가전/레저취미/멀티샵_고가,Frequency_가전/레저취미/멀티샵_저가,Frequency_가전/레저취미/멀티샵_중가,Frequency_교육문화/아동_고가,Frequency_교육문화/아동_저가,Frequency_교육문화/아동_중가,Frequency_식품/생활_고가,Frequency_식품/생활_저가,Frequency_식품/생활_중가,Frequency_의류/이미용_고가,Frequency_의류/이미용_저가,Frequency_의류/이미용_중가,Frequency_침구/주방_고가,Frequency_침구/주방_저가,Frequency_침구/주방_중가
1,0.0,7.346541569791871,0.0,3.8812861223676345,0.0,1.1736654112252836,0.0,0.0,1.0726512558920385,9.274119328543678,0.0,66.0664656871177,16.5407921090105,0.0,15.986062727918815,1.154188087047273,0.0,5.367963252541048
2,0.0,13.643577201042046,1.1471523561723045,5.175048163156846,1.0748621143239565,0.0,0.0,0.0,1.0726512558920385,12.365492438058238,0.0,123.87462316334567,18.608391122636814,0.0,3.4255848702683176,10.387692783425456,0.0,2.1471853010164192
3,0.0,12.59407126250035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03045770317152,110.89317939879354,20.64577052722428,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,6.297035631250175,1.1471523561723045,0.0,0.0,1.1736654112252836,0.0,0.0,0.0,1.03045770317152,3.138486209399817,76.38935095072983,1.0337995068131562,2.134046847217696,3.4255848702683176,0.0,0.0,1.0735926505082096
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.213203922200639,85.785289723595,77.42163947709105,4.135198027252625,12.804281083306176,4.56744649369109,0.0,6.799569135900072,1.0735926505082096
7,0.0,1.0495059385416958,0.0,1.2937620407892114,0.0,3.5209962336758505,0.0,0.0,0.0,6.182746219029119,12.553944837599268,58.8404460025892,4.135198027252625,0.0,15.986062727918815,0.0,0.971367019414296,0.0
8,0.0,4.198023754166783,0.0,1.2937620407892114,0.0,1.1736654112252836,0.0,0.0,0.0,44.30968123637536,0.0,107.35800674156626,8.27039605450525,0.0,0.0,0.0,0.971367019414296,0.0
9,0.0,1.0495059385416958,0.0,3.8812861223676345,0.0,2.347330822450567,0.0,0.0,0.0,4.121830812686079,6.276972418799634,6.193731158167284,2.0675990136263125,0.0,10.276754610804954,1.154188087047273,0.0,0.0
10,0.0,4.198023754166783,0.0,0.0,1.0748621143239565,0.0,0.0,0.0,1.0726512558920385,11.33503473488672,243.75576226338575,210.5868593776877,5.168997534065781,1.067023423608848,2.283723246845545,0.0,0.0,0.0
11,1.173185802166694,2.099011877083392,4.588609424689217,2.587524081578423,0.0,0.0,0.0,0.0,3.217953767676115,13.395950141229758,15.692431046999085,76.38935095072983,9.304195561318409,0.0,9.13489298738218,3.462564261141819,0.971367019414296,2.1471853010164192
12,0.0,2.099011877083392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.121830812686079,24.061727605398595,41.29154105444856,0.0,0.0,2.283723246845545,0.0,4.85683509707148,0.0
13,0.0,5.247529692708479,0.0,0.0,1.0748621143239565,0.0,0.0,0.0,0.0,25.761442579288,61.7235621181964,151.74641337509846,1.0337995068131562,1.067023423608848,3.4255848702683176,0.0,3.885468077657184,0.0
14,0.0,5.247529692708479,0.0,6.468810203946057,2.149724228647913,3.5209962336758505,0.0,0.0,2.145302511784077,9.274119328543678,23.015565535598657,66.0664656871177,1.0337995068131562,1.067023423608848,4.56744649369109,0.0,1.942734038828592,4.294370602032839
15,0.0,5.247529692708479,0.0,2.587524081578423,0.0,2.347330822450567,0.0,0.0,0.0,16.487323250744318,17.784755186598964,90.84139031978684,6.202797040878938,0.0,17.127924351341587,0.0,0.0,0.0
16,0.0,1.0495059385416958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.182746219029119,0.0,37.1623869490037,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,13.643577201042046,2.2943047123446085,0.0,0.0,0.0,0.0,0.0,0.0,13.395950141229758,6.276972418799634,47.48527221261585,3.101398520439469,1.067023423608848,5.709308117113863,0.0,0.0,2.1471853010164192
18,0.0,6.297035631250175,8.03006649320613,0.0,0.0,0.0,0.0,0.0,0.0,15.456865547572798,2.092324139599878,54.71129189714434,39.284381258899934,0.0,30.830263832414857,2.308376174094546,0.0,0.0
19,0.0,5.247529692708479,0.0,1.2937620407892114,0.0,0.0,0.0,0.0,0.0,10.304577031715198,0.0,68.13104273984013,5.168997534065781,0.0,1.1418616234227723,0.0,0.0,1.0735926505082096
20,0.0,15.742589078125436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.73098487611648,0.0,114.58402642609477,3.101398520439469,0.0,2.283723246845545,0.0,0.0,0.0
21,0.0,2.099011877083392,0.0,1.2937620407892114,0.0,0.0,2.4244075829383887,3.3193900608904143,2.145302511784077,8.243661625372159,66.9543724671961,129.03606579515176,0.0,1.067023423608848,2.283723246845545,0.0,0.971367019414296,0.0
22,2.346371604333388,1.0495059385416958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.121830812686079,0.0,61.93731158167285,2.0675990136263125,0.0,0.0,0.0,0.0,0.0
23,0.0,2.099011877083392,2.2943047123446085,5.175048163156846,0.0,0.0,0.0,0.0,0.0,13.395950141229758,8.369296558399512,81.5507935825359,4.135198027252625,0.0,1.1418616234227723,1.154188087047273,1.942734038828592,0.0
24,0.0,0.0,0.0,0.0,5.374310571619781,0.0,0.0,0.0,0.0,3.09137310951456,28.24637588459835,62.96960010803406,0.0,1.067023423608848,1.1418616234227723,0.0,1.942734038828592,1.0735926505082096
25,1.173185802166694,4.198023754166783,0.0,0.0,1.0748621143239565,0.0,0.0,0.0,0.0,2.06091540634304,5.230810348999695,32.00094431719764,1.0337995068131562,0.0,2.283723246845545,0.0,0.0,0.0
26,4.692743208666776,19.94061283229222,0.0,0.0,0.0,10.562988701027551,0.0,0.0,3.217953767676115,25.761442579288,4.184648279199756,64.00188863439527,2.0675990136263125,0.0,28.546540585569318,1.154188087047273,0.0,0.0
27,3.5195574065000814,0.0,0.0,1.2937620407892114,0.0,0.0,0.0,0.0,0.0,19.57869636025888,0.0,40.25925252808735,8.27039605450525,0.0,1.1418616234227723,0.0,0.0,0.0
28,0.0,2.099011877083392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.152288515857599,48.12345521079719,104.26114116248262,0.0,8.536187388870784,0.0,0.0,2.914101058242888,0.0
29,0.0,6.297035631250175,1.1471523561723045,10.350096326313691,0.0,7.041992467351701,0.0,0.0,1.0726512558920385,1.03045770317152,3.138486209399817,19.613482000863065,11.37179457494472,1.067023423608848,15.986062727918815,9.233504696378183,0.971367019414296,0.0
30,0.0,13.643577201042046,1.1471523561723045,2.587524081578423,1.0748621143239565,0.0,0.0,0.0,0.0,8.243661625372159,57.53891383899664,124.9069116897069,17.574591615823657,1.067023423608848,5.709308117113863,0.0,8.742303174728663,2.1471853010164192
31,0.0,11.544565323958654,1.1471523561723045,0.0,0.0,1.1736654112252836,0.0,0.0,4.290605023568154,17.51778095391584,0.0,67.09875421347891,0.0,0.0,1.1418616234227723,0.0,0.0,0.0
32,0.0,1.0495059385416958,0.0,0.0,2.149724228647913,0.0,0.0,0.0,2.145302511784077,13.395950141229758,9.41545862819945,97.03512147795412,0.0,5.3351171180442405,1.1418616234227723,0.0,1.942734038828592,0.0
33,0.0,1.0495059385416958,0.0,0.0,1.0748621143239565,0.0,0.0,0.0,0.0,11.33503473488672,119.26247595719305,140.3912395851251,0.0,8.536187388870784,0.0,0.0,4.85683509707148,0.0
34,0.0,19.94061283229222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.456865547572798,0.0,102.1965641097602,0.0,0.0,2.283723246845545,0.0,0.0,1.0735926505082096
35,0.0,5.247529692708479,2.2943047123446085,1.2937620407892114,0.0,0.0,0.0,0.0,0.0,8.243661625372159,33.47718623359805,58.8404460025892,1.0337995068131562,5.3351171180442405,2.283723246845545,0.0,0.971367019414296,1.0735926505082096
36,0.0,4.198023754166783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.487323250744318,3.138486209399817,43.35611810717099,0.0,0.0,0.0,4.616752348189092,0.0,2.1471853010164192
37,0.0,1.0495059385416958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.152288515857599,7.323134488599573,41.29154105444856,5.168997534065781,0.0,0.0,0.0,0.0,1.0735926505082096
38,0.0,6.297035631250175,1.1471523561723045,0.0,2.149724228647913,0.0,0.0,0.0,3.217953767676115,25.761442579288,85.785289723595,125.93920021606812,0.0,13.871304506915024,3.4255848702683176,0.0,7.770936155314367,1.0735926505082096
39,0.0,3.1485178156250875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.213203922200639,0.0,14.452039369056996,14.473193095384188,0.0,3.4255848702683176,1.154188087047273,0.0,0.0
40,0.0,7.346541569791871,2.2943047123446085,5.175048163156846,0.0,2.347330822450567,0.0,0.0,0.0,3.09137310951456,50.21577935039707,38.19467547536492,6.202797040878938,1.067023423608848,4.56744649369109,0.0,2.914101058242888,4.294370602032839
41,0.0,3.1485178156250875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06091540634304,3.138486209399817,58.8404460025892,0.0,1.067023423608848,1.1418616234227723,0.0,0.0,0.0
42,0.0,3.1485178156250875,0.0,0.0,0.0,0.0,1.2122037914691943,0.0,0.0,7.213203922200639,46.03113107119732,79.48621652981348,0.0,7.469163965261936,3.4255848702683176,0.0,4.85683509707148,1.0735926505082096
43,0.0,1.0495059385416958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.243661625372159,36.61567244299786,81.5507935825359,0.0,11.73725765969733,1.1418616234227723,0.0,10.685037213557257,0.0
44,2.346371604333388,0.0,2.2943047123446085,0.0,0.0,0.0,0.0,0.0,0.0,15.456865547572798,2.092324139599878,45.42069515989342,0.0,0.0,2.283723246845545,0.0,0.0,0.0
45,0.0,2.099011877083392,2.2943047123446085,0.0,0.0,0.0,0.0,0.0,0.0,2.06091540634304,3.138486209399817,28.904078738113995,27.91258668395522,0.0,2.283723246845545,1.154188087047273,0.0,0.0
46,4.692743208666776,2.099011877083392,0.0,0.0,0.0,1.1736654112252836,0.0,0.0,0.0,3.09137310951456,0.0,45.42069515989342,6.202797040878938,0.0,0.0,3.462564261141819,0.0,0.0
47,0.0,2.099011877083392,1.1471523561723045,0.0,3.224586342971869,0.0,0.0,0.8298475152226036,5.363256279460193,20.609154063430395,115.07782767799328,126.97148874242932,0.0,5.3351171180442405,1.1418616234227723,0.0,7.770936155314367,0.0
48,0.0,7.346541569791871,1.1471523561723045,0.0,0.0,1.1736654112252836,0.0,0.0,0.0,10.304577031715198,0.0,46.45298368625463,14.473193095384188,0.0,4.56744649369109,3.462564261141819,0.0,2.1471853010164192
49,2.346371604333388,5.247529692708479,1.1471523561723045,0.0,0.0,0.0,0.0,0.0,0.0,18.54823865708736,1.046162069799939,43.35611810717099,13.439393588571033,0.0,0.0,3.462564261141819,0.0,1.0735926505082096
50,2.346371604333388,20.99011877083392,8.03006649320613,0.0,0.0,3.5209962336758505,3.636611374407583,4.149237576113018,4.290605023568154,15.456865547572798,11.507782767799329,128.00377726879054,5.168997534065781,0.0,3.4255848702683176,2.308376174094546,1.942734038828592,1.0735926505082096
51,0.0,8.396047508333567,0.0,2.587524081578423,1.0748621143239565,0.0,0.0,1.6596950304452072,4.290605023568154,22.67006946977344,129.72409665519243,196.13482000863067,4.135198027252625,17.07237477774157,2.283723246845545,0.0,7.770936155314367,2.1471853010164192
52,0.0,2.099011877083392,0.0,0.0,0.0,5.868327056126418,0.0,0.0,0.0,3.09137310951456,6.276972418799634,80.51850505617469,3.101398520439469,0.0,19.41164759818713,1.154188087047273,0.0,0.0
53,0.0,1.0495059385416958,3.441457068516913,10.350096326313691,0.0,1.1736654112252836,0.0,0.0,0.0,1.03045770317152,8.369296558399512,46.45298368625463,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,7.346541569791871,1.1471523561723045,0.0,0.0,0.0,0.0,0.0,0.0,17.51778095391584,0.0,52.64671484442192,5.168997534065781,0.0,0.0,0.0,1.942734038828592,0.0
55,0.0,4.198023754166783,0.0,0.0,1.0748621143239565,0.0,0.0,0.0,0.0,9.274119328543678,93.10842421219456,27.871790211752774,0.0,6.402140541653088,2.283723246845545,0.0,6.799569135900072,0.0
56,15.25141542816702,5.247529692708479,0.0,0.0,0.0,0.0,0.0,0.0,6.43590753535223,9.274119328543678,0.0,47.48527221261585,9.304195561318409,0.0,9.13489298738218,0.0,0.0,4.294370602032839
57,0.0,2.099011877083392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.213203922200639,151.69350012099116,97.03512147795412,0.0,5.3351171180442405,0.0,0.0,5.828202116485776,0.0
58,3.5195574065000814,1.0495059385416958,0.0,2.587524081578423,0.0,0.0,0.0,0.0,1.0726512558920385,7.213203922200639,0.0,50.58213779169949,0.0,0.0,10.276754610804954,1.154188087047273,0.0,0.0
59,0.0,1.0495059385416958,3.441457068516913,0.0,0.0,0.0,0.0,0.0,0.0,5.152288515857599,2.092324139599878,81.5507935825359,4.135198027252625,0.0,0.0,0.0,0.0,1.0735926505082096
60,0.0,4.198023754166783,0.0,0.0,3.224586342971869,1.1736654112252836,0.0,3.3193900608904143,1.0726512558920385,8.243661625372159,17.784755186598964,70.19561979256255,0.0,3.201070270826544,3.4255848702683176,0.0,0.0,0.0
61,1.173185802166694,2.099011877083392,1.1471523561723045,0.0,0.0,0.0,0.0,0.0,0.0,31.944188798317118,62.76972418799634,139.3589510587639,10.337995068131562,9.603210812479633,25.120955715300997,4.616752348189092,6.799569135900072,7.515148553557467
62,0.0,4.198023754166783,0.0,0.0,0.0,2.347330822450567,0.0,0.8298475152226036,1.0726512558920385,2.06091540634304,20.92324139599878,61.93731158167285,1.0337995068131562,5.3351171180442405,1.1418616234227723,0.0,1.942734038828592,1.0735926505082096
63,0.0,4.198023754166783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.33503473488672,0.0,50.58213779169949,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8298475152226036,0.0,6.182746219029119,20.92324139599878,116.6486034788172,0.0,4.268093694435392,1.1418616234227723,0.0,0.0,0.0
65,0.0,3.1485178156250875,0.0,1.2937620407892114,0.0,1.1736654112252836,0.0,0.0,0.0,9.274119328543678,6.276972418799634,70.19561979256255,0.0,0.0,2.283723246845545,1.154188087047273,0.971367019414296,4.294370602032839
66,0.0,3.1485178156250875,0.0,0.0,0.0,2.347330822450567,0.0,0.8298475152226036,0.0,10.304577031715198,73.23134488599572,173.42447242868397,0.0,1.067023423608848,7.993031363959408,0.0,1.942734038828592,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06091540634304,41.84648279199756,98.06741000431532,0.0,3.201070270826544,3.4255848702683176,0.0,1.942734038828592,0.0
68,11.73185802166694,0.0,103.2437120555074,6.468810203946057,0.0,0.0,0.0,0.0,0.0,15.456865547572798,20.92324139599878,40.25925252808735,5.168997534065781,0.0,4.56744649369109,2.308376174094546,0.0,6.441555903049258
69,0.0,12.59407126250035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.609154063430395,138.09339321359195,168.2630297968779,0.0,4.268093694435392,0.0,0.0,1.942734038828592,0.0
70,3.5195574065000814,0.0,0.0,0.0,0.0,2.347330822450567,0.0,0.0,0.0,8.243661625372159,5.230810348999695,116.6486034788172,0.0,0.0,4.56744649369109,0.0,0.0,0.0
71,0.0,1.0495059385416958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03045770317152,61.7235621181964,77.42163947709105,0.0,1.067023423608848,0.0,0.0,3.885468077657184,0.0
72,0.0,2.099011877083392,0.0,0.0,0.0,0.0,0.0,1.6596950304452072,1.0726512558920385,3.09137310951456,16.738593116799024,37.1623869490037,0.0,4.268093694435392,1.1418616234227723,0.0,0.971367019414296,0.0
73,10.558672219500243,8.396047508333567,3.441457068516913,9.05633428552448,2.149724228647913,0.0,0.0,0.0,1.0726512558920385,1.03045770317152,6.276972418799634,34.06552136992006,1.0337995068131562,1.067023423608848,23.979094091878224,5.770940435236365,0.0,0.0
74,3.5195574065000814,1.0495059385416958,4.588609424689217,0.0,0.0,2.347330822450567,0.0,0.0,0.0,4.121830812686079,1.046162069799939,40.25925252808735,5.168997534065781,4.268093694435392,34.255848702683174,2.308376174094546,0.0,0.0
75,0.0,8.396047508333567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.152288515857599,18.8309172563989,75.35706242436862,1.0337995068131562,1.067023423608848,0.0,0.0,0.0,0.0
76,0.0,9.445553446875262,0.0,0.0,0.0,3.5209962336758505,0.0,0.0,1.0726512558920385,9.274119328543678,9.41545862819945,76.38935095072983,0.0,0.0,2.283723246845545,1.154188087047273,0.971367019414296,11.809519155590303
77,1.173185802166694,4.198023754166783,2.2943047123446085,0.0,0.0,0.0,0.0,0.0,6.43590753535223,5.152288515857599,0.0,72.26019684528498,4.135198027252625,1.067023423608848,6.851169740536635,0.0,0.0,0.0
78,3.5195574065000814,4.198023754166783,0.0,1.2937620407892114,0.0,5.868327056126418,0.0,0.0,0.0,11.33503473488672,5.230810348999695,70.19561979256255,9.304195561318409,1.067023423608848,0.0,2.308376174094546,0.971367019414296,1.0735926505082096
79,0.0,1.0495059385416958,0.0,0.0,4.299448457295825,0.0,0.0,3.3193900608904143,2.145302511784077,7.213203922200639,106.70853111959376,144.52039369056996,2.0675990136263125,4.268093694435392,0.0,0.0,3.885468077657184,0.0
80,0.0,2.099011877083392,0.0,0.0,1.0748621143239565,0.0,0.0,0.0,0.0,13.395950141229758,112.9855035383934,120.77775758426203,0.0,1.067023423608848,0.0,0.0,0.971367019414296,0.0
81,1.173185802166694,3.1485178156250875,2.2943047123446085,0.0,0.0,0.0,0.0,0.0,2.145302511784077,9.274119328543678,1.046162069799939,45.42069515989342,16.5407921090105,4.268093694435392,0.0,4.616752348189092,0.0,3.220777951524629
82,3.5195574065000814,2.099011877083392,2.2943047123446085,3.8812861223676345,0.0,0.0,0.0,0.0,0.0,3.09137310951456,18.8309172563989,54.71129189714434,8.27039605450525,5.3351171180442405,1.1418616234227723,0.0,1.942734038828592,3.220777951524629
83,0.0,1.0495059385416958,1.1471523561723045,0.0,0.0,0.0,0.0,0.0,0.0,14.42640784440128,2.092324139599878,38.19467547536492,5.168997534065781,3.201070270826544,0.0,0.0,0.0,0.0
