CUSTNO,Monetary_가구인테리어/잡화_고가,Monetary_가구인테리어/잡화_저가,Monetary_가구인테리어/잡화_중가,Monetary_가전/레저취미/멀티샵_고가,Monetary_가전/레저취미/멀티샵_저가,Monetary_가전/레저취미/멀티샵_중가,Monetary_교육문화/아동_고가,Monetary_교육문화/아동_저가,Monetary_교육문화/아동_중가,Monetary_식품/생활_고가,Monetary_식품/생활_저가,Monetary_식품/생활_중가,Monetary_의류/이미용_고가,Monetary_의류/이미용_저가,Monetary_의류/이미용_중가,Monetary_침구/주방_고가,Monetary_침구/주방_저가,Monetary_침구/주방_중가
1,570579.1850684491,57785.5105381335,769263.303800831,151849.0846596683,0.0,402838.8226575301,0.0,0.0,0.0,264699.60253135924,46302.07287928055,1427370.6711798671,1346745.2673233268,0.0,3827846.869022515,484418.2751213763,11414.014774917909,301715.9129692217
2,1749598.6288362052,267229.4360854395,373009.9265216167,2103878.528961864,90110.12446232476,0.0,0.0,0.0,1083331.2786799923,492224.2404170466,0.0,1368958.695716079,8604908.281508606,0.0,1042363.8825725168,2300129.741046512,0.0,0.0
3,0.0,155.7281096068995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5093.475799690987,206103.08726348507,74215.24613389547,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,33242.76046408614,0.0,0.0,0.0,31692.14244807884,0.0,0.0,0.0,47452.6727229393,22531.3719851363,860631.6226465153,80402.70252676577,8187.6869366219025,639866.0217657617,34047.81865855529,0.0,0.0
6,0.0,135483.45535800254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329561.7755376424,333797.4138179977,778899.1288893034,722619.2889593075,66298.9974673215,206013.76984055815,1124752.0784446886,25461.28825957091,66211.86608980413
7,0.0,143269.86083834752,0.0,227064.05182754135,0.0,210330.18538041657,0.0,1217.8622533728983,0.0,298681.42089387943,42207.52878758315,541936.8178154355,1804538.1548350996,23180.72405433214,5970914.361904333,32873.75594619131,968.1098197555478,45349.8733615087
8,101423.70817006196,90093.90234457824,0.0,917717.2094696464,0.0,410941.4470767556,0.0,0.0,0.0,1906876.9481581307,0.0,2073509.9622181512,1204130.973716476,0.0,369981.81519768905,65806.21502800082,0.0,0.0
9,12666857.908519572,0.0,532082.9824424399,13282892.24433019,0.0,1086131.9778855925,0.0,0.0,0.0,0.0,71442.44946251207,214230.09044561928,5483735.671446454,0.0,5399709.316623856,22842834.16617735,0.0,0.0
10,0.0,40312.816640239376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155360.27275566544,576089.3190238168,1164216.1515147702,119599.0200085641,11271.361237427554,821238.3242256902,0.0,5305.241812260402,10089.427213684436
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30026.21604094331,586296.1080047939,34779.83131957219,986156.3963305652,1206844.5649267545,0.0,0.0,0.0,0.0,38938.883152813374
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3658.041710687163,70945.89030030521,199008.13763787984,0.0,11058.694044268545,0.0,0.0,2517.0855313644247,0.0
13,0.0,31716.62498993853,226364.28064497912,0.0,0.0,0.0,0.0,936.8171179791528,0.0,131589.4842417621,308973.593700673,1444297.6901019283,21005.20603511756,90755.72468060772,186728.24927065364,0.0,7076.882782413055,10509.820014254625
14,302571.28582577145,494436.74800190586,43264.16285364788,2304936.651103532,0.0,173250.37871616433,0.0,0.0,0.0,194802.29717545435,138922.77060991523,1124725.4243465192,145729.89832976295,0.0,1496786.6710970695,109305.23852108612,8616.177395824376,13662.766018531009
15,0.0,17545.367015710675,804448.5464481345,0.0,0.0,47538.21367211826,0.0,0.0,0.0,117253.66508190458,141581.43112423114,345195.1218605107,71608.65693790077,41044.76827968902,1654381.0369481551,0.0,1839.408657535541,0.0
16,0.0,55335.38828031828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709058.135642437,45233.436182281206,1235265.5585182733,91659.080880513,10633.359657950525,20457.455188758024,151454.08989495283,0.0,0.0
17,0.0,7267.311781655309,2154930.5605037627,0.0,0.0,0.0,0.0,0.0,0.0,239402.6234505667,107794.71812907266,276061.1721702311,1498806.8784770726,0.0,153770.15814745854,79249.23308456835,0.0,0.0
18,0.0,32599.08427771096,466193.42830053234,0.0,0.0,52292.03503933008,0.0,30727.60146971621,0.0,150026.0144636254,0.0,489573.3400413992,519602.4650792239,0.0,0.0,0.0,0.0,36784.37004989118
19,0.0,33533.452935352354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178179.04433828103,0.0,1340979.657606216,1361830.8243849112,0.0,124759.63626671728,27508.289350687948,0.0,70857.20653610467
