CUSTNO,Recency_가구인테리어/잡화_고가,Recency_가구인테리어/잡화_저가,Recency_가구인테리어/잡화_중가,Recency_가전/레저취미/멀티샵_고가,Recency_가전/레저취미/멀티샵_저가,Recency_가전/레저취미/멀티샵_중가,Recency_교육문화/아동_고가,Recency_교육문화/아동_저가,Recency_교육문화/아동_중가,Recency_식품/생활_고가,Recency_식품/생활_저가,Recency_식품/생활_중가,Recency_의류/이미용_고가,Recency_의류/이미용_저가,Recency_의류/이미용_중가,Recency_침구/주방_고가,Recency_침구/주방_저가,Recency_침구/주방_중가
1,-3031,10,12,14,-3031,-3031,-3031,-3031,75,10,63,1,1,-3031,1,-3031,-3031,-3031
2,-3031,1,26,24,-3031,37,-3031,-3031,32,1,-3031,1,42,-3031,66,29,-3031,34
3,-3031,1,-3031,-3031,-3031,-3031,-3031,-3031,-3031,1,1,1,-3031,-3031,8,-3031,-3031,-3031
4,-3031,7,34,35,31,86,-3031,-3031,-3031,7,21,2,15,31,28,-3031,31,-3031
6,57,27,60,-3031,6,-3031,-3031,-3031,-3031,11,1,1,5,21,5,39,21,-3031
7,-3031,6,46,11,-3031,27,-3031,88,59,20,20,5,25,-3031,4,73,33,-3031
8,-3031,23,-3031,-3031,-3031,65,-3031,-3031,17,4,-3031,3,4,-3031,17,58,-3031,-3031
9,-3031,26,-3031,-3031,-3031,39,-3031,-3031,-3031,2,38,16,1,-3031,6,-3031,-3031,-3031
10,3,-3031,-3031,-3031,31,72,-3031,-3031,51,3,2,1,-3031,-3031,3,-3031,10,-3031
11,81,2,18,-3031,-3031,64,-3031,-3031,72,3,20,2,2,-3031,45,3,-3031,-3031
12,-3031,-3031,-3031,-3031,-3031,-3031,-3031,-3031,-3031,-3031,19,2,-3031,-3031,-3031,-3031,2,-3031
13,-3031,2,-3031,-3031,29,-3031,-3031,47,-3031,2,1,1,9,26,16,-3031,6,-3031
14,-3031,1,37,28,87,33,-3031,80,87,4,8,4,7,11,7,-3031,87,87
15,-3031,20,51,-3031,-3031,6,-3031,-3031,-3031,2,6,2,13,12,13,-3031,26,-3031
16,-3031,62,-3031,-3031,-3031,-3031,-3031,-3031,-3031,31,-3031,5,-3031,-3031,-3031,-3031,-3031,-3031
17,16,-3031,5,-3031,-3031,-3031,-3031,-3031,-3031,5,8,5,23,-3031,15,-3031,-3031,62
18,9,2,3,37,-3031,65,-3031,-3031,14,2,6,2,2,-3031,7,81,-3031,50
19,-3031,2,43,43,-3031,-3031,-3031,-3031,-3031,23,50,2,2,-3031,7,-3031,-3031,23
20,-3031,4,-3031,54,-3031,34,-3031,-3031,65,2,-3031,2,-3031,-3031,47,-3031,-3031,4
21,-3031,-3031,17,-3031,73,30,61,14,10,10,2,2,-3031,10,3,-3031,31,30
22,7,-3031,55,-3031,-3031,-3031,-3031,-3031,-3031,44,-3031,1,9,-3031,-3031,-3031,-3031,-3031
23,17,-3031,21,2,-3031,3,-3031,-3031,-3031,3,7,3,38,-3031,17,-3031,-3031,52
24,39,83,-3031,-3031,44,53,-3031,-3031,-3031,5,2,2,-3031,11,-3031,-3031,2,-3031
25,30,6,28,-3031,-3031,-3031,-3031,-3031,-3031,6,68,6,35,30,18,18,-3031,-3031
26,8,15,27,16,-3031,17,-3031,-3031,-3031,3,-3031,3,15,-3031,3,15,-3031,-3031
27,3,-3031,24,-3031,-3031,23,-3031,-3031,-3031,3,24,3,3,24,23,-3031,-3031,-3031
28,-3031,64,60,-3031,-3031,-3031,-3031,5,-3031,4,1,1,-3031,7,-3031,-3031,43,-3031
29,13,17,67,10,-3031,16,-3031,-3031,17,3,49,17,10,67,17,10,49,44
30,82,5,15,-3031,-3031,5,-3031,-3031,-3031,5,5,1,5,88,-3031,3,5,39
31,-3031,10,72,74,-3031,-3031,-3031,-3031,16,5,-3031,1,-3031,-3031,12,-3031,-3031,-3031
32,-3031,-3031,39,16,13,-3031,-3031,76,59,2,2,1,-3031,-3031,10,-3031,80,-3031
33,-3031,86,-3031,-3031,-3031,-3031,-3031,-3031,-3031,10,1,1,83,1,56,-3031,44,17
34,-3031,7,18,-3031,-3031,87,-3031,-3031,-3031,13,55,1,-3031,-3031,4,-3031,-3031,-3031
35,31,3,3,-3031,-3031,-3031,-3031,-3031,-3031,4,4,3,4,16,17,-3031,34,-3031
36,10,15,58,-3031,-3031,-3031,-3031,45,52,4,34,1,8,-3031,-3031,4,34,24
37,80,38,38,57,-3031,-3031,-3031,-3031,28,2,39,2,3,-3031,-3031,-3031,-3031,-3031
38,59,5,32,-3031,28,-3031,-3031,90,61,1,1,1,-3031,11,6,-3031,3,-3031
39,44,20,-3031,-3031,-3031,-3031,-3031,-3031,-3031,32,72,3,13,-3031,48,-3031,-3031,-3031
40,61,12,-3031,-3031,-3031,-3031,-3031,-3031,52,5,14,1,24,7,42,62,24,-3031
41,21,57,-3031,29,-3031,-3031,-3031,-3031,-3031,57,84,1,-3031,-3031,39,-3031,-3031,8
42,-3031,-3031,21,-3031,-3031,34,-3031,1,-3031,5,2,1,-3031,2,4,-3031,4,-3031
43,-3031,36,-3031,-3031,-3031,-3031,-3031,-3031,-3031,54,1,1,-3031,7,69,-3031,1,-3031
44,17,-3031,-3031,46,-3031,16,-3031,-3031,-3031,3,17,1,-3031,-3031,2,-3031,-3031,-3031
45,-3031,73,-3031,-3031,-3031,-3031,-3031,-3031,35,17,17,1,79,76,60,-3031,2,-3031
46,23,67,-3031,-3031,-3031,87,-3031,-3031,-3031,23,52,1,46,-3031,79,-3031,-3031,-3031
47,-3031,38,10,-3031,-3031,87,-3031,72,23,10,6,6,-3031,43,17,88,10,32
48,2,2,67,-3031,-3031,57,-3031,-3031,-3031,4,11,2,11,-3031,-3031,27,17,-3031
49,50,11,-3031,-3031,-3031,74,-3031,-3031,-3031,3,-3031,3,18,-3031,21,33,-3031,-3031
50,-3031,3,3,-3031,12,3,-3031,12,9,3,12,3,-3031,12,27,3,-3031,61
51,-3031,14,72,-3031,-3031,53,-3031,22,14,14,3,3,49,8,41,-3031,3,40
52,3,10,-3031,-3031,-3031,-3031,-3031,-3031,-3031,26,34,1,60,-3031,3,51,-3031,88
53,56,27,15,2,-3031,10,-3031,-3031,-3031,53,16,3,56,-3031,-3031,-3031,-3031,-3031
54,-3031,66,-3031,-3031,-3031,-3031,-3031,-3031,-3031,3,-3031,3,3,-3031,9,-3031,-3031,-3031
55,-3031,33,-3031,-3031,-3031,-3031,-3031,-3031,-3031,6,2,6,-3031,59,-3031,-3031,76,-3031
56,61,42,62,-3031,-3031,-3031,-3031,-3031,15,8,15,3,8,15,56,52,-3031,18
57,-3031,14,-3031,-3031,55,-3031,-3031,-3031,-3031,7,2,6,-3031,20,-3031,-3031,14,-3031
58,19,8,-3031,-3031,-3031,43,-3031,-3031,56,7,-3031,4,56,-3031,9,-3031,-3031,60
59,5,52,60,-3031,-3031,-3031,-3031,-3031,-3031,15,30,4,15,-3031,-3031,61,-3031,-3031
60,-3031,-3031,-3031,-3031,38,-3031,-3031,53,48,3,3,3,27,13,79,46,80,-3031
61,86,12,56,-3031,-3031,-3031,-3031,-3031,-3031,12,24,12,43,69,19,43,21,21
62,-3031,4,-3031,75,-3031,3,58,-3031,1,4,10,2,84,27,18,-3031,38,-3031
63,-3031,9,90,-3031,-3031,-3031,-3031,-3031,-3031,1,-3031,4,54,-3031,26,-3031,-3031,-3031
64,-3031,71,-3031,-3031,-3031,-3031,-3031,-3031,-3031,25,4,4,-3031,-3031,33,-3031,77,-3031
65,-3031,6,-3031,-3031,-3031,14,-3031,-3031,-3031,14,66,3,42,7,10,-3031,32,14
66,-3031,39,-3031,-3031,-3031,-3031,-3031,63,-3031,5,4,4,-3031,-3031,12,66,36,-3031
67,-3031,80,-3031,-3031,-3031,-3031,-3031,-3031,-3031,4,3,3,55,25,15,-3031,14,-3031
68,25,46,1,46,-3031,-3031,-3031,-3031,8,6,7,5,20,63,25,25,49,32
69,-3031,2,-3031,-3031,55,-3031,-3031,-3031,-3031,2,2,2,-3031,3,-3031,-3031,2,-3031
70,50,21,-3031,-3031,61,80,-3031,-3031,58,9,85,1,-3031,-3031,50,-3031,-3031,51
71,-3031,-3031,-3031,-3031,-3031,-3031,-3031,14,-3031,38,1,1,-3031,1,-3031,-3031,8,-3031
