CUSTNO,Monetary_가구인테리어/잡화_고가_등급,Monetary_가구인테리어/잡화_저가_등급,Monetary_가구인테리어/잡화_중가_등급,Monetary_가전/레저취미/멀티샵_고가_등급,Monetary_가전/레저취미/멀티샵_저가_등급,Monetary_가전/레저취미/멀티샵_중가_등급,Monetary_교육문화/아동_고가_등급,Monetary_교육문화/아동_저가_등급,Monetary_교육문화/아동_중가_등급,Monetary_식품/생활_고가_등급,Monetary_식품/생활_저가_등급,Monetary_식품/생활_중가_등급,Monetary_의류/이미용_고가_등급,Monetary_의류/이미용_저가_등급,Monetary_의류/이미용_중가_등급,Monetary_침구/주방_고가_등급,Monetary_침구/주방_저가_등급,Monetary_침구/주방_중가_등급
1,6,6,7,8,8,7,8,8,8,5,7,5,4,8,3,5,8,8
2,8,2,8,5,8,8,8,8,8,6,7,5,2,5,5,6,8,1
3,8,7,8,8,8,8,8,8,8,8,5,7,8,8,8,8,8,8
4,8,5,7,8,8,7,8,4,8,6,6,6,6,7,6,8,8,8
6,7,4,7,8,8,8,8,8,8,6,6,7,5,6,5,8,8,8
7,8,5,8,8,8,8,8,7,8,2,7,6,1,8,7,6,6,8
8,7,5,5,8,8,2,8,8,8,2,7,2,4,8,7,8,8,8
9,4,1,4,7,8,4,8,8,8,6,7,6,4,8,2,1,8,8
10,8,6,6,8,5,8,8,8,8,7,3,3,6,6,7,6,5,8
11,2,5,2,8,8,5,8,8,5,4,7,6,3,8,4,8,8,8
12,8,5,8,8,6,8,8,8,8,6,7,7,8,7,6,8,7,7
13,8,5,8,8,8,8,8,6,8,6,4,2,6,6,8,8,6,7
14,5,6,8,5,7,5,8,8,8,5,6,4,6,8,6,7,7,8
15,8,4,6,8,8,6,8,7,8,7,7,6,2,6,6,8,8,7
16,7,6,8,8,8,8,6,8,6,5,7,6,7,8,8,6,8,8
17,6,5,1,8,8,8,8,8,8,1,6,1,7,8,5,6,5,8
18,8,6,8,8,8,8,8,8,8,5,7,6,6,8,8,8,8,6
19,7,4,7,6,8,8,8,8,8,6,8,2,2,8,7,8,8,8
20,8,4,7,8,8,8,8,8,8,2,7,7,6,7,7,8,8,8
21,8,7,7,8,4,6,8,5,5,4,3,4,8,4,5,8,8,8
22,5,8,6,8,8,8,8,8,8,5,8,2,2,8,8,7,8,8
23,8,6,3,5,8,7,8,8,8,2,8,6,3,8,7,8,8,4
24,8,8,8,8,6,7,8,8,8,4,6,7,8,7,8,8,6,7
25,6,3,5,7,8,8,8,8,8,7,7,7,5,6,3,8,8,8
26,5,4,6,5,8,3,8,8,8,4,6,5,5,7,6,5,8,6
27,6,8,8,7,8,8,8,8,3,2,7,7,3,8,6,6,8,8
28,8,7,8,8,8,8,8,8,8,5,6,5,7,6,8,8,7,8
29,6,8,3,3,8,2,8,8,4,7,7,7,5,7,5,7,8,8
30,6,6,6,8,7,7,8,8,8,5,5,2,2,7,3,5,3,5
31,8,6,7,8,8,8,8,8,6,5,8,5,7,8,6,8,8,8
32,8,8,8,8,5,8,8,8,8,5,6,5,8,2,8,8,7,8
33,8,7,7,8,8,8,8,8,8,6,5,5,8,6,8,8,8,8
34,8,4,8,8,8,8,8,8,8,7,8,6,8,8,5,8,8,8
35,8,3,6,8,6,5,8,8,8,2,6,1,5,8,5,8,8,6
