CUSTNO,Monetary_가구인테리어/잡화_고가,Monetary_가구인테리어/잡화_저가,Monetary_가구인테리어/잡화_중가,Monetary_가전/레저취미/멀티샵_고가,Monetary_가전/레저취미/멀티샵_저가,Monetary_가전/레저취미/멀티샵_중가,Monetary_교육문화/아동_고가,Monetary_교육문화/아동_저가,Monetary_교육문화/아동_중가,Monetary_식품/생활_고가,Monetary_식품/생활_저가,Monetary_식품/생활_중가,Monetary_의류/이미용_고가,Monetary_의류/이미용_저가,Monetary_의류/이미용_중가,Monetary_침구/주방_고가,Monetary_침구/주방_저가,Monetary_침구/주방_중가
1,0.0,405723.6348958421,0.0,758358.4543458902,0.0,69247.33124905227,0.0,0.0,108156.93236414788,951553.8880331796,0.0,757129.1239337567,2407699.1285152645,0.0,3197202.122284048,208572.24085146023,0.0,494024.5995900528
2,0.0,583637.8091847379,165551.64357263222,2595070.108576713,32409.891463454074,0.0,0.0,0.0,118770.36567306465,480907.4632766423,0.0,2381060.016195562,6663384.02224353,0.0,334618.1740673737,1260825.9468076732,0.0,142828.45399372032
3,0.0,622.9124384275979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20188.685896957,186088.6495317848,100209.02890246354,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,199134.7246913293,209168.9832659017,0.0,0.0,149534.09211751865,0.0,0.0,0.0,7408.692072277799,6620.788829424808,591800.5290698201,33417.373237687025,19140.047384310943,81829.8207550321,0.0,0.0,50447.13606842219
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246042.66372034568,357210.17831605114,519514.69985476224,442214.8638972118,96338.23850103174,426316.9179285403,0.0,51997.17841907048,36784.37004989118
7,0.0,36336.558908276544,0.0,156165.66689493146,0.0,611172.4030637178,0.0,0.0,0.0,144149.06947729105,24856.924061471764,710574.836324655,1081315.8456068414,0.0,8138849.484987964,0.0,4840.549098777739,0.0
8,0.0,148460.79782524417,0.0,1182625.2699351115,0.0,99354.86657472716,0.0,0.0,0.0,1373330.7277079548,0.0,1407768.3935532884,2285748.3294577925,0.0,0.0,0.0,24183.383297493587,0.0
9,0.0,10381.8739737933,0.0,1038676.1220786097,0.0,2114372.975566028,0.0,0.0,0.0,59269.53657822239,25883.146330032607,72669.71836945188,2010871.590194412,0.0,4426818.540667232,5876113.431618956,0.0,0.0
10,0.0,29401.467093782623,0.0,0.0,3719.167872855385,0.0,0.0,0.0,14387.561852952003,153083.02602994905,633061.2069010173,1187565.5861341096,268344.0196830808,7656.018953724377,264199.2956538097,0.0,0.0,0.0
11,828954.665099445,26868.289844177056,1936402.390987888,70720.99114211966,0.0,0.0,0.0,0.0,260112.52222413008,545265.8452220104,65566.49937639755,1649068.153514466,3656815.414295466,0.0,3305657.475169172,676260.1223216499,2904.329459266644,19495.716126442327
12,0.0,172131.4704854929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156920.72852338894,89204.78449395331,290897.24159420305,0.0,0.0,251657.5392064304,0.0,40176.55751985524,0.0
13,0.0,83304.15676571743,0.0,0.0,10626.193922443956,0.0,0.0,0.0,0.0,147090.32022998534,178449.91441983593,1041243.9914287692,80201.69577044886,20203.383350105996,206219.37240526933,0.0,17861.62617448986,0.0
14,0.0,132524.6212754715,0.0,687377.2856443848,128470.68452234744,242550.5302026301,0.0,0.0,59531.14360895358,214759.46144515267,97358.6997366918,815480.2754016536,19095.641850106877,15843.705890346278,1675660.9023957576,0.0,8645.220690417043,228168.19250946783
15,0.0,26162.32241395911,0.0,41391.8844477289,0.0,219785.00787742675,0.0,0.0,0.0,207671.1953050009,147419.10477492554,590852.2730027324,749202.4324822194,0.0,2125550.15436843,0.0,0.0,0.0
16,0.0,10381.8739737933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161416.87852475254,0.0,518360.0410475199,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,750806.7439107576,2338582.5171070024,0.0,0.0,0.0,0.0,0.0,0.0,19053822.445325486,46977.6002395328,816128.3999480332,89548.50993918539,9453.056735918017,965920.8490129166,0.0,0.0,52023.60907056039
18,0.0,43136.68636111116,3189815.958028763,0.0,0.0,0.0,0.0,0.0,0.0,244653.5339567936,4758.691971149081,519187.6462375122,29699210.56136364,0.0,7534419.065250167,558853.8510852524,0.0,0.0
19,0.0,421047.280881161,0.0,385488.5329880489,0.0,0.0,0.0,0.0,0.0,263230.8293280302,0.0,2592488.2143714484,1980589.922355269,0.0,251441.65651348367,0.0,0.0,186286.5597526632
20,0.0,317488.08799257287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292816.7666124755,0.0,1128673.998506001,156584.26317087637,0.0,338010.61638510745,0.0,0.0,0.0
21,0.0,109009.67672482964,0.0,745053.9200591202,0.0,0.0,102482.2708486258,8506.299431250707,17358.90614867035,183907.81548316983,244141.58808503975,983724.4336096116,0.0,8719.354919519428,59624.74376622942,0.0,3388.3843691444176,0.0
22,8681359.46775198,195283.04944705195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269092.95693021995,0.0,517342.9840670473,3036609.0676796264,0.0,0.0,0.0,0.0,0.0
23,0.0,28529.389679983982,604241.4254876312,1667265.1055545202,0.0,0.0,0.0,0.0,0.0,1166730.088407398,23276.21072844659,1340026.415965695,1570616.5421712904,0.0,38869.16485864024,92750.95427675408,1916.8574431159848,0.0
24,0.0,0.0,0.0,0.0,388493.6498045511,0.0,0.0,0.0,0.0,60992.05748502698,117456.93182701449,368267.358596937,0.0,17013.375452720837,15317.391070979626,0.0,16457.866935844315,149659.83700298582
25,55528.06369087192,107867.67058771236,0.0,0.0,2762.810419835429,0.0,0.0,0.0,0.0,215268.80902512177,5658.705452649016,267148.9611001685,224373.7917387557,0.0,296787.3021605247,0.0,0.0,0.0
26,1443163.043067865,279428.13800464664,0.0,0.0,0.0,1477117.9392675413,0.0,0.0,145908.6435739589,611019.839536494,7862.186734941959,832471.109663666,740910.9037841466,0.0,8874022.575625572,12914.68983600373,0.0,0.0
27,2279483.6757997726,0.0,0.0,253744.0779172775,0.0,0.0,0.0,0.0,0.0,3761633.747587787,0.0,362401.3328948584,7348224.091353073,0.0,185042.30824002236,0.0,0.0,0.0
28,0.0,13392.617426193356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95333.19741305264,113065.48673624756,470229.3151186856,0.0,29667.07344568196,0.0,0.0,12585.427656822125,0.0
29,0.0,105988.5513984558,91936.34606400176,2439460.275558651,0.0,798853.2706412406,0.0,0.0,29713.442957183484,88895.04400224323,7034.5881312638585,259768.31818893529,1357800.638920757,10527.026061371018,3388062.9831053955,2360159.5675296816,968.1098197555478,0.0
30,0.0,70700.56176153236,44036.73719032017,595451.8234123286,2869.0723590598686,0.0,0.0,0.0,0.0,179568.17410183314,207371.38212362176,1591210.5738165043,5011048.183291598,4785.011846077736,584343.0491655194,0.0,27726.66523779889,21019.64002850925
31,0.0,121592.50798106712,174822.5356126996,0.0,0.0,58313.542104465065,0.0,0.0,195128.7011882969,312730.1532359362,0.0,341900.654935529,0.0,0.0,25494.718024180853,0.0,0.0,0.0
32,0.0,3166.471562006956,0.0,0.0,6375.716353466375,0.0,0.0,0.0,19079.158109349395,212208.093112762,29059.05597164732,689752.0903215092,0.0,146591.49624450592,205602.56471113596,0.0,5160.02533929707,0.0
33,0.0,28031.059729241908,0.0,0.0,12751.43270693275,0.0,0.0,0.0,0.0,296106.9003987629,311445.0100309068,645304.7060454844,0.0,133523.09722488472,0.0,0.0,14521.647296333218,0.0
