CUSTNO,Recency_가구인테리어/잡화_고가,Recency_가구인테리어/잡화_저가,Recency_가구인테리어/잡화_중가,Recency_가전/레저취미/멀티샵_고가,Recency_가전/레저취미/멀티샵_저가,Recency_가전/레저취미/멀티샵_중가,Recency_교육문화/아동_고가,Recency_교육문화/아동_저가,Recency_교육문화/아동_중가,Recency_식품/생활_고가,Recency_식품/생활_저가,Recency_식품/생활_중가,Recency_의류/이미용_고가,Recency_의류/이미용_저가,Recency_의류/이미용_중가,Recency_침구/주방_고가,Recency_침구/주방_저가,Recency_침구/주방_중가
1,42,12,16,-2939,-2939,29,-2939,-2939,-2939,12,49,5,5,-2939,5,37,-2939,36
2,-2939,12,-2939,5,-2939,-2939,-2939,-2939,60,29,-2939,11,5,-2939,5,4,-2939,11
3,-2939,1,-2939,-2939,62,-2939,-2939,-2939,-2939,16,1,1,-2939,-2939,-2939,-2939,5,-2939
4,-2939,39,-2939,26,-2939,89,-2939,-2939,-2939,90,74,1,39,76,6,71,-2939,39
6,55,14,72,-2939,-2939,-2939,-2939,-2939,-2939,4,4,4,6,30,2,-2939,25,-2939
7,56,81,11,-2939,-2939,77,-2939,86,-2939,11,11,5,40,11,7,-2939,11,33
8,-2939,46,-2939,1,-2939,-2939,-2939,56,-2939,5,56,3,11,-2939,88,10,-2939,-2939
9,80,-2939,-2939,-2939,-2939,19,-2939,-2939,-2939,70,86,1,1,-2939,3,-2939,-2939,-2939
10,-2939,39,-2939,-2939,16,39,-2939,-2939,-2939,18,2,1,18,-2939,73,-2939,39,18
11,9,2,53,-2939,32,44,-2939,-2939,66,4,-2939,2,10,-2939,35,10,-2939,-2939
12,-2939,-2939,-2939,-2939,-2939,-2939,-2939,-2939,-2939,7,1,1,73,10,56,-2939,59,-2939
13,-2939,13,-2939,-2939,-2939,-2939,-2939,45,-2939,6,1,1,11,11,-2939,-2939,13,-2939
14,7,11,12,40,-2939,26,-2939,-2939,-2939,31,6,4,30,-2939,9,-2939,31,-2939
15,-2939,25,-2939,-2939,46,47,-2939,-2939,-2939,3,12,1,19,7,19,-2939,4,-2939
16,-2939,-2939,-2939,55,-2939,-2939,-2939,-2939,-2939,7,-2939,5,-2939,34,12,-2939,-2939,-2939
17,13,39,76,-2939,-2939,-2939,-2939,-2939,-2939,1,1,17,74,39,68,74,39,-2939
18,-2939,3,72,84,-2939,91,-2939,-2939,-2939,8,39,3,38,-2939,17,-2939,81,38
19,5,16,-2939,-2939,-2939,-2939,-2939,-2939,-2939,2,-2939,2,2,-2939,-2939,-2939,-2939,-2939
20,-2939,22,-2939,-2939,-2939,-2939,-2939,-2939,-2939,5,-2939,3,-2939,-2939,48,-2939,-2939,-2939
21,-2939,-2939,-2939,-2939,-2939,-2939,24,78,13,1,6,1,-2939,24,12,-2939,7,-2939
22,5,22,-2939,-2939,-2939,-2939,-2939,-2939,-2939,10,-2939,4,-2939,-2939,-2939,20,-2939,-2939
23,66,66,10,10,-2939,66,-2939,-2939,-2939,3,14,3,10,-2939,17,63,85,-2939
24,-2939,74,15,-2939,77,76,-2939,-2939,-2939,2,6,6,-2939,10,27,-2939,16,-2939
25,-2939,6,7,-2939,-2939,69,-2939,-2939,-2939,71,1,1,5,47,4,-2939,-2939,-2939
26,11,21,22,-2939,-2939,72,-2939,-2939,22,3,-2939,3,11,-2939,19,71,-2939,19
27,-2939,-2939,12,-2939,-2939,-2939,-2939,-2939,-2939,9,-2939,9,9,-2939,77,-2939,-2939,-2939
28,-2939,89,-2939,-2939,-2939,-2939,-2939,-2939,-2939,5,2,2,-2939,92,90,-2939,33,-2939
29,88,79,45,5,-2939,6,-2939,-2939,81,90,7,13,27,82,11,88,61,-2939
30,13,6,-2939,-2939,12,-2939,-2939,-2939,-2939,13,10,4,4,26,-2939,48,12,48
31,-2939,9,34,-2939,-2939,-2939,-2939,-2939,22,3,-2939,3,17,-2939,38,71,-2939,-2939
32,-2939,31,39,-2939,18,-2939,-2939,-2939,39,4,1,2,-2939,12,75,-2939,10,-2939
33,-2939,74,-2939,-2939,-2939,-2939,-2939,-2939,-2939,4,2,2,-2939,4,-2939,-2939,39,-2939
34,-2939,3,-2939,-2939,-2939,-2939,-2939,-2939,-2939,43,-2939,3,-2939,-2939,1,-2939,-2939,-2939
35,20,52,4,-2939,-2939,-2939,-2939,-2939,-2939,39,9,4,-2939,72,11,67,72,-2939
36,-2939,74,-2939,82,-2939,89,-2939,-2939,-2939,6,13,1,31,-2939,62,31,-2939,31
37,-2939,29,18,-2939,-2939,-2939,-2939,-2939,-2939,6,-2939,4,18,-2939,-2939,-2939,-2939,89
38,-2939,13,-2939,-2939,91,-2939,-2939,30,1,1,1,1,30,1,2,-2939,4,1
39,-2939,27,-2939,-2939,-2939,-2939,-2939,-2939,-2939,1,-2939,1,9,-2939,-2939,-2939,-2939,-2939
40,-2939,10,-2939,41,-2939,18,-2939,-2939,38,66,14,1,10,-2939,40,-2939,37,68
41,-2939,-2939,61,-2939,-2939,-2939,-2939,-2939,-2939,58,61,1,-2939,1,-2939,-2939,-2939,-2939
42,-2939,67,-2939,-2939,10,-2939,-2939,5,-2939,2,1,1,87,8,12,-2939,4,-2939
43,-2939,-2939,-2939,-2939,-2939,-2939,-2939,-2939,-2939,48,5,2,-2939,21,-2939,-2939,24,-2939
44,48,74,-2939,-2939,-2939,-2939,-2939,-2939,-2939,3,2,2,-2939,4,44,-2939,59,-2939
45,-2939,5,-2939,11,-2939,14,-2939,-2939,-2939,50,32,9,5,32,13,60,24,-2939
46,40,-2939,-2939,40,-2939,-2939,-2939,-2939,-2939,50,58,4,33,-2939,-2939,-2939,-2939,-2939
47,46,6,-2939,-2939,23,71,-2939,-2939,-2939,6,6,6,10,6,27,-2939,23,-2939
48,1,3,-2939,26,-2939,-2939,-2939,-2939,-2939,50,-2939,1,1,-2939,45,5,-2939,46
49,84,6,-2939,-2939,-2939,-2939,-2939,-2939,3,13,-2939,6,51,-2939,72,92,-2939,-2939
50,-2939,10,-2939,-2939,55,31,-2939,-2939,11,5,13,3,43,31,11,91,-2939,-2939
51,-2939,4,-2939,-2939,-2939,-2939,-2939,45,18,6,5,1,78,4,35,-2939,12,-2939
52,49,5,53,-2939,1,21,-2939,-2939,-2939,5,42,1,10,48,7,7,7,-2939
53,-2939,72,-2939,1,85,-2939,-2939,-2939,-2939,1,13,1,9,-2939,-2939,-2939,-2939,-2939
54,-2939,34,62,-2939,-2939,-2939,-2939,-2939,-2939,3,-2939,5,33,-2939,-2939,-2939,-2939,-2939
55,-2939,11,-2939,-2939,-2939,34,-2939,-2939,-2939,12,1,1,-2939,1,75,-2939,21,-2939
56,-2939,20,-2939,-2939,-2939,-2939,-2939,-2939,13,1,-2939,1,86,-2939,45,1,-2939,-2939
57,83,54,-2939,-2939,-2939,-2939,-2939,-2939,-2939,41,5,7,-2939,41,83,-2939,16,-2939
58,29,60,7,-2939,-2939,27,-2939,-2939,16,15,-2939,18,-2939,-2939,9,-2939,-2939,-2939
59,88,-2939,-2939,-2939,-2939,-2939,-2939,-2939,-2939,18,26,4,10,26,-2939,88,27,-2939
60,-2939,26,-2939,-2939,72,-2939,-2939,27,-2939,16,1,2,27,26,29,27,26,-2939
61,62,54,92,-2939,-2939,39,-2939,-2939,-2939,2,9,1,8,58,2,-2939,14,-2939
62,-2939,21,-2939,-2939,-2939,18,60,-2939,4,38,60,8,-2939,47,53,-2939,60,-2939
63,-2939,14,-2939,-2939,-2939,-2939,-2939,-2939,-2939,1,-2939,1,-2939,-2939,-2939,-2939,-2939,-2939
