CUSTNO,Monetary_가구인테리어/잡화_고가_증감여부_q2_q1,Monetary_가구인테리어/잡화_고가_증감여부_q3_q2,Monetary_가구인테리어/잡화_고가_증감여부_q4_q3,Monetary_가구인테리어/잡화_고가_증감여부_q5_q4,Monetary_가구인테리어/잡화_고가_증감여부_q6_q5,Monetary_가구인테리어/잡화_고가_증감여부_q7_q6,Monetary_가구인테리어/잡화_고가_증감여부_q8_q7,Monetary_가구인테리어/잡화_고가_q2_q1_로그변환,Monetary_가구인테리어/잡화_고가_q3_q2_로그변환,Monetary_가구인테리어/잡화_고가_q4_q3_로그변환,Monetary_가구인테리어/잡화_고가_q5_q4_로그변환,Monetary_가구인테리어/잡화_고가_q6_q5_로그변환,Monetary_가구인테리어/잡화_고가_q7_q6_로그변환,Monetary_가구인테리어/잡화_고가_q8_q7_로그변환
1,0,4,1,4,2,1,0,0.0,12.495133016002569,-12.495133016002569,13.254408990674943,-12.659516267950458,-12.452294828817465,0.0
2,0,0,4,4,1,0,0,0.0,0.0,12.764407690456311,14.15201750966791,-14.374897536202585,0.0,0.0
3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,3,1,0,4,3,1,10.581698252463545,10.124245578141396,-11.072036477920456,0.0,10.995665448095947,11.665561237421795,-11.931837001903995
7,0,4,4,1,0,4,2,0.0,14.041085761447198,15.469786560234333,-15.684591315032526,0.0,12.744848308742144,-12.413756407094954
8,0,0,0,4,2,3,3,0.0,0.0,0.0,11.527072010772622,-10.805427088705692,11.99052331832355,12.216502049330101
9,0,4,4,4,2,2,1,0.0,12.509362253103172,14.122715281832013,16.216707673439004,-15.861069867408778,-14.945632300651067,-14.407810571136698
10,4,1,0,0,0,0,0,12.795849783834898,-12.795849783834898,0.0,0.0,0.0,0.0,0.0
11,4,3,1,1,4,1,4,15.358325454257402,16.738079075816316,-16.826599299232345,-15.14686455843572,16.880433614711688,-16.880433614711688,15.254404488637032
12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,11.448057938671994
14,0,4,2,2,4,1,3,0.0,12.857917892113868,-11.626980577106346,10.336500630909153,14.126376166106759,-14.278084416867507,10.893553238774862
15,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,10.31934160083148,-10.31934160083148,0.0
17,4,2,1,0,4,2,3,15.658240109277209,-15.360121515142888,-14.302617895455205,0.0,13.855037847323333,-12.468614139945355,12.602313688249692
18,4,1,0,0,0,0,0,13.002043260295533,-13.002043260295533,0.0,0.0,0.0,0.0,0.0
19,0,4,1,0,4,1,4,0.0,11.45166891724908,-11.45166891724908,0.0,12.092570210111655,-12.092570210111655,10.625801507195302
20,0,0,0,4,1,0,0,0.0,0.0,0.0,13.245431390072874,-13.245431390072874,0.0,0.0
21,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,3,2,3,3,1,1,4,16.640986643877206,-16.467529514219905,15.374752788375876,16.31460584358233,-17.103885549380486,-14.217706542155593,16.476056600380783
23,4,2,4,1,0,4,4,12.72475406642251,-11.724986877613157,15.617966535493736,-15.652380953083803,0.0,10.869515702572256,14.86592450768209
24,4,1,0,0,0,0,0,12.858285086981345,-12.858285086981345,0.0,0.0,0.0,0.0,0.0
25,3,1,4,3,1,1,4,11.377388268616485,-11.869569530780693,13.196785702035374,13.164928246108058,-13.611369481771712,-12.409117021393195,12.631189254334641
26,3,3,4,2,1,1,4,14.214460870811887,13.058324436047654,16.708189844237523,-16.379202551580814,-15.693365930555368,-14.468283914932702,14.5590781048291
27,2,1,0,4,2,3,1,-14.248385539393832,-13.511431054396496,0.0,14.1366807103973,-13.751181398388422,14.058327186727592,-14.35543586571573
28,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4,1,3,3,2,1,0,15.542722995760046,-15.486451119498915,12.805150042775443,13.676842607189988,-13.633977903092704,-13.470763171644428,0.0
30,4,2,4,1,4,1,0,13.859002390779061,-13.60956870401995,13.92355055916047,-14.111654260679497,13.765097928154944,-13.765097928154944,0.0
31,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,4,4,1,0,0,0,0,10.83015402897923,15.440146043643521,-15.450048552356506,0.0,0.0,0.0,0.0
36,4,1,0,0,0,0,0,14.525045953443826,-14.525045953443826,0.0,0.0,0.0,0.0,0.0
37,4,1,0,0,0,0,0,12.201319982367716,-12.201319982367716,0.0,0.0,0.0,0.0,0.0
38,4,1,0,0,0,4,1,9.626227408555364,-9.626227408555364,0.0,0.0,0.0,10.941010391235121,-10.941010391235121
39,4,1,0,0,0,0,0,14.16233945232711,-14.16233945232711,0.0,0.0,0.0,0.0,0.0
40,4,1,0,0,0,0,0,12.334216030647479,-12.334216030647479,0.0,0.0,0.0,0.0,0.0
41,4,1,0,4,1,0,0,12.919528557501637,-12.919528557501637,0.0,13.94057968733117,-13.94057968733117,0.0,0.0
42,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1,3,4,1,2,4,3,-14.767257013743022,13.494911842271298,17.375722702497697,-17.393879326358718,-12.19706187146819,15.827790971396478,16.429981901041614
45,0,0,4,1,4,4,2,0.0,0.0,14.229356044333112,-14.229356044333112,12.048607338419634,14.882786234096004,-14.225796557918867
46,2,1,3,4,1,2,2,-16.18218154638361,-16.1778216493121,14.017156052810758,17.461735546818005,-17.440312644202084,-14.158863312489522,-13.475896544499083
47,0,4,1,0,0,0,0,0.0,13.880155533977844,-13.880155533977844,0.0,0.0,0.0,0.0
48,4,3,1,4,3,2,1,13.16899530546274,13.290721441759745,-13.924855671916506,15.321609558113128,13.673589874658628,-15.140331330426811,-14.295022195449006
49,3,3,1,4,3,3,2,14.350921469689766,14.899801060696213,-15.610076352442963,13.877213869435284,12.180508562599279,14.859029764728175,-14.10904062721714
50,1,0,0,0,4,1,0,-11.80351562862737,0.0,0.0,0.0,11.65177128109388,-11.65177128109388,0.0
51,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,4,3,3,4,3,2,1,11.461948308588186,9.724945982719108,10.785785662316666,13.37227472870052,12.197365392540936,-13.040520326459262,-13.19858225480337
53,4,1,4,1,4,1,0,10.944373036563391,-10.944373036563391,15.504951503572277,-15.504951503572277,13.116795188838626,-13.116795188838626,0.0
54,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,10.603062578696978
55,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2,1,4,1,4,1,4,-15.350181070780192,-15.642026025804482,13.19904028824264,-13.19904028824264,15.50014620692997,-15.440515700947035,15.152576609198366
57,0,4,1,0,0,0,0,0.0,10.378904838121441,-10.378904838121441,0.0,0.0,0.0,0.0
58,3,2,2,4,2,1,4,11.50134907527769,-12.26895192313042,-10.68320701701167,13.260352721709658,-13.04597754798036,-12.249071450109573,11.635236846737762
59,4,3,1,0,4,1,0,12.547891843532492,9.757191878300283,-12.607456783011576,0.0,12.439576106441592,-12.439576106441592,0.0
60,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,3,2,1,0,0,4,2,7.773652166956464,-9.358619978288665,-11.968115304770121,0.0,0.0,12.281771155818799,-12.033053331946416
62,0,0,0,0,4,3,2,0.0,0.0,0.0,0.0,10.602003008549492,-4.9454445802062725,-9.680476731304216
63,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
