CUSTNO,Monetary_가전/레저취미/멀티샵_중가_증감여부_q2_q1,Monetary_가전/레저취미/멀티샵_중가_증감여부_q3_q2,Monetary_가전/레저취미/멀티샵_중가_증감여부_q4_q3,Monetary_가전/레저취미/멀티샵_중가_증감여부_q5_q4,Monetary_가전/레저취미/멀티샵_중가_증감여부_q6_q5,Monetary_가전/레저취미/멀티샵_중가_증감여부_q7_q6,Monetary_가전/레저취미/멀티샵_중가_증감여부_q8_q7,Monetary_가전/레저취미/멀티샵_중가_q2_q1_로그변환,Monetary_가전/레저취미/멀티샵_중가_q3_q2_로그변환,Monetary_가전/레저취미/멀티샵_중가_q4_q3_로그변환,Monetary_가전/레저취미/멀티샵_중가_q5_q4_로그변환,Monetary_가전/레저취미/멀티샵_중가_q6_q5_로그변환,Monetary_가전/레저취미/멀티샵_중가_q7_q6_로그변환,Monetary_가전/레저취미/멀티샵_중가_q8_q7_로그변환
1,1,4,4,4,1,3,1,-11.145454326272626,9.443198959311577,10.371578895657711,12.789072671592052,-12.66227413565515,11.141976023992795,-11.959110483120224
2,4,1,0,0,0,0,0,12.373508895707486,-12.373508895707486,0.0,0.0,0.0,0.0,0.0
3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,2,2,3,4,1,-9.45153877594676,11.565664264354828,-12.015259651798923,-10.720493093446757,-6.6402742049653005,11.884507421256236,-12.077844341708161
6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,3,3,2,1,4,1,-13.214671296514046,11.126948121263485,11.696621374873546,-10.612375525777368,-12.256438640665616,11.933070742966047,-11.933070742966047
8,3,1,4,3,4,2,1,10.662443249493167,-11.864115674112856,12.211675167573652,12.254004336425115,13.795663225109951,-13.706204680759654,-12.793429936835025
9,3,1,3,3,2,1,4,13.254628713224635,-14.697854181695075,12.698348744253826,13.102986565009928,-12.937078612137025,-13.361587811227572,11.9400303506208
10,4,3,1,0,0,4,1,10.951231029284378,9.808849197434252,-11.228135711291138,0.0,0.0,9.453248502899163,-9.453248502899163
11,4,2,3,1,4,1,4,12.870130711223897,-11.513256090864514,12.3244983353711,-13.149284793884885,12.815559084716563,-12.815559084716563,14.850745143808007
12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,4,1,0,0,0,0.0,0.0,11.526357176672748,-11.526357176672748,0.0,0.0,0.0
14,1,2,3,4,3,1,0,-12.077462724319453,-10.001944944798245,7.770889128292064,11.746114379946635,11.882607610954064,-12.669736944454375,0.0
15,1,3,2,2,3,1,4,-12.068881686873688,10.343895901364172,-9.43262858595728,-9.709026380719953,10.781988853815522,-11.46880635006828,10.098472417434412
16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4,4,1,4,1,4,1,9.176364603110494,11.939904618572863,-12.001057652151863,10.864618467940504,-10.864618467940504,12.321073424347576,-12.099689202377055
19,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,13.703136773528463,-13.703136773528463
