CUSTNO,Monetary_침구/주방_저가_증감여부_q2_q1,Monetary_침구/주방_저가_증감여부_q3_q2,Monetary_침구/주방_저가_증감여부_q4_q3,Monetary_침구/주방_저가_증감여부_q5_q4,Monetary_침구/주방_저가_증감여부_q6_q5,Monetary_침구/주방_저가_증감여부_q7_q6,Monetary_침구/주방_저가_증감여부_q8_q7,Monetary_침구/주방_저가_q2_q1_로그변환,Monetary_침구/주방_저가_q3_q2_로그변환,Monetary_침구/주방_저가_q4_q3_로그변환,Monetary_침구/주방_저가_q5_q4_로그변환,Monetary_침구/주방_저가_q6_q5_로그변환,Monetary_침구/주방_저가_q7_q6_로그변환,Monetary_침구/주방_저가_q8_q7_로그변환
1,0,0,4,1,1,0,0,0.0,0.0,10.964397520627772,-10.744320827331249,-9.342684853305407,0.0,0.0
2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,4,1,0,0,0,0,0.0,8.826693835511248,-8.826693835511248,0.0,0.0,0.0,0.0
4,4,1,4,1,0,0,0,8.696970607708145,-8.696970607708145,9.939408581404415,-9.939408581404415,0.0,0.0,0.0
6,2,2,3,2,1,4,2,-8.5022776847045,-7.198278684587758,8.517689891050088,-10.137660900087225,-10.144953744725164,8.940006796123932,-8.08035040198799
7,3,3,1,4,4,1,0,8.32750442056931,7.563057155262755,-9.29664242724504,6.876377938550118,8.937166550350474,-9.056922824510345,0.0
8,1,0,0,0,0,0,0,-10.093462385551923,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4,1,4,2,4,2,3,9.895814151434543,-9.780484282816632,9.20680307909198,-8.827812914135796,10.077723345586996,-9.825158529982579,7.763558287202106
11,1,0,0,0,0,0,0,-7.974302073962737,0.0,0.0,0.0,0.0,0.0,0.0
12,2,1,1,4,3,2,1,-9.578270640720993,-9.742674660026681,-9.071436541482438,7.831254182003734,7.832109898950458,-7.10840966956444,-8.246990647128587
13,2,2,3,2,2,4,1,-8.79379739361705,-7.153373795291706,4.439297026773596,-8.006309304921574,-5.846897930089665,9.88850783703263,-9.942990118900584
14,4,2,2,3,2,1,4,9.813709159399888,-8.651307956895854,-9.511165323287665,6.819612873680913,-8.636800879753723,-8.000652720634173,9.68579095075999
15,4,3,1,4,1,0,0,8.851097417074802,9.005060855260284,-9.624120374789223,7.517742922429965,-7.517742922429965,0.0,0.0
16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,4,1,0,4,1,1,0.0,10.124778616616878,-10.124778616616878,0.0,10.038841276039435,-9.686276089764835,-8.825359808442897
18,0,4,1,0,0,0,0,0.0,7.394474489952325,-7.394474489952325,0.0,0.0,0.0,0.0
19,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4,1,3,2,1,4,4,10.977542006096627,-10.83235534806861,7.6608966501713,-8.609808021457148,-8.979605645712795,8.401103891117893,10.71959733266899
22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,4,3,1,0,0,0,-7.558963926881285,8.598575354207101,8.595369026063228,-9.290028319579996,0.0,0.0,0.0
24,3,1,4,1,4,3,1,8.776608322488713,-10.000176909976048,8.988473215298761,-9.095892092181531,9.3387453422708,10.117982306778671,-10.495538613786
25,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,0,4,1,0,0,0,0.0,0.0,9.347181603382053,-9.347181603382053,0.0,0.0,0.0
28,3,1,1,0,4,3,1,9.245060409834794,-10.000176909976048,-6.812744317529279,0.0,7.821735770719323,8.211927321074095,-8.728728534957776
29,3,4,3,3,1,4,2,3.4072658200001653,8.401532111615449,8.361496115040552,-7.729658045026219,-8.916699999003042,8.60358697418889,6.535092042528217
30,3,3,2,3,3,3,2,10.294474511551453,9.659264862101807,-10.707264319909724,7.582372194594568,9.922789354433906,8.66491829796727,-10.163349233825718
31,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2,3,1,4,1,4,1,-8.069767709599295,7.945699503345018,-8.473883278199516,9.148608186706777,-8.910148577818687,9.369282065768322,-9.526411688762591
33,2,2,4,1,0,0,4,-8.526820548416183,-7.700011921623647,10.290338264799699,-10.510903550659965,0.0,0.0,11.05826558202257
