,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가,총 평균 구매주기
1,,13.0,12.6,12.2,,,,,-1,5.571428571428571,1.0,4.285714285714286,12.857142857142858,,7.4,,,,2.903225806451613
2,,7.8,57.0,14.0,,47.0,,,29.0,7.166666666666667,,3.0714285714285716,4.0,,6.5,22.5,,40.0,2.097560975609756
3,,3.1785714285714284,,,,,,,,27.0,1.6071428571428572,3.739130434782609,,,-1,,,,1.5517241379310345
4,,24.333333333333332,52.0,-1,-1,-1,,,,16.4,6.363636363636363,2.4722222222222223,13.25,-1,9.2,,-1,,2.3421052631578947
6,-1,15.25,22.0,,-1,,,,,11.0,3.103448275862069,2.3684210526315788,25.666666666666668,7.857142857142857,7.6,31.0,17.5,,1.7307692307692308
7,,8.0,-1,31.0,,-1,,-1,7.0,11.4,22.666666666666668,3.36,10.666666666666666,,14.8,8.0,55.0,,2.125
8,,21.666666666666668,,,,23.0,,,42.0,2.8666666666666667,,2.0232558139534884,21.0,,12.0,-1,,,1.851063829787234
9,,-1,,,,12.75,,,,14.0,-1,5.375,5.3125,,3.28,,,,1.9777777777777779
10,-1,,,,-1,-1,,,-1,25.666666666666668,1.7959183673469388,1.4516129032258065,,,28.0,,20.666666666666668,,1.3636363636363635
11,6.0,10.333333333333334,27.0,,,24.0,,,-1,15.8,49.0,7.083333333333333,11.285714285714286,,14.5,7.5,,,3.739130434782609
12,,,,,,,,,,,20.666666666666668,7.25,,,,,39.5,,6.214285714285714
13,,21.75,,,-1,,,-1,,5.25,2.903225806451613,2.046511627906977,25.666666666666668,9.5,7.0,,16.333333333333332,,1.836734693877551
14,,9.666666666666666,12.0,23.5,-1,-1,,-1,-1,6.818181818181818,4.2105263157894735,1.7058823529411764,7.1,25.333333333333332,8.4,,-1,-1,1.40625
15,,10.0,6.0,,,-1,,,,42.0,5.3125,1.8936170212765957,7.571428571428571,76.0,10.285714285714286,,3.0,,1.5892857142857142
16,,13.0,,,,,,,,16.5,,5.642857142857143,,,,,,,5.533333333333333
17,23.333333333333332,,8.4,,,,,,,25.0,-1,8.5,21.333333333333332,,2.0,,,-1,3.4
18,-1,11.857142857142858,6.916666666666667,43.0,,-1,,,-1,16.6,9.333333333333334,4.368421052631579,6.285714285714286,,6.181818181818182,-1,,15.0,2.1463414634146343
19,,13.333333333333334,-1,-1,,,,,,9.285714285714286,-1,4.190476190476191,22.666666666666668,,21.5,,,-1,3.8260869565217392
20,,16.8,,-1,,23.0,,,-1,4.777777777777778,,3.107142857142857,,,-1,,,-1,2.9
21,,,-1,,-1,-1,-1,29.5,-1,19.5,3.185185185185185,2.324324324324324,,18.0,-1,,5.0,-1,2.2051282051282053
