,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가
1,189.0,24.09090909090909,24.555555555555557,50.0,,60.0,,,,10.681818181818182,20.0,3.6216216216216215,15.8,273.0,8.096774193548388,14.538461538461538,60.0,16.76923076923077
2,43.666666666666664,9.444444444444445,19.0,22.9,64.0,,,,74.33333333333333,10.28,273.0,3.4177215189873418,8.4375,,19.46153846153846,32.75,,25.6
3,,4.3125,,,273.0,,,,,32.0,1.8445945945945945,4.1692307692307695,,,,,25.0,
4,,22.166666666666668,,45.0,,134.5,,,,52.0,17.533333333333335,3.7260273972602738,41.333333333333336,87.66666666666667,17.6,72.0,273.0,37.333333333333336
6,273.0,20.272727272727273,273.0,,,,,,,11.136363636363637,2.89247311827957,2.0,12.8,14.0,15.764705882352942,53.0,12.411764705882353,24.5
7,27.6,42.8,20.0,143.0,,85.33333333333333,,96.5,,14.5,22.444444444444443,3.611111111111111,29.88888888888889,83.5,12.05,24.0,63.75,44.333333333333336
8,273.0,24.0,273.0,37.333333333333336,,50.0,,273.0,,3.5324675324675323,273.0,2.4504504504504503,16.3125,,63.0,48.0,,273.0
9,38.5,7.0,273.0,28.0,,28.666666666666668,,,,53.5,46.4,6.162790697674419,5.1923076923076925,,4.767857142857143,18.142857142857142,,
10,,38.4,,,21.666666666666668,273.0,,,,9.10344827586207,1.8827586206896552,1.5337078651685394,39.2,80.5,72.33333333333333,,37.5,44.0
11,52.5,30.5,273.0,273.0,273.0,32.4,,,49.5,10.526315789473685,54.333333333333336,5.520833333333333,15.166666666666666,,19.5,33.75,,273.0
