,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가,총 평균 구매주기
1,,10.25,,33.0,,-1,,,-1,12.5,,5.133333333333334,6.888888888888889,,6.875,-1,,5.0,3.1153846153846154
2,,8.125,-1,26.666666666666668,-1,,,,-1,9.555555555555555,,3.0714285714285716,7.2727272727272725,,30.5,14.2,,78.0,2.230769230769231
3,,7.909090909090909,,,,,,,,-1,1.74,5.714285714285714,,,,,,,1.7058823529411764
4,,8.666666666666666,-1,,,-1,,,,-1,13.5,3.652173913043478,-1,3.0,28.0,,,-1,3.0
6,,,,,,,,,,13.333333333333334,2.5428571428571427,2.076923076923077,18.0,9.0,19.0,,5.0,-1,1.78
7,,-1,,-1,,15.0,,,,21.0,4.0,3.0416666666666665,10.0,,9.444444444444445,,-1,,2.65625
8,,20.0,,-1,,-1,,,,4.05,,2.7096774193548385,19.25,,,,-1,,2.2972972972972974
9,,-1,,33.0,,14.0,,,,37.5,22.5,28.666666666666668,21.0,,10.8,-1,,,5.375
10,,9.666666666666666,,,-1,,,,-1,9.625,1.6923076923076923,1.5614035087719298,16.666666666666668,-1,14.0,,,,1.3484848484848484
11,-1,51.0,21.0,-1,,,,,19.5,8.125,22.333333333333332,3.9545454545454546,13.2,,21.0,3.0,-1,23.0,3.107142857142857
12,,55.0,,,,,,,,21.666666666666668,5.4,3.6818181818181817,,,1.0,,24.333333333333332,,2.9285714285714284
13,,14.333333333333334,,,-1,,,,,9.625,3.28,2.5294117647058822,-1,-1,2.0,,18.333333333333332,,2.2051282051282053
14,,15.75,,8.666666666666666,9.0,1.0,,,36.0,5.5,7.7,2.5294117647058822,-1,-1,8.5,,9.0,-1,1.872340425531915
15,,23.666666666666668,,-1,,82.0,,,,6.916666666666667,4.866666666666666,1.7058823529411764,9.75,,7.888888888888889,,,,1.4262295081967213
16,,-1,,,,,,,,11.2,,5.533333333333333,,,,,,,5.1875
17,,9.222222222222221,-1,,,,,,,10.125,63.0,3.3461538461538463,16.5,-1,18.0,,,6.0,2.4166666666666665
18,,14.6,17.5,,,,,,,8.222222222222221,-1,3.6666666666666665,5.466666666666667,,5.923076923076923,1.0,,,2.625
19,,20.666666666666668,,-1,,,,,,12.666666666666666,,4.368421052631579,9.75,,-1,,,-1,4.368421052631579
20,,5.454545454545454,,,,,,,,5.666666666666667,,3.3461538461538463,23.0,,12.0,,,,3.0
21,,16.0,,-1,,,49.0,15.666666666666666,35.0,12.285714285714286,3.0344827586206895,2.588235294117647,,-1,-1,,-1,,2.5142857142857142
22,-1,-1,,,,,,,,21.0,,2.8,-1,,,,,,2.5454545454545454
23,,37.0,4.0,15.666666666666666,,,,,,10.0,16.75,3.3461538461538463,21.5,,-1,-1,-1,,3.107142857142857
24,,,,,25.0,,,,,29.0,3.8095238095238093,2.8333333333333335,,-1,-1,,60.0,-1,2.5588235294117645
25,-1,25.666666666666668,,,-1,,,,,40.0,47.0,5.3125,-1,,51.0,,,,5.0
26,7.0,4.071428571428571,,,,8.4,,,18.5,4.857142857142857,-1,3.736842105263158,53.0,,4.9411764705882355,-1,,,2.4285714285714284
27,11.5,,,-1,,,,,,11.857142857142858,,3.6818181818181817,10.8,,-1,,,,3.48
28,,34.0,,,,,,,,14.25,3.269230769230769,1.851063829787234,,12.428571428571429,,,25.0,,1.6
29,,20.75,-1,21.0,,6.2,,,-1,-1,10.0,9.555555555555555,8.75,-1,15.0,12.0,-1,,3.185185185185185
30,,6.0,-1,4.0,-1,,,,,9.285714285714286,8.0,2.8518518518518516,6.5,-1,3.0,,9.166666666666666,-1,2.6551724137931036
31,,10.5,-1,,,-1,,,35.0,5.923076923076923,,4.722222222222222,,,-1,,,,3.782608695652174
32,,-1,,,49.0,,,,6.0,7.0,11.0,1.8125,,14.25,-1,,4.0,,1.5818181818181818
33,,-1,,,-1,,,,,10.0,3.0689655172413794,2.966666666666667,,17.6,,,22.0,,2.5428571428571427
34,,7.909090909090909,,,,,,,,8.444444444444445,,2.5142857142857142,,,-1,,,-1,2.3783783783783785
35,,7.333333333333333,2.0,-1,,,,,,13.0,9.125,4.705882352941177,-1,17.5,56.0,,-1,-1,4.2105263157894735
36,,27.333333333333332,,,,,,,,14.0,-1,7.7272727272727275,,,,24.666666666666668,,-1,7.083333333333333
37,,-1,,,,,,,,20.0,13.0,5.0588235294117645,18.75,,,,,-1,4.3
38,,6.4,-1,,65.0,,,,10.0,4.833333333333333,2.5588235294117645,2.3513513513513513,,9.75,9.5,,4.333333333333333,-1,1.891304347826087
39,,21.0,,,,,,,,21.75,,8.4,11.0,,3.0,-1,,,5.117647058823529
40,,15.0,29.0,1.0,,22.0,,,,2.5,4.785714285714286,4.052631578947368,12.8,-1,9.333333333333334,,-1,20.0,2.138888888888889
41,,22.5,,,,,,,,7.0,39.0,2.588235294117647,,-1,-1,,,,2.588235294117647
42,,19.0,,,,,-1,,,7.0,4.0,3.4,,14.5,8.0,,16.25,-1,2.5
43,,-1,,,,,,,,11.666666666666666,4.368421052631579,3.32,,10.5,-1,,7.8,,3.1923076923076925
44,-1,,1.0,,,,,,,7.0,4.0,3.8260869565217392,,,56.0,,,,3.0689655172413794
45,,62.0,-1,,,,,,,46.0,-1,4.631578947368421,4.117647058823529,,2.0,-1,,,2.588235294117647
46,26.0,40.0,,,,-1,,,,28.5,,3.142857142857143,16.0,,,7.0,,,2.6666666666666665
47,,10.0,-1,,2.5,,,-1,15.666666666666666,6.0,3.230769230769231,2.9310344827586206,,14.333333333333334,-1,,10.6,,2.4285714285714284
48,,15.4,-1,,,-1,,,,12.142857142857142,,4.0,10.625,,10.333333333333334,40.0,,28.0,2.696969696969697
49,33.0,19.75,-1,,,,,,,6.25,-1,3.9523809523809526,8.5,,,10.0,,-1,2.5757575757575757
50,-1,5.0,12.166666666666666,,,1.0,-1,14.0,25.0,7.7272727272727275,22.5,2.073170731707317,13.0,,6.5,-1,-1,-1,1.8085106382978724
51,,7.857142857142857,,11.0,-1,,,8.0,26.333333333333332,5.714285714285714,2.2,1.5892857142857142,20.0,6.416666666666667,14.0,,14.333333333333334,35.0,1.4833333333333334
52,,33.0,,,,16.25,,,,8.0,4.666666666666667,3.142857142857143,23.5,,7.2727272727272725,-1,,,2.3783783783783785
53,,-1,33.0,13.75,,-1,,,,-1,10.75,2.933333333333333,,,,,,,2.5142857142857142
54,,17.0,-1,,,,,,,6.666666666666667,,4.444444444444445,16.25,,,,-1,,3.6363636363636362
55,,18.333333333333332,,,-1,,,,,9.714285714285714,2.1707317073170733,4.0625,,22.666666666666668,-1,,13.0,,2.022727272727273
