,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가,총 평균 구매주기
1,130.0,25.392857142857142,29.476190476190474,53.76923076923077,,94.66666666666667,,,92.0,11.629032258064516,25.90909090909091,4.450617283950617,17.075,-1,8.373493975903614,28.95,60.0,37.588235294117645,3.121212121212121
2,43.666666666666664,10.173913043478262,106.75,28.08695652173913,113.0,47.0,,,70.0,10.529411764705882,126.5,3.723076923076923,9.573333333333334,11.333333333333334,18.28205128205128,28.818181818181817,,44.25,2.5473684210526315
3,,7.56989247311828,,,357.0,,,,,43.57142857142857,1.962059620596206,4.414634146341464,,23.0,-1,,25.0,,1.8329113924050633
4,,17.526315789473685,154.75,50.5,426.0,82.0,,-1,,22.275862068965516,13.433962264150944,3.1746724890829694,34.06666666666667,58.416666666666664,15.727272727272727,86.5,204.0,133.4,2.806949806949807
6,132.25,23.074074074074073,98.83333333333333,-1,277.0,,,121.0,,12.379310344827585,3.0502092050209204,1.9917127071823204,13.339622641509434,12.649122807017545,12.464285714285714,67.2,21.580645161290324,135.0,1.6455981941309255
7,61.125,36.22222222222222,42.0,95.66666666666667,-1,76.125,,98.25,7.0,13.444444444444445,25.384615384615383,3.4245283018867925,19.482758620689655,83.5,14.4,76.0,60.5,118.25,2.4395973154362416
8,73.0,16.846153846153847,116.66666666666667,92.5,,53.916666666666664,,-1,42.0,3.5445544554455446,125.66666666666667,2.180722891566265,15.777777777777779,,28.19047619047619,90.83333333333333,-1,187.5,1.9701086956521738
9,43.54545454545455,37.88235294117647,59.8,87.6,,27.91304347826087,,,,21.0,41.53333333333333,6.232758620689655,7.438202247191011,,5.189781021897811,42.36363636363637,,,2.484641638225256
10,-1,48.333333333333336,35.0,,52.8,125.0,,,85.0,11.390625,1.739856801909308,1.506198347107438,43.07142857142857,73.0,45.23076923076923,1.0,29.25,65.5,1.3780718336483933
11,88.375,39.470588235294116,74.77777777777777,269.0,-1,48.61538461538461,,,54.15384615384615,13.788461538461538,52.666666666666664,5.635658914728682,13.76923076923077,,28.64,54.63636363636363,-1,191.5,3.7864583333333335
12,,150.25,,,-1,,,,,39.125,4.885135135135135,4.641025641025641,117.25,58.5,112.8,,56.7,181.0,2.83203125
13,-1,23.925925925925927,85.0,,301.0,-1,,81.0,,8.686746987951807,2.4233333333333333,1.8618925831202047,46.45454545454545,15.658536585365853,72.42857142857143,-1,33.35,93.0,1.7584541062801933
14,59.0,16.6046511627907,67.55555555555556,27.681818181818183,132.0,60.0,,-1,28.0,10.898305084745763,6.035398230088496,2.372549019607843,23.62962962962963,55.2,12.196078431372548,159.0,60.0,225.0,1.8762886597938144
15,,30.26086956521739,51.333333333333336,-1,-1,67.9,,-1,,13.425925925925926,4.66887417218543,1.9782608695652173,24.821428571428573,34.0,18.605263157894736,133.66666666666666,47.666666666666664,166.0,1.5860566448801743
16,-1,40.529411764705884,,432.0,,,-1,,121.0,7.912087912087912,30.88888888888889,3.9945054945054945,59.6,146.0,76.83333333333333,130.0,,48.0,3.4131455399061035
17,78.25,19.257142857142856,22.59259259259259,,,,,,,10.376811594202898,19.416666666666668,4.375757575757576,35.05263157894737,318.0,31.80952380952381,58.5,164.0,97.42857142857143,2.888
18,-1,17.4390243902439,19.857142857142858,44.0,-1,118.6,,-1,-1,11.704918032786885,43.23076923076923,5.135714285714286,12.407407407407407,,15.88888888888889,24.5,-1,73.8,3.4312796208530805
19,227.5,20.166666666666668,361.0,93.5,,7.0,,,,15.977777777777778,99.5,5.260869565217392,18.64864864864865,-1,65.44444444444444,98.33333333333333,,234.66666666666666,4.714285714285714
20,-1,11.047619047619047,9.0,71.0,,89.0,,,-1,4.80794701986755,179.0,2.896414342629482,53.92307692307692,140.0,45.0,,,147.0,2.550877192982456
21,,98.14285714285714,342.0,-1,50.833333333333336,-1,82.75,31.85,24.79310344827586,6.780952380952381,2.587188612099644,2.0138121546961325,-1,18.64864864864865,83.125,,38.0,200.0,1.8644501278772379
22,45.0,205.0,190.5,5.0,,,,,,34.22222222222222,,2.8171206225680936,29.217391304347824,,,122.0,,,2.558303886925795
23,60.22222222222222,51.76923076923077,31.27777777777778,16.024390243902438,,40.42857142857143,,2.0,,12.727272727272727,20.058823529411764,4.3924050632911396,23.3,,38.666666666666664,145.0,134.0,80.85714285714286,3.611111111111111
24,-1,74.28571428571429,76.0,,26.48,69.0,,,-1,34.523809523809526,4.958041958041958,3.365740740740741,,16.615384615384617,196.33333333333334,,70.25,166.75,2.7406015037593985
25,79.125,18.384615384615383,38.266666666666666,210.0,489.0,118.5,,,,56.083333333333336,46.06666666666667,5.385185185185185,24.178571428571427,86.0,12.157894736842104,-1,,,4.06145251396648
26,23.285714285714285,12.456140350877194,42.27272727272727,33.1764705882353,,26.40740740740741,,,110.83333333333333,10.537313432835822,29.869565217391305,4.763513513513513,19.52777777777778,84.5,9.68918918918919,27.26086956521739,,105.2,2.7376425855513307
27,88.83333333333333,10.0,66.625,220.5,,86.2,,,16.0,8.614457831325302,172.0,3.9395604395604398,19.583333333333332,-1,38.4375,-1,-1,,3.526829268292683
28,,84.5,-1,,,,,-1,,9.445945945945946,2.923694779116466,2.2577639751552794,62.0,19.56756756756757,-1,,63.333333333333336,106.33333333333333,1.9675675675675677
29,35.18181818181818,34.95,26.90909090909091,13.461538461538462,,14.680851063829786,,,49.166666666666664,20.1875,12.226415094339623,6.464285714285714,14.019607843137255,38.11764705882353,8.518072289156626,33.705882352941174,71.0,134.75,2.828125
30,88.6,9.246575342465754,78.44444444444444,4.0,244.5,111.0,,,,12.203389830508474,7.6,2.5314685314685317,6.75,72.66666666666667,32.65,49.6,10.890625,115.8,2.343042071197411
31,,8.654320987654321,72.875,-1,,357.0,,,25.14814814814815,6.5504587155963305,13.0,3.1946902654867255,56.333333333333336,,23.642857142857142,101.0,,303.0,2.8171206225680936
32,,127.5,107.4,-1,43.4,151.0,,-1,68.33333333333333,7.0,5.034722222222222,1.4263261296660117,,16.975609756097562,108.33333333333333,-1,54.3,-1,1.315217391304348
33,,85.8,-1,,-1,,,,,10.878787878787879,2.6035714285714286,2.3142857142857145,-1,19.7027027027027,275.0,,52.92307692307692,-1,2.059322033898305
34,,9.849315068493151,145.0,,,-1,,,,9.337662337662337,1.0,3.2142857142857144,2.0,,40.15384615384615,54.8,,206.66666666666666,2.926829268292683
35,20.6,22.483870967741936,19.78125,566.0,55.333333333333336,93.33333333333333,,,,8.36046511627907,18.17948717948718,4.279761904761905,42.294117647058826,70.1,20.2,123.66666666666667,103.0,429.0,4.016759776536313
36,-1,23.387096774193548,133.66666666666666,-1,,108.4,,-1,104.8,7.25,62.3,4.2823529411764705,29.833333333333332,,38.166666666666664,42.86666666666667,-1,46.285714285714285,3.7333333333333334
37,-1,23.53846153846154,47.27272727272727,50.09090909090909,-1,,,,170.0,9.86111111111111,66.4,3.1565217391304348,13.941176470588236,,123.0,-1,56.0,143.75,2.9392712550607287
38,473.0,12.473684210526315,104.66666666666667,,78.83333333333333,-1,-1,35.64705882352941,26.296296296296298,4.406060606060606,2.1636904761904763,2.03072625698324,97.25,14.04,28.0,51.375,14.72340425531915,116.5,1.6674311926605505
39,-1,29.636363636363637,42.333333333333336,,,,,,-1,19.86111111111111,550.0,3.551219512195122,13.203703703703704,,91.57142857142857,308.0,,71.0,2.900398406374502
40,14.0,20.0,75.625,37.86666666666667,-1,40.3125,,,41.0,10.714285714285714,8.621951219512194,4.192982456140351,24.642857142857142,57.6,17.076923076923077,29.19047619047619,66.7,51.18181818181818,2.5246478873239435
41,172.5,58.0,91.0,7.0,,108.5,,,,24.73076923076923,18.125,2.659340659340659,56.0,97.0,154.33333333333334,-1,-1,-1,2.477815699658703
42,,60.72727272727273,124.0,,153.66666666666666,-1,-1,54.4,,7.651685393258427,2.951219512195122,2.3440514469453375,207.0,8.658227848101266,70.11111111111111,,24.14814814814815,-1,2.071022727272727
43,,221.66666666666666,,,-1,,,222.0,,16.318181818181817,3.8306878306878307,3.1615720524017465,,21.636363636363637,92.0,,21.03030303030303,-1,2.6137184115523464
44,33.142857142857146,39.84615384615385,72.8,-1,-1,61.0,,,,9.875,8.125,2.2158054711246202,106.33333333333333,92.8,13.50943396226415,54.0,80.33333333333333,,1.8270676691729324
45,62.714285714285715,38.27777777777778,125.66666666666667,151.33333333333334,,58.625,-1,-1,41.0,33.857142857142854,26.416666666666668,3.4178403755868545,7.089108910891089,68.375,22.77777777777778,140.0,69.28571428571429,14.0,2.484641638225256
46,44.5625,37.73684210526316,109.0,186.5,,44.6,,,,15.909090909090908,119.0,2.789272030651341,21.333333333333332,,28.5,57.666666666666664,,,2.1927710843373496
47,-1,33.6,149.5,-1,49.76923076923077,158.75,-1,83.14285714285714,62.81818181818182,8.333333333333334,3.8157894736842106,3.2556053811659194,62.857142857142854,27.384615384615383,78.875,248.5,28.47826086956522,256.0,2.813953488372093
48,32.0,9.847222222222221,48.07142857142857,-1,-1,115.66666666666667,,-1,-1,16.511627906976745,29.647058823529413,4.097142857142857,11.387096774193548,-1,23.321428571428573,40.76470588235294,129.25,71.875,2.689138576779026
49,45.57142857142857,18.025,92.42857142857143,47.5,,-1,,,223.0,9.407894736842104,-1,3.7864583333333335,9.824324324324325,,42.0,36.6875,,272.0,2.7471698113207546
50,410.0,6.7924528301886795,57.27272727272727,,185.66666666666666,30.347826086956523,527.0,85.625,14.638297872340425,6.398230088495575,7.818181818181818,2.0195530726256985,49.15384615384615,32.15384615384615,39.0,116.33333333333333,157.0,97.71428571428571,1.7548543689320388
51,,15.58695652173913,97.5,172.66666666666666,-1,84.0,,36.666666666666664,24.40740740740741,6.260869565217392,4.925675675675675,2.4381270903010033,37.93333333333333,15.478260869565217,55.46153846153846,32.0,16.5,97.0,2.025
52,91.8,14.46938775510204,29.0,,119.5,38.142857142857146,,,81.25,14.386363636363637,39.75,2.1831831831831834,23.275862068965516,-1,12.434782608695652,69.0,-1,108.0,1.9031413612565444
53,125.0,78.75,157.66666666666666,15.8,-1,112.83333333333333,,,,30.818181818181817,11.616666666666667,2.5224913494809686,47.666666666666664,,57.8,35.0,82.0,-1,2.1441176470588235
54,-1,14.708333333333334,162.0,,,,,,,7.977528089887641,-1,3.004166666666667,37.63157894736842,,77.0,,-1,,2.794573643410853
55,,30.818181818181817,-1,,162.33333333333334,-1,,,,12.75,2.618705035971223,4.8533333333333335,,15.619047619047619,115.0,,22.714285714285715,,2.1538461538461537
56,39.27777777777778,21.87878787878788,152.25,52.0,,-1,,,29.291666666666668,15.608695652173912,169.0,3.4339622641509435,13.038461538461538,-1,22.677419354838708,69.8,-1,89.25,2.696296296296296
57,-1,42.8125,,,86.66666666666667,,,-1,,18.307692307692307,1.878238341968912,3.236607142857143,,23.896551724137932,-1,,22.466666666666665,,1.8308080808080809
58,31.40909090909091,21.0625,-1,-1,,58.888888888888886,,,40.642857142857146,7.02970297029703,,4.611464968152866,73.25,,11.64516129032258,333.0,,119.0,2.712686567164179
59,141.0,126.75,68.6,,,,,,,17.8,45.285714285714285,2.4659863945578233,21.84375,59.0,56.666666666666664,88.0,65.0,323.5,2.3680781758957656
60,,32.94736842105263,-1,,57.833333333333336,68.625,,66.4,107.83333333333333,8.168539325842696,3.6616161616161618,2.1420118343195265,32.11764705882353,24.06896551724138,30.3,127.5,55.666666666666664,-1,1.6621004566210045
61,103.5,43.333333333333336,111.33333333333333,,59.333333333333336,341.0,-1,-1,-1,7.637362637362638,4.605263157894737,3.038135593220339,25.807692307692307,22.40625,11.94915254237288,77.0,38.23529411764706,45.4,2.7683397683397684
62,63.5,31.636363636363637,159.5,53.714285714285715,,25.84,117.5,-1,25.666666666666668,16.162790697674417,10.191176470588236,2.9659574468085106,189.66666666666666,65.9,42.53333333333333,18.0,69.375,126.25,2.454225352112676
63,,15.27659574468085,168.66666666666666,,-1,-1,,,,7.977777777777778,,2.7701149425287355,55.0,,140.0,,,,2.295238095238095
64,,190.33333333333334,-1,,,,,163.0,-1,54.583333333333336,5.090909090909091,2.4347826086956523,,49.714285714285715,37.75,,194.33333333333334,79.0,2.243076923076923
65,144.33333333333334,31.142857142857142,,-1,-1,87.375,,365.0,1.0,9.168831168831169,17.875,3.1777777777777776,40.733333333333334,45.416666666666664,54.07692307692308,53.84615384615385,60.18181818181818,31.40909090909091,2.619047619047619
66,,63.77777777777778,-1,,66.66666666666667,159.0,,84.0,,7.224489795918367,2.9262295081967213,2.121301775147929,100.5,60.27272727272727,23.310344827586206,33.6,32.333333333333336,6.0,1.988950276243094
67,,70.0,-1,,-1,,,-1,,12.51923076923077,2.590747330960854,2.150442477876106,177.5,16.27906976744186,31.428571428571427,,69.42857142857143,113.5,2.047752808988764
68,69.3,86.83333333333333,2.101156069364162,35.0,,1.0,144.5,142.0,37.666666666666664,7.5625,12.767857142857142,5.5,24.375,126.0,15.772727272727273,58.0,143.5,55.1,1.6177777777777778
