CUSTNO,D-Recency,Frequancy,Monetary,Recency
1,3,386,32637747,20150329
2,1,277,25562400,20150331
3,1,232,673676,20150331
4,2,209,3560392,20150330
6,1,424,6570050,20150331
7,3,204,25356608,20150329
8,2,458,18245590,20150330
9,2,188,77319790,20150330
10,1,913,4846583,20150331
11,1,194,15672180,20150331
12,5,109,635336,20150327
13,2,833,5000786,20150330
14,2,337,9365988,20150330
15,1,244,4439523,20150331
16,1,213,4149115,20150331
17,1,171,18965770,20150331
18,9,94,2621590,20150323
19,1,148,10012100,20150331
20,1,299,5579390,20150331
21,1,462,5541733,20150331
22,3,153,59128810,20150329
23,1,304,33593097,20150331
24,1,227,2990427,20150331
25,2,166,13699081,20150330
26,4,172,60026080,20150328
27,1,134,11300640,20150331
28,33,294,1890625,20150227
29,2,242,19500611,20150330
30,4,557,28135708,20150328
31,3,247,4249000,20150329
32,1,393,4593187,20150331
33,1,540,2311316,20150331
34,3,299,4228320,20150329
35,6,180,8872300,20150326
36,2,167,7971095,20150330
37,5,343,24159800,20150327
38,1,728,5748196,20150331
39,1,162,23752050,20150331
40,1,227,6494619,20150331
41,1,182,5926590,20150331
42,2,545,3683584,20150330
43,1,241,2834031,20150331
44,2,225,57559500,20150330
45,2,226,74791298,20150330
46,1,159,48399870,20150331
47,1,412,4043340,20150331
48,8,165,21681690,20150324
49,1,159,18487830,20150331
50,2,433,6130140,20150330
51,1,439,7033596,20150331
52,2,374,9215610,20150330
53,2,193,21476730,20150330
54,5,159,2569480,20150327
55,1,252,2205829,20150331
56,2,203,31733870,20150330
57,3,396,3473649,20150329
58,3,167,7809700,20150329
59,3,240,5465919,20150329
60,1,377,6813055,20150331
61,2,406,4921722,20150330
62,1,266,5226226,20150331
63,4,130,1692090,20150328
64,1,252,1210736,20150331
65,3,257,5246295,20150329
66,1,575,4691770,20150331
67,1,503,2992935,20150331
68,1,323,73999152,20150331
69,2,924,3707318,20150330
70,4,197,7241480,20150328
71,2,275,1359634,20150330
72,1,267,2454148,20150331
73,1,148,65079110,20150331
74,2,178,6587920,20150330
75,2,247,1358900,20150330
76,1,214,3085788,20150331
77,2,248,8131385,20150330
78,2,279,21911640,20150330
79,14,483,3682580,20150318
80,2,425,2773686,20150330
81,3,207,12761018,20150329
82,2,350,23096000,20150330
83,1,282,24120050,20150331
84,10,112,29576280,20150322
85,3,236,3967440,20150329
86,3,648,11311948,20150329
87,9,132,11462530,20150323
88,1,445,16099332,20150331
89,2,462,4213395,20150330
90,10,141,28956730,20150322
91,5,236,5065250,20150327
92,4,416,14523084,20150328
93,4,129,27262010,20150328
94,1,408,15715190,20150331
95,1,294,2426002,20150331
96,3,176,5928840,20150329
97,1,443,253567079,20150331
98,6,161,7410727,20150326
99,2,297,60534185,20150330
100,7,235,12035870,20150325
101,1,218,1849755,20150331
102,1,771,25129113,20150331
103,2,182,994154,20150330
104,3,474,4203434,20150329
105,7,576,5564302,20150325
106,1,222,13372730,20150331
107,1,216,42514780,20150331
108,1,237,3002090,20150331
109,1,359,1888515,20150331
110,1,376,7851170,20150331
111,2,354,1179407,20150330
112,1,224,16776494,20150331
113,1,448,33088983,20150331
114,1,176,5931572,20150331
115,1,129,24674310,20150331
116,1,428,1780765,20150331
117,2,347,10563094,20150330
118,5,222,40123090,20150327
119,1,296,23680830,20150331
120,1,274,57542466,20150331
121,2,269,7099716,20150330
122,4,293,10235910,20150328
123,2,411,2890004,20150330
124,5,136,5982850,20150327
125,4,214,3098030,20150328
126,1,385,20573766,20150331
127,2,168,1664970,20150330
128,1,170,1349039,20150331
129,1,243,1722088,20150331
130,12,322,13030482,20150320
131,3,385,5709496,20150329
132,1,794,4796325,20150331
133,3,258,5619850,20150329
134,1,279,22796180,20150331
135,1,196,1920398,20150331
136,3,127,4957900,20150329
137,1,285,23019827,20150331
138,6,241,15853590,20150326
139,1,346,14176880,20150331
140,8,244,55928946,20150324
141,2,290,1195280,20150330
143,3,374,1586854,20150329
144,1,2020,20375953,20150331
145,7,222,48724432,20150325
146,5,131,33263490,20150327
147,2,400,36629395,20150330
148,1,387,1414075,20150331
149,3,198,6550760,20150329
150,2,467,5612484,20150330
151,2,300,11377582,20150330
152,5,208,7894782,20150327
153,1,249,5001128,20150331
154,1,108,2717680,20150331
155,8,275,12290451,20150324
156,3,321,49314060,20150329
157,7,226,2957151,20150325
158,8,358,2853342,20150324
159,7,183,50261453,20150325
160,1,399,5036749,20150331
161,3,198,60709885,20150329
162,1,294,28756880,20150331
163,1,371,2565579,20150331
164,1,200,19046910,20150331
165,1,157,15709301,20150331
166,3,360,9442156,20150329
167,2,246,19154280,20150330
168,10,288,18154255,20150322
169,2,148,940668,20150330
170,1,392,2831949,20150331
171,8,165,9015905,20150324
172,1,374,5404178,20150331
173,2,500,2343169,20150330
175,1,1263,8218263,20150331
176,1,344,1871278,20150331
177,10,157,27036805,20150322
178,2,485,6367183,20150330
179,5,385,13990028,20150327
180,2,148,20766090,20150330
181,1,234,19222140,20150331
