CUSTNO,D-Recency,Frequancy,Monetary,Recency
1,9,213,16401960,20150922
2,2,242,23152730,20150929
3,9,272,733987,20150922
4,1,259,4046757,20150930
6,1,388,6287915,20150930
7,3,192,15208254,20150928
8,1,536,15225850,20150930
9,6,200,51715960,20150925
10,2,903,4567759,20150929
11,1,159,34067890,20150930
12,1,157,3147996,20150930
13,1,855,5224291,20150930
14,5,292,8416261,20150926
15,1,280,7007533,20150930
16,1,164,2592160,20150930
17,2,352,40570307,20150929
18,3,110,2519255,20150928
19,8,142,14273100,20150923
20,3,190,5274700,20150928
21,1,680,6889502,20150930
22,1,102,10134250,20150930
23,15,112,15580500,20150916
24,2,204,2612763,20150929
25,8,152,10139840,20150923
26,3,353,15330156,20150928
27,2,201,20429390,20150929
28,5,389,3233200,20150926
29,2,256,18988615,20150929
30,2,595,29114436,20150929
31,2,296,3202430,20150929
32,1,367,4909211,20150930
33,3,708,2829395,20150928
34,2,144,3465680,20150929
35,11,349,12029442,20150920
36,2,270,13959390,20150929
37,3,272,15964130,20150928
38,1,689,6106848,20150930
39,8,158,44564038,20150923
40,1,195,8270480,20150930
41,6,245,3716910,20150925
42,3,688,4105536,20150928
43,5,415,1774788,20150926
44,1,244,11163354,20150930
45,1,201,68393400,20150930
46,1,200,18930130,20150930
47,11,281,2806819,20150920
48,2,199,19429590,20150929
49,1,173,31802070,20150930
50,1,474,5348385,20150930
51,6,309,3173623,20150925
52,1,334,9818090,20150930
53,1,171,7076855,20150930
54,1,204,2093140,20150930
55,3,266,1859258,20150928
56,1,201,17815213,20150930
57,1,529,1929800,20150930
58,1,153,4914580,20150930
59,6,207,6740240,20150925
60,1,438,8692304,20150930
61,8,458,5674034,20150923
62,3,210,4491589,20150928
63,1,171,1910870,20150930
64,9,77,356089,20150922
65,6,189,4009762,20150925
66,1,559,4559178,20150930
67,1,618,3005875,20150930
68,5,370,34987671,20150926
69,1,1074,4289915,20150930
70,1,30,4548770,20150930
71,2,312,1233488,20150929
72,6,331,2382582,20150925
73,1,123,46119100,20150930
74,6,164,2848150,20150925
75,1,208,1126580,20150930
76,1,256,3353292,20150930
77,1,283,7447440,20150930
78,6,311,33417411,20150925
79,2,624,4577025,20150929
80,1,442,2839573,20150930
81,1,238,28936970,20150930
82,1,275,46354980,20150930
83,15,299,43348390,20150916
84,8,125,12485030,20150923
85,1,301,5137130,20150930
86,7,680,9514147,20150924
87,3,145,7198862,20150928
88,2,322,8987283,20150929
89,2,609,3419556,20150929
90,1,148,12232490,20150930
91,1,243,4783062,20150930
92,3,459,15775114,20150928
93,1,255,34845230,20150930
94,1,362,17478316,20150930
95,2,369,1944359,20150929
96,6,146,4705080,20150925
97,1,488,247684699,20150930
98,1,162,4700274,20150930
99,3,377,69356082,20150928
100,3,159,3142639,20150928
101,1,230,1665694,20150930
102,5,595,17969424,20150926
103,5,248,1250328,20150926
104,1,792,4063938,20150930
105,1,541,5291583,20150930
106,2,179,18293539,20150929
107,8,225,26350914,20150923
108,2,317,4513040,20150929
109,1,329,1624615,20150930
110,1,344,6088817,20150930
111,2,449,1362215,20150929
112,1,335,26440105,20150930
113,1,428,20326837,20150930
114,1,218,5420690,20150930
115,1,158,13170711,20150930
116,1,411,1980382,20150930
117,1,357,8187004,20150930
118,1,145,23813090,20150930
119,2,230,16879708,20150929
120,1,325,53857642,20150930
121,1,266,3670991,20150930
122,1,342,14262118,20150930
123,5,426,2606345,20150926
124,8,183,10552130,20150923
125,8,131,3367410,20150923
126,2,528,7476396,20150929
127,3,186,1110730,20150928
128,2,302,2393825,20150929
129,1,294,2135076,20150930
130,9,211,6329287,20150922
131,1,579,9422102,20150930
132,7,150,1851793,20150924
133,1,342,6401301,20150930
134,1,229,33936540,20150930
135,1,177,3133060,20150930
136,8,99,4604190,20150923
137,1,363,26889197,20150930
138,1,345,10107192,20150930
139,1,417,9151283,20150930
140,3,205,73555700,20150928
141,1,424,1918738,20150930
143,2,475,2459377,20150929
144,8,408,10153218,20150923
145,2,256,37221156,20150929
146,1,111,17857340,20150930
147,1,520,16025740,20150930
148,1,379,1599911,20150930
149,1,221,6604716,20150930
150,6,442,5676428,20150925
151,6,329,20442940,20150925
152,8,141,10129440,20150923
153,1,308,2236357,20150930
154,1,223,22414470,20150930
155,3,232,15599700,20150928
156,2,307,38835630,20150929
157,1,273,3595800,20150930
158,1,307,3697133,20150930
159,6,151,27090797,20150925
160,1,368,5584035,20150930
161,6,166,23160182,20150925
162,2,244,14373740,20150929
163,2,363,3305563,20150929
164,1,381,36023669,20150930
165,1,99,2923099,20150930
166,6,222,7369026,20150925
167,2,231,11268990,20150929
168,8,279,24099471,20150923
169,1,372,3077270,20150930
170,2,551,4091814,20150929
171,1,299,9163185,20150930
172,6,373,6382358,20150925
173,1,565,3817470,20150930
175,2,1349,10835738,20150929
176,5,366,2106022,20150926
177,3,152,15996886,20150928
178,1,650,4680654,20150930
179,1,385,11758798,20150930
180,6,180,10505400,20150925
181,6,305,20485450,20150925
182,2,436,26749581,20150929
183,2,564,2760527,20150929
184,3,124,3977294,20150928
185,5,444,3591617,20150926
186,3,503,14341525,20150928
187,2,211,4795339,20150929
188,5,884,3840173,20150926
189,7,412,16777610,20150924
190,6,315,11017220,20150925
191,2,145,23308180,20150929
192,1,361,10197150,20150930
193,1,389,2823811,20150930
194,1,635,4012804,20150930
195,6,285,2515751,20150925
196,2,401,6429380,20150929
197,3,398,52546352,20150928
198,1,388,4377369,20150930
199,2,334,4504117,20150929
200,2,209,2493165,20150929
201,1,204,23450310,20150930
202,1,476,22651529,20150930
203,2,296,1777262,20150929
204,2,544,5647848,20150929
205,2,422,3785683,20150929
206,1,484,3485055,20150930
207,5,370,2266558,20150926
208,25,30,1928950,20150906
209,1,209,5474174,20150930
210,5,353,1760518,20150926
211,1,197,6739690,20150930
212,2,467,6344764,20150929
213,1,1257,16233245,20150930
214,2,247,6858362,20150929
215,1,493,4483060,20150930
216,2,347,2837344,20150929
217,1,202,4073010,20150930
218,1,243,53195169,20150930
219,1,343,12824112,20150930
220,1,606,6260821,20150930
221,1,327,2357943,20150930
222,3,327,22401060,20150928
223,3,209,75123860,20150928
224,3,115,26462420,20150928
225,2,150,41029860,20150929
226,2,232,3583377,20150929
227,1,389,1162642,20150930
228,2,614,3991165,20150929
229,1,265,25235320,20150930
230,3,279,4486750,20150928
231,1,472,2112477,20150930
232,1,477,2494320,20150930
233,2,425,7457055,20150929
234,1,258,16142132,20150930
235,6,341,12208507,20150925
236,1,510,2424322,20150930
237,5,370,13663983,20150926
238,1,231,3978140,20150930
239,1,270,41019150,20150930
240,1,164,3302510,20150930
241,3,290,19042290,20150928
242,3,431,3142313,20150928
243,1,290,2336381,20150930
245,5,746,6046464,20150926
246,7,227,20162110,20150924
247,5,478,4618317,20150926
248,2,544,8366879,20150929
249,1,209,34168280,20150930
250,1,304,40227933,20150930
251,7,223,11603655,20150924
252,3,132,2134100,20150928
253,12,126,17479230,20150919
254,1,167,28075930,20150930
255,2,223,23966573,20150929
256,1,458,35609527,20150930
257,5,684,3519129,20150926
258,6,280,126789980,20150925
259,1,667,6487369,20150930
260,1,296,2154774,20150930
261,15,156,6570890,20150916
262,1,426,10857690,20150930
263,1,308,1879597,20150930
264,5,586,2431889,20150926
265,14,183,43667221,20150917
266,6,293,11621446,20150925
267,12,132,7495220,20150919
268,6,373,6570029,20150925
269,1,1301,15070168,20150930
270,1,433,2527650,20150930
271,6,147,9236380,20150925
272,1,509,8320196,20150930
273,3,340,17140422,20150928
274,3,416,2029542,20150928
275,1,743,14684669,20150930
276,1,777,2521253,20150930
277,2,408,6001329,20150929
278,1,441,1073765,20150930
279,2,134,7125370,20150929
280,1,192,14132304,20150930
281,3,424,38240528,20150928
282,5,202,10751958,20150926
283,13,203,31793870,20150918
284,1,182,851180,20150930
285,2,242,1685580,20150929
286,3,283,8803950,20150928
287,1,288,2799683,20150930
288,1,604,8999245,20150930
289,11,237,3923210,20150920
290,3,489,3171217,20150928
291,6,594,3532155,20150925
292,1,367,17704933,20150930
293,5,318,5641311,20150926
294,1,146,18661800,20150930
295,6,181,8891320,20150925
296,2,481,19981101,20150929
297,2,264,13387660,20150929
298,12,332,37672133,20150919
299,1,212,2849926,20150930
300,5,547,5855030,20150926
301,7,147,6965040,20150924
302,2,282,8361656,20150929
303,1,628,4125564,20150930
304,1,180,75370016,20150930
305,1,482,33962850,20150930
306,2,249,17047220,20150929
307,9,266,10805342,20150922
308,2,205,3161133,20150929
309,3,198,18555608,20150928
310,1,506,5694296,20150930
311,3,217,8718156,20150928
312,6,382,3238028,20150925
313,1,290,12271108,20150930
314,1,295,12617700,20150930
315,1,443,61064298,20150930
316,1,332,17501567,20150930
317,3,405,9538653,20150928
318,1,205,6362700,20150930
319,6,134,12054110,20150925
320,3,282,6531228,20150928
321,3,410,12117642,20150928
322,1,507,8234409,20150930
323,1,342,16609233,20150930
324,2,345,23999512,20150929
325,1,178,7231509,20150930
326,2,374,7985368,20150929
327,2,180,14277020,20150929
328,8,118,8400260,20150923
329,3,376,10267780,20150928
330,1,842,4258915,20150930
331,1,396,2648573,20150930
332,1,478,11213230,20150930
333,2,817,10077146,20150929
334,1,197,10999170,20150930
335,1,289,20802480,20150930
336,1,229,3972482,20150930
337,1,313,27595909,20150930
338,1,383,3939287,20150930
339,2,758,7722833,20150929
340,6,124,6195650,20150925
341,1,222,35335380,20150930
342,6,393,2558559,20150925
343,8,277,15154690,20150923
344,10,155,5257006,20150921
345,8,119,7805180,20150923
346,2,183,3009830,20150929
347,2,352,4103542,20150929
348,5,533,3245035,20150926
349,1,401,15307122,20150930
350,1,553,6225578,20150930
351,44,169,5975060,20150818
352,13,178,51067690,20150918
353,6,362,3141789,20150925
354,1,352,3463601,20150930
355,3,239,2850478,20150928
356,1,160,12063050,20150930
