CUSTNO,가구인테리어/잡화_고가_증감여부,가구인테리어/잡화_저가_증감여부,가구인테리어/잡화_중가_증감여부,가전/레저취미/멀티샵_고가_증감여부,가전/레저취미/멀티샵_저가_증감여부,가전/레저취미/멀티샵_중가_증감여부,교육문화/아동_고가_증감여부,교육문화/아동_저가_증감여부,교육문화/아동_중가_증감여부,식품/생활_고가_증감여부,식품/생활_저가_증감여부,식품/생활_중가_증감여부,의류/이미용_고가_증감여부,의류/이미용_저가_증감여부,의류/이미용_중가_증감여부,침구/주방_고가_증감여부,침구/주방_저가_증감여부,침구/주방_중가_증감여부
1,4,1,4,1,0,4,0,0,0,2,1,2,3,1,3,1,1,2
2,4,3,4,4,4,0,0,0,4,3,1,2,4,0,2,4,0,1
3,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0
4,0,2,0,0,0,2,0,0,0,4,1,4,2,1,3,1,1,1
6,0,4,0,0,0,0,0,0,0,3,3,3,2,1,2,4,2,3
7,1,4,1,4,0,2,0,1,0,3,4,2,2,4,4,2,4,4
8,4,3,1,3,0,3,0,0,0,2,0,4,2,0,4,1,0,1
9,4,1,4,4,0,3,0,0,0,1,4,2,3,0,2,4,0,0
10,0,4,0,0,1,0,0,0,0,2,2,3,4,3,4,0,2,4
11,1,1,0,1,0,1,0,0,1,1,4,3,2,0,1,1,0,4
12,0,1,0,0,0,0,0,0,0,1,2,4,0,4,0,0,4,1
13,0,2,4,0,0,1,0,4,0,1,2,3,1,4,3,0,2,4
14,2,4,2,4,0,4,0,0,0,2,1,2,3,1,4,4,3,4
15,0,2,4,0,0,2,0,0,0,2,2,1,3,4,4,1,4,0
16,0,4,0,0,0,0,0,0,0,3,4,3,2,4,1,4,0,1
17,0,1,2,0,0,0,0,0,0,1,4,1,3,0,1,2,0,1
18,0,1,4,0,0,4,0,4,0,2,0,4,3,0,0,0,0,4
19,0,2,0,1,0,0,0,0,0,3,1,2,2,0,4,4,0,4
20,4,4,0,4,0,4,0,0,0,3,0,3,0,0,4,0,0,1
21,0,4,0,0,0,1,1,2,1,2,3,2,4,4,1,0,2,0
22,3,0,1,4,0,0,0,0,0,2,0,3,2,0,0,1,0,0
23,1,3,3,2,0,1,0,1,0,1,1,4,2,0,1,4,1,1
24,0,1,0,0,3,1,0,0,0,4,1,1,0,2,0,0,1,0
25,3,3,4,0,0,4,0,0,0,4,1,3,3,4,4,0,0,0
26,2,3,4,3,0,4,0,0,1,2,1,3,1,3,2,1,0,1
27,4,1,0,1,0,1,0,0,0,4,1,2,4,0,1,0,1,0
28,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1
29,3,3,2,1,0,4,0,0,4,1,3,3,2,4,4,2,3,2
30,1,2,2,0,0,4,0,0,0,3,1,2,2,1,1,3,3,1
31,0,2,1,0,0,4,0,0,2,3,0,3,1,0,2,1,0,1
32,0,4,0,0,3,3,0,0,0,2,4,2,0,3,0,0,4,0
33,0,1,0,0,0,0,0,0,0,2,3,3,0,4,0,0,1,0
34,0,3,4,0,0,0,0,0,0,1,0,2,0,0,1,4,0,4
35,0,2,3,0,1,4,0,0,0,3,4,4,4,4,3,4,0,0
36,0,1,1,0,0,3,0,0,0,3,1,3,1,0,1,0,0,1
37,0,3,1,1,0,0,0,0,1,1,0,2,2,0,1,0,0,1
38,0,2,4,0,4,0,4,2,2,2,3,1,4,3,4,2,4,4
39,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0
40,0,2,2,4,0,4,0,0,0,2,4,2,4,4,3,3,3,4
41,4,1,1,0,0,4,0,0,0,1,4,3,1,4,0,1,0,0
42,0,4,4,0,0,0,0,4,0,2,4,3,4,4,0,0,4,0
43,0,0,0,0,0,0,0,4,0,2,4,1,0,3,1,0,2,0
44,1,3,4,0,0,2,0,0,0,1,3,2,1,0,4,1,1,0
45,1,1,2,4,0,3,4,1,0,3,1,2,2,1,1,0,4,0
46,4,1,4,4,0,1,0,0,0,1,1,2,2,0,1,3,0,0
47,0,4,4,0,2,4,0,1,2,2,4,2,4,1,0,1,4,1
48,4,3,1,0,0,4,0,0,4,3,1,1,3,0,2,3,1,2
