CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭
1,0,0,-2,1,1,-2
2,2,-3,3,-3,3,-2
3,-1,-1,0,1,0,-1
4,-2,-1,2,0,0,-1
6,0,-1,1,-1,1,-1
7,3,0,-2,1,-2,3
8,1,0,-1,1,0,0
9,-1,0,2,-3,1,0
10,-1,0,1,-1,0,0
11,1,-3,0,3,-3,3
12,3,-2,0,2,0,-3
13,-1,1,-1,1,-1,0
14,-1,-1,3,-2,-1,1
15,-2,0,3,0,-3,1
16,2,-1,0,-2,1,1
17,-1,3,-3,3,-2,1
18,1,-1,3,-2,1,-1
19,-1,3,-3,3,-2,0
20,-1,0,2,-2,0,1
21,1,-1,1,0,-1,0
22,-3,3,-1,-2,0,3
23,-1,2,-3,1,1,-1
24,0,-1,0,0,1,-1
25,-1,-2,3,-2,-1,3
26,-2,3,-3,0,2,0
27,0,1,2,-2,2,-3
28,-3,3,-3,3,-1,-2
29,-1,0,1,-1,0,1
30,0,0,-1,2,-2,1
31,0,0,-1,0,1,-1
32,-1,-1,0,1,0,0
33,-1,0,1,0,0,-1
34,-3,3,-3,2,-1,0
35,0,-2,3,-1,-1,1
36,-3,2,-2,3,-2,-1
37,0,-1,-2,2,-2,2
38,1,-1,0,0,1,0
39,-1,3,-3,3,-3,1
40,-3,1,2,-3,3,-3
41,-2,3,-1,-2,1,1
42,-1,0,1,-1,0,1
43,-1,3,-3,2,-1,0
44,2,1,-3,0,3,0
45,3,0,-2,2,-3,3
46,0,3,0,-3,2,1
47,0,-2,2,-1,0,1
48,1,-3,3,-2,0,0
49,-1,-1,3,-3,3,-3
50,-1,0,0,0,1,0
51,0,2,-3,1,0,2
52,0,1,0,0,-2,1
53,-3,3,-3,2,-2,2
54,-1,1,-1,1,-1,1
55,2,-2,0,0,1,-2
56,-1,3,0,-2,-1,3
57,-1,1,1,-3,2,0
58,0,1,-1,0,1,1
59,-2,1,0,2,-2,1
60,-3,2,-1,2,-1,0
61,-1,2,-1,1,0,-1
62,-2,0,0,0,1,-1
63,-2,1,0,0,0,-2
64,0,1,-2,1,-1,3
65,1,-3,3,-2,-1,2
66,0,1,-1,1,-1,1
67,0,0,-1,0,1,0
68,1,0,1,-2,2,0
69,0,-1,0,1,0,0
70,3,-3,1,0,1,0
71,-1,0,1,-1,1,-1
72,2,-2,0,0,1,0
73,1,-2,3,-3,2,-1
74,-2,-1,2,-2,0,3
75,-1,1,-1,0,1,0
76,-1,1,-2,3,-2,1
77,-1,0,0,1,-1,2
78,1,-1,1,1,-3,1
79,1,0,-2,3,-1,-1
80,1,0,-1,1,-2,3
81,3,-3,2,1,-1,-2
82,2,-3,2,0,1,-2
83,0,-3,3,-1,1,-3
84,2,-2,3,-3,0,3
85,-1,2,-2,1,-1,1
86,-2,1,-1,0,1,0
87,0,3,-1,-2,3,-3
88,-2,1,0,-2,2,1
89,-2,0,1,-1,0,1
90,0,1,-3,2,1,-2
91,0,-1,1,-1,1,-1
92,1,0,-2,2,0,-1
93,2,-3,3,-1,-1,0
94,0,-1,-2,1,2,0
95,-2,3,-2,0,1,-1
96,-3,0,2,-2,3,-2
97,3,-3,3,-2,0,-1
98,1,-1,1,-2,2,-1
99,2,-3,1,2,-3,2
100,-2,1,-2,0,3,-3
101,2,0,0,-1,1,0
102,1,1,-2,3,-2,1
103,2,-3,2,-1,1,-1
104,0,0,-1,1,0,-1
105,0,-1,0,0,2,-2
106,-1,3,-3,3,-2,1
107,0,0,-1,0,-1,3
108,2,0,-1,2,-2,1
109,0,0,-1,2,0,0
110,1,-2,0,0,1,-2
111,2,-3,2,0,-1,1
112,2,-1,1,0,1,-1
113,0,2,-2,1,-2,2
114,-1,-2,2,0,-2,2
115,-1,-1,2,-2,-1,3
116,-1,0,1,0,-2,2
117,3,-3,0,2,-1,1
118,0,1,-3,1,1,-1
119,-3,2,0,-1,1,-2
120,-1,0,1,-1,1,-1
121,-1,3,0,-3,3,-1
122,-1,0,2,-1,-1,0
123,2,0,0,-1,0,1
124,2,-1,-1,3,-3,3
125,1,0,1,1,-3,3
126,2,1,-2,-1,0,3
127,0,-2,3,-3,2,1
128,2,-3,0,3,-1,-2
129,-2,1,-1,1,0,-1
130,0,0,1,-1,-1,2
131,-2,-1,2,0,0,-1
132,1,0,0,-2,0,3
133,0,-2,2,-1,1,0
134,1,0,2,-1,-1,0
135,-2,-1,1,1,0,-2
136,0,-2,-1,3,-3,3
137,-1,0,2,-2,2,-1
138,1,0,-1,1,-2,3
139,0,-1,-1,2,0,-1
140,3,-2,0,1,1,-3
141,-1,1,0,0,0,-1
143,1,0,-1,2,-2,0
144,0,-1,0,-1,3,-3
145,1,-1,-2,2,1,-2
146,0,1,1,-3,0,2
147,0,1,0,-2,0,3
148,1,-1,0,1,-1,1
149,2,-2,-1,3,-3,3
150,-3,3,-3,3,-3,0
151,-3,1,0,1,1,-3
152,2,-1,1,0,0,-2
153,1,1,-3,2,-2,2
154,0,1,0,2,0,-3
155,1,-3,2,-1,2,-3
156,1,-1,2,-2,-1,3
157,2,-2,0,1,0,0
158,1,-1,-2,3,-3,3
159,-3,3,0,-2,-1,3
160,0,0,1,0,-1,1
161,3,0,-3,1,-1,3
162,-3,3,-1,-1,0,1
163,-1,0,0,1,1,-3
164,1,1,-1,2,0,-3
165,-1,-1,1,-2,2,1
166,-2,1,-2,2,0,0
167,0,2,-3,2,1,-3
168,-1,1,-1,2,-3,3
169,1,-1,3,-1,1,-3
170,0,-1,1,0,0,0
171,2,-1,-2,3,0,-3
172,-2,1,-1,1,0,-1
173,0,-1,0,2,-3,2
175,1,-1,1,0,-1,0
176,1,-1,0,1,-2,2
177,-2,2,0,-1,0,1
178,1,2,-2,0,1,0
179,1,-1,1,-1,0,1
180,-2,3,0,-3,1,2
181,1,1,-3,3,-1,0
182,0,-1,0,2,-2,0
183,1,0,0,-1,0,1
184,-3,3,-3,3,-3,3
185,0,-1,-1,0,0,-1
186,0,1,2,-2,0,0
187,1,1,-1,1,0,-1
188,1,-1,1,-1,1,0
189,1,-3,1,0,1,-1
190,1,1,1,-2,-1,3
191,0,1,-1,0,2,-3
192,-2,2,-3,3,-1,0
193,-1,1,-1,1,-1,1
194,-1,0,0,1,-1,0
195,2,-1,0,1,0,-1
196,-3,2,-1,0,1,0
197,-1,2,-3,3,-1,-2
198,-3,1,0,2,-2,0
199,-2,1,-1,0,0,1
200,0,-1,0,1,-2,3
201,0,0,-2,2,1,-2
202,0,-1,1,-1,1,0
203,1,-1,0,1,-1,0
204,1,-1,0,1,0,-1
205,0,1,-1,-1,2,0
206,2,-2,1,-2,2,0
207,1,0,-1,1,-1,0
208,0,-1,0,-1,0,0
209,2,0,-2,3,-3,0
210,0,0,-1,1,-1,1
211,3,-3,3,-3,3,-2
212,0,1,-2,3,-3,1
213,0,2,-2,2,-1,-1
214,-1,0,1,1,-3,2
215,-1,1,0,0,0,-1
216,1,0,-1,0,0,0
217,0,1,-1,2,-3,3
218,-1,-1,-1,3,0,-2
219,-2,3,-3,3,-2,0
220,-1,1,-1,2,-2,0
221,1,0,-1,0,1,0
222,1,-1,2,-3,3,-3
223,-2,3,-3,3,-3,0
224,3,-3,3,-3,1,2
225,0,1,0,0,-2,3
226,-2,2,-1,2,-3,1
227,0,1,-3,1,1,-1
228,1,-1,1,-1,2,-2
229,-3,2,0,0,1,-3
230,-1,2,0,0,-1,0
231,0,-2,1,1,-1,0
232,-2,1,-1,0,1,-1
233,2,-3,1,2,-3,1
234,-1,1,0,0,1,-3
235,2,-3,3,-1,-2,1
236,-2,3,-2,1,0,0
237,1,-1,2,-3,3,-1
238,-2,2,-3,3,-3,1
239,-2,2,-1,2,-2,1
240,-3,1,-1,3,0,-2
241,3,-2,1,-1,0,0
242,-1,2,-2,1,0,-1
243,-1,2,-2,0,2,-2
245,0,0,-2,1,1,-1
246,1,-3,2,-1,1,-2
247,1,0,-1,0,1,-1
248,-2,1,2,-2,1,0
249,2,-1,1,0,0,0
250,0,-1,0,2,-1,-2
251,0,0,2,-3,3,-2
252,0,0,0,-1,-1,3
253,1,0,0,0,2,-2
254,2,-2,2,-3,0,1
255,-1,3,-2,1,-1,0
256,0,-3,0,2,0,1
257,0,1,-1,1,-1,2
258,-3,2,1,-1,0,0
259,-3,3,-3,3,-3,3
260,-1,1,-2,1,1,0
261,-1,3,-3,2,-1,-1
262,-2,2,0,0,-1,-1
263,2,-1,0,1,0,-1
264,0,1,-2,-1,2,-1
265,-1,0,0,2,-2,1
266,0,-3,2,0,-1,0
267,-2,2,-2,-1,1,2
268,-1,3,-1,-2,1,2
269,0,0,1,-2,2,-1
270,-1,0,1,0,-1,0
271,-3,1,0,0,1,1
272,0,1,0,-1,2,-2
273,-3,2,0,-1,1,-1
274,-1,2,-1,0,-1,1
275,1,-1,0,1,0,-1
276,-1,1,1,-3,0,2
277,-2,0,0,2,-3,2
278,2,0,-1,0,-1,2
279,0,-3,3,-3,0,3
280,0,0,-2,3,-2,1
281,2,0,-1,1,1,-3
282,0,1,-1,1,0,0
283,-1,2,0,-2,3,-3
284,3,0,-1,-1,1,0
285,0,-1,1,-1,1,-1
286,0,2,-3,2,-2,1
287,-3,1,1,0,1,-2
288,0,0,-1,1,-1,1
289,-2,0,1,-1,1,-1
290,1,-1,-1,0,1,-1
291,-1,1,-2,3,-1,0
292,1,-2,0,0,0,2
293,1,-3,3,-3,2,0
294,2,-1,-2,1,2,-3
295,-1,-1,2,-3,0,0
296,0,1,2,0,-3,3
297,-1,-1,-1,2,0,1
298,-1,1,-1,0,-2,3
299,2,-2,3,-3,1,1
300,0,1,0,-1,0,0
301,0,3,-1,-2,0,3
302,-1,2,-3,3,-2,1
303,1,1,1,-3,2,0
304,1,0,-3,3,-3,2
305,2,-3,3,-2,1,-1
306,2,-3,3,-3,3,-2
307,-1,1,-1,0,0,-1
308,-2,1,-2,0,2,-1
309,-2,-1,1,1,0,-1
310,-1,1,2,-2,2,-3
311,-2,2,0,-1,0,0
312,0,-1,-1,0,-1,0
313,1,1,0,-1,0,1
314,0,3,-3,3,-3,3
315,-2,2,-3,3,-1,1
316,2,1,-3,1,2,0
317,-2,-1,0,2,1,-3
318,1,-1,-1,3,-2,0
319,0,-1,3,-2,1,-1
320,2,-1,1,0,-2,1
321,2,-1,1,-2,2,-1
322,1,-1,1,-1,2,-3
323,-2,0,0,2,-3,3
324,2,-3,2,-2,3,-3
325,-1,-1,1,2,-1,-1
326,-2,2,1,-3,2,0
327,0,1,1,-3,2,-1
328,1,-2,1,-2,2,0
329,-1,-1,2,0,0,0
330,-1,-1,3,-1,0,-1
331,0,1,0,-1,1,0
332,1,0,0,-1,0,0
333,0,-1,0,2,-2,1
334,-2,0,1,0,0,0
335,0,-3,3,-2,-1,3
336,1,0,1,0,-1,0
337,0,0,-1,-1,1,2
338,0,-1,3,-2,0,1
339,0,-1,1,0,0,-1
340,1,-2,3,-3,1,0
341,1,0,-2,0,1,-1
342,1,0,0,-1,0,0
343,2,-2,2,1,-3,2
344,1,2,-3,3,-1,0
345,-1,0,-2,1,0,2
346,0,0,-2,3,-1,1
347,0,-2,2,0,-1,0
348,0,-1,0,1,-2,1
349,3,-3,3,-3,3,-3
350,-1,1,-2,3,0,-2
351,-2,2,0,-2,0,0
352,-3,1,2,-2,0,0
353,-1,-2,3,-2,0,1
354,-1,0,0,2,-2,1
355,0,0,-3,0,2,0
356,2,0,-3,1,1,-1
357,-2,1,0,0,-1,1
358,-3,3,-2,1,0,0
359,1,0,0,-2,1,0
360,1,-1,-1,3,-1,-2
361,1,1,-1,1,1,-1
362,0,1,1,-1,0,-2
363,1,-2,3,-2,-1,0
364,-1,-2,2,-1,0,1
365,0,0,-1,2,-2,2
366,-2,1,-1,1,0,0
367,0,3,-3,2,-1,0
368,-1,-2,2,-1,2,-2
369,-1,2,0,0,-2,2
370,0,1,-1,2,-2,1
371,1,0,-1,1,-1,0
372,-3,2,-1,1,0,-2
373,-3,3,-1,0,-2,2
374,-2,2,0,-1,0,0
375,-1,1,2,-2,-1,2
376,0,-1,1,-1,1,-1
377,-1,1,-1,0,1,-1
378,-1,1,-1,1,-1,2
379,0,-1,2,-2,1,0
380,-3,2,-1,1,-1,1
381,0,-2,1,-1,0,0
382,-1,2,-2,3,-3,3
383,-1,1,-1,1,-1,1
384,-1,2,-1,0,-1,-1
385,-1,-2,1,1,0,0
386,3,-3,0,3,-1,1
387,0,-1,0,0,2,-2
388,-2,3,-2,0,-1,3
389,0,0,2,-2,0,1
390,-1,1,-1,1,-1,1
391,-2,-1,0,3,0,-1
392,1,2,-3,3,0,-1
393,-2,3,-1,1,-3,2
394,-2,2,0,0,-1,1
395,0,1,1,-3,3,-3
396,-3,3,-3,2,-2,3
397,1,0,-1,0,2,-2
398,0,1,-2,3,-1,-2
399,0,1,0,0,-1,0
400,0,3,-3,2,0,0
401,0,3,0,-3,1,1
402,2,0,1,-3,1,2
403,0,1,0,-1,1,-1
404,-1,0,1,0,0,0
405,-1,-1,1,1,-1,1
406,-1,1,-1,1,0,0
407,-1,2,-3,3,-2,2
408,-1,0,-2,3,-2,-1
409,1,1,-1,1,-2,3
410,2,-2,1,-1,1,-1
411,1,1,-1,1,0,-2
412,0,1,-1,1,-2,2
413,2,-3,3,-2,2,-3
414,0,2,-3,3,-3,3
415,0,-2,3,-2,1,-2
416,1,0,-1,1,2,-2
417,0,3,-2,0,-1,3
418,0,0,-1,0,2,-3
419,-2,0,0,-1,1,2
420,-1,-1,0,2,-3,2
421,-1,0,1,0,0,-1
422,-3,1,-1,3,-3,1
423,1,-1,-1,2,1,-2
424,-1,0,0,2,-2,0
425,-3,2,-1,2,-1,-1
426,-2,0,1,-1,1,-1
427,3,-2,2,-3,2,0
428,2,0,-2,3,-3,3
429,-3,0,3,-1,-2,3
