CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,침구_주방_저가_clust_id
1,0,0,-2,1,1,-2,1
2,2,-3,3,-3,3,-2,3
3,-1,-1,0,1,0,-1,0
4,-2,-1,2,0,0,-1,2
6,0,-1,1,-1,1,-1,3
7,3,0,-2,1,-2,3,4
8,1,0,-1,1,0,0,1
9,-1,0,2,-3,1,0,2
10,-1,0,1,-1,0,0,2
11,1,-3,0,3,-3,3,0
12,3,-2,0,2,0,-3,0
13,-1,1,-1,1,-1,0,5
14,-1,-1,3,-2,-1,1,3
15,-2,0,3,0,-3,1,0
16,2,-1,0,-2,1,1,3
17,-1,3,-3,3,-2,1,5
18,1,-1,3,-2,1,-1,3
19,-1,3,-3,3,-2,0,5
20,-1,0,2,-2,0,1,2
21,1,-1,1,0,-1,0,0
22,-3,3,-1,-2,0,3,2
23,-1,2,-3,1,1,-1,5
24,0,-1,0,0,1,-1,1
25,-1,-2,3,-2,-1,3,3
26,-2,3,-3,0,2,0,5
27,0,1,2,-2,2,-3,2
28,-3,3,-3,3,-1,-2,5
29,-1,0,1,-1,0,1,2
30,0,0,-1,2,-2,1,4
31,0,0,-1,0,1,-1,1
32,-1,-1,0,1,0,0,0
33,-1,0,1,0,0,-1,2
34,-3,3,-3,2,-1,0,5
35,0,-2,3,-1,-1,1,0
36,-3,2,-2,3,-2,-1,5
37,0,-1,-2,2,-2,2,4
38,1,-1,0,0,1,0,1
39,-1,3,-3,3,-3,1,5
40,-3,1,2,-3,3,-3,2
41,-2,3,-1,-2,1,1,2
42,-1,0,1,-1,0,1,2
43,-1,3,-3,2,-1,0,5
44,2,1,-3,0,3,0,1
45,3,0,-2,2,-3,3,4
46,0,3,0,-3,2,1,2
47,0,-2,2,-1,0,1,3
48,1,-3,3,-2,0,0,3
49,-1,-1,3,-3,3,-3,3
50,-1,0,0,0,1,0,2
51,0,2,-3,1,0,2,5
52,0,1,0,0,-2,1,4
53,-3,3,-3,2,-2,2,5
54,-1,1,-1,1,-1,1,5
55,2,-2,0,0,1,-2,3
56,-1,3,0,-2,-1,3,2
57,-1,1,1,-3,2,0,2
58,0,1,-1,0,1,1,1
59,-2,1,0,2,-2,1,5
60,-3,2,-1,2,-1,0,5
61,-1,2,-1,1,0,-1,5
62,-2,0,0,0,1,-1,2
63,-2,1,0,0,0,-2,2
64,0,1,-2,1,-1,3,4
65,1,-3,3,-2,-1,2,3
66,0,1,-1,1,-1,1,4
67,0,0,-1,0,1,0,1
68,1,0,1,-2,2,0,3
69,0,-1,0,1,0,0,0
70,3,-3,1,0,1,0,3
71,-1,0,1,-1,1,-1,2
72,2,-2,0,0,1,0,3
73,1,-2,3,-3,2,-1,3
74,-2,-1,2,-2,0,3,2
75,-1,1,-1,0,1,0,1
76,-1,1,-2,3,-2,1,4
77,-1,0,0,1,-1,2,4
78,1,-1,1,1,-3,1,0
79,1,0,-2,3,-1,-1,4
80,1,0,-1,1,-2,3,4
81,3,-3,2,1,-1,-2,0
82,2,-3,2,0,1,-2,3
83,0,-3,3,-1,1,-3,3
84,2,-2,3,-3,0,3,3
85,-1,2,-2,1,-1,1,5
86,-2,1,-1,0,1,0,2
87,0,3,-1,-2,3,-3,2
88,-2,1,0,-2,2,1,2
89,-2,0,1,-1,0,1,2
90,0,1,-3,2,1,-2,1
91,0,-1,1,-1,1,-1,3
92,1,0,-2,2,0,-1,4
93,2,-3,3,-1,-1,0,3
94,0,-1,-2,1,2,0,1
95,-2,3,-2,0,1,-1,5
96,-3,0,2,-2,3,-2,2
97,3,-3,3,-2,0,-1,3
98,1,-1,1,-2,2,-1,3
99,2,-3,1,2,-3,2,0
100,-2,1,-2,0,3,-3,2
101,2,0,0,-1,1,0,1
102,1,1,-2,3,-2,1,4
103,2,-3,2,-1,1,-1,3
104,0,0,-1,1,0,-1,1
105,0,-1,0,0,2,-2,1
106,-1,3,-3,3,-2,1,5
107,0,0,-1,0,-1,3,1
108,2,0,-1,2,-2,1,4
109,0,0,-1,2,0,0,4
110,1,-2,0,0,1,-2,3
111,2,-3,2,0,-1,1,0
112,2,-1,1,0,1,-1,3
113,0,2,-2,1,-2,2,5
114,-1,-2,2,0,-2,2,0
115,-1,-1,2,-2,-1,3,3
116,-1,0,1,0,-2,2,0
117,3,-3,0,2,-1,1,0
118,0,1,-3,1,1,-1,1
119,-3,2,0,-1,1,-2,2
120,-1,0,1,-1,1,-1,2
121,-1,3,0,-3,3,-1,2
122,-1,0,2,-1,-1,0,2
123,2,0,0,-1,0,1,1
124,2,-1,-1,3,-3,3,4
125,1,0,1,1,-3,3,0
126,2,1,-2,-1,0,3,1
127,0,-2,3,-3,2,1,3
128,2,-3,0,3,-1,-2,0
129,-2,1,-1,1,0,-1,5
130,0,0,1,-1,-1,2,0
131,-2,-1,2,0,0,-1,2
132,1,0,0,-2,0,3,1
133,0,-2,2,-1,1,0,3
134,1,0,2,-1,-1,0,0
135,-2,-1,1,1,0,-2,0
136,0,-2,-1,3,-3,3,4
137,-1,0,2,-2,2,-1,2
138,1,0,-1,1,-2,3,4
139,0,-1,-1,2,0,-1,4
140,3,-2,0,1,1,-3,0
141,-1,1,0,0,0,-1,2
143,1,0,-1,2,-2,0,4
144,0,-1,0,-1,3,-3,3
145,1,-1,-2,2,1,-2,1
146,0,1,1,-3,0,2,2
147,0,1,0,-2,0,3,2
148,1,-1,0,1,-1,1,0
149,2,-2,-1,3,-3,3,4
150,-3,3,-3,3,-3,0,5
151,-3,1,0,1,1,-3,2
152,2,-1,1,0,0,-2,0
153,1,1,-3,2,-2,2,4
154,0,1,0,2,0,-3,4
155,1,-3,2,-1,2,-3,3
156,1,-1,2,-2,-1,3,3
157,2,-2,0,1,0,0,0
158,1,-1,-2,3,-3,3,4
159,-3,3,0,-2,-1,3,2
160,0,0,1,0,-1,1,0
161,3,0,-3,1,-1,3,4
162,-3,3,-1,-1,0,1,5
163,-1,0,0,1,1,-3,1
164,1,1,-1,2,0,-3,4
165,-1,-1,1,-2,2,1,3
166,-2,1,-2,2,0,0,5
167,0,2,-3,2,1,-3,5
168,-1,1,-1,2,-3,3,4
169,1,-1,3,-1,1,-3,3
170,0,-1,1,0,0,0,0
171,2,-1,-2,3,0,-3,4
172,-2,1,-1,1,0,-1,5
173,0,-1,0,2,-3,2,4
175,1,-1,1,0,-1,0,0
176,1,-1,0,1,-2,2,0
177,-2,2,0,-1,0,1,2
178,1,2,-2,0,1,0,1
179,1,-1,1,-1,0,1,3
180,-2,3,0,-3,1,2,2
181,1,1,-3,3,-1,0,4
182,0,-1,0,2,-2,0,4
183,1,0,0,-1,0,1,1
184,-3,3,-3,3,-3,3,5
185,0,-1,-1,0,0,-1,1
186,0,1,2,-2,0,0,2
187,1,1,-1,1,0,-1,1
188,1,-1,1,-1,1,0,3
189,1,-3,1,0,1,-1,3
190,1,1,1,-2,-1,3,2
191,0,1,-1,0,2,-3,1
192,-2,2,-3,3,-1,0,5
193,-1,1,-1,1,-1,1,5
194,-1,0,0,1,-1,0,4
195,2,-1,0,1,0,-1,0
196,-3,2,-1,0,1,0,5
197,-1,2,-3,3,-1,-2,5
198,-3,1,0,2,-2,0,5
199,-2,1,-1,0,0,1,5
200,0,-1,0,1,-2,3,0
201,0,0,-2,2,1,-2,1
202,0,-1,1,-1,1,0,3
203,1,-1,0,1,-1,0,0
204,1,-1,0,1,0,-1,0
205,0,1,-1,-1,2,0,1
206,2,-2,1,-2,2,0,3
207,1,0,-1,1,-1,0,4
208,0,-1,0,-1,0,0,1
209,2,0,-2,3,-3,0,4
210,0,0,-1,1,-1,1,4
211,3,-3,3,-3,3,-2,3
212,0,1,-2,3,-3,1,4
213,0,2,-2,2,-1,-1,5
214,-1,0,1,1,-3,2,0
215,-1,1,0,0,0,-1,2
216,1,0,-1,0,0,0,1
217,0,1,-1,2,-3,3,4
218,-1,-1,-1,3,0,-2,4
219,-2,3,-3,3,-2,0,5
220,-1,1,-1,2,-2,0,5
221,1,0,-1,0,1,0,1
222,1,-1,2,-3,3,-3,3
223,-2,3,-3,3,-3,0,5
224,3,-3,3,-3,1,2,3
225,0,1,0,0,-2,3,4
226,-2,2,-1,2,-3,1,5
227,0,1,-3,1,1,-1,1
228,1,-1,1,-1,2,-2,3
229,-3,2,0,0,1,-3,2
230,-1,2,0,0,-1,0,5
231,0,-2,1,1,-1,0,0
232,-2,1,-1,0,1,-1,2
233,2,-3,1,2,-3,1,0
234,-1,1,0,0,1,-3,2
235,2,-3,3,-1,-2,1,0
236,-2,3,-2,1,0,0,5
237,1,-1,2,-3,3,-1,3
238,-2,2,-3,3,-3,1,5
239,-2,2,-1,2,-2,1,5
240,-3,1,-1,3,0,-2,5
241,3,-2,1,-1,0,0,3
242,-1,2,-2,1,0,-1,5
243,-1,2,-2,0,2,-2,1
245,0,0,-2,1,1,-1,1
246,1,-3,2,-1,1,-2,3
247,1,0,-1,0,1,-1,1
248,-2,1,2,-2,1,0,2
249,2,-1,1,0,0,0,0
250,0,-1,0,2,-1,-2,4
251,0,0,2,-3,3,-2,3
252,0,0,0,-1,-1,3,0
253,1,0,0,0,2,-2,1
254,2,-2,2,-3,0,1,3
255,-1,3,-2,1,-1,0,5
256,0,-3,0,2,0,1,0
257,0,1,-1,1,-1,2,4
258,-3,2,1,-1,0,0,2
259,-3,3,-3,3,-3,3,5
260,-1,1,-2,1,1,0,1
261,-1,3,-3,2,-1,-1,5
262,-2,2,0,0,-1,-1,5
263,2,-1,0,1,0,-1,0
264,0,1,-2,-1,2,-1,1
265,-1,0,0,2,-2,1,4
266,0,-3,2,0,-1,0,0
267,-2,2,-2,-1,1,2,2
268,-1,3,-1,-2,1,2,2
269,0,0,1,-2,2,-1,2
270,-1,0,1,0,-1,0,0
271,-3,1,0,0,1,1,2
272,0,1,0,-1,2,-2,2
273,-3,2,0,-1,1,-1,2
274,-1,2,-1,0,-1,1,5
275,1,-1,0,1,0,-1,0
276,-1,1,1,-3,0,2,2
277,-2,0,0,2,-3,2,4
278,2,0,-1,0,-1,2,1
279,0,-3,3,-3,0,3,3
280,0,0,-2,3,-2,1,4
281,2,0,-1,1,1,-3,1
282,0,1,-1,1,0,0,1
283,-1,2,0,-2,3,-3,2
284,3,0,-1,-1,1,0,1
285,0,-1,1,-1,1,-1,3
286,0,2,-3,2,-2,1,5
287,-3,1,1,0,1,-2,2
288,0,0,-1,1,-1,1,4
289,-2,0,1,-1,1,-1,2
290,1,-1,-1,0,1,-1,1
291,-1,1,-2,3,-1,0,5
292,1,-2,0,0,0,2,0
293,1,-3,3,-3,2,0,3
294,2,-1,-2,1,2,-3,1
295,-1,-1,2,-3,0,0,3
296,0,1,2,0,-3,3,0
297,-1,-1,-1,2,0,1,4
298,-1,1,-1,0,-2,3,5
299,2,-2,3,-3,1,1,3
300,0,1,0,-1,0,0,2
301,0,3,-1,-2,0,3,2
302,-1,2,-3,3,-2,1,5
303,1,1,1,-3,2,0,3
304,1,0,-3,3,-3,2,4
305,2,-3,3,-2,1,-1,3
306,2,-3,3,-3,3,-2,3
307,-1,1,-1,0,0,-1,1
308,-2,1,-2,0,2,-1,1
309,-2,-1,1,1,0,-1,0
310,-1,1,2,-2,2,-3,2
311,-2,2,0,-1,0,0,2
312,0,-1,-1,0,-1,0,0
313,1,1,0,-1,0,1,1
314,0,3,-3,3,-3,3,5
315,-2,2,-3,3,-1,1,5
316,2,1,-3,1,2,0,1
317,-2,-1,0,2,1,-3,1
318,1,-1,-1,3,-2,0,4
319,0,-1,3,-2,1,-1,3
320,2,-1,1,0,-2,1,0
321,2,-1,1,-2,2,-1,3
322,1,-1,1,-1,2,-3,3
323,-2,0,0,2,-3,3,4
324,2,-3,2,-2,3,-3,3
325,-1,-1,1,2,-1,-1,0
326,-2,2,1,-3,2,0,2
327,0,1,1,-3,2,-1,2
328,1,-2,1,-2,2,0,3
329,-1,-1,2,0,0,0,0
330,-1,-1,3,-1,0,-1,3
331,0,1,0,-1,1,0,2
332,1,0,0,-1,0,0,1
