CUSTNO,purchase_sum
1,85250050.66090621
2,103588151.9470038
3,3151985.8509047665
4,17170507.09019878
6,24830638.47706804
7,70141190.09912351
8,61352281.71429178
9,212984130.8436015
10,18742893.779008053
11,129623120.12627141
12,6721684.336900757
13,17856185.67780222
14,36078597.20628036
15,26087465.473706573
16,10918222.401312819
17,142139164.7876281
18,83737399.6854642
19,43209055.68452434
20,23109390.061774068
21,22829625.943239212
22,143690685.8210982
23,76516390.17270379
24,12102824.049062336
25,45011609.824690305
26,122273097.19410859
27,60753869.56139308
28,8805680.824740423
29,86391803.59629405
30,105917572.77023575
31,13417164.61142199
32,19719080.394269012
33,10549697.136193993
34,15590013.254304077
35,45808342.426136054
36,43871764.14894067
37,59061358.3239785
38,23802726.489156697
39,209942482.69628045
40,27408823.8308178
41,18441206.245686136
42,15897397.2250874
43,7236660.088478966
44,97543545.85950541
45,222978790.9355951
46,137775173.87458074
47,21437616.06879657
48,84431328.689546
49,95195906.45441577
50,25414725.12000966
51,21662522.451712444
52,37599235.14158158
53,49704844.52730782
54,10818414.680981185
55,7671198.424091562
56,92136456.88884474
57,10237149.553960292
58,26367430.646804623
59,27722186.2975042
60,29791327.34957545
61,27082130.86223988
62,21628920.41014599
63,6239278.743056081
64,3901083.6300915563
65,19807221.38554278
66,18413848.561822075
67,10722182.268090924
68,310283550.73986053
69,15766520.725421183
70,33115431.58572815
71,4761234.918414549
72,9904070.63650711
73,240534037.44638452
74,32980986.274559006
75,5233495.152540472
76,12120519.519487813
77,36153050.63234774
78,94227037.10065559
79,15792741.432103232
80,10837590.68338401
81,76484325.31529075
82,160932439.22431165
83,130363449.76519328
84,68101201.02107415
85,13992067.216967829
86,40054857.75881441
87,54387347.32852369
88,61781323.14337866
89,16095959.056552805
90,53933143.54863942
91,19273063.636016812
92,56337285.43171195
93,118870669.8242038
94,74511212.92326307
95,7970073.529463063
96,32510943.382799182
97,1008567289.7219098
98,22730213.6382292
99,258654451.36064556
100,26818409.90310619
101,7144601.642238524
102,115437797.00062671
103,4771715.119180446
104,15425504.872488368
105,23040529.94770111
106,68516946.87262888
107,131529369.67059141
108,14828433.040400278
109,8862442.3258069
110,27677588.914970677
111,5171754.154078725
112,97123429.82453224
113,93253426.1857997
114,24790359.619581595
115,68456187.09972917
116,8170013.247266732
117,44068406.27234744
118,103181463.67480606
119,68200856.979208
120,248133732.96777457
121,19990264.363282
122,41447681.55728445
123,10739977.633010315
124,39337498.934481464
125,15778437.039650053
126,39056051.43591535
127,7230788.071933858
128,8805329.725915069
129,7270871.105955793
130,46469731.54800951
131,33648547.66142884
132,12001965.766798707
133,24285317.57800096
134,107629269.17089468
135,14086271.18777643
136,28756550.31834252
137,110297645.00556062
138,47681328.24000544
139,49050470.37933208
140,261581426.21524057
141,5735839.836858752
143,7393615.8889308525
144,72270326.40690145
145,135230625.93740878
146,101704491.86362615
147,97425859.96606699
148,5750159.804734028
149,27357040.96214228
150,24366166.85782666
151,82702904.93417642
152,33604932.32526578
153,10104002.115997111
154,75946403.5206488
155,57595353.21984327
156,151745647.26917866
157,14091414.103922978
158,11890886.836997582
159,141275282.9962023
160,20662275.03120094
161,168384447.74905944
162,69783661.46574062
163,11932785.431645581
164,114748300.67848605
165,39394772.06268418
166,34542324.76740999
167,43249213.110880345
168,83944737.4685683
169,8455763.609398933
170,14552015.138070866
171,29362222.362908673
