CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,가구인테리어_잡화_고가_clust_id
1,4,-3,3,-2,-1,-1,3
2,0,4,0,-3,-1,0,4
3,0,0,0,0,0,0,1
4,0,0,0,0,0,0,1
6,-1,-2,-1,4,-1,-2,2
7,4,0,-3,-1,4,-2,3
8,0,0,4,-2,1,0,5
9,4,0,0,-2,0,-1,3
10,-3,-1,0,0,0,0,1
11,-1,-2,0,3,-3,3,2
12,0,0,0,0,0,0,1
13,0,0,0,0,0,4,1
14,4,-2,0,2,-3,2,2
15,0,0,0,0,0,0,1
16,0,0,0,4,-3,-1,2
17,-2,-1,-1,4,-2,1,2
18,-3,-1,0,0,0,0,1
19,4,-3,-1,4,-3,3,2
20,0,0,4,-3,-1,0,5
21,0,0,0,0,0,0,1
22,-1,1,0,-2,0,3,1
23,-2,2,-3,-1,4,0,0
24,-3,-1,0,0,0,0,1
25,-2,3,-1,-2,0,3,4
26,0,1,-2,-1,0,3,1
27,-1,-1,4,-2,1,-2,5
28,0,0,0,0,0,0,1
29,-3,2,0,-1,-1,-1,4
30,-2,2,-3,3,-3,-1,4
31,0,0,0,0,0,0,1
32,0,0,0,0,0,0,1
33,0,0,0,0,0,0,1
34,0,0,0,0,0,0,1
35,0,-3,-1,0,0,0,1
36,-3,-1,0,0,0,0,1
37,-3,-1,0,0,0,0,1
38,-3,-1,0,0,4,-3,0
39,-3,-1,0,0,0,0,1
40,-3,-1,0,0,0,0,1
41,-3,-1,4,-3,-1,0,5
42,0,0,0,0,0,0,1
43,0,0,0,0,0,0,1
44,2,1,-3,1,2,-1,0
45,0,4,-3,3,0,-2,4
46,-1,2,1,-3,1,0,5
47,4,-3,-1,0,0,0,3
48,-1,-2,3,-1,-1,-1,5
49,0,-2,3,-1,0,-1,5
50,-1,0,0,4,-3,-1,2
51,0,0,0,0,0,0,1
52,-1,0,1,-1,-1,-1,1
53,-3,3,-3,3,-3,-1,4
54,0,0,0,0,0,4,1
55,0,0,0,0,0,0,1
56,-1,3,-3,3,-3,3,4
57,4,-3,-1,0,0,0,3
58,-1,0,2,-2,-1,3,5
59,-1,-2,-1,4,-3,-1,2
60,0,0,0,0,0,0,1
61,-1,-1,-1,0,4,-2,0
62,0,0,0,4,-1,-1,2
63,0,0,0,0,0,0,1
64,0,0,0,0,0,0,1
65,0,4,-3,3,-3,3,4
66,0,0,0,0,0,0,1
67,0,0,0,0,0,0,1
68,2,-1,0,-1,-1,4,3
69,0,0,0,0,0,0,1
70,2,-1,1,0,-1,1,1
71,0,0,0,0,0,0,1
72,0,0,0,0,0,0,1
73,1,-1,1,-1,1,-1,1
74,-2,-1,3,-3,-1,4,5
75,0,0,0,0,0,0,1
76,-2,-1,-1,4,-3,-1,2
77,-3,0,3,-3,3,-2,5
78,0,-1,0,0,2,-2,1
79,0,0,0,0,0,0,1
80,0,0,0,0,0,0,1
81,1,-2,3,-1,0,-2,5
82,3,-1,-2,3,-2,0,2
83,-3,-1,0,0,0,4,1
