CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭
1,-3,2,1,-3,3,-3
2,-2,-1,4,-3,-1,0
3,0,0,0,0,0,0
4,-2,-1,0,4,0,-3
6,-3,0,-1,4,0,-3
7,0,-2,-1,-1,0,0
8,0,4,-3,3,-3,3
9,0,0,4,-1,-1,0
10,0,0,0,4,-3,-1
11,1,-1,-1,4,-3,3
12,0,0,0,0,0,0
13,0,0,4,-3,-1,0
14,-2,0,0,-1,3,0
15,-3,3,0,-2,0,-1
16,0,0,0,0,0,0
17,-3,1,0,1,0,-1
18,-2,0,3,-3,-1,0
19,-3,-1,0,4,-3,-1
20,0,0,0,4,-3,-1
21,-3,-1,0,4,-3,-1
22,-3,3,-3,3,-3,-1
23,0,0,1,0,-1,-1
24,4,-3,-1,0,0,0
25,-1,-2,3,-2,-1,3
26,-3,0,3,-2,1,-2
27,-1,-2,-1,0,4,0
28,-3,-1,0,0,0,0
29,1,-2,0,1,0,-2
30,-3,3,-2,1,-2,3
31,0,0,-1,3,0,-3
32,-1,-2,-1,0,4,-2
33,0,0,0,4,-3,-1
34,-3,-1,4,-3,-1,0
35,0,-1,1,-2,3,-2
36,-3,3,-3,3,-3,-1
37,0,-3,0,-1,4,-2
38,0,-1,4,0,-2,2
39,0,0,0,0,4,-1
40,-1,4,-2,-1,3,-3
41,4,-2,-1,-1,0,0
42,-3,-1,4,-3,-1,0
43,0,0,0,0,0,0
44,-1,0,4,-3,-1,0
45,-1,4,-2,-1,-1,0
46,0,0,4,-3,3,-3
47,0,-1,4,-3,-1,0
48,-3,3,-3,0,3,0
49,-1,4,-3,3,-1,-1
50,-1,-1,0,4,-3,3
51,-3,-1,0,4,-3,-1
52,4,-3,-1,0,0,0
53,0,-1,0,4,-3,-1
54,3,-3,3,-3,-1,0
55,0,0,0,0,4,-3
56,-3,-1,0,4,-3,3
57,0,0,0,0,0,0
58,4,-3,-1,0,0,0
59,-1,3,-3,-1,0,0
60,0,0,0,4,-3,-1
61,-1,0,3,-3,-1,0
62,0,4,-3,-1,4,0
63,-3,-1,0,4,-3,0
64,0,0,0,0,0,4
65,0,0,0,0,0,0
66,0,0,0,0,4,-3
67,4,-3,-1,0,0,0
68,0,0,1,-1,1,0
69,0,0,0,0,0,0
70,0,4,-1,-2,-1,4
71,0,0,0,0,0,0
72,4,-3,-1,0,4,-3
73,-2,1,-2,1,-1,3
74,0,-1,-1,3,-3,3
75,0,0,0,0,0,0
76,-1,0,-2,-1,0,0
77,3,-1,-2,-1,4,0
78,-2,1,0,1,-3,3
79,0,0,0,0,0,0
80,0,0,0,0,0,4
81,-3,3,-3,2,-1,1
82,0,1,0,-2,3,-3
83,2,-3,0,-1,0,0
84,2,0,1,-3,3,-3
85,0,0,4,-2,-1,-1
86,-2,-1,-1,0,4,-3
87,0,0,4,-3,3,-3
88,-2,1,1,-3,-1,0
89,0,4,-3,3,-3,-1
90,-1,4,-2,2,-2,0
91,0,0,0,4,-2,-1
92,-1,0,-2,3,-3,3
93,-1,-1,3,0,-3,3
94,4,-3,3,-3,-1,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,-1,4,-3,-1,4,-1
98,-1,0,4,-3,-1,0
99,-1,0,3,0,-3,2
100,-2,-1,0,3,-1,-2
101,0,0,0,0,0,0
102,-1,4,-2,2,-3,3
103,0,0,0,0,0,0
104,0,0,0,0,0,0
105,4,-3,3,-3,3,-3
106,3,-2,-1,3,-3,3
107,3,-1,-2,3,-3,3
108,1,-1,-1,3,-2,1
109,0,0,0,0,0,0
110,0,4,-3,3,-1,-1
111,0,0,0,0,0,0
112,3,-2,1,-1,0,0
113,-2,0,-1,3,-1,-2
114,0,0,0,0,0,0
115,-3,3,-3,3,-3,-1
116,-1,0,0,0,0,0
117,0,0,0,0,0,0
118,3,-2,-1,3,-3,3
119,-3,3,-1,-2,3,-3
120,-1,1,0,-2,2,-1
121,0,0,0,4,-2,0
122,0,0,4,-3,3,-2
123,0,0,4,-3,-1,0
124,0,0,-1,3,-3,0
125,0,0,0,0,0,0
126,0,0,4,0,-3,-1
127,-3,0,-1,0,0,4
128,0,0,0,0,0,0
129,0,0,0,0,0,0
130,0,-2,0,-1,0,0
131,0,-3,3,-3,-1,4
132,0,0,0,4,-2,1
133,4,-3,-1,0,0,0
134,-2,-1,-1,4,0,-1
135,0,0,0,0,4,-3
136,4,-2,-1,-1,4,-1
137,-1,0,4,-3,3,-3
138,4,-3,-1,4,-3,3
139,-1,3,-3,3,-2,-1
140,-1,3,-3,-1,0,0
141,0,0,0,0,0,0
143,0,0,0,4,-3,-1
144,0,0,0,0,0,0
145,-3,3,-1,-2,-1,0
146,0,2,-1,-1,-1,3
147,-3,3,-1,0,-2,3
148,0,0,0,0,0,0
149,4,-3,-1,4,-3,-1
150,-3,3,-1,-2,-1,0
151,1,-1,3,-3,1,1
152,-3,3,-3,-1,4,-2
153,-3,-1,0,0,0,0
154,-1,0,0,0,0,4
155,-1,-1,0,-1,-1,4
156,3,-3,3,-2,1,0
157,4,-3,3,-1,1,-2
158,4,-3,-1,0,0,0
159,-2,1,-2,-1,0,4
160,3,-3,-1,4,-3,0
161,-3,3,-2,0,-1,2
162,-2,0,0,2,-1,-2
163,-3,-1,0,0,4,-3
164,-2,-1,3,-3,-1,0
165,-2,1,1,-3,1,-1
166,0,-1,4,0,-3,2
167,-1,3,-3,0,-1,0
168,-1,-2,0,3,-1,-1
169,-1,0,0,4,-3,3
170,0,0,0,0,0,0
171,-3,-1,0,0,0,4
172,4,-3,-1,0,0,0
173,0,0,0,0,0,0
175,0,0,0,0,0,0
176,0,0,0,4,-3,-1
177,1,0,-2,1,0,1
178,-3,3,-2,-1,3,-2
179,-2,0,3,-2,-1,3
180,0,0,0,0,0,0
181,0,4,-1,-1,-1,3
182,-1,-1,-1,-1,4,-2
183,0,0,0,0,0,0
184,4,0,-3,3,-3,3
185,0,4,-3,-1,0,0
186,-1,-1,0,0,4,-3
187,3,-2,-1,3,0,-2
188,0,4,-3,-1,4,-3
189,0,-1,-1,3,-2,2
190,-3,3,-3,3,-1,-2
191,-2,1,-1,1,0,-1
192,-3,0,0,3,-2,-1
193,0,0,0,0,0,0
194,-1,-1,3,-1,-1,-1
195,0,0,0,0,0,0
196,-3,2,0,0,-2,1
197,-2,2,-2,0,0,0
198,0,0,0,0,4,-2
199,0,0,0,0,0,0
200,-3,-1,0,0,0,0
201,-1,-2,0,0,3,-2
202,-1,-1,1,-2,3,-2
203,0,0,0,0,0,0
204,0,-3,3,-1,1,-2
205,4,-3,-1,4,-3,-1
206,0,0,0,0,0,0
207,0,0,0,0,0,0
208,0,0,-1,-1,0,-1
209,-1,-1,3,-2,-1,-1
210,0,0,0,0,0,0
211,0,0,0,0,4,-2
212,0,0,0,4,-3,-1
213,0,4,-1,-1,2,-3
214,-2,-1,0,0,4,-3
215,-3,0,3,0,-3,-1
216,0,0,4,-3,-1,0
217,0,0,0,0,0,0
218,1,-1,1,-2,3,-2
219,0,0,-1,0,1,-1
220,0,0,0,0,4,-3
221,0,4,-3,0,3,-2
222,1,0,-1,0,2,-3
223,-2,0,2,-2,1,-1
224,-2,3,-2,0,0,-1
225,4,-3,-1,4,-3,3
226,0,0,0,0,0,0
227,0,0,0,0,0,0
228,0,0,0,0,0,4
229,1,-2,3,-3,3,-2
230,3,-3,3,0,-3,-1
231,0,0,0,0,0,0
232,3,-3,-1,0,0,0
233,4,-3,-1,0,4,-3
234,0,0,4,-2,-1,-1
235,-2,0,1,-1,-1,-1
236,0,0,0,0,0,0
237,3,-1,-2,3,-3,-1
238,-1,1,-3,-1,0,0
239,-3,3,-1,-1,-1,3
240,3,-1,-2,-1,0,0
241,4,-2,0,1,-2,3
242,4,-1,-2,-1,0,4
243,0,0,0,0,0,0
245,0,-2,-1,4,-3,-1
246,1,0,-2,3,-2,0
247,0,0,0,0,0,0
248,4,-3,-1,0,4,-3
249,0,-1,-1,-1,4,-3
250,1,1,-3,2,0,-2
251,-2,-1,3,-2,1,0
252,0,0,0,4,-3,-1
253,-2,3,-2,-1,-1,0
254,0,0,0,0,0,0
255,-3,1,-1,-1,0,4
256,-2,-1,-1,4,-1,-1
257,-1,3,-3,-1,0,4
258,-1,0,0,0,4,-2
259,-3,3,-3,3,-3,-1
260,0,0,0,0,4,0
261,-2,2,0,-2,3,-3
262,2,-2,-1,4,-1,-2
263,0,0,0,0,0,4
264,0,0,0,0,0,0
265,-1,3,-3,3,-3,-1
266,-1,-1,0,0,0,1
267,0,4,-2,2,-3,0
268,-1,2,-3,0,-1,4
269,0,0,4,-3,-1,0
270,-3,-1,0,0,0,0
271,-3,-1,0,4,-2,2
272,3,-1,0,-1,1,-2
273,-1,0,3,-3,0,3
274,0,0,0,0,0,0
275,-3,3,-3,3,-3,3
276,0,0,4,-3,-1,0
277,4,-1,-2,3,-3,3
278,0,0,0,0,0,0
279,-3,3,-3,-1,0,0
280,-1,0,-2,3,-3,-1
281,-1,4,-2,1,-1,1
282,3,-1,-1,0,0,1
283,-3,3,-3,3,0,-3
284,0,0,0,0,0,4
285,0,0,0,0,0,0
286,0,4,-1,-1,0,-1
287,0,0,0,0,0,0
288,4,-3,-1,0,0,4
289,0,0,4,-3,-1,0
290,0,0,4,-3,-1,0
291,-1,0,0,0,0,0
292,-1,2,-1,-1,1,-2
293,-3,-1,0,4,-3,-1
294,0,1,-2,0,2,-2
295,2,-2,3,-3,3,-3
296,-1,0,3,-1,-1,0
297,-2,0,1,-1,1,0
298,-2,2,-2,3,-1,-2
299,4,-3,-1,0,0,4
300,-3,-1,0,0,4,-3
301,0,0,4,-3,-1,0
302,0,2,-3,3,-3,-1
303,0,0,4,-3,-1,0
304,-1,0,0,4,-3,-1
305,-3,0,3,-3,3,-2
306,3,-2,0,-1,3,-3
307,-1,3,0,-2,1,-2
308,0,-3,0,3,-3,-1
309,-1,1,-1,1,-1,-1
310,-3,-1,0,4,-3,-1
311,-2,-1,-1,4,-1,-2
312,4,-2,-1,-1,4,-3
313,0,-1,0,3,-2,1
314,-3,1,1,1,-3,-1
315,-2,1,0,-1,0,0
316,0,0,4,-3,3,-3
317,-1,-1,-1,3,0,-2
318,-1,0,0,4,-2,1
319,-2,0,-1,3,-3,-1
320,-1,-1,4,-1,-1,2
321,0,-2,3,-1,0,-1
322,-2,-1,-1,0,4,-2
323,0,-2,0,3,-2,1
324,3,-2,-1,-1,0,0
325,-3,-1,0,0,4,-3
326,-3,-1,4,-2,1,0
327,0,0,1,-1,2,-2
328,-2,-1,3,0,-2,-1
329,-1,-2,-1,0,4,-2
330,0,0,4,-3,-1,0
331,0,0,4,-3,-1,0
332,-1,4,-3,2,-2,-1
333,-2,3,-3,3,-3,3
334,-2,0,2,0,-3,0
335,0,-2,2,1,-3,3
336,0,0,0,0,0,4
337,3,-3,2,-1,-1,3
338,0,0,4,-3,-1,4
339,-3,-1,0,0,0,0
340,-1,3,0,-2,-1,0
341,0,4,-2,-1,3,-2
342,0,0,0,0,0,0
343,-3,-1,4,-3,3,-2
344,4,-3,3,-3,-1,4
345,1,-1,1,-2,-1,4
346,0,0,0,0,4,0
347,-1,4,-3,-1,4,-3
348,0,0,0,0,0,0
349,-1,3,-3,0,3,-3
350,0,-1,0,0,4,-3
351,0,0,2,-3,2,-2
352,-3,3,-3,3,-3,-1
353,0,0,0,0,0,0
354,0,0,0,0,0,0
355,-2,1,0,-2,3,-3
356,4,0,-3,3,-3,-1
357,0,0,0,4,-3,-1
358,-3,3,-1,0,-2,2
359,3,0,-1,-2,-1,0
360,4,-3,-1,0,4,-3
361,2,-2,0,-1,3,-3
362,-2,-1,3,-2,-1,-1
363,-2,2,1,-2,0,-1
364,0,0,0,0,0,4
365,-1,4,-3,-1,4,-3
366,0,0,0,0,0,0
367,-3,3,-3,3,-3,-1
368,-3,-1,4,-3,3,-3
369,0,1,0,0,-2,3
370,0,0,0,0,0,0
371,3,-3,-1,4,-3,3
372,-3,-1,0,0,0,0
373,-3,-1,4,-3,0,0
374,2,-2,-1,0,4,-2
375,4,-3,-1,4,-3,3
376,0,0,0,0,0,0
377,-1,3,-2,-1,3,-2
378,3,-1,0,0,-2,3
379,0,3,0,-2,0,2
380,-3,-1,0,0,0,0
381,-3,-1,4,-1,-2,-1
382,0,0,0,4,-3,3
383,4,0,-3,3,-3,3
384,0,0,0,0,4,-3
385,-1,-2,-1,0,0,0
386,-1,0,0,4,0,-3
387,-3,-1,4,-1,0,-2
388,3,-2,1,-2,3,-3
389,0,0,0,0,0,0
390,0,0,0,0,0,0
391,-3,-1,0,4,0,-2
392,0,0,0,0,0,0
393,-1,3,-1,-1,1,-2
394,0,4,-3,3,0,-3
395,-3,3,-1,-2,-1,4
396,0,4,-3,-1,0,0
397,4,-3,-1,0,4,-3
398,-2,-1,4,-1,-2,3
399,0,0,0,0,4,-3
400,0,0,1,0,-1,1
401,3,-2,2,-2,0,1
402,-2,3,0,-3,3,-3
403,0,0,0,0,0,0
404,2,-1,1,-2,3,-1
405,-1,2,1,-3,-1,4
406,0,0,4,-3,-1,0
407,0,-1,-1,3,-1,-2
408,1,-2,3,0,-1,-2
409,-3,3,0,-1,-1,0
410,4,-2,-1,-1,0,0
411,2,-3,0,3,-3,3
412,3,-2,1,0,-2,3
413,-1,-2,3,-3,3,-3
414,-3,3,-3,0,3,-2
415,0,0,0,4,-3,-1
416,1,2,-3,0,-1,0
417,-3,2,0,-1,-1,3
418,0,0,0,0,0,0
419,-3,-1,0,0,0,0
420,4,-2,1,-1,0,1
421,-2,2,0,-1,1,0
422,-3,-1,0,4,-3,-1
423,0,-2,3,-2,1,-2
424,0,0,0,0,0,0
425,0,0,0,0,4,-1
426,0,-1,0,-1,3,-2
427,4,-3,3,-3,-1,0
428,-2,-1,3,-3,3,0
429,4,-3,3,-2,-1,3
430,-3,3,-3,3,-1,0
431,0,0,0,4,-3,-1
432,4,0,-1,-2,-1,0
433,-3,3,-3,3,-2,2
434,-3,1,-1,3,-2,-1
435,-2,-1,-1,4,-2,0
436,0,4,-3,3,-2,2
437,0,0,0,0,0,0
438,-3,-1,4,-3,3,-3
439,0,0,0,0,0,0
440,-1,-2,3,-3,2,-2
441,-1,0,1,-2,3,-3
442,0,0,0,0,0,0
443,-3,3,-2,0,-1,3
444,1,-2,-1,4,-3,3
445,0,0,4,-3,3,-3
446,0,4,-3,3,-1,-2
447,0,-1,1,-1,0,0
448,2,-1,0,-2,1,-1
449,-1,0,0,4,-3,-1
450,-2,0,1,0,-2,3
451,3,-3,1,2,-1,-1
452,0,0,0,0,0,0
453,-1,2,-3,3,-3,3
454,4,-3,-1,0,0,0
455,0,0,0,0,0,0
456,0,0,0,4,-2,1
457,-2,2,0,-1,1,-1
458,0,0,0,0,0,0
459,-1,1,-2,-1,4,-3
461,4,-3,-1,4,-1,-2
462,0,1,0,-1,0,0
463,3,-3,3,-2,2,-1
464,-1,4,-3,3,-3,-1
465,3,-3,3,-3,2,-2
466,1,-1,3,-3,0,3
467,0,4,-3,0,3,-1
468,0,-2,-1,0,4,-1
469,-1,-2,0,3,-2,-1
470,0,4,-3,-1,0,0
471,-3,3,0,-1,-1,0
472,0,0,4,-3,-1,4
473,0,-1,0,4,-3,-1
474,2,-1,0,-2,2,1
475,-2,1,-1,1,-2,3
476,0,4,-3,-1,0,0
477,-3,0,-1,4,-3,3
478,0,3,-1,-2,1,0
479,4,-3,0,-1,0,0
480,0,1,1,-2,-1,2
481,0,3,-2,-1,3,-1
482,4,-1,-1,-1,-1,4
483,-3,-1,0,0,0,0
484,-1,4,-3,3,-3,2
485,0,-3,-1,4,-3,1
486,-2,3,-1,0,-2,3
487,0,0,0,0,4,-3
488,0,0,0,0,0,0
489,-3,3,-1,-2,3,-2
490,-1,4,-3,3,-3,-1
491,-3,3,-3,-1,0,4
492,0,1,0,-2,3,-2
493,0,4,-3,3,-3,-1
494,-1,3,-3,-1,4,0
495,0,0,0,4,-3,3
496,-1,0,0,4,-3,3
497,0,3,-3,3,-3,-1
498,3,-3,0,-1,4,-3
499,0,0,0,0,0,0
500,0,0,0,0,4,-3
501,-3,3,-3,2,-2,3
502,-1,4,-3,3,-2,-1
503,4,-1,-2,3,-3,-1
504,-2,1,2,-3,0,3
505,1,-1,0,0,-1,3
506,-1,3,0,-3,0,3
507,-2,-1,0,-1,4,-3
508,4,-3,3,-3,3,-3
509,-3,3,-3,3,-1,-2
510,-2,-1,2,-1,2,-3
511,3,-3,-1,0,4,-3
512,0,0,0,0,0,0
513,2,1,-3,2,-1,2
514,4,-3,-1,0,4,-3
515,-3,0,3,-3,-1,0
516,-2,-1,4,-3,-1,4
517,0,4,-1,-2,0,-1
518,-1,1,-1,1,-1,1
519,-1,4,0,-3,1,2
520,-1,1,0,-1,-1,3
521,-1,3,-2,1,0,0
522,-3,3,-2,-1,-1,0
523,0,4,-3,-1,0,0
524,3,-3,3,-2,-1,3
525,4,-2,-1,-1,0,0
526,-1,0,3,0,-2,-1
527,0,0,0,0,0,0
528,0,0,0,0,0,0
529,0,-1,-1,3,-2,1
530,-3,0,-1,4,-1,0
531,0,0,0,0,0,0
532,1,0,-2,3,-1,-2
533,0,0,0,0,0,0
534,-3,-1,0,4,-3,3
535,0,0,-1,0,1,-2
536,0,0,0,0,0,0
537,0,0,0,0,0,0
538,4,-2,1,-2,3,-3
539,-3,3,-3,2,-1,1
540,-3,3,-3,0,-1,4
541,0,0,0,0,0,0
542,3,-1,-2,0,3,-2
543,-2,-1,0,0,0,0
544,2,-1,-1,3,0,-2
545,-1,3,-3,-1,4,0
546,0,-3,3,-3,3,-3
547,0,0,0,0,4,-3
548,3,-3,2,-1,1,0
549,0,4,-3,3,-3,0
550,3,-3,3,-2,1,-2
551,-3,3,-3,-1,4,-3
552,0,0,0,4,-3,-1
553,0,-2,-1,3,-3,-1
554,-1,-1,3,-2,0,1
555,0,4,-3,-1,0,4
556,-3,3,-3,-1,0,0
557,-3,3,-3,0,-1,0
558,-1,3,-3,3,-2,0
559,4,0,-3,2,0,-2
560,3,-2,0,2,-2,0
561,-1,0,-2,0,3,-2
562,-2,3,-3,3,-1,0
563,-1,-2,3,-2,0,2
564,0,0,0,4,-3,-1
565,-3,-1,0,4,-3,3
566,4,-3,-1,0,0,0
567,3,-3,-1,4,-2,1
568,0,0,0,0,4,-3
569,-1,-1,0,-1,0,3
570,0,0,0,0,0,0
571,0,3,-3,3,-1,-1
572,-2,-1,4,-3,3,-3
573,-3,-1,0,4,-3,-1
574,0,3,-2,0,2,-3
575,3,0,-3,-1,0,0
576,3,-2,-1,1,2,-3
577,-1,4,0,-3,0,-1
578,-3,2,-2,-1,4,-2
579,0,0,0,0,0,0
580,0,4,-1,0,-1,-1
581,0,0,0,0,0,0
582,-3,0,3,-3,-1,0
583,0,0,0,0,0,0
584,1,0,0,-1,-1,0
585,1,-1,1,-2,2,1
586,-1,-2,-1,0,4,-3
587,2,-1,1,-2,-1,4
588,-1,-2,0,-1,0,4
589,0,1,-2,3,-3,-1
590,-3,-1,0,0,0,4
591,0,0,0,0,0,0
592,-1,-1,1,0,-2,3
593,-1,-2,-1,4,-3,3
594,0,0,2,-2,1,-1
595,3,-3,2,-2,3,0
596,1,0,-1,0,1,-2
597,4,-3,0,-1,0,4
598,3,-3,-1,0,0,0
599,0,3,-3,-1,4,0
600,4,0,-3,-1,4,-3
601,0,-2,-1,4,-2,0
602,3,-3,3,-1,-1,0
603,-2,2,0,-2,0,3
604,-2,0,3,-1,-1,2
605,0,0,0,0,0,0
606,4,-3,-1,0,0,0
607,-2,-1,0,3,-1,-1
608,-1,-1,-1,3,-2,-1
609,0,0,0,0,0,0
610,0,0,0,0,0,0
611,0,0,-1,-1,0,4
612,1,-2,0,-1,0,0
613,-3,3,-3,2,-2,3
614,0,1,-1,0,-1,3
615,-1,1,0,-2,3,-3
616,0,0,0,4,-3,-1
617,0,-1,-1,3,-1,0
618,0,-2,0,-1,0,0
619,0,0,0,4,-3,-1
620,-1,0,-1,3,-2,2
621,-1,0,0,0,0,0
622,-1,-1,0,4,-3,-1
623,0,0,4,-1,-2,-1
624,0,0,0,0,0,4
625,-3,0,-1,0,4,-2
626,0,4,-3,-1,0,0
627,0,4,-3,-1,0,4
628,0,0,0,0,0,0
629,-1,4,-3,3,-3,-1
630,-1,-2,-1,4,-3,-1
631,1,-1,-1,-1,-1,4
632,-1,0,0,0,4,-3
633,-2,3,0,-1,-1,0
634,-1,3,-3,-1,0,0
635,-3,1,-1,-1,0,0
636,-1,4,-3,-1,0,0
637,-1,0,4,-3,3,-2
638,-3,2,1,-1,-1,1
639,4,-3,-1,0,0,4
640,0,0,-2,-1,4,-2
641,0,-2,3,-3,3,-1
642,-3,-1,4,-2,2,-2
643,0,3,-1,0,-2,0
644,-2,2,-3,0,-1,0
645,-2,-1,0,4,-1,-1
646,0,4,-3,3,-3,3
647,0,0,0,0,0,0
648,2,-2,0,0,1,-2
649,-1,-1,0,0,4,-1
650,4,-3,-1,0,4,-3
651,-2,0,1,-1,2,-2
652,-1,0,1,-1,2,-3
653,0,4,-3,3,-3,-1
654,0,0,0,0,0,0
655,-3,-1,0,0,0,0
656,-2,-1,-1,4,-3,0
657,-2,1,-1,2,-3,3
658,0,3,-1,-1,-1,3
659,0,0,0,0,0,0
660,0,0,0,0,0,0
661,-2,-1,4,-1,0,-2
662,0,0,0,0,0,0
663,0,0,0,0,0,0
664,-3,-1,4,0,-1,-2
665,0,4,-3,3,-1,-1
666,0,0,0,4,-3,-1
667,0,4,-3,3,-3,-1
668,0,0,0,0,0,0
669,-1,-2,3,-3,3,-3
670,-2,-1,3,-2,-1,3
671,-1,0,0,0,0,0
672,0,1,-2,3,-2,1
673,-1,-1,2,1,-3,2
674,-1,1,1,-3,0,3
675,-1,0,4,-2,1,-2
676,2,0,-2,3,-2,-1
677,0,0,0,4,-1,-2
678,0,0,0,0,0,0
679,0,0,0,0,0,0
680,0,0,0,4,0,-3
681,3,-3,-1,4,-3,3
682,4,-3,-1,0,0,0
683,-3,-1,0,4,-3,-1
684,3,0,-3,3,-3,-1
685,0,0,0,0,0,0
686,-2,1,-1,3,-2,-1
687,-3,3,-3,3,-3,3
688,0,0,0,0,4,-3
689,-3,3,0,-3,3,-3
