CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,가전_레저취미_멀티샵_고가_clust_id
1,-2,3,-3,0,3,-2,4
2,1,-2,3,-2,2,-3,3
3,0,0,0,0,0,0,0
4,-1,-2,-1,0,0,0,0
6,0,0,0,0,0,4,0
7,-2,3,0,-3,3,-3,4
8,3,-2,1,-2,-1,0,5
9,-1,0,4,-3,0,-1,3
10,0,0,0,0,0,0,0
11,-1,4,-3,-1,0,0,2
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,2,-2,-1,3,3
15,-1,0,0,0,0,0,0
16,4,-3,-1,0,0,4,5
17,0,0,0,0,0,0,0
18,-2,-1,-1,0,0,0,0
19,0,3,-3,3,-3,0,2
20,-3,-1,4,-3,3,-1,3
21,-1,0,0,0,0,0,0
22,0,0,4,-3,-1,0,3
23,-1,1,-1,0,1,-1,0
24,0,0,0,0,0,0,0
25,0,0,0,4,-3,3,1
26,-3,3,-1,-1,1,-1,2
27,-1,4,-3,3,-3,-1,2
28,0,0,0,0,0,0,0
29,0,-1,-1,3,-2,0,1
30,-1,0,0,0,0,0,0
31,-3,-1,0,0,0,0,0
32,-3,-1,0,0,0,0,0
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,-1,0,0,0,4,-3,4
36,4,-3,-1,0,0,0,5
37,-3,3,-3,3,0,-2,2
38,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0
40,3,-1,1,-3,3,-3,5
41,-3,-1,0,0,0,0,0
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,-3,-1,0,0,0,0,0
45,4,-3,3,-1,-2,3,5
46,4,-3,3,-3,3,-3,5
47,0,0,0,4,-3,-1,1
48,4,-3,-1,0,0,0,5
49,0,0,0,4,0,-3,1
50,0,0,0,0,0,0,0
51,-1,4,-3,3,-3,-1,2
52,0,0,0,0,0,0,0
53,-3,3,-2,1,-1,1,2
54,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
56,0,4,0,-3,-1,0,2
57,0,0,0,0,0,0,0
58,-1,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
62,-3,3,-3,3,-3,-1,2
63,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
65,-1,0,0,0,0,0,0
66,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0
68,1,-2,3,-2,1,-2,3
69,0,0,0,0,0,0,0
70,4,0,-3,-1,0,0,5
71,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0
73,-2,2,0,-1,0,0,0
74,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0
77,0,0,0,0,0,4,0
78,1,0,1,-3,3,-1,4
79,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0
81,4,-3,-1,0,0,0,5
82,0,-2,3,-2,-1,3,3
83,-3,3,-2,1,1,-3,2
84,3,-3,3,-3,0,3,5
85,0,0,0,0,0,0,0
86,0,0,0,0,4,-3,4
87,-1,-1,4,-3,-1,4,3
88,-1,1,-1,-1,3,0,4
89,0,0,0,0,0,0,0
90,0,0,-3,3,0,-2,1
91,0,0,0,0,0,0,0
92,-1,0,0,4,-3,-1,1
93,0,0,0,0,0,0,0
94,4,0,-3,3,0,-2,5
95,0,0,0,0,0,0,0
96,-1,-1,0,0,4,-3,4
97,1,-1,1,0,-1,0,0
98,0,0,0,0,0,0,0
99,-3,3,-1,0,-2,1,2
100,4,-3,-1,0,0,0,5
101,0,0,0,0,0,0,0
102,0,3,-3,3,-3,3,2
103,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0
106,0,1,-1,1,0,0,0
107,-1,4,-3,3,-3,3,2
108,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0
110,4,-2,-1,-1,0,0,5
111,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
113,3,-1,-2,3,-3,3,1
114,-3,3,-1,-2,0,-1,2
115,0,4,-3,-1,0,0,2
116,0,0,0,0,0,0,0
117,-1,-2,0,-1,0,4,0
118,1,-1,0,-1,3,-1,4
119,-1,0,0,4,0,-3,1
120,0,0,0,0,0,0,0
121,0,0,4,-3,-1,0,3
122,-3,-1,4,-3,2,-2,3
123,0,0,0,0,0,0,0
124,-1,0,0,0,0,0,0
125,-1,-1,0,2,-3,3,1
126,-3,-1,0,0,0,0,0
127,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0
