CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,가전_레저취미_멀티샵_중가_clust_id
1,3,0,0,-3,2,-2,1
2,-3,-1,0,0,0,0,4
3,0,0,0,0,0,0,4
4,1,-1,0,1,1,-3,4
6,0,0,0,0,0,0,4
7,2,0,-1,-1,3,-3,5
8,-2,3,-1,1,-2,-1,2
9,-2,2,0,-1,-1,3,4
10,-1,-2,-1,0,4,-3,5
11,-2,1,-2,3,-3,3,3
12,0,0,0,0,0,0,4
13,0,4,-3,-1,0,0,2
14,1,1,1,-1,-2,-1,4
15,2,-1,0,1,-2,3,3
16,0,0,0,0,0,0,4
17,0,0,0,0,0,0,4
18,0,-3,3,-3,3,-3,0
19,0,0,0,0,4,-3,5
20,-3,-1,4,-3,3,-2,0
21,-3,3,-3,3,-3,3,2
22,0,0,0,0,0,0,4
23,-2,1,-2,3,0,-2,2
24,-2,0,-1,3,0,0,3
25,4,-3,3,-3,-1,0,1
26,2,-2,3,-2,1,-2,1
27,-3,3,-3,-1,4,-3,5
28,0,0,0,0,0,0,4
29,-1,3,0,-2,0,1,4
30,-3,-1,4,-2,1,-2,0
31,-1,0,4,-3,-1,0,0
32,0,4,-1,-2,-1,4,2
33,0,0,0,0,0,0,4
34,-3,-1,0,0,0,0,4
35,0,0,4,-1,-2,3,0
36,4,-3,2,-2,3,-3,1
37,0,0,0,0,0,0,4
38,0,0,0,0,4,-3,5
39,0,0,0,0,0,0,4
40,3,-3,3,0,-2,1,1
41,0,0,4,-3,-1,4,0
42,-3,-1,0,0,0,0,4
43,0,0,0,0,0,0,4
44,-3,3,-2,1,-2,3,2
45,4,-2,1,-2,0,3,1
46,-2,3,-3,3,-1,0,2
47,-2,-1,3,-3,3,-1,0
48,-3,3,0,-3,-1,4,2
49,-3,-1,0,0,0,0,4
50,-2,-1,3,-2,0,0,0
51,-3,3,-3,-1,4,-1,5
52,3,-2,-1,3,-3,-1,3
53,-2,3,-3,3,-1,-1,2
54,0,0,0,0,0,0,4
55,4,-3,3,-3,-1,0,1
56,0,4,-3,-1,0,0,2
57,0,4,-3,-1,0,0,2
58,-2,1,-2,3,-3,3,3
59,0,0,0,0,0,0,4
60,-1,4,-3,3,0,-3,2
61,4,-3,-1,0,4,-3,1
62,0,-1,0,-1,3,-1,5
63,0,0,0,4,-3,-1,3
64,0,0,0,0,0,0,4
65,2,-2,3,-3,-1,4,0
66,-1,4,-3,3,-1,-2,2
67,0,0,0,0,0,0,4
68,0,0,0,0,4,-3,5
69,0,0,0,0,0,0,4
70,-1,-2,-1,4,0,-3,3
71,0,0,0,0,0,0,4
72,0,0,4,-3,-1,0,0
73,-3,-1,4,-3,3,-3,0
74,-2,-1,-1,0,0,0,4
75,0,0,0,0,0,0,4
76,-1,3,-3,3,-2,0,2
77,-2,-1,-1,0,4,0,5
78,3,-1,-2,3,-2,-1,3
79,-2,-1,-1,4,-3,3,3
80,0,4,-3,-1,0,0,2
81,0,0,0,0,4,-3,5
82,-1,-2,-1,4,-1,-1,3
83,-2,1,-2,0,3,-3,5
84,3,-2,1,-2,0,3,1
85,0,0,0,4,-2,-1,3
86,-2,-1,-1,0,4,0,5
87,-3,3,-3,3,-2,-1,2
88,4,-3,-1,0,4,-3,1
89,0,-1,3,-3,-1,4,0
90,3,-2,0,-1,3,-3,1
91,0,4,-3,-1,0,0,2
92,1,-1,-1,0,1,-1,4
93,0,-3,-1,0,0,4,4
94,4,-3,2,0,-1,1,1
95,-3,-1,0,0,0,0,4
96,-3,2,-2,-1,4,-3,5
97,3,-1,1,-2,0,0,1
98,-2,-1,3,-3,0,-1,0
99,0,0,4,-1,-2,3,0
100,-3,0,3,0,-3,0,0
101,0,0,0,0,0,0,4
102,-1,-2,2,-2,-1,0,0
103,3,-3,-1,0,0,0,1
104,0,0,0,0,0,0,4
105,0,-2,-1,3,-3,-1,3
106,-1,3,-3,3,-3,3,2
107,-1,3,-3,3,-1,0,2
108,0,1,-2,3,-2,2,3
109,0,0,0,0,0,0,4
110,0,-2,2,0,0,-2,4
111,4,-3,-1,0,0,0,1
112,-2,2,-3,3,-3,3,2
113,-1,0,0,0,-1,1,4
114,-2,0,-1,-1,0,4,4
115,4,-1,-2,3,-3,3,3
116,0,0,0,0,0,0,4
117,4,-3,0,3,-3,-1,3
118,0,3,-3,3,0,-1,2
119,0,1,0,-1,0,-1,4
120,4,-2,-1,3,-3,0,3
121,-1,0,0,4,-3,3,3
