CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,교육문화_아동_저가_clust_id
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,4,-3,-1,3
6,0,0,0,0,4,-1,1
7,-1,0,-2,2,-2,-1,3
8,4,-3,-1,0,0,0,4
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,-2,-1,3,0,-3,-1,5
14,-3,-1,0,0,0,0,0
15,0,0,0,4,-3,-1,3
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,4,-3,-1,0,5
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,-2,2,-1,2,-3,3,2
22,0,0,0,0,0,0,0
23,0,4,-3,-1,0,0,2
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,-3,-1,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0
32,-3,-1,0,0,0,0,0
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
36,-3,-1,0,0,0,0,0
37,0,0,0,0,0,0,0
38,-1,0,-1,2,-2,-1,3
39,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0
42,-3,1,2,-2,1,-1,5
43,0,0,4,-3,-1,4,5
44,0,0,0,0,0,0,0
45,0,4,-3,-1,0,0,2
46,0,0,0,0,0,0,0
47,-1,3,-3,0,3,-1,1
48,0,0,0,0,4,-3,1
49,0,0,0,0,0,0,0
50,-1,-1,4,-2,1,-1,5
51,-1,-2,0,0,-1,0,0
52,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
57,0,4,-3,-1,0,0,2
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,2,-2,-1,0,4,0,4
61,0,0,4,-3,-1,0,5
62,-1,0,0,0,0,0,0
63,0,0,0,0,0,0,0
64,-1,0,4,-3,-1,0,5
65,4,-3,-1,0,4,-3,4
66,-1,-1,0,0,0,0,0
67,0,0,0,0,0,4,0
68,0,4,-3,0,-1,0,2
69,4,-3,-1,0,0,0,4
70,0,0,0,0,0,0,0
71,-2,1,0,-2,-1,0,0
72,0,2,-3,2,-1,1,2
73,0,4,-3,-1,0,0,2
74,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0
76,-3,-1,0,0,0,0,0
77,4,-3,3,-3,-1,0,4
78,0,0,0,0,0,0,0
79,-2,3,-3,-1,0,4,2
80,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0
82,-3,0,-1,0,0,0,0
83,0,0,0,0,0,0,0
84,0,0,0,4,-3,-1,3
85,0,0,0,0,0,0,0
86,-1,0,4,-2,-1,-1,5
87,0,0,0,0,0,0,0
88,0,4,-3,-1,0,0,2
89,4,-1,-2,3,-2,0,3
90,0,4,-3,-1,0,0,2
91,0,0,0,0,0,4,0
92,0,-3,3,-3,3,-3,5
93,0,0,0,0,0,0,0
94,-2,-1,0,0,4,-3,1
95,4,-3,3,-3,0,-1,4
96,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0
99,0,0,0,4,-3,-1,3
100,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0
105,0,4,-1,-2,-1,4,2
106,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0
108,0,0,0,0,4,-3,1
109,4,-3,-1,0,0,0,4
110,3,-3,0,-1,0,0,4
111,0,0,0,4,-3,-1,3
112,0,4,-3,-1,0,0,2
113,-1,0,3,-3,3,-3,5
114,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0
122,3,-1,-1,0,2,-1,4
123,4,0,-3,-1,0,0,4
124,0,0,0,0,0,0,0
125,0,4,-3,-1,0,0,2
126,-3,-1,0,0,0,0,0
127,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0
129,-1,-1,0,-1,4,-3,1
130,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0
132,3,-1,-2,0,0,-1,4
133,4,-2,-1,-1,0,0,4
134,0,4,-3,-1,0,0,2
135,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0
137,4,-3,-1,4,-3,-1,3
138,0,4,-3,-1,0,0,2
139,4,-3,-1,0,0,0,4
140,-1,0,0,0,0,0,0
141,0,0,0,0,0,0,0
143,2,-2,0,1,0,0,4
144,4,-3,-1,0,0,4,4
145,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0
147,-2,0,1,-1,1,0,0
148,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0
150,-2,0,0,1,0,-1,0
151,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0
155,0,0,0,0,4,-3,1
156,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0
159,0,0,4,-3,-1,0,5
160,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0
162,0,4,-3,-1,0,4,2
163,0,0,0,0,0,0,0
164,0,0,0,4,0,-3,3
165,0,0,0,0,0,0,0
166,-3,3,0,-3,3,-2,1
167,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0
169,0,0,4,-3,3,-3,5
170,0,4,0,-3,0,-1,2
171,4,-3,-1,0,0,0,4
172,0,0,0,0,4,-3,1
173,0,0,4,-3,-1,0,5
175,0,-2,2,0,1,-3,0
176,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0
179,0,0,4,-3,-1,0,5
180,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0
182,0,4,-3,-1,0,0,2
183,0,-3,1,0,-1,3,0
184,0,0,4,-3,-1,0,5
185,4,-3,-1,0,4,-3,4
186,-1,0,0,0,0,0,0
187,0,0,0,0,0,0,0
188,0,4,-3,3,-3,-1,2
189,-3,-1,0,0,0,0,0
190,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0
192,0,4,-3,-1,0,0,2
193,0,-2,3,-2,-1,-1,5
194,-1,0,0,0,0,4,0
195,-1,0,0,0,4,-3,1
196,4,-1,-1,-1,0,3,4
197,3,-3,3,-3,3,-3,4
198,0,0,4,-3,3,-3,5
199,0,-1,3,-3,3,-3,5
200,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0
203,-1,4,0,-3,3,-3,1
204,0,0,-1,0,4,-2,1
205,-2,-1,-1,0,0,0,0
206,3,-3,3,0,-2,2,4
207,-1,0,-2,-1,4,-1,1
208,0,0,0,0,0,0,0
209,0,0,0,0,4,-1,1
210,0,1,-1,2,-3,-1,3
211,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0
213,-2,3,-3,0,3,0,1
214,0,0,0,0,0,0,0
215,3,-2,0,-1,3,-1,4
216,-3,-1,0,0,4,-3,1
217,-1,4,-3,3,-3,-1,2
218,0,-1,0,0,0,0,0
219,0,4,-1,0,-1,1,2
220,-3,3,-3,3,-2,1,2
221,-1,3,0,-3,3,0,1
222,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0
224,0,4,-3,-1,0,0,2
225,0,0,4,-3,-1,0,5
226,-1,0,0,0,0,0,0
227,0,0,0,0,0,0,0
228,3,-3,3,-3,3,-1,4
229,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0
231,0,0,0,0,0,4,0
232,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0
234,4,-3,-1,4,-3,-1,3
235,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0
242,-3,3,-3,-1,0,0,2
243,4,-3,-1,0,0,0,4
245,0,0,0,0,0,0,0
246,0,0,0,0,0,4,0
247,0,0,0,0,0,0,0
248,-3,3,-3,-1,4,-2,1
249,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0
255,0,0,4,-3,3,-3,5
256,0,0,0,0,4,-3,1
257,-1,-1,-1,4,-3,-1,3
258,-1,0,0,0,0,0,0
259,-1,4,-2,-1,0,-1,2
260,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0
262,0,0,4,-3,-1,0,5
263,3,0,-3,2,0,0,3
264,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0
267,3,-3,3,-3,-1,0,4
268,3,-3,3,-3,3,-2,4
269,0,0,0,0,0,0,0
270,0,3,-1,-1,1,1,2
271,0,0,0,0,0,0,0
272,-2,3,-3,3,-3,-1,2
273,4,-2,2,-2,1,-1,4
274,3,0,-3,3,-3,0,3
275,3,-3,3,0,-3,2,4
276,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0
280,0,0,0,0,0,4,0
281,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0
283,0,0,0,0,0,4,0
284,-3,3,-3,3,-3,-1,2
285,0,4,-3,-1,0,0,2
286,-1,-2,-1,4,-3,-1,3
287,-1,4,-3,3,0,0,2
288,-1,0,0,4,-3,-1,3
289,3,-2,0,2,-3,2,3
290,0,4,-3,1,2,-3,2
291,-3,0,3,0,-3,-1,5
292,0,0,0,0,0,0,0
293,0,0,0,4,-3,-1,3
294,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0
299,-1,0,0,0,0,0,0
300,0,0,0,0,1,-1,0
301,4,-3,-1,0,0,0,4
302,0,0,0,0,0,0,0
303,-3,-1,0,0,0,0,0
304,0,0,0,0,0,0,0
305,-3,-1,0,0,4,-3,1
306,0,4,-3,-1,0,0,2
307,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0
310,0,0,4,-3,-1,0,5
311,0,0,0,0,0,0,0
312,4,-2,-1,-1,0,0,4
313,1,-2,2,1,-3,-1,3
314,0,0,0,0,0,0,0
315,0,4,-3,3,-3,-1,2
316,4,-1,-2,0,-1,0,4
317,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0
320,-3,-1,0,4,-3,-1,3
321,0,0,0,0,0,0,0
322,-2,0,1,0,0,-2,0
323,-1,3,-1,-2,-1,4,2
324,-1,3,0,-3,3,0,1
325,0,0,0,0,0,0,0
326,0,4,-3,3,-3,3,2
327,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0
330,0,0,4,-3,-1,0,5
331,0,0,0,0,0,0,0
332,0,4,-3,-1,0,0,2
333,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0
336,-2,3,-3,-1,0,0,2
337,0,0,0,0,0,0,0
338,-3,2,1,-2,2,-3,1
339,4,-3,2,1,-2,2,4
340,0,0,0,0,0,0,0
341,0,0,4,-3,-1,0,5
342,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0
344,-1,0,0,0,0,0,0
345,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0
347,2,0,-2,1,1,0,0
348,0,0,0,0,0,0,0
349,-1,2,0,-2,-1,0,0
350,-3,3,0,-3,0,-1,2
351,0,0,0,4,-3,-1,3
352,4,-3,-1,4,-3,-1,3
353,4,-3,-1,0,0,0,4
354,-3,-1,0,4,-1,-2,3
355,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0
357,-3,-1,0,4,-3,0,3
358,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0
360,0,1,-1,1,-1,1,0
361,-1,0,0,0,4,-3,1
362,4,-3,3,-3,-1,4,4
363,-3,-1,0,0,0,0,0
364,0,0,4,-3,3,-1,5
365,3,-3,2,-1,1,-2,4
366,-2,0,-1,4,-3,-1,3
367,0,0,0,0,0,0,0
368,-3,0,-1,4,-3,-1,3
369,0,0,0,0,0,0,0
370,3,-2,0,1,-2,0,4
371,-2,1,-1,0,0,0,0
372,-1,0,0,0,0,0,0
373,4,-3,2,-1,1,-2,4
374,0,0,0,0,0,0,0
375,-1,3,-3,-1,0,4,2
376,0,0,0,0,0,0,0
377,-1,0,0,0,0,0,0
378,0,0,4,-3,3,-2,5
379,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0
384,3,0,-2,0,1,-2,4
385,0,0,0,0,0,0,0
386,4,-3,-1,0,0,0,4
387,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0
389,-2,3,-2,0,-1,3,2
390,4,0,-3,3,-3,3,3
391,-2,0,-1,4,0,-2,3
392,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0
395,0,-1,3,0,-2,-1,5
396,0,4,-3,-1,0,0,2
397,-1,-1,0,0,4,-2,1
398,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0
403,-1,4,-3,3,-3,-1,2
404,3,-3,-1,4,-3,3,3
405,0,0,0,4,-3,-1,3
406,3,-3,3,-2,-1,0,4
407,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0
409,-3,-1,0,4,-3,-1,3
410,4,-3,-1,4,-3,-1,3
411,0,0,0,0,0,0,0
412,-3,3,-3,-1,0,0,2
413,4,-1,-1,-1,3,-3,4
414,-3,3,-3,0,-1,4,2
415,0,0,0,0,0,0,0
416,0,0,0,4,-2,-1,3
417,0,0,0,0,0,0,0
418,0,4,0,-3,3,-1,1
419,0,0,0,0,0,0,0
420,0,0,0,0,4,-3,1
421,2,-2,1,-1,1,-2,4
422,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0
425,-1,0,0,4,-3,2,3
426,-3,-1,0,0,0,0,0
427,0,0,0,0,0,0,0
428,0,0,0,0,4,0,1
429,0,0,4,-1,-2,-1,5
430,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0
433,-3,-1,4,-3,-1,0,5
434,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0
436,0,0,0,0,0,4,0
437,0,0,0,0,0,0,0
