CUSTNO,가구인테리어/잡화_고가_증감여부,가구인테리어/잡화_저가_증감여부,가구인테리어/잡화_중가_증감여부,가전/레저취미/멀티샵_고가_증감여부,가전/레저취미/멀티샵_저가_증감여부,가전/레저취미/멀티샵_중가_증감여부,교육문화/아동_고가_증감여부,교육문화/아동_저가_증감여부,교육문화/아동_중가_증감여부,식품/생활_고가_증감여부,식품/생활_저가_증감여부,식품/생활_중가_증감여부,의류/이미용_고가_증감여부,의류/이미용_저가_증감여부,의류/이미용_중가_증감여부,침구/주방_고가_증감여부,침구/주방_저가_증감여부,침구/주방_중가_증감여부
1,1,1,4,4,0,3,0,0,0,1,1,1,1,0,3,3,0,0
2,0,3,0,4,0,0,0,0,4,4,1,2,2,1,4,3,0,1
3,0,3,0,0,4,0,0,0,0,4,1,4,0,0,0,0,0,0
4,0,2,4,0,4,4,0,1,0,1,1,2,1,4,3,4,0,0
6,3,1,4,0,0,0,0,4,0,4,4,4,2,3,3,0,4,4
7,4,2,0,4,4,4,0,1,0,1,4,2,1,0,4,2,1,0
8,3,2,1,0,0,2,0,0,0,2,4,3,3,0,4,0,0,0
9,2,1,2,1,0,1,0,0,0,4,1,3,3,0,2,3,0,0
10,0,3,1,0,1,4,0,0,0,3,3,2,2,1,4,1,2,4
11,1,1,1,0,0,1,0,0,1,1,2,4,2,0,1,0,0,0
12,0,1,0,0,1,0,0,0,0,2,1,1,4,3,3,0,2,1
13,0,2,0,0,0,0,0,1,0,1,2,2,1,2,4,4,4,3
14,1,3,4,1,1,1,0,0,0,2,4,3,1,0,3,1,1,0
15,0,4,2,0,0,1,0,1,0,4,3,2,1,2,1,4,0,3
16,1,3,0,0,0,0,1,0,1,2,3,1,4,0,4,1,0,4
17,2,3,3,0,0,0,0,0,0,1,1,2,4,0,2,2,1,0
18,0,4,0,0,0,4,0,0,0,1,1,3,2,0,4,0,0,1
19,1,2,1,1,0,4,0,0,0,2,0,2,2,4,4,4,0,0
20,0,2,1,4,0,4,0,0,0,1,1,2,3,1,3,0,0,0
21,0,1,1,0,2,1,0,1,1,2,1,3,0,2,1,0,4,4
22,1,0,1,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0
23,4,2,2,3,0,4,0,0,0,2,0,1,3,0,3,4,0,2
24,0,4,0,0,4,4,0,0,4,1,3,3,0,4,4,0,3,4
25,1,2,1,1,4,0,0,0,0,1,2,3,2,1,1,0,0,0
26,1,2,3,3,0,3,0,0,0,1,1,3,2,1,4,1,0,1
27,3,0,4,1,0,4,0,0,1,4,1,4,3,0,4,1,0,0
28,0,1,0,0,0,0,0,0,0,1,2,2,4,2,0,0,3,4
29,1,4,3,2,0,2,0,0,1,4,4,3,2,4,4,3,4,4
30,1,4,1,0,1,3,0,0,0,2,4,2,3,1,2,1,3,2
31,0,3,4,0,0,0,0,0,3,2,4,2,1,0,3,0,0,0
32,0,4,4,0,1,0,0,0,0,3,2,3,0,2,0,0,4,4
