CUSTNO,purchase_sum_증감여부
1,1
2,1
3,1
4,1
6,1
7,0
8,0
9,1
10,1
11,0
12,0
13,1
14,1
15,1
16,0
17,0
18,1
19,1
20,1
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,1
41,1
42,0
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,0
59,1
60,0
61,1
62,1
63,1
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,1
96,1
97,1
98,0
99,0
100,1
101,0
102,1
103,0
104,1
105,1
106,0
107,0
108,0
109,1
110,1
111,0
112,0
113,1
114,1
115,0
116,1
117,0
118,0
119,1
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,1
140,1
141,0
143,0
144,1
145,0
146,1
147,1
148,0
149,0
150,1
151,1
152,1
153,0
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,0
171,0
172,1
173,0
175,0
176,1
177,1
178,0
179,0
180,0
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,0
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,1
199,1
200,1
201,1
202,0
203,1
204,0
205,1
206,0
207,0
208,1
209,1
210,0
211,0
212,1
213,0
214,0
215,0
216,1
217,0
218,0
219,1
220,0
221,0
222,1
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,1
231,1
232,1
233,0
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,0
242,0
243,0
245,1
246,0
247,1
248,0
249,0
250,1
251,1
252,0
253,1
254,1
255,1
256,0
257,0
258,0
259,1
260,1
261,1
262,1
263,0
264,0
265,1
266,1
267,1
268,0
269,1
270,1
271,0
272,0
273,1
274,0
275,1
276,1
277,1
278,0
279,1
280,1
281,1
282,0
283,1
284,0
285,0
286,1
287,1
288,1
289,1
290,0
291,0
292,0
293,0
294,0
295,1
296,1
297,0
298,0
299,1
300,1
301,0
302,1
303,0
304,0
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,0
315,0
316,0
317,1
318,1
319,1
320,0
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,1
330,0
331,0
332,1
333,0
334,0
335,0
336,1
337,0
338,0
339,1
340,1
341,0
342,1
343,0
344,1
345,1
346,0
347,1
348,1
349,1
350,0
351,1
352,0
353,1
354,1
355,1
356,0
357,1
358,0
359,1
360,0
361,0
362,0
363,1
364,1
365,1
366,0
367,1
368,1
369,1
370,0
371,0
372,1
373,0
374,1
375,1
376,0
377,1
378,0
379,0
380,1
381,1
382,1
383,0
384,0
385,1
386,0
387,1
388,1
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,0
398,1
399,1
400,0
401,1
402,0
403,0
404,0
405,1
406,0
407,0
408,1
409,1
410,0
411,1
412,1
413,0
414,0
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,0
425,1
426,1
427,0
428,0
429,1
430,0
431,0
432,1
433,1
434,0
435,1
436,0
437,0
438,1
439,1
440,1
441,1
442,0
443,1
444,0
445,1
446,0
447,1
448,1
449,0
450,0
451,1
452,0
453,1
454,0
455,1
456,0
457,1
458,0
459,0
461,1
462,1
463,0
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,0
472,0
473,0
474,0
475,1
476,1
477,0
478,1
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,0
487,0
488,1
489,1
490,0
491,1
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,1
502,1
503,0
504,0
505,0
506,1
507,1
508,0
509,1
510,1
511,1
512,0
513,0
514,0
515,1
516,0
517,1
518,1
519,0
520,1
521,0
522,1
523,1
524,1
525,0
526,1
527,1
528,0
529,1
530,0
531,1
532,0
533,0
534,0
535,0
536,1
537,1
538,0
539,1
540,1
541,0
542,1
543,0
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,1
552,1
553,0
554,1
555,1
556,1
557,1
558,1
559,0
560,0
561,1
562,1
563,0
564,1
565,1
566,0
567,1
568,0
569,1
570,1
571,0
572,0
573,0
574,1
575,0
576,1
577,1
578,1
579,1
580,0
581,1
582,1
583,1
584,1
585,1
586,1
587,0
588,1
589,1
590,0
591,1
592,1
593,0
594,0
595,0
596,1
597,1
598,1
599,0
600,0
601,1
602,0
603,1
