CUSTNO,1분기 대비2분기 증감여부,2분기 대비3분기 증감여부,3분기 대비4분기 증감여부,4분기 대비5분기 증감여부,5분기 대비6분기 증감여부,6분기 대비7분기 증감여부,7분기 대비8분기 증감여부
1,3,3,3,1,2,3,1
2,2,4,1,4,1,4,2
3,4,3,2,2,3,3,2
4,4,2,1,3,3,3,2
6,3,3,2,3,2,3,2
7,1,4,4,2,3,1,4
8,2,3,3,2,3,3,3
9,3,2,2,4,1,2,2
10,3,2,2,3,2,2,2
11,3,4,1,1,4,1,4
12,1,4,2,2,4,4,1
13,3,2,3,2,3,2,2
14,3,2,1,4,2,1,2
15,3,1,1,4,4,1,2
16,2,4,3,3,1,2,3
17,2,1,4,1,4,2,3
18,1,2,1,4,2,3,2
19,2,1,4,1,4,2,2
20,3,2,2,4,2,2,3
21,2,3,2,3,3,2,2
22,4,1,4,3,1,1,4
23,3,2,4,1,2,3,2
24,3,3,2,2,2,3,2
25,4,3,1,4,2,1,4
26,3,1,4,1,1,3,3
27,1,1,2,4,2,4,1
28,4,1,4,1,4,3,1
29,3,2,2,3,2,2,3
30,3,3,3,2,4,2,3
31,3,3,3,2,2,3,2
32,4,3,2,2,3,3,3
33,3,2,2,3,3,3,2
34,4,1,4,1,3,2,2
35,3,3,1,4,3,2,3
36,4,1,3,1,4,2,1
37,4,4,3,1,3,1,3
38,2,3,2,2,2,3,3
39,2,1,4,1,4,1,2
40,4,1,2,4,1,4,1
41,3,1,4,3,1,2,3
42,3,2,2,3,2,2,3
43,2,1,4,1,3,2,2
44,1,3,4,1,1,4,4
45,1,4,4,2,4,1,4
46,1,1,4,4,1,3,4
47,3,3,1,3,2,2,3
48,3,4,1,4,2,2,2
49,3,2,1,4,1,4,1
50,3,2,2,2,2,3,3
51,2,2,4,1,2,2,4
52,2,2,3,3,3,1,2
53,4,1,4,1,3,1,3
54,3,2,3,2,3,2,3
55,2,4,2,2,2,3,1
56,2,1,4,4,2,1,4
57,3,2,3,4,1,3,3
58,2,2,3,2,2,3,4
59,3,1,2,2,4,2,3
60,4,1,3,2,4,3,3
61,2,1,3,2,3,3,2
62,4,2,2,2,2,3,2
63,4,2,3,3,3,3,1
64,2,2,3,1,2,1,4
65,3,4,1,4,2,1,3
66,2,2,3,2,3,2,3
67,3,3,3,2,2,3,3
68,1,2,2,3,1,3,3
69,3,3,2,2,3,3,3
70,1,4,1,2,2,3,3
71,3,2,2,3,2,3,2
72,2,4,2,2,2,3,3
73,2,3,1,4,1,3,2
74,4,2,1,3,1,1,4
75,3,2,3,2,2,3,3
76,3,2,3,1,4,2,3
77,3,2,2,2,3,2,4
78,2,3,2,3,4,1,2
79,2,3,3,1,4,3,2
80,2,3,3,2,3,1,4
81,1,4,1,3,4,3,1
82,2,4,1,3,3,4,2
83,4,4,1,4,3,4,1
84,1,3,1,4,1,1,4
85,3,2,4,2,3,2,3
86,4,2,3,2,2,3,3
87,1,1,4,3,1,4,1
88,4,2,3,3,1,3,4
89,4,2,2,3,2,2,3
90,3,3,4,1,3,4,2
91,3,3,2,3,2,3,2
92,2,3,3,1,3,3,2
93,2,4,1,4,3,2,2
94,4,4,3,1,2,4,4
95,3,1,4,2,2,3,2
96,4,1,1,3,1,4,2
97,1,4,1,4,2,2,1
98,2,3,2,3,1,3,2
99,2,4,1,2,4,1,3
100,4,2,3,1,1,4,1
101,1,3,3,3,2,3,3
102,1,2,3,1,4,2,3
103,2,4,1,3,2,3,2
104,3,3,3,2,3,3,2
105,3,3,2,2,2,4,2
106,2,1,4,1,4,2,3
107,3,3,3,2,2,1,4
108,1,3,3,2,4,2,3
109,2,2,2,1,3,3,3
110,3,4,2,2,2,3,1
111,2,4,1,3,3,2,3
112,1,3,2,3,3,4,3
113,2,2,4,2,3,1,3
114,4,3,1,3,3,1,3
115,4,3,2,4,2,1,4
116,3,2,2,3,3,1,3
117,1,4,1,1,3,2,3
118,3,3,4,1,2,3,2
119,4,1,3,3,2,3,1
120,3,2,2,3,2,3,2
121,2,1,4,4,1,4,3
122,3,2,2,4,3,2,2
123,1,3,3,3,2,2,3
124,1,3,2,1,4,1,4
125,1,2,2,3,4,1,4
126,1,3,4,2,1,1,4
127,3,3,1,4,1,3,4
128,2,4,1,1,4,3,1
129,4,2,3,2,3,3,2
130,2,2,2,3,2,1,3
131,4,2,1,3,3,3,2
132,2,3,3,3,1,1,4
133,3,3,1,3,2,3,3
134,1,2,2,4,3,2,2
135,4,2,1,2,3,3,1
136,4,4,2,1,4,1,4
137,3,2,2,4,2,4,3
138,2,3,3,2,3,1,4
139,3,3,2,1,3,3,2
140,1,4,2,2,3,4,1
141,3,2,3,3,3,3,2
143,2,3,3,2,4,2,2
144,3,3,2,2,1,4,1
145,3,4,3,1,3,4,2
146,2,2,3,4,1,1,3
147,2,2,3,3,1,1,4
148,2,3,2,2,3,2,3
149,2,4,2,1,4,1,4
150,4,1,4,1,4,1,1
151,4,1,2,2,3,4,1
152,1,3,2,3,3,3,1
153,2,3,4,1,3,1,3
154,1,1,2,2,4,4,1
155,3,4,1,3,2,4,1
156,2,3,2,4,2,1,4
157,2,4,2,2,3,3,3
158,3,4,3,1,4,1,4
159,4,1,4,4,2,1,4
160,2,2,2,3,3,2,3
161,1,4,4,1,2,1,4
162,4,1,4,3,2,2,3
163,3,2,2,2,3,4,1
164,1,2,3,2,4,4,1
165,4,3,2,3,1,3,4
166,4,2,3,1,3,3,3
167,2,2,4,1,3,4,1
168,3,2,3,2,4,1,4
169,1,2,1,4,3,4,1
170,3,3,2,3,3,3,3
171,2,4,3,1,4,4,1
172,4,2,3,2,3,3,2
173,3,3,2,2,4,1,3
175,2,3,2,3,3,2,2
176,2,3,2,2,3,1,3
177,3,1,3,3,2,2,3
178,1,2,4,2,2,3,3
179,2,3,2,3,2,2,3
180,3,1,4,4,1,2,4
181,2,3,4,1,4,3,3
182,3,3,2,2,4,2,2
183,2,3,3,3,2,2,3
184,4,1,4,1,4,1,4
185,4,4,3,2,2,2,1
186,1,1,2,4,2,2,2
187,1,2,3,2,3,3,2
188,2,3,2,3,2,3,3
189,3,4,1,2,2,3,2
190,1,2,3,4,2,1,4
191,2,2,3,2,2,4,1
192,4,2,4,1,4,3,3
193,3,2,3,2,3,2,3
194,3,2,2,2,3,2,2
195,1,3,2,2,3,3,2
196,4,1,3,2,2,3,3
197,3,2,4,1,4,3,1
198,4,1,2,2,4,2,2
199,4,2,3,2,2,2,3
200,3,3,2,2,3,1,4
201,3,3,3,1,3,4,2
202,3,3,2,3,2,3,3
203,2,3,2,2,3,2,2
204,2,3,2,2,3,3,2
205,2,2,3,2,1,3,3
206,2,4,2,3,1,3,3
207,2,3,3,2,3,2,2
208,3,3,2,2,1,1,1
209,1,3,3,1,4,1,1
210,3,3,3,2,3,2,3
211,1,4,1,4,1,4,2
212,2,2,3,1,4,1,2
213,2,2,4,2,4,3,2
214,3,2,2,3,4,1,3
215,3,2,3,3,3,3,2
216,2,3,3,2,2,2,2
217,2,2,3,2,4,1,4
218,4,3,2,1,4,4,2
219,3,1,4,1,4,2,2
220,3,2,3,2,4,2,2
221,2,3,3,2,2,3,3
222,2,3,2,4,1,4,1
223,3,1,4,1,4,1,1
224,1,4,1,4,1,2,4
225,2,2,3,3,3,1,4
226,3,1,3,2,4,1,2
227,3,3,4,1,2,3,2
228,2,3,2,3,2,4,2
229,4,1,3,3,3,4,1
230,2,1,3,3,3,2,2
231,3,3,1,2,3,2,2
232,4,2,3,2,2,3,2
233,2,4,1,2,4,1,2
234,3,2,3,3,3,4,1
235,2,4,1,4,3,1,2
236,3,1,4,2,3,3,3
237,2,3,2,4,1,4,3
238,4,2,4,1,4,1,2
239,3,1,3,2,4,2,3
240,4,1,2,1,4,4,2
241,1,4,2,3,2,2,2
242,3,2,4,2,3,3,2
243,3,2,4,2,2,4,2
245,3,3,3,1,2,3,2
246,3,4,1,3,2,3,1
247,2,3,3,2,2,3,2
248,3,1,2,4,2,3,3
249,1,3,2,3,3,3,3
250,3,3,2,2,4,3,1
251,2,2,2,4,1,4,2
252,3,3,3,3,2,1,4
253,1,2,2,2,2,4,2
254,2,4,2,4,1,1,2
255,2,1,4,2,3,2,2
256,4,4,1,1,3,3,4
257,2,2,3,2,3,2,4
258,4,1,3,4,3,3,3
259,4,1,4,1,4,1,4
260,3,2,3,1,2,3,3
261,2,1,4,1,3,2,1
262,3,1,3,3,3,2,1
263,1,3,2,2,3,3,2
264,3,3,4,2,1,3,2
265,3,2,2,2,4,2,3
266,4,4,1,3,3,2,2
267,4,2,4,2,1,2,4
268,2,1,4,3,1,2,4
269,2,2,2,3,1,3,2
270,3,2,2,3,3,2,2
271,4,1,2,2,2,3,4
272,2,2,3,3,2,4,2
273,4,1,3,3,2,3,2
274,3,2,4,3,3,2,3
275,2,3,2,2,3,3,2
276,3,2,3,4,1,1,3
277,4,2,2,2,4,1,3
278,1,3,3,2,2,1,3
279,4,4,1,4,1,1,4
280,3,3,3,1,4,2,3
281,1,3,3,2,3,4,1
282,2,2,3,2,3,3,3
283,2,1,3,3,1,4,1
284,1,4,4,3,2,3,3
285,3,3,2,3,2,3,2
286,2,2,4,1,3,1,2
287,4,1,2,3,3,4,2
288,3,3,3,2,3,2,3
289,4,2,2,3,2,3,2
290,3,4,3,2,2,3,2
291,3,2,3,1,4,3,3
292,3,4,2,2,2,2,4
293,3,4,1,4,1,3,3
294,2,4,3,1,2,4,1
295,4,3,2,4,1,1,1
296,1,1,2,4,4,1,4
297,4,3,2,1,3,3,4
298,4,3,4,3,3,1,4
299,1,3,1,4,1,2,3
300,2,2,3,3,2,2,2
301,1,1,4,3,1,1,4
302,3,2,4,1,4,2,3
303,1,2,3,4,1,3,3
304,3,4,4,1,4,1,3
305,2,4,1,4,2,3,2
306,2,4,1,4,1,4,2
307,3,2,3,2,2,2,1
308,4,2,3,1,1,3,2
309,4,2,1,2,3,3,2
310,2,1,2,4,2,4,1
311,3,1,3,3,2,2,2
312,4,4,3,2,2,1,1
313,1,2,3,3,2,2,3
314,1,1,4,1,4,1,4
315,4,2,4,1,4,3,4
316,1,3,4,1,2,4,4
317,4,2,1,1,3,4,1
318,2,3,2,1,4,2,2
319,2,2,1,4,2,3,2
320,1,3,2,3,3,1,2
321,1,3,2,3,1,3,2
322,2,3,2,3,2,4,1
323,4,2,2,2,4,1,4
324,2,4,1,3,1,4,1
325,3,2,1,2,4,3,2
326,3,1,3,4,1,3,3
327,2,2,3,4,1,3,2
328,3,4,2,3,1,3,3
329,3,2,1,3,3,3,3
330,3,2,1,4,3,3,2
331,2,2,3,3,2,3,3
332,2,3,3,3,2,2,2
333,3,3,2,2,4,2,3
334,4,2,2,3,3,3,3
335,4,4,1,4,2,1,4
336,1,2,2,3,3,2,2
337,3,3,3,2,1,2,4
338,2,2,1,4,2,2,3
339,3,3,2,3,3,3,2
340,2,3,1,4,1,2,2
341,3,4,4,2,2,3,2
342,2,3,3,3,2,2,2
343,1,3,1,3,4,1,3
344,1,2,4,1,4,3,3
345,4,3,3,1,2,2,4
346,3,3,3,1,4,3,4
347,3,3,1,3,3,2,2
348,3,3,2,2,3,1,2
349,1,4,1,4,1,4,1
350,3,2,3,1,4,4,2
351,3,1,3,3,1,1,1
352,4,1,2,4,2,2,2
353,4,3,1,4,2,2,3
354,3,2,2,2,4,2,3
355,4,4,4,1,1,3,3
356,2,4,4,1,2,3,2
357,4,2,3,3,3,2,3
358,4,1,4,2,3,3,3
359,2,3,3,3,1,2,2
360,2,3,2,1,4,3,1
361,1,2,3,2,3,4,3
362,2,2,3,4,3,3,1
363,2,3,1,4,2,1,1
364,4,3,1,3,2,2,3
365,2,2,2,1,3,1,3
366,4,2,3,2,3,3,3
367,1,1,4,1,3,2,2
368,4,3,1,3,2,4,2
369,2,1,3,3,3,1,3
370,2,2,3,2,4,2,3
371,2,3,3,2,3,2,2
372,4,1,3,2,3,3,1
373,4,1,4,3,3,1,3
374,3,1,3,3,2,2,2
375,2,1,2,4,2,1,3
376,3,3,2,3,2,3,2
377,3,2,3,2,2,3,2
378,3,2,3,2,3,2,4
379,3,3,2,4,2,3,3
380,4,1,3,2,3,2,3
381,4,4,2,3,2,2,2
382,2,1,3,1,4,1,4
383,3,2,3,2,3,2,3
384,3,2,4,3,3,2,1
385,4,3,1,2,3,3,3
386,1,4,1,1,4,3,4
387,3,3,2,2,2,4,2
388,3,1,4,2,2,1,4
389,2,2,2,4,2,2,3
390,3,2,3,2,3,2,3
391,4,2,1,1,4,4,3
392,1,2,4,1,4,4,3
393,3,1,4,3,4,1,3
394,3,1,3,3,3,2,3
395,2,2,3,4,1,4,1
396,4,1,4,1,3,1,4
397,2,3,3,2,2,4,2
398,2,2,3,1,4,3,1
399,2,2,3,3,3,2,2
400,1,1,4,1,3,3,3
401,1,1,4,4,1,2,3
402,1,3,3,4,1,2,4
403,2,2,3,3,2,3,2
404,3,2,2,3,3,3,3
405,3,2,1,2,3,2,3
406,3,2,3,2,3,3,3
407,3,2,4,1,4,2,4
408,4,3,3,1,4,2,1
409,1,2,3,2,3,1,4
410,2,4,2,3,2,3,2
411,1,2,3,2,3,3,1
412,2,2,3,2,3,1,3
413,2,4,1,4,2,4,1
414,2,2,4,1,4,1,4
415,3,3,1,4,2,3,1
416,1,2,2,1,2,4,2
417,1,1,4,2,2,1,4
418,3,3,3,2,2,4,1
419,4,2,2,2,1,2,4
420,4,3,2,2,4,1,3
421,3,2,2,3,3,3,2
422,4,1,2,1,4,1,2
423,2,3,2,1,3,4,2
424,3,2,2,2,4,2,2
425,4,1,3,2,4,3,2
426,4,2,2,3,2,3,2
427,1,4,2,4,1,3,3
428,1,3,3,1,4,1,4
429,4,1,1,4,3,1,4
430,2,2,4,1,3,4,4
431,2,4,3,2,3,3,3
432,4,1,3,2,2,1,3
433,2,2,3,1,4,1,2
434,2,4,1,2,3,3,3
435,2,1,1,4,4,1,2
436,4,2,3,2,2,2,4
437,1,4,2,3,4,1,3
438,3,3,1,2,2,3,2
439,4,2,1,4,2,3,2
440,2,2,3,2,1,3,4
441,4,1,1,3,3,4,1
442,2,2,3,2,3,2,3
443,4,2,3,2,1,4,1
444,2,4,1,3,4,3,3
445,4,1,3,2,3,3,3
446,1,3,3,3,3,3,2
447,2,3,1,4,4,4,1
448,4,2,1,3,1,4,2
449,3,4,3,1,4,2,4
450,4,2,2,3,2,2,4
451,3,3,2,1,4,2,3
452,4,4,2,2,3,3,2
453,4,1,3,1,3,4,3
454,2,3,3,2,2,3,2
455,1,2,3,2,4,2,2
456,3,2,4,2,3,4,3
457,2,2,3,2,3,1,3
458,2,2,3,2,3,3,2
459,2,4,2,2,3,2,3
461,4,3,2,1,4,2,2
462,2,4,3,1,4,2,1
463,2,4,2,2,2,4,2
464,3,2,1,3,4,2,2
465,3,1,4,3,2,3,3
466,4,4,1,3,3,3,2
467,1,1,3,3,2,4,2
468,3,2,2,3,3,2,3
469,4,1,2,1,4,1,2
470,3,2,2,2,3,3,3
471,4,2,2,4,2,2,4
472,2,2,4,3,3,3,3
473,2,2,3,2,2,3,3
474,2,2,4,1,3,3,3
475,1,2,2,3,3,3,2
476,2,3,3,2,3,2,2
477,4,4,1,2,4,1,4
478,3,1,4,3,1,2,2
479,4,1,2,3,2,3,1
480,2,2,3,2,3,3,2
481,2,4,1,2,3,2,2
482,3,2,4,2,3,3,3
483,3,1,3,4,1,2,4
484,2,3,3,1,4,3,2
485,2,3,3,3,2,3,1
486,3,2,3,2,2,1,4
487,3,3,2,2,3,2,2
488,3,3,3,2,3,2,3
489,1,2,4,1,3,3,1
490,3,2,3,2,3,2,3
491,3,2,3,1,3,3,2
492,4,4,1,2,1,4,4
493,2,2,4,2,2,2,3
494,4,1,3,1,4,2,4
495,1,3,2,3,3,1,3
496,1,4,1,3,3,1,3
497,2,2,2,3,2,2,3
498,1,4,1,4,2,3,1
499,1,1,4,4,2,3,2
500,2,3,1,4,3,2,2
501,4,1,4,1,3,2,2
502,1,2,3,3,2,1,2
503,3,2,4,3,2,1,3
504,3,2,1,3,2,2,4
505,2,1,4,1,2,4,3
506,3,1,4,4,1,3,2
507,3,2,3,2,3,3,3
508,1,3,4,2,1,3,3
509,3,4,1,2,3,2,3
510,4,1,2,3,2,3,2
511,3,3,3,2,3,2,2
